schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--muddywater,artifact--sha256:65599790ff7b2e1f9da31fafa0abff468062d21d481e6f9be447623e529c01e4,observation--sha256:ed1d8b4425e4909fe2d1e6c87e98a3cdb98178ff11e838357648d767743a575a,command,DELPHSTATS employs custom PowerShell script with code similarities to the one embedded into the,DELPHSTATS employs custom PowerShell script with code similarities to the one embedded into the,candidate,2018-03-01T00:00:00Z,month,known,same-record,,source--muddywater--77fecc73ab07f06c,muddywater/wp_new_muddywater_findings_uncovered.pdf,"{""page"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"5 Other MuddyWater campaigns that used different payloads and tools Since 2018, the threat actors behind MuddyWater have been actively targeting victims using a variety of methods and techniques, and they seem to keep on adding more as they move forward with new campaigns. The abovementioned campaign that used POWERSTATS v3 is not the only one we found using new tricks. We observed other campaigns with different delivery methods and dropped file types. Notably, these campaigns have also changed ",
1.0.0,actor--muddywater,artifact--sha256:42d09247dcf4a40d4cbffa7c196b4b9c55711240c05d13ea64e61141f80b82d1,observation--sha256:a874940a1d1bd25c384041c9d3fe09067e19394fbccc4cf9fcf5f5f7a8e0b6fb,command,"De-obfuscates .txt file, which is another PowerShell script and main C2","De-obfuscates .txt file, which is another PowerShell script and main C2",candidate,,unknown,unknown,not-stated,,source--muddywater--2e79f520fa3d06d8,muddywater/Iranian intel cyber suite of malware uses open source tools.pdf,"{""page"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"https://www.cybercom.mil/DesktopModules/ArticleCS/Print.aspx?PortalId=56&ModuleId=4502&Article=2897570 2/3 These three samples are all part of the same PowGoop instance. They were identified in a folder with several other legitimate executables and DLLs. Goopdate.dll uses DLL side-loading to run when a the non- malicious executable GoogleUpdate.exe is run. goopdate.dll will then de-obfuscate goopdate.dat, which is a PowerShell script used to de- obfuscate and run config.txt. Config.txt is a Powe",
1.0.0,actor--muddywater,artifact--sha256:2e0251e81233e3c22496e4e976eea0e52c0707d963103a4128dd8989e3c6fb55,observation--sha256:eb1a38391431019d15d659ce34de078d230babca59b10068ae10b1e058cac880,command,"EmpireProject PowerShell, Python","EmpireProject PowerShell, Python",candidate,,unknown,unknown,not-stated,,source--muddywater--77fecc73ab07f06c,muddywater/wp_new_muddywater_findings_uncovered.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"8 Use of different post-exploitation tools Since the emergence of MuddyWater, we found that its operators used multiple open source post - exploitation tools, which they deployed after successfully compromising a target. Name of the post-exploitation tool Programming language/Interpreter CrackMapExec Python, PyInstaller ChromeCookiesView Executable file chrome-passwords Executable file EmpireProject PowerShell, Python FruityC2 PowerShell Koadic JavaScript LaZagne Python, PyInstaller Meterpreter ",
1.0.0,actor--muddywater,artifact--sha256:3a6f8d48b559971e64d56affbb4de183fe6b38c25d441b3e04c0f6bf0aef8b42,observation--sha256:e7fc86127f6dc6c8fc246a59460f50a350f4e81dc036718c7110203f7d99ca4e,command,Figure 8. SHARPSTATS can be used to collect system information by dropping and executing a PowerShell,Figure 8. SHARPSTATS can be used to collect system information by dropping and executing a PowerShell,candidate,,unknown,unknown,not-stated,,source--muddywater--77fecc73ab07f06c,muddywater/wp_new_muddywater_findings_uncovered.pdf,"{""page"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"6 Figure 8. SHARPSTATS can be used to collect system information by dropping and executing a PowerShell script. Figure 9. The code in DELPHSTATS that queries a certain directory on the C&C server. It’s where operators upload additional payload. In mid-March 2019, we came across POWERSTATS v2, a heavily obfuscated backdoor. An earlier version of this backdoor decodes the initial encoded/compressed blocks of code. An improved version appeared later on, and we saw that it heavily uses format string",
1.0.0,actor--muddywater,artifact--sha256:e6b5af66b49e828a6b2e2083ee04b121e0330770417dc4699c64ceca5ff7c5ea,observation--sha256:31103114546523850d102134a7791560b1d86e55e5128f7904262da908d97224,command,"First, the RAT is extracted with the PowerShell. Seen in the followi ng image is its execution . Initially it","First, the RAT is extracted with the PowerShell. Seen in the followi ng image is its execution . Initially it",candidate,,unknown,unknown,not-stated,,source--muddywater--4536dea64d925d9a,muddywater/Clearsky-Iranian-APT-group-‘MuddyWater’-Adds-Exploits-to-Their-Arsenal.pdf,"{""page"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Attack infrastructure analysis - June 2019 © 2019 All rights reserved to Clearsky Security Ltd. www.clearskysec.com - info@clearskysec.com Page 10 of 17 Malware analysis – RAT We discovered a RAT file that communicates to the aforementioned IP address. The RAT was scanned on AnyRun by an unknown user in late May. First, the RAT is extracted with the PowerShell. Seen in the followi ng image is its execution . Initially it communicates with the server, which activates a php script named 'game'.",
1.0.0,actor--muddywater,artifact--sha256:52e77418e1f7eb1109b691c657fd8017862b7cbc9b5b02f33e88e76c5d93b074,observation--sha256:bf904096151af01d906d65fed9a88fb5c7781cd66d5ab299e5defef47853b511,command,FruityC2 PowerShell,FruityC2 PowerShell,candidate,,unknown,unknown,not-stated,,source--muddywater--77fecc73ab07f06c,muddywater/wp_new_muddywater_findings_uncovered.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"8 Use of different post-exploitation tools Since the emergence of MuddyWater, we found that its operators used multiple open source post - exploitation tools, which they deployed after successfully compromising a target. Name of the post-exploitation tool Programming language/Interpreter CrackMapExec Python, PyInstaller ChromeCookiesView Executable file chrome-passwords Executable file EmpireProject PowerShell, Python FruityC2 PowerShell Koadic JavaScript LaZagne Python, PyInstaller Meterpreter ",
1.0.0,actor--muddywater,artifact--sha256:d1fa4e7bd2bb5425c4ba7b3c4dd7fd3b4008338d9bd8b5be2cd01bfff761415d,observation--sha256:abd84eb4f82fb4229542769baad52b85fcd1f723d71d64c578857fbb0d9683ca,command,"If the file is found, it will be downloaded and executed using the Powershell.exe process.","If the file is found, it will be downloaded and executed using the Powershell.exe process",candidate,,unknown,unknown,not-stated,,source--muddywater--77fecc73ab07f06c,muddywater/wp_new_muddywater_findings_uncovered.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"3 The threat actor group deployed a new multi-stage PowerShell-based backdoor called POWERSTATS v3. The spear-phishing email that contains a document embedded with a malicious macro will drop a VBE file encoded with Microsoft Script Encoder. The VBE file, which holds a base64-encoded block of data containing obfuscated PowerShell script, will then execute. This block of data will be decoded and saved to the %PUBLIC% directory under various names ending with image file extensions such as .jpeg an",
1.0.0,actor--muddywater,artifact--sha256:2a48f679a3a95bc9ba7c373c7a170e5b8ce9965fbbb4c02396be6ec2a089d617,observation--sha256:7cbe06203d15a4a186bb09b380b45ffa538d28d6947589550d1019e7ebb366fc,command,"One of the said custom tools was POWERSTATS, a PowerShell-based backdoor that the group first used","One of the said custom tools was POWERSTATS, a PowerShell-based backdoor that the group first used",candidate,2018-03-01T00:00:00Z,month,known,same-record,,source--muddywater--77fecc73ab07f06c,muddywater/wp_new_muddywater_findings_uncovered.pdf,"{""page"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"5 Other MuddyWater campaigns that used different payloads and tools Since 2018, the threat actors behind MuddyWater have been actively targeting victims using a variety of methods and techniques, and they seem to keep on adding more as they move forward with new campaigns. The abovementioned campaign that used POWERSTATS v3 is not the only one we found using new tricks. We observed other campaigns with different delivery methods and dropped file types. Notably, these campaigns have also changed ",
1.0.0,actor--muddywater,artifact--sha256:70c85b1370a220f0c5c7bb31d210ab1ec0f2f639e0243cc4c4b29b3b6d4a5c15,observation--sha256:46b27852c60902acaa4614e17131c4b0ac8e7b28b86a6ac3c2731b454957ef76,command,PowerSploit PowerShell,PowerSploit PowerShell,candidate,,unknown,unknown,not-stated,,source--muddywater--77fecc73ab07f06c,muddywater/wp_new_muddywater_findings_uncovered.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"8 Use of different post-exploitation tools Since the emergence of MuddyWater, we found that its operators used multiple open source post - exploitation tools, which they deployed after successfully compromising a target. Name of the post-exploitation tool Programming language/Interpreter CrackMapExec Python, PyInstaller ChromeCookiesView Executable file chrome-passwords Executable file EmpireProject PowerShell, Python FruityC2 PowerShell Koadic JavaScript LaZagne Python, PyInstaller Meterpreter ",
1.0.0,actor--muddywater,artifact--sha256:cedcc2816220e1263f82e4b20366d524aec6f1ce2d84f9ca59be330bf40e31a1,observation--sha256:c31af3653d85765dc48996e5e7dfade6194dc66b50a0586b279c2387ca04606b,command,The threat actor group deployed a new multi-stage PowerShell-based backdoor called POWERSTATS v3.,The threat actor group deployed a new multi-stage PowerShell-based backdoor called POWERSTATS v3,candidate,,unknown,unknown,not-stated,,source--muddywater--77fecc73ab07f06c,muddywater/wp_new_muddywater_findings_uncovered.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"3 The threat actor group deployed a new multi-stage PowerShell-based backdoor called POWERSTATS v3. The spear-phishing email that contains a document embedded with a malicious macro will drop a VBE file encoded with Microsoft Script Encoder. The VBE file, which holds a base64-encoded block of data containing obfuscated PowerShell script, will then execute. This block of data will be decoded and saved to the %PUBLIC% directory under various names ending with image file extensions such as .jpeg an",
