schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--mustang-panda,artifact--sha256:4f5550deef8c05b9bf68ae14877790bcb9d60b126eee134f89c5fce6b34d585c,observation--sha256:5193b008c28b4590a32adb15b151cb05339a79f34866a2aeb5a0e03e757bb3aa,command,"Crnogorski Telekom AS8585 Montenegro 32 REMCOS Taiwan Academic Network AS1659 Taiwan 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (","Crnogorski Telekom AS8585 Montenegro 32 REMCOS Taiwan Academic Network AS1659 Taiwan 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER",candidate,,unknown,unknown,not-stated,,source--mustang-panda--74a1fe33de49e62b,actor_profile/evidence/mustang-panda.csv,"{""row"": 134}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} Mustang Panda Crnogorski Telekom AS8585 Montenegro 32 REMCOS Taiwan Academic Network AS1659 Taiwan 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) A",
1.0.0,actor--mustang-panda,artifact--sha256:9588f4d12cf818d7917d3de4fd2523d8e5e9cf0abf0889295e9566ea11ac75b8,observation--sha256:575e2fe6e65a11cea19f0b2c0c988371e18c65f42abe2e72261a7421a2e11358,command,"findings that allow for the decryption of traffic from a large subset of Cobalt Strike Beacons. Top 10 Observed Offensive Security Tools Family 2021 C2s 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505","findings that allow for the decryption of traffic from a large subset of Cobalt Strike Beacons. Top 10 Observed Offensive Security Tools Family 2021 C2s 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505",candidate,,unknown,unknown,not-stated,,source--mustang-panda--74a1fe33de49e62b,actor_profile/evidence/mustang-panda.csv,"{""row"": 136}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} Mustang Panda findings that allow for the decryption of traffic from a large subset of Cobalt Strike Beacons. Top 10 Observed Offensive Security Tools Family 2021 C2s 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRA",
1.0.0,actor--mustang-panda,artifact--sha256:c942e18876b9ebac6dd8e26f655da63f449f7c69e9013cdd1797015578710866,observation--sha256:36815974ffba36622e17e6df80d976bdc317c790cd9a80eeee2a4a9a6d8fa591,file-name,Conference.doc,Conference.doc,candidate,,unknown,unknown,not-stated,,source--mustang-panda--74a1fe33de49e62b,actor_profile/evidence/mustang-panda.csv,"{""row"": 133}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/PWC-cyber-threats-2019-retrospect.pdf {""page"": 9} Red Lich and ASEAN-themed conferences before, for example ‘2018 Cambodia Outlook Conference.doc’. Many of the threat actor’s lures were written in Vietnamese, Khmer, or Mandarin, reflecting White Ioke’s known targeting. 15 ‘Red Lich slight TTP shift’, PwC Thr eat Intelligence, CTO-QRT-20191101-01A 16 ‘Meet Cr owdStrike’s Adversary of the Month for June: MUSTANG PANDA’, CrowdStrike, https://www.crowdstrike.com/blog/meet-crowdstrikes-a",
1.0.0,actor--mustang-panda,artifact--sha256:13782918e992a7da033d7baf986568252de91d32fc57eefa31c11a7c585f05ae,observation--sha256:aead74e886d8d5d7c29e59a36a56720bbe4b01053891a1d3b03cea30674d9b45,file-name,KeyScramblerIE.dll,KeyScramblerIE.dll,candidate,,unknown,unknown,not-stated,,source--mustang-panda--74a1fe33de49e62b,actor_profile/evidence/mustang-panda.csv,"{""row"": 53}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"parse-daily/.cache/tech-memo/daily-news/news/2024_04-06/20240403.md {""line"": 9} Mustang Panda - KeyScramblerIE.dllを悪用するのは直近のMustang Pandaと同じ。 -> https://unit42.paloaltonetworks.com/chinese-apts-target-asean-entities/#post-133176-_kc29s1q921ij",
1.0.0,actor--mustang-panda,artifact--sha256:b35085aae10f655d8cdbcee45d208ab2f275cd3185368a0bab58b89f8ce2522b,observation--sha256:3af39405fc8f0621d8bffbc86cf2392cf0e0d9a910e6abb7f1470e04616ef0a6,file-name,MAVInject.exe,MAVInject.exe,candidate,,unknown,unknown,not-stated,,source--mustang-panda--74a1fe33de49e62b,actor_profile/evidence/mustang-panda.csv,"{""row"": 68}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"parse-daily/.cache/tech-memo/daily-news/news/2025_01-03/20250219.md {""line"": 61} Mustang Panda - 中国のAPTハッカーグループ「Mustang Panda」が、Microsoft Application Virtualization Injector（MAVInject.exe）を悪用し、正規のプロセスにマルウェアを注入してアンチウイルス検出を回避しています。",
1.0.0,actor--mustang-panda,artifact--sha256:b7992e3de00fea9d08ca8f9a40412645525fc4109edea83c7d5c7b9a276486ae,observation--sha256:a6748b82fbf403b005cba76631572368a0bff573f55eb8cc9e367d8e77ff2cc7,file-name,ctxmui.dll,ctxmui.dll,confirmed,,unknown,unknown,not-stated,2026-08-14T00:00:00Z,source--daily-9232cff77ce0ef8f62b1,actor_profile/evidence/mustang-panda-coolclient-rootkit-2026.csv,"{""row"": 19}","[""activity--daily-b8b3301d837c22e89850""]","[""malware--coolclient""]",[],"[""malware-sample""]",1,false,high,TLP:CLEAR,csv-row,artifact ctxmui.dll file-name activity--daily-b8b3301d837c22e89850 malware--coolclient malware-sample File listed in the source IOC section,Kaspersky GReAT/Securelistの本文IOC節から手動構造化した。原典は活動をlate 2025 and 2026とだけ記し、各検体・domain・pathの正確な観測日は示していないため、2026-08-14の出典公開日はsource_published_atにだけ保存し、observed_atはunknownのままにする。証明書serialはファイルhashではないため本IOC CSVには収録せず、証明書再利用の留保を持つhunting pivotにのみ保存する。
1.0.0,actor--mustang-panda,artifact--sha256:ad63f24d3319256da10c5212652ff794c1cc054ee4b5b96655faea82a63abea8,observation--sha256:a44dd2e8a09784f071d642036f35c28826b79f4bee4e422a095891a04d6081b9,file-name,libngs.dll,libngs.dll,confirmed,,unknown,unknown,not-stated,2026-08-14T00:00:00Z,source--daily-9232cff77ce0ef8f62b1,actor_profile/evidence/mustang-panda-coolclient-rootkit-2026.csv,"{""row"": 18}","[""activity--daily-b8b3301d837c22e89850""]","[""malware--coolclient""]",[],"[""malware-sample""]",1,false,high,TLP:CLEAR,csv-row,artifact libngs.dll file-name activity--daily-b8b3301d837c22e89850 malware--coolclient malware-sample First-stage loader in the CoolClient execution chain,Kaspersky GReAT/Securelistの本文IOC節から手動構造化した。原典は活動をlate 2025 and 2026とだけ記し、各検体・domain・pathの正確な観測日は示していないため、2026-08-14の出典公開日はsource_published_atにだけ保存し、observed_atはunknownのままにする。証明書serialはファイルhashではないため本IOC CSVには収録せず、証明書再利用の留保を持つhunting pivotにのみ保存する。
1.0.0,actor--mustang-panda,artifact--sha256:af702042512eb995a7d34dd46e603ab59fbe0a00d4a0ab7bdd191da6baf42ec1,observation--sha256:555a70dd30c83c146c0c1c12c0ddb83c9b7ed4ac79b86da622489942600ae1a7,file-name,msagent.sys,msagent.sys,confirmed,,unknown,unknown,not-stated,2026-08-14T00:00:00Z,source--daily-9232cff77ce0ef8f62b1,actor_profile/evidence/mustang-panda-coolclient-rootkit-2026.csv,"{""row"": 17}","[""activity--daily-b8b3301d837c22e89850""]","[""malware--coolclient""]",[],"[""malware-sample""]",1,false,high,TLP:CLEAR,csv-row,artifact msagent.sys file-name activity--daily-b8b3301d837c22e89850 malware--coolclient malware-sample Kernel-mode driver deployed by CoolClient,Kaspersky GReAT/Securelistの本文IOC節から手動構造化した。原典は活動をlate 2025 and 2026とだけ記し、各検体・domain・pathの正確な観測日は示していないため、2026-08-14の出典公開日はsource_published_atにだけ保存し、observed_atはunknownのままにする。証明書serialはファイルhashではないため本IOC CSVには収録せず、証明書再利用の留保を持つhunting pivotにのみ保存する。
1.0.0,actor--mustang-panda,artifact--sha256:bec4657bf291ab610c35ea2c396d9467237b8dcaec25c239ea3a31290a696312,observation--sha256:ad5b8b7d5f9213c59a76d4ac9e79b9f5664e1ba56eed5dcc527fe92f4697f73b,file-name,(.msc,msc,candidate,,unknown,unknown,not-stated,,source--mustang-panda--74a1fe33de49e62b,actor_profile/evidence/mustang-panda.csv,"{""row"": 230}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/Cloudflare-2026-threat-report.pdf {""page"": 20} ClumsyToad 20 Cloudflare | 2026 Cloudflare Threat Report Strategic profile and context In 2025, ClumsyToad moved away from standard .lnk files in favor of Windows Management Console (.msc) files. This tactic exploits the inherent trust in system-signed management files to bypass EDR LotL detections. • SnakeDisk / Thailand",
1.0.0,actor--mustang-panda,artifact--sha256:5040d7af33fe5d060d2b14256bd6b5a8734424ec674205a3d0a9e16855fa4bc5,observation--sha256:e216c4711985b92b7cfe336b59c8c9199db543183dcc0176e7cdb491dcccc4a2,file-path,C:\Program Files\common files\microsoft shared\office14\,C:\Program Files\common files\microsoft shared\office14\,confirmed,,unknown,unknown,not-stated,2026-08-14T00:00:00Z,source--daily-9232cff77ce0ef8f62b1,actor_profile/evidence/mustang-panda-coolclient-rootkit-2026.csv,"{""row"": 28}","[""activity--daily-b8b3301d837c22e89850""]","[""malware--coolclient""]",[],"[""installation-path""]",1,false,high,TLP:CLEAR,csv-row,artifact C:\Program Files\common files\microsoft shared\office14\ file-path activity--daily-b8b3301d837c22e89850 malware--coolclient installation-path Path listed in the source IOC section,Kaspersky GReAT/Securelistの本文IOC節から手動構造化した。原典は活動をlate 2025 and 2026とだけ記し、各検体・domain・pathの正確な観測日は示していないため、2026-08-14の出典公開日はsource_published_atにだけ保存し、observed_atはunknownのままにする。証明書serialはファイルhashではないため本IOC CSVには収録せず、証明書再利用の留保を持つhunting pivotにのみ保存する。
