schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--mustard-tempest,artifact--sha256:6f834f8a04529d3a29f8aae7897db1b2a603ba9804605e61b2235542d5d180d5,observation--sha256:de9b3db35dd69740bf458f8ea0b1ac3ee09ceb52936f72048d9fc5edb17f447a,file-name,2024-security-report.pdf,2024-security-report.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024-security-report.pdf {""page"": 58} TA569 ing a JavaScript downloader that acts as the initial access point, enableing further compromise through other malware such as GootLoader, NetSupport and DoppelPaymer. The network of compromised websites is linked to TA569 , a prolific threat actor who serves as an Initial Access Broker (IAB). TA569 is suspected of selling initial access to malware victims in a pay-per-install (PPI) pricing model to other cybercriminals who can then lev",
1.0.0,actor--mustard-tempest,artifact--sha256:6f834f8a04529d3a29f8aae7897db1b2a603ba9804605e61b2235542d5d180d5,observation--sha256:0ad0e5f5e26f6f1a281b8e11e6f862fb75a45f8b2dba8b4447555c43db914b87,file-name,2024-security-report.pdf,2024-security-report.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024-security-report.pdf {""page"": 58} TA569 further compromise through other malware such as GootLoader, NetSupport and DoppelPaymer. The network of compromised websites is linked to TA569 , a prolific threat actor who serves as an Initial Access Broker (IAB). TA569 is suspected of selling initial access to malware victims in a pay-per-install (PPI) pricing model to other cybercriminals who can then leverage compromised systems to deploy ransomware. The infection chain begins whe",
1.0.0,actor--mustard-tempest,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:b994b4465a797898177474998fea28e3a15005f1b8e9c06bdec615d35bf83faa,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025 Cyber Security Report_Final.pdf {""page"": 37} TA569 r software update prompts. The deceptive prompts trick users into downloading and executing a JScript-based downloader which in turn downloads additional malware. The network of compromised websites is attributed to TA569, a prominent Initial Access Broker (IAB) believed to operate on a pay-per-install (PPI) model. TA569 provides system access to other cyber criminals, who often deploy ransomware or other malicious payloads. Qb",
1.0.0,actor--mustard-tempest,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:8c2da1efb1777f94d0023525a89ef5b5b6b37dbbdd7e96b0c12dc0015b9db2f5,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025 Cyber Security Report_Final.pdf {""page"": 37} TA569 t-based downloader which in turn downloads additional malware. The network of compromised websites is attributed to TA569, a prominent Initial Access Broker (IAB) believed to operate on a pay-per-install (PPI) model. TA569 provides system access to other cyber criminals, who often deploy ransomware or other malicious payloads. Qbot, one of the oldest and most versatile malware families, experienced a dramatic decline over the p",
1.0.0,actor--mustard-tempest,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:2fb5caabbfc8d9b9229fb392cfca085fee6f4c5932cbe9dc30ea9f6e73db3f68,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/2025 Cyber Security Report_Final.pdf {""page"": 37} TA569 r software update prompts. The deceptive prompts trick users into downloading and executing a JScript-based downloader which in turn downloads additional malware. The network of compromised websites is attributed to TA569, a prominent Initial Access Broker (IAB) believed to operate on a pay-per-install (PPI) model. TA569 provides system access to other cyber criminals, who often deploy ransomware or other malicious payloads. Qb",
1.0.0,actor--mustard-tempest,artifact--sha256:03f1992b725cf55cd5e33041669e667d19585534d416bc793f32ad28205cc93e,observation--sha256:abc169fe7bfc2b6d7cc2dde13bc4f42f1c9217cb1321dff1759f76e1d97a9f04,file-name,Report_Final.pdf,Report_Final.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/2025 Cyber Security Report_Final.pdf {""page"": 37} TA569 t-based downloader which in turn downloads additional malware. The network of compromised websites is attributed to TA569, a prominent Initial Access Broker (IAB) believed to operate on a pay-per-install (PPI) model. TA569 provides system access to other cyber criminals, who often deploy ransomware or other malicious payloads. Qbot, one of the oldest and most versatile malware families, experienced a dramatic decline over the p",
1.0.0,actor--mustard-tempest,artifact--sha256:68bc1e1905814f45b72273dd1e6f54af0138f7856673564dc069281ad8121bd3,observation--sha256:8096428e34ae6e67021eab2ca526100fb6c066c242c805128156333bd939ac03,file-name,Secureworks_NC3_2022StateoftheThreat.pdf,Secureworks_NC3_2022StateoftheThreat.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Secureworks_NC3_2022StateoftheThreat.pdf {""page"": 24} GOLD PRELUDE as an Alternative Distribution Method 'Drive-by-downloads' continue to be a popular alternative to phishing- based malware distribution. Notable examples include the prolific SocGholish malware framework, operated by GOLD PRELUDE 33, and the Gootloader JavaScript-based loader distributed by the GOLD ZODIAC34 threat group. A user visits a compromised website that triages the visitor and serves up a series of redirects",
1.0.0,actor--mustard-tempest,artifact--sha256:68bc1e1905814f45b72273dd1e6f54af0138f7856673564dc069281ad8121bd3,observation--sha256:9448adf7640860cde179675d1013f2b05e5232a7695ba0420d1a61f9ce2d1bfa,file-name,Secureworks_NC3_2022StateoftheThreat.pdf,Secureworks_NC3_2022StateoftheThreat.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Secureworks_NC3_2022StateoftheThreat.pdf {""page"": 68} GOLD PRELUDE /threat-profiles/gold- swathmore 31 BishopFox / sliver, accessed 8/4/22. https:/ /github.com/BishopFox/sliver 32 WhisperGate: Not NotPetya, Secureworks. https:/ /www.secureworks.com/blog/whispergate-not- notpetya 33 GOLD PRELUDE threat group profile, Secureworks. https:/ /www.secureworks.com/research/threat-profiles/ gold-prelude 34 GOLD ZODIAC threat group profile, Secureworks. https:/ /www.secureworks.com/research/",
1.0.0,actor--mustard-tempest,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:dde1b0d6bdf440d8e91da2c79f77050e8fa1aff1c56995a08e24347035f8c1ae,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,,unknown,unknown,not-stated,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 14} TA569 的 APT 组织占比逐渐提高，新发现的 63 个组织中有 14 个以此为活动目标，主要的表现形式为勒索、挖矿，比较新型的获益形式则是出售受 害目标单位的访问权限，如 UNC1945 组织和 TA547 组织，这类组织在获取受害单 位权限前后表现出截然不同的攻击技术手段以及攻击意图的差别。 ● 恶意软件即服务（MaaS）在APT 组织中逐渐流行，除了降低 APT 组织攻击成本之外 还加大了攻击者归因的难度。以 TA 系列组织为例包括： TA569、TA800、TA577、 TA551、TA570 等 ，在初始阶段使用 Trick、Dridex、Qbot、IcedID、ZLoader、",
1.0.0,actor--mustard-tempest,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:5f05e467c8b238e748b9f6cf75dc9c9776e210736d80cfadfc30b8eb690a7568,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2016-06-01T00:00:00Z,day,known,same-record,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 137} TA569 129 2021 年 APT 组织情报图鉴 6.1.58 TA569 组织名 TA569 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 未知 发现时间 2016-06-01 最近活跃 2021-06-16 动机 勒索破坏 描述 TA569 是一个流量和负载销售商，以损害内容管理服务器和注入和重定向网络流量到一个社会工程工 具包而闻名。TA569 利用虚假更新来提示用户更新浏览器并下载恶意脚本。TA569 从 2016 年底就存 在了。TA569 与 2020 年出现的 WastedLo",
1.0.0,actor--mustard-tempest,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:1b35782b62c9561f1517a9f3a37628e1959f196c68aeb2d0b190dc5e4de1c0a6,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2016-06-01T00:00:00Z,day,known,same-record,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 137} TA569 129 2021 年 APT 组织情报图鉴 6.1.58 TA569 组织名 TA569 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 未知 发现时间 2016-06-01 最近活跃 2021-06-16 动机 勒索破坏 描述 TA569 是一个流量和负载销售商，以损害内容管理服务器和注入和重定向网络流量到一个社会工程工 具包而闻名。TA569 利用虚假更新来提示用户更新浏览器并下载恶意脚本。TA569 从 2016 年底就存 在了。TA569 与 2020 年出现的 WastedLocker 勒索软件活",
1.0.0,actor--mustard-tempest,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:60ae2b5e1eceff3ec1f7ad753fc88f9dd399b23c85216063c1392ac9d342171b,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2016-06-01T00:00:00Z,day,known,same-record,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 137} TA569 129 2021 年 APT 组织情报图鉴 6.1.58 TA569 组织名 TA569 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 未知 发现时间 2016-06-01 最近活跃 2021-06-16 动机 勒索破坏 描述 TA569 是一个流量和负载销售商，以损害内容管理服务器和注入和重定向网络流量到一个社会工程工 具包而闻名。TA569 利用虚假更新来提示用户更新浏览器并下载恶意脚本。TA569 从 2016 年底就存 在了。TA569 与 2020 年出现的 WastedLocker 勒索软件活动有关，该活动利用了 SocGholish 假更新 框架来分发勒索软件。TA569 将这种勒索软件与俄罗斯一个名为 EvilCorp 的网络犯罪组织联系在一起。 知识关",
1.0.0,actor--mustard-tempest,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:7bc044d971ba8ba65cf3077f187adc2adbcd7186068235e178b0ca2c717f968d,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2016-06-01T00:00:00Z,day,known,same-record,,source--mustard-tempest--0a466fea7e0945f8,actor_profile/evidence/mustard-tempest.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 137} TA569 129 2021 年 APT 组织情报图鉴 6.1.58 TA569 组织名 TA569 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 未知 发现时间 2016-06-01 最近活跃 2021-06-16 动机 勒索破坏 描述 TA569 是一个流量和负载销售商，以损害内容管理服务器和注入和重定向网络流量到一个社会工程工 具包而闻名。TA569 利用虚假更新来提示用户更新浏览器并下载恶意脚本。TA569 从 2016 年底就存 在了。TA569 与 2020 年出现的 WastedLocker 勒索软件活动有关，该活动利用了 SocGholish 假更新 框架来分发勒索软件。TA569 将这种勒索软件与俄罗斯一个名为 EvilCorp 的网络犯罪组织联系在一起。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 1 0 0 0 0 最近发布报告",
