schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--naikon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a6b585f0a1aaafa96ff4ab00d9c48b8637de6c9c19135695b8a50f4bbce4d228,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 10}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Lotus Panda ............................. 158 Mustang Panda ............................................................................................................................................................. 161 Naikon, Lotus Panda ................................................................................................................................................... 162 Neodymium ....................................................",
1.0.0,actor--naikon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:86506b19902b4a580d5823d1a6189ae7aa8cda35635dc6d08af3fe8e93c8d2a9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 11}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Naikon ..................................... 158 Mustang Panda ............................................................................................................................................................. 161 Naikon, Lotus Panda ................................................................................................................................................... 162 Neodymium ...........................................",
1.0.0,actor--naikon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:3cb3db821a638c0d79bdbc2e5d9a8776e33b4b8c949b1a4d55347f20f9c47f1c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 7}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 27} APT30 yber espionage operation. The malware revealed a decade-long operation focused on targets—government and commercial—who hold key political, economic, and military information about the region. This group, who we call APT30, stands out not only for their sustained activity and regional focus, but also for their continued success despite maintaining relatively consistent tools, tactics, and infrastructure since at least 2005. Based on o",
1.0.0,actor--naikon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:88f59f4f65ba677f6233690ea334617ef8981ebc05f2666d78f0cdae770ce455,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 8}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 27} Naikon iant) Override Panda (CrowdStrik) Country China Sponsor State-sponsored Motivation Information theft and espionage Description APT 30 is a threat group suspected to be associated with the Chinese government. While Naikon shares some characteristics with APT 30, the two groups do not appear to be exact matches. (FireEye) When our Singapore-based FireEye labs team examined malware aimed predominantly at entities in Southeast Asia and",
1.0.0,actor--naikon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b9d214dc162613bed17d7816ccb16277119162b4c71cddb9256d69a79bfd26ad,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 9}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} APT 30 .................................................. 23 APT 29, Cozy Bear, The Dukes ................................................................................................................................... 24 APT 30, Override Panda ............................................................................................................................................... 27 APT 32, OceanLotus, SeaLotus ..........................",
1.0.0,actor--naikon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:99b03b0179b7132160763539257704044a9e7c9e4ff713ec629b58d60dba178d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 15}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 27} APT30 yber espionage operation. The malware revealed a decade-long operation focused on targets—government and commercial—who hold key political, economic, and military information about the region. This group, who we call APT30, stands out not only for their sustained activity and regional focus, but also for their continued success despite maintaining relatively consistent tools, tactics, and infrastructure since at least 2005. Based on o",
1.0.0,actor--naikon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:38c065cfd6e554ced11183c2b2304db3fe62129ec3800d9d09d3f3d2e29bb6af,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 16}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 27} Naikon iant) Override Panda (CrowdStrik) Country China Sponsor State-sponsored Motivation Information theft and espionage Description APT 30 is a threat group suspected to be associated with the Chinese government. While Naikon shares some characteristics with APT 30, the two groups do not appear to be exact matches. (FireEye) When our Singapore-based FireEye labs team examined malware aimed predominantly at entities in Southeast Asia and",
1.0.0,actor--naikon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:620b4fc34c7a16305ceb19253422f807623016dea0eb79f86a01290e5a6afd03,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 17}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 2} APT 30 ............................................................................ 23 APT 29, Cozy Bear, The Dukes ......................................................................................................... 24 APT 30, Override Panda ..................................................................................................................... 27 APT 32, OceanLotus, SeaLotus ....................................................",
1.0.0,actor--naikon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:b20913217af40e7a60b111d7b6b12d25d57da18e63b1eaf690781597e9c1635a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 18}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Lotus Panda ........................................................ 158 Mustang Panda................................................................................................................................... 161 Naikon, Lotus Panda ......................................................................................................................... 162 Neodymium ..................................................................................",
1.0.0,actor--naikon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:e2691c5078a075b937cc9d0fef39ba1deea0f743c0cc27a56272fb593cd8bd66,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--naikon--daaff4c63efd2431,actor_profile/evidence/naikon.csv,"{""row"": 19}","[""activity--naikon""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Naikon ................................................................ 158 Mustang Panda................................................................................................................................... 161 Naikon, Lotus Panda ......................................................................................................................... 162 Neodymium .....................................................................",
