schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--nazar,artifact--sha256:e11c71575a4976fbec73e993680ba24cd9b674c15917f65d56cda71b2836972a,observation--sha256:b97e2e83296fb348c98448356e9da7c9d17960ed3a7091d94a5c7b00e450c0e1,command,"$regsrv = ""regsvr32.exe"" ascii wide","$regsrv = ""regsvr32.exe"" ascii wide",candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$regsrv = ""regsvr32.exe"" ascii wide",
1.0.0,actor--nazar,artifact--sha256:4b3373f8ae9e28a3d71fe99bd5ca5b37bd1a0dcef465c1259b8cab77407d8696,observation--sha256:0341bb77f4d69f3fe1692a36473a1c73a1df949b3451e59a99b2e20602f42f75,file-name,Distribute.exe,Distribute.exe,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 95}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"desc = ""SIG37 GpUpdates unpacked distributor: Distribute.exe""",
1.0.0,actor--nazar,artifact--sha256:8837d251ba8ee4bf489c1e35f3b8990050a1aa823664407e7287f433965fafb0,observation--sha256:7a666915301a501d9108babbc34efa1f5a2bb739834a30e65feea5115e16ee7e,file-name,Filesystem.dll,Filesystem.dll,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$filename3 = ""Filesystem.dll -s"" ascii wide",
1.0.0,actor--nazar,artifact--sha256:faba839f2b5301a2a3dafde4cb232ea29db2429d86d8d0dc875536802b4f35f1,observation--sha256:c6543ebe92a3d6a7113ea14256138ac2d88b8544751bed1e1ac1137a599ae175,file-name,Godown.dll,Godown.dll,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$filename1 = ""Godown.dll -s"" ascii wide",
1.0.0,actor--nazar,artifact--sha256:2a891e870cd402a5819fab0b6d81e13949ded1ccf4cd971a8b51a7d9198f534a,observation--sha256:2d28b456c75323bb84a759d882183a52cf49fc758e9577924c0898a0d85d78fa,file-name,ViewScreen.dll,ViewScreen.dll,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 103}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$common_filename1 = ""\\ViewScreen.dll"" ascii wide",
1.0.0,actor--nazar,artifact--sha256:2a891e870cd402a5819fab0b6d81e13949ded1ccf4cd971a8b51a7d9198f534a,observation--sha256:dfcc00076a2360986f5936280cdfa8e4b39ba5593c365b62bb0c82e53b5dfc3f,file-name,ViewScreen.dll,ViewScreen.dll,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$filename2 = ""ViewScreen.dll -s"" ascii wide",
1.0.0,actor--nazar,artifact--sha256:5898a7347178f03008440c014953fb1449bfef54ea3682b8143f7297e6e8bf50,observation--sha256:dabaa66e666d0e45b86d09cd5dfd6bd23ba8ea17f0f55474aa7fd28c579ffdcf,file-name,filesystem.dll,filesystem.dll,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 104}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$common_filename2 = ""\\filesystem.dll"" ascii wide",
1.0.0,actor--nazar,artifact--sha256:aa8982545c03e63402f10181f79884db448a4f9558f42e19aa332c477377e078,observation--sha256:babb67719d4022f9c2cf65c6b119fc10d91e8a22583eedaedc1f49dce7f1c88c,file-name,godown.dll,godown.dll,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 100}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$uniq_filename1 = ""\\godown.dll"" ascii wide",
1.0.0,actor--nazar,artifact--sha256:72c0f8d4112a8816b0aa5a2220a5b5f381910b066d445d5e111ecf04533521cc,observation--sha256:d8d79be32b78ef7c7daf2dd8cc190ff8c2a53842860ba36d3008375cacf13f5c,file-name,hodll.dll,hodll.dll,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 107}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$common_filename5 = ""\\hodll.dll"" ascii wide",
1.0.0,actor--nazar,artifact--sha256:02eb70f2584ca0ca10bbb13b9fd5b1f254e6abebc35b7accd7a2a6da86f9083e,observation--sha256:3a6c3e78f1a2d17051126468c26c6424303ef456768d0fb0ca8086460dfe91f3,file-name,lame_enc.dll,lame_enc.dll,candidate,,unknown,unknown,not-stated,,source--nazar--92d6273457a8497f,nazar/apt_ZZ_Sig37_NAZAR.yara.txt,"{""line"": 106}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,"$common_filename4 = ""\\lame_enc.dll"" ascii wide",
