schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--nettraveler,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9387886b80200f27cbfe9d0e26837deb288342326da6d649199e333b1479210b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 10}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} APT 21 ...................... 162 Neodymium ................................................................................................................................................................... 164 NetTraveler, APT 21 .................................................................................................................................................... 165 Night Dragon ....................................................",
1.0.0,actor--nettraveler,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:f810b4f01c89d7ed68635dfd4b963e4e89d954161652d7abfd72f4deeff38653,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 11}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} NetTraveler ................................... 162 Neodymium ................................................................................................................................................................... 164 NetTraveler, APT 21 .................................................................................................................................................... 165 Night Dragon ........................................",
1.0.0,actor--nettraveler,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:0e5714e24cf8a9a8838b4cf4dfbc3ae0bbe01a34610be43c3ff9b1b3624750d5,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 7}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 165} NetTraveler Threat Group Cards: A Threat Actor Encyclopedia 165 NetTraveler, APT 21 Names NetTraveler (Kaspersky) APT 21 (Mandiant) Country China Motivation Information theft and espionage Description (Kaspersky) Over the last few years, we have been monitoring a cyber-espionage campaign",
1.0.0,actor--nettraveler,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:f6fe0339aff0472ef2942e40a512ad562fbdf913ab2b5a967276b6fbb2f251ea,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 8}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 165} NetTraveler Threat Group Cards: A Threat Actor Encyclopedia 165 NetTraveler, APT 21 Names NetTraveler (Kaspersky) APT 21 (Mandiant) Country China Motivation Information theft and espionage Description (Kaspersky) Over the last few years, we have been monitoring a cyber-espionage campaign that has successfully compr",
1.0.0,actor--nettraveler,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a771fefb95260629758475f9e8b062545ef273cb71c170b777452b7cdd339bbb,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 9}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 165} NetTraveler last few years, we have been monitoring a cyber-espionage campaign that has successfully compromised more than 350 high profile victims in 40 countries. The main tool used by the threat actors during these attacks is NetTraveler, a malicious program used for covert computer surveillance. The name NetTraveler comes from an internal string which is present in early versions of the malware: NetTraveler Is Running! This malware is used by APT",
1.0.0,actor--nettraveler,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7679475de68e92fe0cd718988eb5a88f1e90a7cb723906dc98ee520a611fc5f7,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 12}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 165} NetTraveler Threat Group Cards: A Threat Actor Encyclopedia 165 NetTraveler, APT 21 Names NetTraveler (Kaspersky) APT 21 (Mandiant) Country China Motivation Information theft and espionage Description (Kaspersky) Over the last few years, we have been monitoring a cyber-espionage campaign",
1.0.0,actor--nettraveler,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4a0816e58326c4a9b5adef5c7e483c5ab0e04259ffa81bf398cbbcfcc1aa1140,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 13}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 165} NetTraveler Threat Group Cards: A Threat Actor Encyclopedia 165 NetTraveler, APT 21 Names NetTraveler (Kaspersky) APT 21 (Mandiant) Country China Motivation Information theft and espionage Description (Kaspersky) Over the last few years, we have been monitoring a cyber-espionage campaign that has successfully compr",
1.0.0,actor--nettraveler,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:ebb991d2e4b5740dbf8e07d13130971ec344b910e439cb68b6bf06d3c2948452,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 14}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 165} NetTraveler last few years, we have been monitoring a cyber-espionage campaign that has successfully compromised more than 350 high profile victims in 40 countries. The main tool used by the threat actors during these attacks is NetTraveler, a malicious program used for covert computer surveillance. The name NetTraveler comes from an internal string which is present in early versions of the malware: NetTraveler Is Running! This malware is used by APT ac",
1.0.0,actor--nettraveler,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:de1b9fd06dd553af9c2834ac1d23a5cb2e944c17698a8144110309ef98ebf777,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 15}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} APT 21 ................................................ 162 Neodymium ......................................................................................................................................... 164 NetTraveler, APT 21 .......................................................................................................................... 165 Night Dragon ..............................................................................",
1.0.0,actor--nettraveler,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:5198ec712d83d517fb514afb2e1e19cad377b61632c4e0f5c75ee5035ea10a1e,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--nettraveler--268f9b2065c15023,actor_profile/evidence/nettraveler.csv,"{""row"": 16}",[],"[""malware--nettraveler""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} NetTraveler ............................................................. 162 Neodymium ......................................................................................................................................... 164 NetTraveler, APT 21 .......................................................................................................................... 165 Night Dragon ......................................................................",
