schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--night-dragon,artifact--sha256:652294b474f1b37f44a7db51129ec9a627374c4a302084568778743f75c44830,observation--sha256:9e384ce72e9f3051840afb9023fd8d9ebff0ddf0903fc9f456987d41adae052f,file-name,1.php,1.php,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 15, ""sheet"": ""China""} Night Dragon APT6 APT6 1.php Group Poison Ivy, US Government Organizations Overlaps with Operation Night Dragon https://motherboard.vice.com/read/fbi-flash-alert-hacking-group-has-had-access-to-us-govt-files-for-years https://www.zscaler.com/pdf/technicalbriefs/tb_advanced_persistent_threats.pdf https://www.zscaler.com/blogs/rese",
1.0.0,actor--night-dragon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:492321562e5e0f0d8e339e2e136a55f636ca11204637227e75acb500afb9ae67,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 166} Night Dragon Threat Group Cards: A Threat Actor Encyclopedia 166 Night Dragon Names Night Dragon (McAfee) Country China Motivation Information theft and espionage Description (McAfee) Starting in November 2009, coordinated covert and targeted cyberattacks have been conducted against global o",
1.0.0,actor--night-dragon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:4efc3d0d32e6ed4e4051768ec4fb37932ffdf021c6bb53fdeb84e7d5ff4e3bd2,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 166} Night Dragon Threat Group Cards: A Threat Actor Encyclopedia 166 Night Dragon Names Night Dragon (McAfee) Country China Motivation Information theft and espionage Description (McAfee) Starting in November 2009, coordinated covert and targeted cyberattacks have been conducted against global oil, energy, and petr",
1.0.0,actor--night-dragon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1f7c7530c40de89dd0b76c861caf4b7b3aa9a2a80a331054225056e329b7ec01,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Night Dragon ........................................ 164 NetTraveler, APT 21 .................................................................................................................................................... 165 Night Dragon ................................................................................................................................................................. 166 Nightshade Panda, APT 9, Group 27 ............",
1.0.0,actor--night-dragon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4dc0068cc9090e1c0ad4f4fb05093bbbaf48a7c65f504267063c5344d1c56d97,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 166} Night Dragon Threat Group Cards: A Threat Actor Encyclopedia 166 Night Dragon Names Night Dragon (McAfee) Country China Motivation Information theft and espionage Description (McAfee) Starting in November 2009, coordinated covert and targeted cyberattacks have been conducted against global o",
1.0.0,actor--night-dragon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:d2e4a2ac49747b2e42ba283ca4306e30d25522457535b7f5226d45b6fae3b8ea,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 166} Night Dragon Threat Group Cards: A Threat Actor Encyclopedia 166 Night Dragon Names Night Dragon (McAfee) Country China Motivation Information theft and espionage Description (McAfee) Starting in November 2009, coordinated covert and targeted cyberattacks have been conducted against global oil, energy, and petr",
1.0.0,actor--night-dragon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7d360a857edd769e130c933fda62e8f43d280b1e5fd5f5ea65f9ad94f273ae07,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Night Dragon .................................................................. 164 NetTraveler, APT 21 .......................................................................................................................... 165 Night Dragon ....................................................................................................................................... 166 Nightshade Panda, APT 9, Group 27.............................................",
1.0.0,actor--night-dragon,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:ded950f92aaa2c10de52ed9d62d7ecdace7b7fe8a9a2f0fd4dbf8b85db16fd92,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 15, ""sheet"": ""China""} Night Dragon APT6 APT6 1.php Group Poison Ivy, US Government Organizations Overlaps with Operation Night Dragon https://motherboard.vice.com/read/fbi-flash-alert-hacking-group-has-had-access-to-us-govt-files-for-years https://www.zscaler.com/pdf/technicalbriefs/tb_advanced_persistent_threats.pdf https://www.zscaler.com/blogs/rese",
1.0.0,actor--night-dragon,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:28f5ae157e649504cd1541f2487567f3238e8c54684fbbb9209e2c3e72f03881,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 61, ""sheet"": ""China""} Night Dragon Night Dragon Night Dragon G0014 A threat actor compromised U.S. oil companies through spear phishing and remote administration tools. Oil, Energy and Petrochemical (OpNightDragon) https://kc.mcafee.com/corporate/index?page=content&i",
1.0.0,actor--night-dragon,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:bbacab19bf60e3c20997a7a534693a3ba9c276b3758dfb7dabdf989f283d63ae,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--night-dragon--e1d6ac7f0742c43f,actor_profile/evidence/night-dragon.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 61, ""sheet"": ""China""} Night Dragon Night Dragon Night Dragon G0014 A threat actor compromised U.S. oil companies through spear phishing and remote administration tools. Oil, Energy and Petrochemical (OpNightDragon) https://kc.mcafee.com/corporate/index?page=content&id=KB71150 htt",
