schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--nso-group,artifact--sha256:91aca9221ded4449d358afd66832d5246592766ea348446c2b203bc2ec1fcd6e,observation--sha256:4f7398fab7fcf3d024f51f03a63511e5204ef9b653c683b83163ac00b6f226d3,file-name,FinFly_ISP.pdf,FinFly_ISP.pdf,candidate,2016-08-01T00:00:00Z,month,known,same-record,2022-01-01T00:00:00Z,source--nso-group--63bc982219df0301,NSOGroup/VB2022-Exploit-archaeology-a-forensic-history-of-in-the-wild-NSO-Group-exploits.pdf,"{""page"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,EXPLOIT ARCHAEOLOGY: A FORENSIC HISTORY ... O’CEARBHAILL & MARCZAK 13VIRUS BULLETIN CONFERENCE SEPTEMBER 2022 CONCLUSION Our investigations and forensic archaeology process have uncovered clear evidence that zero-click exploits have been abused in the wild for at least five years to target human rights activists and other members of civil society. The duration and scale of zero-click targeting is longer and more extensive than previously documented in public sources. This research shows that a s,
1.0.0,actor--nso-group,artifact--sha256:d8b8b7618bcfab9e58ec874d8cd102ddedfe3d5fdfca181cccf96e5d515226a5,observation--sha256:233bd0892b5524f659cb676cd825a21f4520ee8f0787fa695dbbff954f44c741,file-name,PID5133269.pdf,PID5133269.pdf,candidate,,unknown,unknown,not-stated,,source--nso-group--25c12a20509800b5,NSOGroup/Morocco/ExoneratingMorocco-DisprovingTheSpyware.pdf,"{""page"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"15 This issue is particularly significant, as it impacted the investigations into the alleged cases of Pegasus infection for both Omar Radi and Claude Mangin. The now-discredited indicator of compromise, [com.apple.softwareupdateservicesd.plist], was central to the investigation of both cases. In a formal mobile forensics trace, it is critical that the events are reproducible and serve as the basis for the methodology employed. The methodology presented by Amnesty and The Citizen Lab has been de",
1.0.0,actor--nso-group,artifact--sha256:d8b8b7618bcfab9e58ec874d8cd102ddedfe3d5fdfca181cccf96e5d515226a5,observation--sha256:b5f67a4495c22996b485cb83add78ebde9c7fc1c85835652ec6da4eb692a842e,file-name,PID5133269.pdf,PID5133269.pdf,candidate,2021-07-01T00:00:00Z,month,known,same-record,,source--nso-group--25c12a20509800b5,NSOGroup/Morocco/ExoneratingMorocco-DisprovingTheSpyware.pdf,"{""page"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"22 References Amnesty Tech. (2021, July 18). Forensic methodology report: How to catch nso group's pegasus. Amnesty International. Retrieved February 17, 2023, from https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/ AmnestyTech. (2021, July 19). Removing false positive · AmnestyTech/investigations@1c69421. GitHub. Retrieved February 17, 2023, from https://github.com/AmnestyTech/investigations/commit/1c694217c3efb4e40f34822b6ef99a7b5bd8",
1.0.0,actor--nso-group,artifact--sha256:af7dd685ce0c21c7360cfe4f4033f0870068fa87368ada29b24180d25aed86d4,observation--sha256:bfc6f1969dd836236a20020439218cef4c5656a4a7e0539ee6f3154dcf98da47,file-name,W18-3707.pdf,W18-3707.pdf,candidate,2021-07-01T00:00:00Z,month,known,same-record,,source--nso-group--25c12a20509800b5,NSOGroup/Morocco/ExoneratingMorocco-DisprovingTheSpyware.pdf,"{""page"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"13 devices or the investigation was provided to us27."" Citizen Lab continues by calling Amnesty’s methodologies “sound.” To complete the circular independent validation loop, The Citizen Lab says, “We shared a selection of Pegasus cases with Amnesty International’s Tech Lab, which independently validated our forensic methodology28.” In addition to their questionable validation methods, the conflict of interest resulting from the funding these organizations receive from the same institutions they",
1.0.0,actor--nso-group,artifact--sha256:af7dd685ce0c21c7360cfe4f4033f0870068fa87368ada29b24180d25aed86d4,observation--sha256:5c206f7c906dcbb6b156c4f81dc95c5fe718691a31a8232023a7af0623c5e0a4,file-name,W18-3707.pdf,W18-3707.pdf,candidate,2022-04-01T00:00:00Z,month,known,same-record,,source--nso-group--25c12a20509800b5,NSOGroup/Morocco/ExoneratingMorocco-DisprovingTheSpyware.pdf,"{""page"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"25 against Catalans using pegasus and Candiru. The Citizen Lab. Retrieved February 17, 2023, from https://citizenlab.ca/2022/04/catalangate-extensive-mercenary-spyware-operation-against-catalans-using-pegasus-candiru/ Scott-Railton, J., Senft, A., Poetranto, I., & McKune, S. (2015, October 15). Mapping Finfisher's continuing proliferation. The Citizen Lab. Retrieved February 17, 2023, from https://citizenlab.ca/2015/10/mapping-finfishers-continuing-proliferation/ slate. (2020, January 15). Which",
1.0.0,actor--nso-group,artifact--sha256:079bfb3bb9b21e3e0bdb4a2b818aaa29faf08e0e5d5294f0a89374ee1ef79cb2,observation--sha256:7c272cc04f397f23ea611556875f4e6199e068ab2682c2e12599464428404607,file-name,lookout-pegasus-android-technical-analysis.pdf,lookout-pegasus-android-technical-analysis.pdf,candidate,2017-12-08T00:00:00Z,day,known,same-record,2022-01-01T00:00:00Z,source--nso-group--63bc982219df0301,NSOGroup/VB2022-Exploit-archaeology-a-forensic-history-of-in-the-wild-NSO-Group-exploits.pdf,"{""page"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"EXPLOIT ARCHAEOLOGY: A FORENSIC HISTORY ... O’CEARBHAILL & MARCZAK 14 VIRUS BULLETIN CONFERENCE SEPTEMBER 2022 [3] Kafka, F. StrongPity2 spyware replaces FinFisher in MitM campaign – ISP involved?. We Live Security. December 2017. https://www.welivesecurity.com/2017/12/08/strongpity-like-spyware-replaces-finfisher/. [4] Marczak, B.; Dalek, J.; McKune, S.; Senft, A.; Scott-Railton, J.; Deibert, R. BAD TRAFFIC. Sandvine’s PacketLogic Devices Used to Deploy Government Spyware in Turkey and Redirect",
1.0.0,actor--nso-group,artifact--sha256:be0d85531acea3af3897b29cfe1823af489542027bbc852c58c36b25494199c4,observation--sha256:86b74df908142528dfb6594ff579f1f84e87d46c8230b7ddf3c46da908c55be1,file-name,macarthur-foundation-2020-form-990-pf-(final).pdf,macarthur-foundation-2020-form-990-pf-(final).pdf,candidate,2021-07-01T00:00:00Z,month,known,same-record,,source--nso-group--25c12a20509800b5,NSOGroup/Morocco/ExoneratingMorocco-DisprovingTheSpyware.pdf,"{""page"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"13 devices or the investigation was provided to us27."" Citizen Lab continues by calling Amnesty’s methodologies “sound.” To complete the circular independent validation loop, The Citizen Lab says, “We shared a selection of Pegasus cases with Amnesty International’s Tech Lab, which independently validated our forensic methodology28.” In addition to their questionable validation methods, the conflict of interest resulting from the funding these organizations receive from the same institutions they",
1.0.0,actor--nso-group,artifact--sha256:be0d85531acea3af3897b29cfe1823af489542027bbc852c58c36b25494199c4,observation--sha256:74c4ce020001ce8a74187241c0ae1162884eaeea6a329b943db64499786fbc04,file-name,macarthur-foundation-2020-form-990-pf-(final).pdf,macarthur-foundation-2020-form-990-pf-(final).pdf,candidate,2010-11-01T00:00:00Z,month,known,same-record,,source--nso-group--25c12a20509800b5,NSOGroup/Morocco/ExoneratingMorocco-DisprovingTheSpyware.pdf,"{""page"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"24 Jonathan Scott. (2022, November 30). SQL injection - leads to false positive results - · issue #318 · MVT-Project/MVT. GitHub. Retrieved February 18, 2023, from https://github.com/mvt-project/mvt/issues/318 Lab, C. (2009, September 10). Http://bit.ly/226Wws Palantir brainstorming session at psiphon office. Twitter. Retrieved February 17, 2023, from https://twitter.com/citizenlab/status/3888711632?s=20 Lab, C. (2009, September 10). Palantir visit to the PSIPHON and Citizen Lab offices today fo",
1.0.0,actor--nso-group,artifact--sha256:01df8a9b99ca029c1c4d1b22c3c0ce24386d0a243c5ba3fbf9b5a471d846fcf5,observation--sha256:3fc5f1617981cb9c662a840c930c60e9cfa06cd8b9165727c4597daea3d99727,file-name,pegasus-exploits-technical-details.pdf,pegasus-exploits-technical-details.pdf,candidate,2022-07-01T00:00:00Z,month,known,same-record,2022-01-01T00:00:00Z,source--nso-group--63bc982219df0301,NSOGroup/VB2022-Exploit-archaeology-a-forensic-history-of-in-the-wild-NSO-Group-exploits.pdf,"{""page"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"EXPLOIT ARCHAEOLOGY: A FORENSIC HISTORY ... O’CEARBHAILL & MARCZAK 15VIRUS BULLETIN CONFERENCE SEPTEMBER 2022 [25] Lookout. Technical Analysis of the Pegasus Exploits on iOS. https://info.lookout.com/rs/051-ESQ-475/images/ pegasus-exploits-technical-details.pdf. [26] Stone, M. CVE-2021-30858: WebKit use-after-free in IndexedDB. Google Project Zero. September 2021. https://googleprojectzero.github.io/0days-in-the-wild/0day-RCAs/2021/CVE-2021-30858.html. [27] mvt-project / mvt. https://github.com/",
1.0.0,actor--nso-group,artifact--sha256:d3358076399ac4328cac255d8d65d549028540fe377040b4015e3eb1b8b72f79,observation--sha256:6e183e2a5c5655afd2e3fcde53647da8c27fbd056521b907351e45c5584113c8,file-path,/usr/libexec/PlistBuddy,/usr/libexec/PlistBuddy,candidate,,unknown,unknown,not-stated,,source--nso-group--9fef2836510723a4,NSOGroup/Asia-24-Frielingsdorf-YouShallNotPassAnalysing.pdf,"{""page"": 55}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"# BHASIA @BlackHatEvents You plutil *…* plutil -p path/to/your/file.bplist PlistBuddy *…* /usr/libexec/PlistBuddy -c ""Print"" path/to/your/file.bplist P What are command lines tools I can use to view a bplist file? Chat GPT What’s a BPLIST?",
