schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--oniondog,artifact--sha256:77e16e4e737136d67672e5024cc5396507b5c6d98d0eeba5bb3dcd67fcb6651e,observation--sha256:a1fc524b2e7cbc73f3309148721dc54ffe889564886d81f188a4e758663dc069,file-name,APT-C-03-en.pdf,APT-C-03-en.pdf,candidate,2016-03-09T00:00:00Z,day,known,same-record,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 8, ""sheet"": ""North Korea""} oniondog his threat actor targets the South Korean government, transportation, and energy sectors. False Positive. APT Training by SK Government http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml http://zhuiri.360.cn/upload/APT-C-03-en.pdf http://www.chinadaily.com.cn/china/2016-03/09/content_23794129.htm http://news.softpedia.com/news/korean-energy-and-transportation-targ",
1.0.0,actor--oniondog,artifact--sha256:77e16e4e737136d67672e5024cc5396507b5c6d98d0eeba5bb3dcd67fcb6651e,observation--sha256:8989ab66bd4e74f792e2f8973d202118d992e9f5ea53e46d1dd3bae9cc795d8f,file-name,APT-C-03-en.pdf,APT-C-03-en.pdf,candidate,2016-03-09T00:00:00Z,day,known,same-record,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 8, ""sheet"": ""North Korea""} oniondog niondog-apt-501534.shtml http://zhuiri.360.cn/upload/APT-C-03-en.pdf http://www.chinadaily.com.cn/china/2016-03/09/content_23794129.htm http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml",
1.0.0,actor--oniondog,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:65cc8d5f17459c3b74e45a5f88e6119690996a9ae53baedb6495b63cf95a297f,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 8, ""sheet"": ""North Korea""} OnionDog OnionDog This threat actor targets the South Korean government, transportation, and energy sectors. False Positive. APT Training by SK Government http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-b",
1.0.0,actor--oniondog,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:1d548686af4e312dc31ef95fd300a1073ab30e98abf41b6b83274db995252a38,file-name,Operations.xlsx,Operations.xlsx,candidate,2016-03-09T00:00:00Z,day,known,same-record,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 8, ""sheet"": ""North Korea""} oniondog his threat actor targets the South Korean government, transportation, and energy sectors. False Positive. APT Training by SK Government http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml http://zhuiri.360.cn/upload/APT-C-03-en.pdf http://www.chinadaily.com.cn/china/2016-03/09/content_23794129.htm http://news.softpedia.com/news/korean-energy-and-transportation-targ",
1.0.0,actor--oniondog,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:beee3ab1bbd3b1476f06e602cdfbd61890869fcc41dde563f39022472d489f81,file-name,Operations.xlsx,Operations.xlsx,candidate,2016-03-09T00:00:00Z,day,known,same-record,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 8, ""sheet"": ""North Korea""} oniondog niondog-apt-501534.shtml http://zhuiri.360.cn/upload/APT-C-03-en.pdf http://www.chinadaily.com.cn/china/2016-03/09/content_23794129.htm http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml",
1.0.0,actor--oniondog,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:8d1f63151d7be13772ce6f0ddf2b45c983160cc62dc0510f81af84ab0dd31a8c,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 228} OnionDog Threat Group Cards: A Threat Actor Encyclopedia 228 OnionDog Names OnionDog (Qihoo 360) Country South Korea Motivation Information theft and espionage First seen 2013 Description Seems to be a Cyber Drill that is conducted every year rather than an APT, according to finding",
1.0.0,actor--oniondog,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:986ca84f0ac8bafa68406e82bcbdc0b4babf366497165ea7cd0d73004e5fde2a,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 228} OnionDog Threat Group Cards: A Threat Actor Encyclopedia 228 OnionDog Names OnionDog (Qihoo 360) Country South Korea Motivation Information theft and espionage First seen 2013 Description Seems to be a Cyber Drill that is conducted every year rather than an APT, according to findings from TrendMicr",
1.0.0,actor--oniondog,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:7bf5ab25fa95e07555aa0031e6889d3ea5c13a6bcce8fbaf74acff02f6411074,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 228} OnionDog Description Seems to be a Cyber Drill that is conducted every year rather than an APT, according to findings from TrendMicro. (Qihoo 360) The Helios Team at 360 SkyEye Labs recently revealed that a hacker group named OnionDog has been infiltrating and stealing information from the energy, transportation and other infrastructure industries of Korean-language countries through the Internet. According to big data correlation analysis, OnionD",
1.0.0,actor--oniondog,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:863dfb274e8e87c3a3f7017518f82ac7092929515950c95c916dd3ab2c23ff26,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 228} OnionDog ionDog has been infiltrating and stealing information from the energy, transportation and other infrastructure industries of Korean-language countries through the Internet. According to big data correlation analysis, OnionDog's first activity can be traced back to October, 2013 and in the following two years it was only active between late July and early September. The self-set life cycle of a Trojan attack is 15 days on average and is dis",
1.0.0,actor--oniondog,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:5a21687f2675fd1d58b9cc8e9202b0deaa8941f0c6675d5366dee4eeb1356262,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--oniondog--07c679d9ae3d416c,actor_profile/evidence/oniondog.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 6} OnionDog ....................................................... 222 Subgroup: Greenbug, Volatile Kitten ..................................................................................................................... 227 OnionDog....................................................................................................................................................................... 228 Operation Black Atlas .........................",
