schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--orangeworm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:e9f057ab13df52ae3a36d2ee7321fbd76d3b71c75459f32746a5cf5948ed678b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 179} Orangeworm served installing a custom backdoor called Trojan.Kwampirs within large international corporations that operate within the healthcare sector in the United States, Europe, and Asia. First identified in January 2015, Orangeworm has also conducted targeted attacks against organizations in related industries as part of a larger supply-chain attack in order to reach their intended victims. Known victims include healthcare providers, pharmaceut",
1.0.0,actor--orangeworm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:f789ac3f377deb73b840b09e9525a15032ed36aabf4357915a9469c5fe310af7,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Orangeworm ............................................ 177 Operation Potao Express ............................................................................................................................................ 178 Orangeworm ................................................................................................................................................................. 179 PassCV ...........................................",
1.0.0,actor--orangeworm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:85a25091e54d4d11ebb9600ef3f02ba3797d42a2401b68af9911ab909cdcf657,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 179} Orangeworm Threat Group Cards: A Threat Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing",
1.0.0,actor--orangeworm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:dbbd6829a0a58b2a36a1303456b69d6da2d776f887202cc9c210965978692e24,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 179} Orangeworm Threat Group Cards: A Threat Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing a custom backdoor",
1.0.0,actor--orangeworm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:d71bafd86e7e1b6b20ca6b50dc9ac4cc6d734a76c79cd7aa52fe9fbb9b5c9534,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 179} Orangeworm t Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing a custom backdoor called Trojan.Kwampirs within large international corporations that operate within the healthcare sector in the United States, Europe, and Asia. First identified",
1.0.0,actor--orangeworm,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:e146f0af1965a6dc95143b309ba3fd88eacda4566fbb1a1fb14410504be1df07,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 179} Orangeworm Threat Group Cards: A Threat Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing",
1.0.0,actor--orangeworm,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2bdd165e4add854b4949b8869d630b7b0fd0ae524efef077471469a08ae9023d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 179} Orangeworm Threat Group Cards: A Threat Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing a custom backdoor",
1.0.0,actor--orangeworm,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:5687fa2b31fdbd3d0ae663477de429dae73628a031affc01b9de8e73da2b0fcb,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 179} Orangeworm Threat Actor Encyclopedia 179 Orangeworm Names Orangeworm (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Orangeworm that has been observed installing a custom backdoor called Trojan.Kwampirs within large international corporations that operate within the healthcare sector in the United States, Europe, and Asia. First identified",
1.0.0,actor--orangeworm,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:90867b5c4dc4c5f93146e10301ebba0bde298e99dedf7ddbbfe601f930c70d0a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 179} Orangeworm served installing a custom backdoor called Trojan.Kwampirs within large international corporations that operate within the healthcare sector in the United States, Europe, and Asia. First identified in January 2015, Orangeworm has also conducted targeted attacks against organizations in related industries as part of a larger supply-chain attack in order to reach their intended victims. Known victims include healthcare providers, pharmaceut",
1.0.0,actor--orangeworm,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a951671b39d3ee8e3b88836eba38e003c908caf827c0f7bfe738a32d64ae9f14,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--orangeworm--b129a80f48c85de5,actor_profile/evidence/orangeworm.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Orangeworm ...................................................................... 177 Operation Potao Express .................................................................................................................. 178 Orangeworm ....................................................................................................................................... 179 PassCV .......................................................................",
