slug,name,priority,priority_score,tracker_status,corpus_source_count,corpus_mention_count,unresolved_claim_count,partially_supported_claim_count,mitre_group_id,recommended_queries
anonymous,Anonymous,high,637,searched,49,131,2,0,,"[""\""Anonymous\"" threat actor official advisory"", ""\""Anonymous\"" attribution relationship malware"", ""\""Anonymous\"" contradiction disputed attribution""]"
revil,Revil,high,537,searched,40,105,2,8,,"[""\""Revil\"" threat actor official advisory"", ""\""Revil\"" attribution relationship malware"", ""\""Revil\"" contradiction disputed attribution""]"
intellexa,Intellexa,medium,234,searched,17,48,2,0,,"[""\""Intellexa\"" threat actor official advisory"", ""\""Intellexa\"" attribution relationship malware"", ""\""Intellexa\"" contradiction disputed attribution""]"
zebrocy,Zebrocy,medium,217,searched,15,49,2,1,,"[""\""Zebrocy\"" threat actor official advisory"", ""\""Zebrocy\"" attribution relationship malware"", ""\""Zebrocy\"" contradiction disputed attribution""]"
cytrox,Cytrox,medium,197,searched,14,41,2,0,,"[""\""Cytrox\"" threat actor official advisory"", ""\""Cytrox\"" attribution relationship malware"", ""\""Cytrox\"" contradiction disputed attribution""]"
poseidon,Poseidon,medium,117,searched,8,21,2,0,,"[""\""Poseidon\"" threat actor official advisory"", ""\""Poseidon\"" attribution relationship malware"", ""\""Poseidon\"" contradiction disputed attribution""]"
cellebrite,Cellebrite,medium,84,searched,5,18,2,0,,"[""\""Cellebrite\"" threat actor official advisory"", ""\""Cellebrite\"" attribution relationship malware"", ""\""Cellebrite\"" contradiction disputed attribution""]"
ghoul,Ghoul,medium,82,searched,5,16,2,0,,"[""\""Ghoul\"" threat actor official advisory"", ""\""Ghoul\"" attribution relationship malware"", ""\""Ghoul\"" contradiction disputed attribution""]"
sunflower,SunFlower,medium,79,searched,4,9,2,7,,"[""\""SunFlower\"" threat actor official advisory"", ""\""SunFlower\"" attribution relationship malware"", ""\""SunFlower\"" contradiction disputed attribution""]"
dev-0842,DEV-0842,medium,78,searched,5,12,2,0,,"[""\""DEV-0842\"" threat actor official advisory"", ""\""DEV-0842\"" attribution relationship malware"", ""\""DEV-0842\"" contradiction disputed attribution""]"
unc2448,UNC2448,medium,77,searched,5,11,2,0,,"[""\""UNC2448\"" threat actor official advisory"", ""\""UNC2448\"" attribution relationship malware"", ""\""UNC2448\"" contradiction disputed attribution""]"
judgement-panda,Judgement Panda,medium,66,searched,4,4,2,3,,"[""\""Judgement Panda\"" threat actor official advisory"", ""\""Judgement Panda\"" attribution relationship malware"", ""\""Judgement Panda\"" contradiction disputed attribution""]"
white-tur,White Tur,medium,66,searched,3,10,2,5,,"[""\""White Tur\"" threat actor official advisory"", ""\""White Tur\"" attribution relationship malware"", ""\""White Tur\"" contradiction disputed attribution""]"
unc3313,UNC3313,medium,64,searched,3,12,2,3,,"[""\""UNC3313\"" threat actor official advisory"", ""\""UNC3313\"" attribution relationship malware"", ""\""UNC3313\"" contradiction disputed attribution""]"
