schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--pacha-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:598ed1e8deb2cf092255854d2f2c5e6fd999ebcc834bc8501bbb208a582962ce,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 266} Pacha Group Threat Group Cards: A Threat Actor Encyclopedia 266 Pacha Group Names Pacha Group (Intezer) Country China Motivation Financial gain Description (Intezer) Antd is a miner found in the wild on September 18, 2018. Recently we discovered that the authors from Antd are actively deli",
1.0.0,actor--pacha-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:25ef9b076180d153a428cffdc85edde70a8edb8f03fc216520bf5f9d986a526a,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 266} Pacha Group Threat Group Cards: A Threat Actor Encyclopedia 266 Pacha Group Names Pacha Group (Intezer) Country China Motivation Financial gain Description (Intezer) Antd is a miner found in the wild on September 18, 2018. Recently we discovered that the authors from Antd are actively delivering newer campai",
1.0.0,actor--pacha-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:53962740be8efb3ae5922ca0b85dd5607c391901f3b88686e4fb48800e622e5b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 266} Pacha Group ere is an element of sophistication to them. We believe the authors behind this malware are from Chinese origin. We have labeled the undetected Linux.Antd variants, Linux.GreedyAntd and classified the threat actor as Pacha Group. Observed Tools used Antd, DDG, GreedyAntd, Korkerds and XMRig. Operations performed Sep 2018 Intezer has evidence dating back to September 2018 which shows Pacha Group has been using a cryptomining malware that",
1.0.0,actor--pacha-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:c7eb64f2f98a2bb6bfdd60897b1c0b9f0078215c8439a80a68fa6e3f143d89a6,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 266} Pacha Group edyAntd and classified the threat actor as Pacha Group. Observed Tools used Antd, DDG, GreedyAntd, Korkerds and XMRig. Operations performed Sep 2018 Intezer has evidence dating back to September 2018 which shows Pacha Group has been using a cryptomining malware that has gone undetected on other engines. <https://www.intezer.com/blog-pacha-group-deploying-undetected- cryptojacking-campaigns/> May 2019 Pacha Group Competing against Rocke",
1.0.0,actor--pacha-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:6d66004aec5eff067b98c1e82ac38fca89e453bd88849d2a5e8d02e6e6f2ce20,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 7} Pacha Group ............................... 264 OurMine ......................................................................................................................................................................... 265 Pacha Group ................................................................................................................................................................. 266 Pinchy Spider ..................................",
1.0.0,actor--pacha-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:bb40f93b5fe104730386c58ad42730b5aaf272f30ffa68da5d72f206609c862c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 265} Pacha Group ere is an element of sophistication to them. We believe the authors behind this malware are from Chinese origin. We have labeled the undetected Linux.Antd variants, Linux.GreedyAntd and classified the threat actor as Pacha Group. Observed Tools used Antd, DDG, GreedyAntd, Korkerds and XMRig. Operations performed Sep 2018 Intezer has evidence dating back to September 2018 which shows Pacha Group has been using a cryptomining malware that",
1.0.0,actor--pacha-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a666ff18b0a534266aa4140b3e8aa9aa4be107acdb4e2d196117b665cd44c5a4,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 265} Pacha Group edyAntd and classified the threat actor as Pacha Group. Observed Tools used Antd, DDG, GreedyAntd, Korkerds and XMRig. Operations performed Sep 2018 Intezer has evidence dating back to September 2018 which shows Pacha Group has been using a cryptomining malware that has gone undetected on other engines. <https://www.intezer.com/blog-pacha-group-deploying-undetected- cryptojacking-campaigns/> May 2019 Pacha Group Competing against Rocke",
1.0.0,actor--pacha-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:e13f4d1d6d21de45cb5f7dbbe834b855a8a25b73d87472910675cca065bf13e1,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 7} Pacha Group ......................................................... 263 OurMine ............................................................................................................................................... 264 Pacha Group ....................................................................................................................................... 265 Pinchy Spider ................................................................",
1.0.0,actor--pacha-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:dceee4537886289e5eb2914d73033e585f66a609775b8069c0d198bcfeef2d87,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 265} Pacha Group Threat Group Cards: A Threat Actor Encyclopedia 265 Pacha Group Names Pacha Group (Intezer) Country China Motivation Financial gain Description (Intezer) Antd is a miner found in the wild on September 18, 2018. Recently we discovered that the authors from Antd are actively deli",
1.0.0,actor--pacha-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4e1509eb0d57d5df61e7e2a94d27744991fa9398624404cf7f0d6b6d32f0ecb0,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pacha-group--e28f6f3cbb021a38,actor_profile/evidence/pacha-group.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 265} Pacha Group Threat Group Cards: A Threat Actor Encyclopedia 265 Pacha Group Names Pacha Group (Intezer) Country China Motivation Financial gain Description (Intezer) Antd is a miner found in the wild on September 18, 2018. Recently we discovered that the authors from Antd are actively delivering newer campai",
