schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--peach-sandstorm,artifact--sha256:835d1815af3dfc689917c92a07799082b49d83f6d5aff0def8f440d15abfd8bc,observation--sha256:01ab8c6eb2a76bd6061a7fa7e39b5ca05e9998bdab1e2b83e57fcbaf4402fc45,command,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} APT33 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40","summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} APT33 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40",candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 45}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} APT33 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 ",
1.0.0,actor--peach-sandstorm,artifact--sha256:db271d3cd3d532ea067467e9cb0f1f4a43e9a4df0f39d2503a6e25faf843bc1a,observation--sha256:fedf85dcf540aa60aa16405dec8bade37c9fbfa11390eec595e9f1eeb71138bb,command,"summary/2024/Qianxin 2023 APT Report.pdf {""page"": 71} APT33 011 2015 双尾蝎组织攻击范围主要为中东地区，其针对 Windows 和 Android 双平台采取鱼叉或水坑等攻击方式配合社会工程学手段进行渗透，向 政府、金融、媒体、能源、军事等特定目标人群进行攻击。 MuddyWater 2017 2017 主要针对中东实施网络间谍活动，也针对欧洲和北美国家。其攻击目 标包括电信、政府 (IT 服务 ) 和石油部门。主要使用基于 PowerShell 的初始阶段后门 POWERSTATS。 APT33 2013 2017 APT33 是 FireEye 披露的 APT 组织，攻击目标包括美国、沙特阿拉伯 和韩国，主要针对航空和能源领域实施攻击活动。 APT34 2014 2016 APT34 主要针对中东地区实施攻击，攻击目标包括金融、政府、能源、 化工和电信等行业。 APT35 2014 2018 APT35 是 FireEye 于 2018 年披露的 APT 组织，也被称为 Newscaster Team。该组织通常针对美国和","summary/2024/Qianxin 2023 APT Report.pdf {""page"": 71} APT33 011 2015 双尾蝎组织攻击范围主要为中东地区，其针对 Windows 和 Android 双平台采取鱼叉或水坑等攻击方式配合社会工程学手段进行渗透，向 政府、金融、媒体、能源、军事等特定目标人群进行攻击。 MuddyWater 2017 2017 主要针对中东实施网络间谍活动，也针对欧洲和北美国家。其攻击目 标包括电信、政府 (IT 服务 ) 和石油部门。主要使用基于 PowerShell 的初始阶段后门 POWERSTATS。 APT33 2013 2017 APT33 是 FireEye 披露的 APT 组织，攻击目标包括美国、沙特阿拉伯 和韩国，主要针对航空和能源领域实施攻击活动。 APT34 2014 2016 APT34 主要针对中东地区实施攻击，攻击目标包括金融、政府、能源、 化工和电信等行业。 APT35 2014 2018 APT35 是 FireEye 于 2018 年披露的 APT 组织，也被称为 Newscaster Team。该组织通常针对美国和",candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 70}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Qianxin 2023 APT Report.pdf {""page"": 71} APT33 011 2015 双尾蝎组织攻击范围主要为中东地区，其针对 Windows 和 Android 双平台采取鱼叉或水坑等攻击方式配合社会工程学手段进行渗透，向 政府、金融、媒体、能源、军事等特定目标人群进行攻击。 MuddyWater 2017 2017 主要针对中东实施网络间谍活动，也针对欧洲和北美国家。其攻击目 标包括电信、政府 (IT 服务 ) 和石油部门。主要使用基于 PowerShell 的初始阶段后门 POWERSTATS。 APT33 2013 2017 APT33 是 FireEye 披露的 APT 组织，攻击目标包括美国、沙特阿拉伯 和韩国，主要针对航空和能源领域实施攻击活动。 APT34 2014 2016 APT34 主要针对中东地区实施攻击，攻击目标包括金融、政府、能源、 化工和电信等行业。 APT35 2014 2018 APT35 是 FireEye 于 2018 年披露的 APT 组织，也被称为 Newscaster Team。该组织通常针",
1.0.0,actor--peach-sandstorm,artifact--sha256:68136fbc4b168ddd5a395c01fec996b18413c5cb6fdb48b77f08969f1feb706a,observation--sha256:6605bb94d3da932627a6e3526b6ccf3bdbe19169f2c1af2b852eeee77fde2576,command,"summary/2024/Qianxin 2023 APT Report.pdf {""page"": 71} APT33 范围主要为中东地区，其针对 Windows 和 Android 双平台采取鱼叉或水坑等攻击方式配合社会工程学手段进行渗透，向 政府、金融、媒体、能源、军事等特定目标人群进行攻击。 MuddyWater 2017 2017 主要针对中东实施网络间谍活动，也针对欧洲和北美国家。其攻击目 标包括电信、政府 (IT 服务 ) 和石油部门。主要使用基于 PowerShell 的初始阶段后门 POWERSTATS。 APT33 2013 2017 APT33 是 FireEye 披露的 APT 组织，攻击目标包括美国、沙特阿拉伯 和韩国，主要针对航空和能源领域实施攻击活动。 APT34 2014 2016 APT34 主要针对中东地区实施攻击，攻击目标包括金融、政府、能源、 化工和电信等行业。 APT35 2014 2018 APT35 是 FireEye 于 2018 年披露的 APT 组织，也被称为 Newscaster Team。该组织通常针对美国和中东的军事、外交和政府人员、媒体","summary/2024/Qianxin 2023 APT Report.pdf {""page"": 71} APT33 范围主要为中东地区，其针对 Windows 和 Android 双平台采取鱼叉或水坑等攻击方式配合社会工程学手段进行渗透，向 政府、金融、媒体、能源、军事等特定目标人群进行攻击。 MuddyWater 2017 2017 主要针对中东实施网络间谍活动，也针对欧洲和北美国家。其攻击目 标包括电信、政府 (IT 服务 ) 和石油部门。主要使用基于 PowerShell 的初始阶段后门 POWERSTATS。 APT33 2013 2017 APT33 是 FireEye 披露的 APT 组织，攻击目标包括美国、沙特阿拉伯 和韩国，主要针对航空和能源领域实施攻击活动。 APT34 2014 2016 APT34 主要针对中东地区实施攻击，攻击目标包括金融、政府、能源、 化工和电信等行业。 APT35 2014 2018 APT35 是 FireEye 于 2018 年披露的 APT 组织，也被称为 Newscaster Team。该组织通常针对美国和中东的军事、外交和政府人员、媒体",candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 71}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Qianxin 2023 APT Report.pdf {""page"": 71} APT33 范围主要为中东地区，其针对 Windows 和 Android 双平台采取鱼叉或水坑等攻击方式配合社会工程学手段进行渗透，向 政府、金融、媒体、能源、军事等特定目标人群进行攻击。 MuddyWater 2017 2017 主要针对中东实施网络间谍活动，也针对欧洲和北美国家。其攻击目 标包括电信、政府 (IT 服务 ) 和石油部门。主要使用基于 PowerShell 的初始阶段后门 POWERSTATS。 APT33 2013 2017 APT33 是 FireEye 披露的 APT 组织，攻击目标包括美国、沙特阿拉伯 和韩国，主要针对航空和能源领域实施攻击活动。 APT34 2014 2016 APT34 主要针对中东地区实施攻击，攻击目标包括金融、政府、能源、 化工和电信等行业。 APT35 2014 2018 APT35 是 FireEye 于 2018 年披露的 APT 组织，也被称为 Newscaster Team。该组织通常针对美国和中东的军事、外交和政府人",
1.0.0,actor--peach-sandstorm,artifact--sha256:72d524e0a41f769e5722493ee66ec1d8473277dc8e6d59a03a0999b8c9b82ca7,observation--sha256:8fc1077838537341f2b4bd69d10543777a2a4cad03a13f4ef895515765fffe7a,file-name,2020.pdf,2020.pdf,candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 45}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} APT33 14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 ",
1.0.0,actor--peach-sandstorm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:bfbb85e6182c962fb4ec816124e4bca0d831fce97189e546ae11a249cbddc92a,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 33} APT33 n the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries –",
1.0.0,actor--peach-sandstorm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a3650f809c52b3caf4e85e8dc85536d48f0456cb803c1e48ebac76ebf64a3723,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 33} APT33 wn suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries – headquartered in the United States, Saudi Arabia and South Korea. APT33 has shown particular interest",
1.0.0,actor--peach-sandstorm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9db7795fac92fa516cbe771c71ef0b63b2b383a08dae8a1cdaf80215f2965cb8,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 33} APT33 apabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries – headquartered in the United States, Saudi Arabia and South Korea. APT33 has shown particular interest in organizations in the aviation sector involved in bot",
1.0.0,actor--peach-sandstorm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:6d924b2d7994c1064a7e10465606412ca58c32edee559751028a05039abbed2b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} APT 33 ................................................... 27 APT 32, OceanLotus, SeaLotus .................................................................................................................................. 29 APT 33, Elfin ................................................................................................................................................................... 33 Axiom, Group 72 ............................",
1.0.0,actor--peach-sandstorm,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:c5c673a530f80b90d238fc7baa5d7a855253c5dbf867c2e81d39154d73ab1a1f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 33} APT33 track – to target organizations in the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations",
1.0.0,actor--peach-sandstorm,artifact--sha256:895bbc63402472bf18c1a90e0e926c6a15d6c760ce052426e35b3d53443dd048,observation--sha256:fb8b4e5fc96210bdd73ac38e1665befe2a37bfee1711da7e1dd0df72fc24f71e,file-name,Attribution.pdf,Attribution.pdf,candidate,,unknown,unknown,not-stated,,source--peach-sandstorm--e74afb110d61528f,actor_profile/evidence/peach-sandstorm.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT-hunting/Automating APT Campaign and Group Attribution.pdf {""page"": 4} APT33 ocess included addressing the following issues: Consistency of Existing Labels: Aliases. Numerous samples are tagged with aliases representing the same APT group, e.g., ‘Refined Kitten’ and ‘Elfin, ’ which correspond to APT33. We standardize these aliases following classifications by Malpedia and MITRE. Consistency of Existing Labels: Umbrella Names. We eliminate text-based variations and adopt a consistent naming co",
