schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--pittytiger,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:48de862155863da6699b873e3e1e170fc3f7b8b246861db01607d1ab79078a49,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 10}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 184} PittyTiger Threat Group Cards: A Threat Actor Encyclopedia 184 PittyTiger, Pitty Panda Names PittyTiger (FireEye) Pitty Panda (CrowdStrike) Manganese (Microsoft) Country China Motivation Information theft and espionage Description (Airbus) Pitty Tiger is a group of attackers that have been active since at least 2011.",
1.0.0,actor--pittytiger,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b9580a8ba13b2703cdc380a77696c6f1dc4d14b82b88d66d45f76beec563956d,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 11}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Pitty Panda ..................................... 181 Pirate Panda, APT 23, KeyBoy .................................................................................................................................. 183 PittyTiger, Pitty Panda ................................................................................................................................................. 184 Platinum .......................................................",
1.0.0,actor--pittytiger,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:364494483cf38935ada8bb68ff9a342bdd8160c89b7d5863c1a502e63ea134e1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 12}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} PittyTiger ................................................. 181 Pirate Panda, APT 23, KeyBoy .................................................................................................................................. 183 PittyTiger, Pitty Panda ................................................................................................................................................. 184 Platinum ............................................",
1.0.0,actor--pittytiger,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:278c84ef289dff77d047eb761d94182f3b87be5e704b53871028509f53e564a9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 8}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 184} Pitty Panda Threat Group Cards: A Threat Actor Encyclopedia 184 PittyTiger, Pitty Panda Names PittyTiger (FireEye) Pitty Panda (CrowdStrike) Manganese (Microsoft) Country China Motivation Information theft and espionage Description (Airbus) Pitty Tiger is a group of attackers that have been active si",
1.0.0,actor--pittytiger,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:fe0f9476ff86acc4b829ac423a2e60748605f6c616dbfce209e1fec61236b7e1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 9}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 184} PittyTiger Threat Group Cards: A Threat Actor Encyclopedia 184 PittyTiger, Pitty Panda Names PittyTiger (FireEye) Pitty Panda (CrowdStrike) Manganese (Microsoft) Country China Motivation Information theft and espionage Description (Airbus) Pitty Tiger is a group of attackers that have b",
1.0.0,actor--pittytiger,artifact--sha256:895bbc63402472bf18c1a90e0e926c6a15d6c760ce052426e35b3d53443dd048,observation--sha256:9c50e8630e9265933e7855f8ca9de26669c2c25a6cb2e04fcc4a0daf8ef56f79,file-name,Attribution.pdf,Attribution.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 7}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"APT-hunting/Automating APT Campaign and Group Attribution.pdf {""page"": 4} Pitty Tiger ming convention of APTXX, FINXX, or TAXXX for the groups whenever feasible. For instance, we assign the name APT32 for ‘OceanLotus’ and ‘Sea Lotus, ’ and APT43 for ‘Kimsuky, ’ while APT24 encompasses ‘Pitty Putter’ and ‘Pitty Tiger, ’ following Malpedia’s classification. Consistency of Existing Labels: Non-unique Names. We man- ually review non-unique names like ‘Transparent Tribe, ’ ‘trans- parenttribe, ’ or ‘",
1.0.0,actor--pittytiger,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2dec1c707b4b3c2a0df16e5625ff9734d0dcf7e0d2d29e3afdb411e66d7b1726,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 13}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 184} Pitty Panda Threat Group Cards: A Threat Actor Encyclopedia 184 PittyTiger, Pitty Panda Names PittyTiger (FireEye) Pitty Panda (CrowdStrike) Manganese (Microsoft) Country China Motivation Information theft and espionage Description (Airbus) Pitty Tiger is a group of attackers that have been active si",
1.0.0,actor--pittytiger,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:c181ea91cf3a5a39baf59bb9360abeb46bedd8f8888c782b85a7027659f19295,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 14}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 184} PittyTiger Threat Group Cards: A Threat Actor Encyclopedia 184 PittyTiger, Pitty Panda Names PittyTiger (FireEye) Pitty Panda (CrowdStrike) Manganese (Microsoft) Country China Motivation Information theft and espionage Description (Airbus) Pitty Tiger is a group of attackers that have b",
1.0.0,actor--pittytiger,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:389193e3ac60135af2c59128f9ab35b883262a19b8325e6983f7570ec920dd1d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 15}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 184} PittyTiger Threat Group Cards: A Threat Actor Encyclopedia 184 PittyTiger, Pitty Panda Names PittyTiger (FireEye) Pitty Panda (CrowdStrike) Manganese (Microsoft) Country China Motivation Information theft and espionage Description (Airbus) Pitty Tiger is a group of attackers that have been active since at least 2011.",
1.0.0,actor--pittytiger,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:74faf218db9d0c31992167a79e3bf58b8e2fbee7fc59f914ee3442badd6d38c8,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--pittytiger--41b4413fb351c2d7,actor_profile/evidence/pittytiger.csv,"{""row"": 16}",[],"[""malware--pittytiger""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Pitty Panda ............................................................... 181 Pirate Panda, APT 23, KeyBoy ........................................................................................................ 183 PittyTiger, Pitty Panda ....................................................................................................................... 184 Platinum .....................................................................................",
