schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--play,artifact--sha256:2623551e88932a19ac762163da2937c9e5a9c0afe656ef07f993b7c51506934f,observation--sha256:22c2c1908fece90f2d24ff8f1fee141dee883b735be3e7c77fd26a559fc141ca,command,"cybercrime/BatShadow/batshadow-vietnamese-threat-group-vampire-bot-report.pdf {""page"": 5} Play his ZIP archive contains files related to XtraViewer, a remote connectivity application. The PowerShell script then executes XtraViewer.exe, which displays the login interface, as shown in Figure 3. BatShadow’s Latest Play: Vietnamese Threat Group Uses Vampire Bot to Hunt Digital Professionals - Report 5 Figure 3 - XtraViewer Login Page Threat Insight: Why attackers use software like XtraViewer? Attackers prefer to exploit legitimate remo","cybercrime/BatShadow/batshadow-vietnamese-threat-group-vampire-bot-report.pdf {""page"": 5} Play his ZIP archive contains files related to XtraViewer, a remote connectivity application. The PowerShell script then executes XtraViewer.exe, which displays the login interface, as shown in Figure 3. BatShadow’s Latest Play: Vietnamese Threat Group Uses Vampire Bot to Hunt Digital Professionals - Report 5 Figure 3 - XtraViewer Login Page Threat Insight: Why attackers use software like XtraViewer? Attackers prefer to exploit legitimate remo",candidate,,unknown,unknown,not-stated,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 65}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"cybercrime/BatShadow/batshadow-vietnamese-threat-group-vampire-bot-report.pdf {""page"": 5} Play his ZIP archive contains files related to XtraViewer, a remote connectivity application. The PowerShell script then executes XtraViewer.exe, which displays the login interface, as shown in Figure 3. BatShadow’s Latest Play: Vietnamese Threat Group Uses Vampire Bot to Hunt Digital Professionals - Report 5 Figure 3 - XtraViewer Login Page Threat Insight: Why attackers use software like XtraViewer? Attack",
1.0.0,actor--play,artifact--sha256:43a60a558649f5b6152ada7d2baf98b31eae1428767b322f6d1598bd075458e3,observation--sha256:83473c93481811bdcf298ffc4d695252e399d3d903ad13f1a7a1a3ea199ec105,command,"summary/2026/CyberProof_2026_Global_Threat_Intelligence_Report.pdf {""page"": 38} Play eat Research Team observed in breaches and attacks: 38 Top Attack Vectors•Phishing•NPM supply chain attacks•SEO poisoning•Identity based attacks•Vulnerability exploitations Top Active Ransomware Groups•Qilin •Akira•Cl0p•Play•INCransomTop Malwares•Asyncrat•Remcos•Vidar •Xworm•OysterLoader Top LOLBins•PowerShell•Mshta•Certutil•Schtasks.exe•Wmic.exeTop Abused RMMs •AnyDesk•UltraVNC•MeshAgent•ScreenConnect •LogMeIn Top 5 Tools Used in Attacks•P","summary/2026/CyberProof_2026_Global_Threat_Intelligence_Report.pdf {""page"": 38} Play eat Research Team observed in breaches and attacks: 38 Top Attack Vectors•Phishing•NPM supply chain attacks•SEO poisoning•Identity based attacks•Vulnerability exploitations Top Active Ransomware Groups•Qilin •Akira•Cl0p•Play•INCransomTop Malwares•Asyncrat•Remcos•Vidar •Xworm•OysterLoader Top LOLBins•PowerShell•Mshta•Certutil•Schtasks.exe•Wmic.exeTop Abused RMMs •AnyDesk•UltraVNC•MeshAgent•ScreenConnect •LogMeIn Top 5 Tools Used in Attacks•P",candidate,,unknown,unknown,not-stated,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 245}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/CyberProof_2026_Global_Threat_Intelligence_Report.pdf {""page"": 38} Play eat Research Team observed in breaches and attacks: 38 Top Attack Vectors•Phishing•NPM supply chain attacks•SEO poisoning•Identity based attacks•Vulnerability exploitations Top Active Ransomware Groups•Qilin •Akira•Cl0p•Play•INCransomTop Malwares•Asyncrat•Remcos•Vidar •Xworm•OysterLoader Top LOLBins•PowerShell•Mshta•Certutil•Schtasks.exe•Wmic.exeTop Abused RMMs •AnyDesk•UltraVNC•MeshAgent•ScreenConnect •LogMeIn ",
1.0.0,actor--play,artifact--sha256:b25d64393112567a0551c921b601620c556e516a26774b5e8b94ff842f2d2e05,observation--sha256:2bb0449a69afa31115c8381b1f042706811d36061f11864dea2279ffe95fc1bf,file-name,002.pdf,002.pdf,candidate,,unknown,unknown,not-stated,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 250}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/UNREDACTEDMagazine/002.pdf {""page"": 14} Play ewall running pfSense handling my DNS traffic, I have less need for NextDNS on the machine itself, but I like the filtering of various online annoyances. Every situation is unique, and you should know your options. Play with this and see if it is appropriate for your setup. In summary, NextDNS is running in the background of my machine at all times. It conducts my DNS queries and filters many unwanted connections as I browse the",
1.0.0,actor--play,artifact--sha256:3c43bfcab7ce185ae39b68baf82fa98bdbb31bc20b0bff7b67a128b3f64b68cd,observation--sha256:bbfb22360fdafc5f1b1dd0f7d750c1820904163e724d26b33c76e467bbc2f3fb,file-name,004.pdf,004.pdf,candidate,,unknown,unknown,not-stated,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 251}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/UNREDACTEDMagazine/004.pdf {""page"": 46} Play pm list packages user:~$ adb shell pm list packages | grep -i <app name> user:~$ adb shell pm uninstall <app package name> TIP: For those planning to go deep with ADB on a mainstream Android release running Google Play, you can find APK names by entering the Play Store -> Manage apps & device -> “manage” tab up top ->select the app you want to find, then in the 3-dot stack in the upper right, select it and tap the “share” symbo",
1.0.0,actor--play,artifact--sha256:3c43bfcab7ce185ae39b68baf82fa98bdbb31bc20b0bff7b67a128b3f64b68cd,observation--sha256:df80a10400eb6cb5175b66bd1a4b3a4b69b41e9058140c72a2ab4b59f898987f,file-name,004.pdf,004.pdf,candidate,,unknown,unknown,not-stated,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 252}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/UNREDACTEDMagazine/004.pdf {""page"": 46} Play packages | grep -i <app name> user:~$ adb shell pm uninstall <app package name> TIP: For those planning to go deep with ADB on a mainstream Android release running Google Play, you can find APK names by entering the Play Store -> Manage apps & device -> “manage” tab up top ->select the app you want to find, then in the 3-dot stack in the upper right, select it and tap the “share” symbol - the APK name will appear as the last port",
1.0.0,actor--play,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:a0fdf238f85da5d5000694b8f3f4ad0d4c07079c3683df84e8bc9b1ceed46289,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 198}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 12} Play s hosted in China. Adversary Infrastructure Tracking Several documented instances in 2024 provide concrete evidence of threat actors actively deploying Sliver: • The North Korean Andariel group’s collaboration with Play ransomware involved the use of Sliver for initial access, demonstrating its adoption by a nation- state actor. Additionally, a campaign targeting German entities was observed utilising a Sliver implant, hi",
1.0.0,actor--play,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:1bbfcc5e41c776e4e851e003dedd463723d5c31e0a56a7f9761a71e94734c85f,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 199}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 51} Play omware.live, we anticipate that this trend will continue. The victim claims by ransomware operators continues to rise approximately with 6130 victims claimed in 2024. The top groups in 2024 were RansomHub, LockBit3, Play, Dispossessor, Akira, Qilin, Monti, Clop, and AlphV (BlackCat). Victims Ransomhub Lockbit3 Play Dispossessor Akira Blackbasta Qilin Monti Clop Alphv 0 100 200 300 400 500 600 700 Victims Clop Akira Ransom",
1.0.0,actor--play,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:4634e6ad7160d3e59532c56a07d0095079903e6d69c1b0de3dc553d9d17beb04,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 200}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 51} Play tors continues to rise approximately with 6130 victims claimed in 2024. The top groups in 2024 were RansomHub, LockBit3, Play, Dispossessor, Akira, Qilin, Monti, Clop, and AlphV (BlackCat). Victims Ransomhub Lockbit3 Play Dispossessor Akira Blackbasta Qilin Monti Clop Alphv 0 100 200 300 400 500 600 700 Victims Clop Akira Ransomhub Babuk Fog Lynx Cactus 150 200 250 300 350 400 100 50 0 Victims Ransomware Group Ransomware ",
1.0.0,actor--play,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:5c0986d527f4b60d393e54462aecd76e0564349a34169c1a2a63681bc65a9b06,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,2022-04-01T00:00:00Z,month,known,same-record,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 114}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 13} Play tter通过巴基斯坦政府机构作为跳板攻击孟加拉国 ·透明部落利用走私情报相关诱饵针对印度的攻击活动分析 2022.04 ·蔓灵花组织攻击模块再升级，疑似针对中国 ·Sidewinder劫持filesyncshell.dll进行攻击 2022.05 ·SideWinder模仿巴基斯坦政府合法域发起攻击 ·SideWinder针对巴基斯坦政府部门的威胁活动 ·透明部落伪装印度国防部邮件攻击的跟踪简报 ·SideWinder利用Google Play传播恶意Android软件 2022.06 ·Bitter使用Almond RAT后门攻击孟加拉国 ·Transparent Tribe组织攻击印度教育部门 ·透明部落以“清洁运动”为主题对印度国防部下属企业的钓鱼攻击 2022.07 ·Bitter利用社交媒体分发恶意软件 ·透明部落利用社交网络传播恶意Android软件 2022.08 ·响尾蛇组织（SideWinder）攻击预",
1.0.0,actor--play,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:a918a943e776bc91ac9f708f96079f8fc469c6c1ada0cd0355b71e1235f7b608,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,2022-01-01T00:00:00Z,month,known,same-record,,source--play--1d18f15a8520d3bf,actor_profile/evidence/play.csv,"{""row"": 115}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 25} Play DP和数据库的暴力破解，以及漏洞利用。例如今年8月，TellYouThePass勒索团伙利用畅捷通T+的 0day漏洞进行勒索攻击，造成国内众多企业遭受损失。 针对我国的勒索家族 0 100 200 300 400 2016 2017 2018 2019 2020 2021 2022 247 327 222 95 127 78 110 新增勒索软件数量 Deadbolt Nokoyawa Omega Project RelicLuna、Play、BianLian Sugar Onyx BlueSky ARCrypter Punisher 2022.01 2022.02 2022.03 2022.04 2022.05 2022.06 2022.07 2022.08 2022.10 2022.11",
