schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--polonium,artifact--sha256:81ea3ceb3732677f3589b199c1f19aca2f538a2c27c5ecb717c9f6802ae0041d,observation--sha256:8aad8ada6f19c1cd436491cf925e29f8735b3eba6da56c92bea2d75825976cfa,command,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 3} POLONIUM r stopped using SimpleHelp during this period to distribute its tools to its victims and shifted to PowerShell scripts. In Israel, OilRig deployed a new custom backdoor we’ve named Mango and the SC5k downloader, while POLONIUM used a modified CreepySnail. North Korea-aligned groups such as ScarCruft, Andariel, and Kimsuky continued to focus on South Korean and South Korea-related entities using their usual toolsets. In addition to targeting","summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 3} POLONIUM r stopped using SimpleHelp during this period to distribute its tools to its victims and shifted to PowerShell scripts. In Israel, OilRig deployed a new custom backdoor we’ve named Mango and the SC5k downloader, while POLONIUM used a modified CreepySnail. North Korea-aligned groups such as ScarCruft, Andariel, and Kimsuky continued to focus on South Korean and South Korea-related entities using their usual toolsets. In addition to targeting",candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 22}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 3} POLONIUM r stopped using SimpleHelp during this period to distribute its tools to its victims and shifted to PowerShell scripts. In Israel, OilRig deployed a new custom backdoor we’ve named Mango and the SC5k downloader, while POLONIUM used a modified CreepySnail. North Korea-aligned groups such as ScarCruft, Andariel, and Kimsuky continued to focus on South Korean and South Korea-related entities using their usual toolsets. In ",
1.0.0,actor--polonium,artifact--sha256:f11ff0b0b5354e08ce9070a561f7473029064351058a3e4304e7f148f1f988d0,observation--sha256:cf89d1ee13b5d7a76eb26a94091656e85632a0b0cd08b91665ea6a9039d98d66,command,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 8} POLONIUM count and download and execute payloads stored as attachments to emails in the O365 ac- count. This victim was previously targeted by OilRig in June 2021 and August 2021 using the Shark backdoor and a custom keylogger. POLONIUM In January 2023, POLONIUM deployed a modified version of CreepySnail to a victim in Israel. This modified version only executes PowerShell commands and does not upload or download files. This victim also received Plin","summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 8} POLONIUM count and download and execute payloads stored as attachments to emails in the O365 ac- count. This victim was previously targeted by OilRig in June 2021 and August 2021 using the Shark backdoor and a custom keylogger. POLONIUM In January 2023, POLONIUM deployed a modified version of CreepySnail to a victim in Israel. This modified version only executes PowerShell commands and does not upload or download files. This victim also received Plin",candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 8} POLONIUM count and download and execute payloads stored as attachments to emails in the O365 ac- count. This victim was previously targeted by OilRig in June 2021 and August 2021 using the Shark backdoor and a custom keylogger. POLONIUM In January 2023, POLONIUM deployed a modified version of CreepySnail to a victim in Israel. This modified version only executes PowerShell commands and does not upload or download files. This vic",
1.0.0,actor--polonium,artifact--sha256:2a1252ac88c762fa21e148fcb322946a267f73558c209411854d31f51a6f0225,observation--sha256:608f2f192c0b2773abcd885a82b2066809eb9d0e66527e82c89b211e4c2198ef,command,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 8} POLONIUM cute payloads stored as attachments to emails in the O365 ac- count. This victim was previously targeted by OilRig in June 2021 and August 2021 using the Shark backdoor and a custom keylogger. POLONIUM In January 2023, POLONIUM deployed a modified version of CreepySnail to a victim in Israel. This modified version only executes PowerShell commands and does not upload or download files. This victim also received Plink [9] to setup a reverse t","summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 8} POLONIUM cute payloads stored as attachments to emails in the O365 ac- count. This victim was previously targeted by OilRig in June 2021 and August 2021 using the Shark backdoor and a custom keylogger. POLONIUM In January 2023, POLONIUM deployed a modified version of CreepySnail to a victim in Israel. This modified version only executes PowerShell commands and does not upload or download files. This victim also received Plink [9] to setup a reverse t",candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 8} POLONIUM cute payloads stored as attachments to emails in the O365 ac- count. This victim was previously targeted by OilRig in June 2021 and August 2021 using the Shark backdoor and a custom keylogger. POLONIUM In January 2023, POLONIUM deployed a modified version of CreepySnail to a victim in Israel. This modified version only executes PowerShell commands and does not upload or download files. This victim also received Plink [9",
1.0.0,actor--polonium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:bc1a85e6c45c551ba7819de43442ab9d1c51b50361a9eb0e889f34bb76c09f21,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 39} POLONIUM eges to facilitate broader attacks | Microsoft Threat Intelligence Center (MSTIC) Iranian targeting of IT sector on the rise | Microsoft Threat Intelligence Center (MSTIC), Microsoft Digital Security Unit Exposing POLONIUM activity and infrastructure targeting Israeli organizations | Microsoft Threat Intelligence Center (MSTIC)",
1.0.0,actor--polonium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:e9b96e06fc915afe276f8bf807534dc6a0c0906035e458c014b67b242fce32ba,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 49} POLONIUM on from Tehran would align with revelations since late 2020 that the Government of Iran is using third parties to carry out cyber operations, likely to enhance Iran’s plausible deniability. In the observed activity, POLONIUM targeted or compromised two dozen Israel-based organizations and one IGO with operations in Lebanon between February and May 2022, before Microsoft disrupted and publicly revealed its activity. Near",
1.0.0,actor--polonium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:383d839102d83763ab51b748edd08552f79ee44c0df04d414c7a73e486530045,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 49} POLONIUM ions were part of Israel’s defense industry or had links to Israeli defense companies, indicating the group has a similar set of interests as Iran in collecting intelligence on and/or directly countering Israel. 37 POLONIUM’s assessed links to MOIS groups are based on observed victim overlaps and commonality of tools and techniques. • Victim overlap: An Iranian state group linked to Iran’s MOIS, which Microsoft tracks a",
1.0.0,actor--polonium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:f5125adf2cf07cc26c680c54aa92c2f96daf855384bc1d20763cb420b358ece0,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 35} POLONIUM n COPERNICIUM Think tanks, academics, NGOs, government Konni Os OSMIUM Science and technology, defense, industrial Andariel, Dark Seoul, Silent Chollima Pu PLUTONIUMChina Russia Israeli defense industry, IT Po POLONIUM Lebanon Iran Energy, aviation, critical manufacturing, defense industrial base EnergeticBear Br BROMINE IT, shipping companies, Middle East governments Tortoiseshell Bh BOHRIUM North Korea Government, def",
1.0.0,actor--polonium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:a8657368c32c2b7c91a2ca54b9cec0afd513d9a89ed13d088cd3e79fe263436e,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 39} POLONIUM s from the provider to authenticate into an Israeli logistics company. MSTIC observed the same actor attempting to conduct a destructive cyberattack against the logistics company later that month. • In April 2022, POLONIUM, a Lebanon-based group we assess collaborated with Iranian state groups on IT supply chain techniques, compromised another Israeli IT company to gain access to Israeli defense and legal organizations.",
1.0.0,actor--polonium,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:a11549451b0354a766266357597dc76043a2aeef51daa144aaa1f62a5f7b57cb,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 1} POLONIUM 披露的APT组织。南亚地区和中东地区仍然是较容易被研究人 员捕获恶意样本并披露威胁组织的地区。其中围绕南亚地区进行攻击活动的组织有：活跃长达十年的 ModifiedElephant（又名暗象、DarkElephant）组织、仿冒小众聊天软件针对Android平台的 VajraEleph（又名金刚象）组织，和针对印度国防部下发Python后门的APT-LY-1004组织。瞄准中东地 区进行攻击活动的组织有：来自黎巴嫩滥用OneDrive的POLONIUM组织、活动中使用远程代码执行漏洞的 Cunning Kitten组织、针对土耳其海军的MurenShark（又名OceanDoge）组织。此外，还有攻击目标为 非洲的Dangerous Savanna、Metador组织，以及其他未披露具体目标地域的威胁组织。 新披露的APT组织描述 2022年2月，国外安全厂商披露了一个活跃长达的十年的组织ModifiedEleph",
1.0.0,actor--polonium,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:e8a541024017566ff63697dca9fbbae768f3f6b789fef1dbee34472d631a4c74,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--polonium--51ecf4cdae47c1a0,actor_profile/evidence/polonium.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 2} POLONIUM 后，Geppei便将恶意指令从合法IIS日志中读取并执行。 Geppei安装的恶意软件包括：Regeorg，一种可创建SOCKS代理的Webshell，以及Danfuan：基 于 .NET 编译的新恶意软件，充当受感染系统的后门。 同年11月，首次披露该组织的国外安全厂商将UNC3524与东欧APT组织APT29合并，此前描述的 UNC3524组织活动被归因为APT29。 UNC3524 2022年6月，国外安全厂商检测到黎巴嫩威胁组织POLONIUM滥用OneDrive的攻击活动。该组织自2022 年2月开始活跃，重点关注制造业、IT和以色列国防工业。 POLONIUM组织通过利用Fortinet漏洞CVE-2018-13379获得目标网络的访问权限，同时擅长进行供应链 攻击，即通过获取服务提供商网络访问权限攻击下游目标组织，该组织的目标行业包括制造业、信息技术、交 通系统、国防工业基地、政府机构和服务。 POL",
