schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--poseidon-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8e41e5778b5f5146ed7d618044c68ae2a11cf8cf1fac09581fae918ba292d50e,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 187} Poseidon Group Threat Group Cards: A Threat Actor Encyclopedia 187 Poseidon Group Names Poseidon Group (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) During the latter part of 2015, Kaspersky researchers from GreAT (Global Research and Analysis T",
1.0.0,actor--poseidon-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a3a5f58f045fecc96dd523a4ea6732b4385a96ff7c9eb6f47b298f703814807a,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 187} Poseidon Group Threat Group Cards: A Threat Actor Encyclopedia 187 Poseidon Group Names Poseidon Group (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) During the latter part of 2015, Kaspersky researchers from GreAT (Global Research and Analysis Team) got hold of the m",
1.0.0,actor--poseidon-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:ac8660fe57fe384d4c303e944b86d70074c857452bdb3127d015afd30515a421,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 187} Poseidon Group ampaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive framework. The Poseidon Group is a long-running team operating on all domains: land, air, and sea. They are dedicated to running targeted attacks campaigns to aggressively collect information from company networks through the use of spear",
1.0.0,actor--poseidon-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:bfc14fa3825c9ee4f7731b57c14db8593723ca6686f2d5513d9f20926e3c7d72,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 187} Poseidon Group aged with embedded, executable elements inside office documents and extensive lateral movement tools. The information exfiltrated is then leveraged by a company front to blackmail victim companies into contracting the Poseidon Group as a security firm. Even when contracted, the Poseidon Group may continue its infection or initiate another infection at a later time, persisting on the network to continue data collection beyond its contra",
1.0.0,actor--poseidon-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5d938cb6a4083605baf669b2890e7962129e277ec0886b960de4e57a50b205fa,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Poseidon Group .............................. 184 Platinum ......................................................................................................................................................................... 186 Poseidon Group ............................................................................................................................................................ 187 Promethium ....................................",
1.0.0,actor--poseidon-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fd0d53fac91756b3614a17a1740a6d2789ec32d851a00919531e66bbd21ec6ea,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 187} Poseidon Group ged with embedded, executable elements inside office documents and extensive lateral movement tools. The information exfiltrated is then leveraged by a company front to blackmail victim companies into contracting the Poseidon Group as a security firm. Even when contracted, the Poseidon Group may continue its infection or initiate another infection at a later time, persisting on the network to continue data collection beyond its contractual obli",
1.0.0,actor--poseidon-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:82d0d3e400078d622a39140bdbef1fd8998e13b1846e0f0c2622e3b616fc2a22,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Poseidon Group ........................................................ 184 Platinum ............................................................................................................................................... 186 Poseidon Group .................................................................................................................................. 187 Promethium .......................................................................",
1.0.0,actor--poseidon-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:e23ed684a77336bfc2b945ed40c3918d34e074b4e57ac5c8d5c1312c095b54e2,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 187} Poseidon Group Threat Group Cards: A Threat Actor Encyclopedia 187 Poseidon Group Names Poseidon Group (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) During the latter part of 2015, Kaspersky researchers from G reAT (Global Research and Analysis",
1.0.0,actor--poseidon-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:3d18a376be3099e1431bcb2beb4e75f64c9a6e7be0b924f2b8ef1bdeae7071e8,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 187} Poseidon Group Threat Group Cards: A Threat Actor Encyclopedia 187 Poseidon Group Names Poseidon Group (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) During the latter part of 2015, Kaspersky researchers from G reAT (Global Research and Analysis Team) got hold of the",
1.0.0,actor--poseidon-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:1ef5c79421de5213c205fb16de9e50da0c5e8e1b96a0fd1dceb90c34e9dc13ed,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--poseidon-group--b291669877e32a4f,actor_profile/evidence/poseidon-group.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 187} Poseidon Group ampaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive framework. The Poseidon Group is a long-running team operating on all domains: land, air, and sea. They are dedicated to running targeted attacks campaigns to aggressively collect information from company networks through the use of spear-phishing",
