schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--prince-of-persia,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:b39dd199cb02b4de19f65ab0a1bf08691f898c46e449eb6e4e170cdf4442ad6a,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,2022-06-01T00:00:00Z,month,known,same-record,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 19} APT-C-50 ·伊朗Phosphorus组织攻击以色列和美国前高级官员 ·游走于中东的魅影--APT组织AridViper近期攻击活动分析 ·Lyceum组织以军事热点事件为诱饵针对中东地区的定向攻击 ·Cunning Kitten针对中东相关人士的威胁组织 ·Bahamut Android恶意软件新变体分析 2022.06 ·MERCURY组织利用Log4j 2漏洞攻击以色列组织2022.08 ·DeftTorero：来自中东的APT组织披露 ·APT-C-50 组织通过“Domestic Kitten”活动监视伊朗公民 2022.10 ·长达十年的持续攻击—针对利比亚的政治主题攻击活动2022.11 社工、钓鱼针对多国地区公民 今年6月份，安恒中央研究院猎影实验室追踪到一系列针对中东相关政治活动人士的攻击活动。经研究，这些 活动来自于一个新的威胁组织，这一攻击者至少自2021年9月便开始活跃，为方便追踪，我们将其命名为 ",
1.0.0,actor--prince-of-persia,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1cf5492cab896149652162f3f755570ead6722c59677db6e3b86565e84289a3c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 123} Prince of Persia Threat Group Cards: A Threat Actor Encyclopedia 123 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description Since early 2013, we have observed activity",
1.0.0,actor--prince-of-persia,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1c7f837ca7e170f51d5e49ad602f97ef6c86d6a0a8eed1132f8a00eaf2afa203,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 123} Prince of Persia Threat Group Cards: A Threat Actor Encyclopedia 123 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description Since early 2013, we have observed activity from a unique threat actor group, which w",
1.0.0,actor--prince-of-persia,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a6e164ee80486cc46036203d0daffb501817572166c558f92e4cb75566081860,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 123} Prince of Persia anti-takeover techniques in an attempt to avoid their C2 domains being sinkholed as we did in 2016. <https://unit42.paloaltonetworks.com/unit42-prince-persia-ride- lightning-infy-returns-foudre/> Counter operation • Prince of Persia – Game Over (2016) <https://unit42.paloaltonetworks.com/unit42-prince-of-persia-game-over/>",
1.0.0,actor--prince-of-persia,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5613c84044e8c52745770e1fd551dda3d565b75752af511e86528b495d189f15,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Prince of Persia ................................... 119 Inception Framework ................................................................................................................................................... 121 Infy, Prince of Persia .................................................................................................................................................... 123 Iridium............................................",
1.0.0,actor--prince-of-persia,artifact--sha256:3bb5b1d1e2c6b317c96a85ac101598dd78035ab5039b0da0c5b9e77320322757,observation--sha256:d3a20f0c40a737550297a5ba347d00649cca3ffbf7be5dd59a7f274009a56b7b,file-name,Bitdefender-Whitepaper-Iranian-APT-Makes-a-Comeback-with-Thunder-and-Lightning-Backdoor-and-Espionage-Combo.pdf,Bitdefender-Whitepaper-Iranian-APT-Makes-a-Comeback-with-Thunder-and-Lightning-Backdoor-and-Espionage-Combo.pdf,candidate,2017-08-01T00:00:00Z,month,known,same-record,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 9, ""sheet"": ""Iran""} APT-C-50 m/2017/08/unit42-prince-persia-ride-lightning-infy-returns-foudre/ https://researchcenter.paloaltonetworks.com/2016/06/unit42-prince-of-persia-game-over/ https://blogs.360.cn/post/APT-C-50.html https://blogs.360.cn/post/APT-C-50.html https://download.bitdefender.com/resources/files/News/CaseStudies/study/393/Bitdefender-Whitepaper-Iranian-APT-Makes-a-Comeback-with-Thunder-and-Lightning-Backdoor-and-Espionage-Combo.pdf https://re",
1.0.0,actor--prince-of-persia,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:98b8d61033a40f9fe9c24d4f0aa0cbc83b15cc6c5f68fabcd325b4baf52aa398,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 123} Prince of Persia Threat Group Cards: A Threat Actor Encyclopedia 123 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description Since early 2013, we have observed activity",
1.0.0,actor--prince-of-persia,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:bbe4fcc5f9ab2c73743e7bb4021de89c552972ba161af81ecbcd26db0fd44a20,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 123} Prince of Persia Threat Group Cards: A Threat Actor Encyclopedia 123 Infy, Prince of Persia Names Infy (Palo Alto) Prince of Persia (Palo Alto) Operation Mermaid (360) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description Since early 2013, we have observed activity from a unique threat actor group, which w",
1.0.0,actor--prince-of-persia,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2ac8d1c10b2fc837a5cfffc07404382e5bfdd1873153893d49500859989a1bc4,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 123} Prince of Persia anti-takeover techniques in an attempt to avoid their C2 domains being sinkholed as we did in 2016. <https://unit42.paloaltonetworks.com/unit42-prince-persia-ride- lightning-infy-returns-foudre/> Counter operation  Prince of Persia – Game Over (2016) <https://unit42.paloaltonetworks.com/unit42-prince-of-persia-game-over/>",
1.0.0,actor--prince-of-persia,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a91df2a6dbc4248583f2a0d9c66d2174ccb86a2f4e7568f3b13017fe3aea63b4,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--prince-of-persia--73144b8a02e0dc50,actor_profile/evidence/prince-of-persia.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} Prince of Persia ............................................................. 119 Inception Framework ......................................................................................................................... 121 Infy, Prince of Persia .......................................................................................................................... 123 Iridium ..............................................................................",
