slug,name,status,source_count,processed_source_count,ingestion_error_count,ioc_count,ioc_observation_count,artifact_count,validation_errors,validation_warnings,ingest_seconds,render_seconds,validate_seconds
acidbox,AcidBox,complete,1,1,0,0,0,3,0,7,0,0.072,0.072
admin-338,admin@338,complete,1,1,0,0,0,25,0,45,0,0.06,0.07
agrius,Agrius,complete,2,2,0,84,84,20,0,160,0,0.076,0.077
ajax-security-team,Ajax Security Team,complete,1,1,0,1,1,26,0,50,0,0.067,0.073
akira,Akira,complete,1,1,0,18,20,180,0,397,0,0.076,0.081
anchor-panda,Anchor Panda,complete,1,1,0,0,0,17,0,34,0,0.057,0.077
andariel,Andariel,complete,1,1,0,6,6,159,0,312,0,0.263,0.079
andromeda-spider,Andromeda Spider,complete,1,1,0,0,0,6,0,13,0,0.234,0.066
anonymous,Anonymous,complete,8,8,0,492,528,1366,0,3327,0,0.317,0.142
antlion,Antlion,complete,1,1,0,0,0,4,0,8,0,0.058,0.074
aoqin-dragon,Aoqin Dragon,complete,1,1,0,0,0,5,0,10,0,0.058,0.075
applejeus,AppleJeus,complete,1,1,0,2,2,84,0,162,0,0.066,0.074
apt-11,APT 11,complete,1,1,0,0,0,3,0,7,0,0.058,0.071
apt-13,APT 13,complete,1,1,0,0,0,3,0,7,0,0.057,0.071
apt-14,APT 14,complete,1,1,0,0,0,9,0,19,0,0.054,0.068
apt-23,APT 23,complete,1,1,0,0,0,13,0,25,0,0.054,0.069
apt-341,APT-341,complete,1,1,0,0,0,1,0,3,0,0.057,0.072
apt-c-01,APT-C-01,complete,1,1,0,1,1,21,0,41,0,0.06,0.083
apt-c-27,APT-C-27,complete,2,2,0,14,15,23,0,59,0,0.062,0.07
apt-c-37,APT-C-37,complete,2,2,0,8,12,10,0,36,0,0.07,0.069
apt-c-44,APT-C-44,complete,1,1,0,0,0,2,0,6,0,0.057,0.07
apt1,APT1,complete,1,1,0,0,0,41,0,80,0,0.066,0.07
apt12,APT12,complete,1,1,0,0,0,25,0,50,0,0.058,0.068
apt16,APT16,complete,1,1,0,0,0,12,0,23,0,0.061,0.071
apt17,APT17,complete,1,1,0,1,1,28,0,54,0,0.06,0.07
apt18,APT18,complete,1,1,0,0,0,42,0,81,0,0.06,0.069
apt19,APT19,complete,1,1,0,1,1,35,0,62,0,0.07,0.084
apt22,APT22,complete,1,1,0,0,0,18,0,36,0,0.056,0.072
apt24,APT24,complete,1,1,0,0,0,1,0,3,0,0.055,0.072
apt25,APT25,complete,1,1,0,0,0,2,0,5,0,0.062,0.073
apt26,APT26,complete,1,1,0,0,0,23,0,45,0,0.089,0.075
apt28,APT28,complete,30,30,0,1180,1398,777,0,2763,0,1.668,0.211
apt288,APT288,complete,1,1,0,0,0,1,0,3,0,0.059,0.079
apt29,APT29,complete,20,20,0,997,1079,481,0,1726,0,1.528,0.803
apt292,APT292,complete,1,1,0,0,0,1,0,3,0,0.115,0.292
apt3,APT3,complete,1,1,0,0,0,0,0,3,0,0.105,0.072
apt30,APT30,complete,1,1,0,0,0,20,0,42,0,0.064,0.073
apt33,APT33,complete,1,1,0,6,11,91,0,189,0,0.168,0.087
apt34,APT34,complete,2,2,0,55,55,1,0,113,0,0.154,0.074
apt37,APT37,complete,18,18,0,363,482,363,0,1035,0,0.52,0.144
apt38,APT38,complete,1,1,0,14,18,148,0,310,0,0.083,0.077
apt39,APT39,complete,1,1,0,0,0,0,0,2,0,0.068,0.077
apt4,APT4,complete,1,1,0,0,0,22,0,44,0,0.057,0.072
apt41,APT41,complete,3,3,0,66,72,17,0,50,0,0.117,0.082
apt42,APT42,complete,1,1,0,11,13,63,0,125,0,0.067,0.072
apt43,APT43,complete,2,2,0,2,2,17,0,42,0,0.074,0.073
apt45,APT45,complete,1,1,0,0,0,22,0,41,0,0.056,0.068
apt5,APT5,complete,1,1,0,0,0,34,0,68,0,0.06,0.066
apt6,APT6,complete,1,1,0,0,0,33,0,66,0,0.052,0.065
apt69,apt69,complete,1,1,0,0,0,2,0,5,0,0.052,0.067
apt73,APT73,complete,1,1,0,0,0,2,0,5,0,0.051,0.066
aquatic-panda,Aquatic Panda,complete,1,1,0,0,0,8,0,16,0,0.064,0.07
arid-viper,Arid Viper,complete,2,2,0,140,148,4,0,160,0,0.178,0.083
