schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--rancor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:65b9dab3b733fbda7140b090a08c8ac854f569b0bff6279aa21b9b34a854c646,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 190} Rancor sed on these factors, Unit 42 believes the attackers behind these attacks are conducting their campaigns for espionage purposes. We believe this group is previously unidentified and therefore have we have dubbed it “Rancor”. The Rancor group’s attacks use two primary malware families which we describe in depth later in this blog and are naming DDKONG and PLAINTEE. DDKONG is used throughout the campaign and PLAINTEE appears to be new ad",
1.0.0,actor--rancor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:83cd125d07c3295e6b9e6c4c2a5d24ad56716417506edcd752ee39defc7542ee,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Rancor ........................................ 188 Putter Panda, APT 2 .................................................................................................................................................... 189 Rancor ............................................................................................................................................................................ 190 Reaper, APT 37, Ricochet Chollima .......",
1.0.0,actor--rancor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:7825a9757ed1d849ffd6e042fbea06334d09993574e533e845c042eb0d759341,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 190} Rancor Threat Group Cards: A Threat Actor Encyclopedia 190 Rancor Names Rancor (Palo Alto) Rancor Group (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highl",
1.0.0,actor--rancor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a46b69d178150b28e32f46d873f41a3174b6a90c015b258ab5dd4215cd260cd0,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 190} Rancor Threat Group Cards: A Threat Actor Encyclopedia 190 Rancor Names Rancor (Palo Alto) Rancor Group (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highly targeted att",
1.0.0,actor--rancor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:3991735e5b63f5d1547a63bb197adbc733d75a293d267468bc0b91f02b3f2524,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 190} Rancor Threat Group Cards: A Threat Actor Encyclopedia 190 Rancor Names Rancor (Palo Alto) Rancor Group (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highly targeted attacks focused in Sout",
1.0.0,actor--rancor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:0dddad4215d1a7b95f3c955b69c11eaf81849049374a21bca2a32d335462d5fe,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 190} Rancor Threat Group Cards: A Threat Actor Encyclopedia 190 Rancor Names Rancor (Palo Alto) Rancor Group (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highl",
1.0.0,actor--rancor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:740cc5c19491af60b8bdee228349150e7f3074a256292bc0dc88f6c2724211b1,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 190} Rancor Threat Group Cards: A Threat Actor Encyclopedia 190 Rancor Names Rancor (Palo Alto) Rancor Group (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highly targeted att",
1.0.0,actor--rancor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7fb46ede77a5d7bc807dda856576977a772ac7674eb67f5347418f55fd06718a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 190} Rancor Threat Group Cards: A Threat Actor Encyclopedia 190 Rancor Names Rancor (Palo Alto) Rancor Group (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highly targeted attacks focused in Sout",
1.0.0,actor--rancor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2db1e7a8fb447ea171865def766fffcbbf616c1ee9406702e5788e9a194e5326,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 190} Rancor sed on these factors, Unit 42 believes the attackers behind these attacks are conducting their campaigns for espionage purposes. We believe this group is previously unidentified and therefore have we have dubbed it “Rancor”. The Rancor group’s attacks use two primary malware families which we describe in depth later in this blog and are naming DDKONG and PLAINTEE. DDKONG is used throughout the campaign and PLAINTEE appears to be new ad",
1.0.0,actor--rancor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:da4b950f198aef9bde041c73792fcd442bcc6637eca30d485cfe24bbf63e78cc,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rancor--8095b52ae8a88b34,actor_profile/evidence/rancor.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Rancor .................................................................. 188 Putter Panda, APT 2 .......................................................................................................................... 189 Rancor .................................................................................................................................................. 190 Reaper, APT 37, Ricochet Chollima..................................",
