schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--redecho,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:3f96fba6274c490e0059bffcd186fe10363b73c5a9e88479f496792b938e9bc4,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 11, ""sheet"": ""China""} RedEcho Winnti Group Wicked Panda BRONZE ATLAS APT41 Winnti Umbrella, BARIUM, LEAD, RedEcho, Vanadinite, TAG-22 G0044 Winnti, AceHash, PlugX, Webshells, ZxShell, ShadowPad ThyssenKrupp, Gameforge, Valve, Teamviewer,Siemens, Sumitomo, BASF, Covestro, Shin-Etsu, Bayer, Roche Deep Panda, Wicked Spider http://blog",
1.0.0,actor--redecho,artifact--sha256:6d3ccd352a38c75927480ff242e93287bca5eb1842e630b2317148d1af946e1f,observation--sha256:342a140e8d21250860e78aab327937ef688531c797e7d2f288a82400f61320a7,file-name,RedFoxtrot_group.pdf,RedFoxtrot_group.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/RedFoxtrot_group.pdf {""page"": 11} RedEcho viders, and government organizations at a time of heightened tension between China and India. We also recently revealed a campaign targeting critical infrastructure within India that we attributed to a group called RedEcho. While the RedEcho campaign posed pre-positioning concerns within India’s electricity system, RedFoxtrot’s activity is more aligned with traditional PLA- linked activity in gathering military intelligence.",
1.0.0,actor--redecho,artifact--sha256:6d3ccd352a38c75927480ff242e93287bca5eb1842e630b2317148d1af946e1f,observation--sha256:78bc57d23d4e8a87935408350443ac9318432aedaf5c06052cde685af008aeb6,file-name,RedFoxtrot_group.pdf,RedFoxtrot_group.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/RedFoxtrot_group.pdf {""page"": 11} RedEcho ment organizations at a time of heightened tension between China and India. We also recently revealed a campaign targeting critical infrastructure within India that we attributed to a group called RedEcho. While the RedEcho campaign posed pre-positioning concerns within India’s electricity system, RedFoxtrot’s activity is more aligned with traditional PLA- linked activity in gathering military intelligence. These differing s",
1.0.0,actor--redecho,artifact--sha256:6d3ccd352a38c75927480ff242e93287bca5eb1842e630b2317148d1af946e1f,observation--sha256:76f0d1ebb8d1644487771230b3b6f079d09f8079aca889efad320d7d86966c6d,file-name,RedFoxtrot_group.pdf,RedFoxtrot_group.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/RedFoxtrot_group.pdf {""page"": 7} RedEcho tr) hosting providers in recent times • Use of AXIOMATICASYMPTOTE infrastructure, indicative of the group’s likely access to the ShadowPad backdoor As previously referenced in our reporting on the China-linked group RedEcho, network infrastructure used in ShadowPad infections is tracked by Insikt Group as AXIOMATICASYMPTOTE. AXIOMATICASYMPTOTE and PlugX Clusters Using Recorded Future adversary infrastructure detection methods",
1.0.0,actor--redecho,artifact--sha256:6ac83dc132aeab4100fdbd5b70c448a288c5246f5ce7631259f5ffad0318215e,observation--sha256:bf90b8e4d1e6098972729cb89cfec2685f7d398da2db178e35cdc9be56139b3c,file-name,china-cyber-report.pdf,china-cyber-report.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/china-cyber-report.pdf {""page"": 49} RedEcho rochemical and industrial manufacturing entities in East Asia, 648 as well as entities in unspecified sectors in Japan.649 CrowdStrike has not publicly acknowledged any other firms’ aliases for Stalker Panda. REDECHO RedEcho is a PRC-aligned threat actor that targeted Indian critical infrastructure sectors in 2020. Information about this group is very limited, and no threat research group has publicly connected RedEcho to ",
1.0.0,actor--redecho,artifact--sha256:6ac83dc132aeab4100fdbd5b70c448a288c5246f5ce7631259f5ffad0318215e,observation--sha256:2a5e7d4759609f3d14f84a8ddce4fedb0fadea4fd2da8d6f50fcca4d9ba3c9ed,file-name,china-cyber-report.pdf,china-cyber-report.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/china-cyber-report.pdf {""page"": 37} RedEcho perspective/china/ china-perspectives_13.pdf).  Recorded Future research supports the Indian govern- ment’s assessment that the intrusions may have originated in Chengdu. The security firm attributed the activity to RedEcho, whose infrastructure and targeting reportedly strongly overlaps with Chengdu-based460 APT41461 and the possibly Shenyang-based462 Tonto Team. Less is known about the adversaries responsible for the In",
1.0.0,actor--redecho,artifact--sha256:6ac83dc132aeab4100fdbd5b70c448a288c5246f5ce7631259f5ffad0318215e,observation--sha256:51b48322bc43c52fdd940167acc28120c3da5750941316181e84565f2406b508,file-name,china-cyber-report.pdf,china-cyber-report.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/china-cyber-report.pdf {""page"": 37} RedEcho ivocally stated in April 2022 that “Chinese hackers” had twice targeted electricity distribu- tion centers in the Ladakh region, which borders China.464 For more information, refer to threat actors and activity groups RedEcho, Chengdu-based individuals, and Tonto Team in Appendix A . Assessment  Some of these intrusions likely served to degrade Indian public and executive will to continue or escalate the border conflict. ",
1.0.0,actor--redecho,artifact--sha256:6ac83dc132aeab4100fdbd5b70c448a288c5246f5ce7631259f5ffad0318215e,observation--sha256:fdf4366f7f43b6e20188afb8505d1fbf57e8fa778af079d569338f89e3dea716,file-name,china-cyber-report.pdf,china-cyber-report.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/china-cyber-report.pdf {""page"": 3} REDECHO 1 Disputing the Border with India (2020–2022) 32 CONCLUSION 35 APPENDIX A: THREAT ACTORS AND ACTIVITY CLUSTERS 36 HURRICANE PANDA 36 1937CN TEAM/GOBLIN PANDA 39 CHENGDU-BASED INDIVIDUALS 41 TONTO TEAM 44 TICK 45 REDECHO 45 APT1 46 ENDNOTES 47 This report is based solely on open source research and analysis and was completed for research purposes. The opinions within do not represent the official opinions of Booz Allen Hamil",
1.0.0,actor--redecho,artifact--sha256:6ac83dc132aeab4100fdbd5b70c448a288c5246f5ce7631259f5ffad0318215e,observation--sha256:faf0d99e5649e83a9690c1dc4e01f8819df0b11f8122d53a9a0e31bed0d4210a,file-name,china-cyber-report.pdf,china-cyber-report.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/china-cyber-report.pdf {""page"": 49} REDECHO geted petrochemical and industrial manufacturing entities in East Asia, 648 as well as entities in unspecified sectors in Japan.649 CrowdStrike has not publicly acknowledged any other firms’ aliases for Stalker Panda. REDECHO RedEcho is a PRC-aligned threat actor that targeted Indian critical infrastructure sectors in 2020. Information about this group is very limited, and no threat research group has publicly connected Re",
1.0.0,actor--redecho,artifact--sha256:018598a2e670a2afe52dee43a4f3f5a3268d4b74f1e00cb87c2cb4fe8728dc7f,observation--sha256:d5df4c560b0a04fbf8b09a4c92e71963fb68745cece6de94c63f365cc1534989,file-name,china-perspectives_13.pdf,china-perspectives_13.pdf,candidate,,unknown,unknown,not-stated,,source--redecho--4a282ff8f30b9f93,actor_profile/evidence/redecho.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/china-cyber-report.pdf {""page"": 37} RedEcho perspective/china/ china-perspectives_13.pdf).  Recorded Future research supports the Indian govern- ment’s assessment that the intrusions may have originated in Chengdu. The security firm attributed the activity to RedEcho, whose infrastructure and targeting reportedly strongly overlaps with Chengdu-based460 APT41461 and the possibly Shenyang-based462 Tonto Team. Less is known about the adversaries responsible for the In",
