schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--rocke,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1fed38270bd322ce58cbd17cb2b847f819d264bd47cd7d1f6c10d6de64970f09,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 268} Rocke s about the actor. Observed Tools used Apache Struts and Xbash. Operations performed Jan 2019 Palo Alto Networks Unit 42 recently captured and investigated new samples of the Linux coin mining malware used by the Rocke group. The family was suspected to be developed by the Iron cybercrime group and it’s also associated with the Xbash malware we reported on in September of 2018. The threat actor Rocke was originally revealed by Tal",
1.0.0,actor--rocke,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:0815f4baa1c186a07f18edabdd3c0cba8754cf51f508a0ed083d7d6b59fcb2f5,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 7} Rocke .................................. 266 Pinchy Spider ................................................................................................................................................................ 267 Rocke ............................................................................................................................................................................. 268 Shadow Brokers .........................",
1.0.0,actor--rocke,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1427ed8e68ce3ee7550baede801129950083938af20eef247caf842e1534dba1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 266} Rocke Group has been using a cryptomining malware that has gone undetected on other engines. <https://www.intezer.com/blog-pacha-group-deploying-undetected- cryptojacking-campaigns/> May 2019 Pacha Group Competing against Rocke Group for Cryptocurrency Mining Foothold on the Cloud <https://www.intezer.com/blog-technical-analysis-cryptocurrency- mining-war-on-the-cloud/> Information <https://www.intezer.com/blog-technical-analysis-pacha-grou",
1.0.0,actor--rocke,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:d571f141df709fcb6ee94db41e35d710f9e2c1b15cbb9ef8e4cc48d9f6ec1c10,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 268} Rocke Threat Group Cards: A Threat Actor Encyclopedia 268 Rocke Names Rocke (Talos) Country China Motivation Financial gain Description (Talos) This threat actor initially came to our attention in April 2018, leveraging both Western and Chinese Git repositories to deliver malwa",
1.0.0,actor--rocke,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:ea5cb163435f89040ca5deec00d86358ef49784503503c71a4a0c45fd675ad2b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 268} Rocke Threat Group Cards: A Threat Actor Encyclopedia 268 Rocke Names Rocke (Talos) Country China Motivation Financial gain Description (Talos) This threat actor initially came to our attention in April 2018, leveraging both Western and Chinese Git repositories to deliver malware to honeypo",
1.0.0,actor--rocke,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:66343708674e0f9fa3cefa74bc23d03e0a4c316c4f030e6a9039dd11850c1b90,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 265} Rocke Group has been using a cryptomining malware that has gone undetected on other engines. <https://www.intezer.com/blog-pacha-group-deploying-undetected- cryptojacking-campaigns/> May 2019 Pacha Group Competing against Rocke Group for Cryptocurrency Mining Foothold on the Cloud <https://www.intezer.com/blog-technical-analysis-cryptocurrency- mining-war-on-the-cloud/> Information <https://www.intezer.com/blog-technical-analysis-pacha-grou",
1.0.0,actor--rocke,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:cecbb0a6f499a28cad94a0c127c1ab6358b240279597deeee81698a6aea7f52b,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 267} Rocke Threat Group Cards: A Threat Actor Encyclopedia 267 Rocke Names Rocke (Talos) Country China Motivation Financial gain Description (Talos) This threat actor initially came to our attention in April 2018, leveraging both Western and Chinese Git repositories to deliver malwa",
1.0.0,actor--rocke,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:496d152e37448acb0b15c34ff43ad81a831182da3ac00e388f051cc95eb6d2bb,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 267} Rocke Threat Group Cards: A Threat Actor Encyclopedia 267 Rocke Names Rocke (Talos) Country China Motivation Financial gain Description (Talos) This threat actor initially came to our attention in April 2018, leveraging both Western and Chinese Git repositories to deliver malware to honeypo",
1.0.0,actor--rocke,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:e27e109f312a8559423d3214d247d624a31acc5d2f4db693fc03cdfc71d15c5d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 267} Rocke s about the actor. Observed Tools used Apache Struts and Xbash. Operations performed Jan 2019 Palo Alto Networks Unit 42 recently captured and investigated new samples of the Linux coin mining malware used by the Rocke group. The family was suspected to be developed by the Iron cybercrime group and it’s also associated with the Xbash malware we reported on in September of 2018. The threat actor Rocke was originally revealed by Tal",
1.0.0,actor--rocke,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:aeb327f3f18353a67fbbdfeca68052b62531b4949d99b4160251faebd0da040f,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 7} Rocke ............................................................ 265 Pinchy Spider ...................................................................................................................................... 266 Rocke ................................................................................................................................................... 267 Shadow Brokers ...................................................",
1.0.0,actor--rocke,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:f37d5092d6182541144be4cb51da61889f223d83efd5e590fe9986bc39deea42,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 308} Rocke atistics on attacked companies S ton e P an da 17% E mi ssary P an da 16% Mustan g P an da 1 4%A P T41 13% Vi ci ous P an da 1 2 % L otus P an da 1 0 % Ov e rri de P an da 7 % Comme n t P an da 3 % Turbi n e P an da 2 % Rocke 1 % Karma P an da 5% 308 Contents Modern Asian APT Groups: Tactics, Techniques and Procedures",
1.0.0,actor--rocke,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:4b0d41438ad0770068fcc7a8947906c0e1a698556cbf1473c8ffbca0222ffed4,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 311} Iron Group A) • WebMasters (Kaspersky) • KungFu Kittens (FireEye) • Group 13 (Talos) • PinkPanther (RSA) • Bronze Express (SecureWorks) • JerseyMikes Brazil Russia Algeria Germany India 11% 8% 8% 8% 6% 2% Rocke Aliases: • Iron Group (Intezer) Russia France Brazil China India 21% 17% 8% 6% 4% 1% 311 Contents Modern Asian APT Groups: Tactics, Techniques and Procedures",
1.0.0,actor--rocke,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:855b439fdd2f688bfc1b8478b71ff46320a4dfc73521b436c76dc309b2d7a9ef,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 29}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 311} Rocke ) • Shell Crew (RSA) • WebMasters (Kaspersky) • KungFu Kittens (FireEye) • Group 13 (Talos) • PinkPanther (RSA) • Bronze Express (SecureWorks) • JerseyMikes Brazil Russia Algeria Germany India 11% 8% 8% 8% 6% 2% Rocke Aliases: • Iron Group (Intezer) Russia France Brazil China India 21% 17% 8% 6% 4% 1% 311 Contents Modern Asian APT Groups: Tactics, Techniques and Procedures",
1.0.0,actor--rocke,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:2a99aad9c37ca922742c73cb8887a3b72cd5f95fc83908b6a35f8cfb8e12ba8a,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 30}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 312} Rocke al sector 35% 34% 31% Karma Panda Agriculture IT Industrial sector 39% 33% 28% Comment Panda Government Industrial sector Healthcare 40% 40% 20% Turbine Panda Agriculture Industrial sector IT 40% 40% 20% Rocke Energy industry Healthcare IT 37% 34% 29% 312 Contents Modern Asian APT Groups: Tactics, Techniques and Procedures",
1.0.0,actor--rocke,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:1f95e86b0badd3448673a8459588fae91543ab969e3d322e54afbd00455fdda3,file-name,Operations.xlsx,Operations.xlsx,candidate,2018-09-01T00:00:00Z,month,known,same-record,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 43, ""sheet"": ""China""} Iron Group Iron Group Rocke XBash Cybercrime, Cryptomining, Cryptojacking https://researchcenter.paloaltonetworks.com/2018/09/unit42-xbash-combines-botnet-ransomware-coinmining-worm-targets-linux-windows/ https://blog.talosintelligence.com/2",
1.0.0,actor--rocke,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:b212d9f4e60fd7904db02f5af87fd8661cf1b446b33c96db18fecfd50f9ce9dc,file-name,Operations.xlsx,Operations.xlsx,candidate,2018-09-01T00:00:00Z,month,known,same-record,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 43, ""sheet"": ""China""} Rocke Iron Group Rocke XBash Cybercrime, Cryptomining, Cryptojacking https://researchcenter.paloaltonetworks.com/2018/09/unit42-xbash-combines-botnet-ransomware-coinmining-worm-targets-linux-windows/ https://blog.talosintelligence.com/2018/12",
1.0.0,actor--rocke,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:7219f5c5582ead22ad6c3df6a9c33d65ee9d640ea5c72c496f830af54865f33d,file-name,Operations.xlsx,Operations.xlsx,candidate,2018-09-01T00:00:00Z,month,known,same-record,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 43, ""sheet"": ""China""} rocke .com/2018/09/unit42-xbash-combines-botnet-ransomware-coinmining-worm-targets-linux-windows/ https://blog.talosintelligence.com/2018/12/cryptomining-campaigns-2018.html https://unit42.paloaltonetworks.com/malware-used-by-rocke-group-evolves-to-evade-detection-by-cloud-security-products/ https://blog.talosintelligence.com/2018/08/rocke-champion-of-monero-miners.html https://www.anomali.com/blog/rocke-evolves-its-arsenal-with-a-new-",
1.0.0,actor--rocke,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:3ea81cb56a2d2bd5bc921a9f8206d1ff34a85cbfb6cbf78e474d22cc51f85606,file-name,Operations.xlsx,Operations.xlsx,candidate,2018-12-01T00:00:00Z,month,known,same-record,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 43, ""sheet"": ""China""} rocke intelligence.com/2018/12/cryptomining-campaigns-2018.html https://unit42.paloaltonetworks.com/malware-used-by-rocke-group-evolves-to-evade-detection-by-cloud-security-products/ https://blog.talosintelligence.com/2018/08/rocke-champion-of-monero-miners.html https://www.anomali.com/blog/rocke-evolves-its-arsenal-with-a-new-malware-family-written-in-golang#When:18:10:00Z",
1.0.0,actor--rocke,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:3bb1ba4742c617dcdbcd7e0303f79ea056c8f1e301ba0db4c60af41fee313ca9,file-name,Operations.xlsx,Operations.xlsx,candidate,2018-08-01T00:00:00Z,month,known,same-record,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 43, ""sheet"": ""China""} rocke unit42.paloaltonetworks.com/malware-used-by-rocke-group-evolves-to-evade-detection-by-cloud-security-products/ https://blog.talosintelligence.com/2018/08/rocke-champion-of-monero-miners.html https://www.anomali.com/blog/rocke-evolves-its-arsenal-with-a-new-malware-family-written-in-golang#When:18:10:00Z",
1.0.0,actor--rocke,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:acbb22a2a937f613b874f9a2465c33055688c579672ccbad11b50d12de7495db,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--rocke--fab01aae2a18c470,actor_profile/evidence/rocke.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 405} Iron Group has been using a cryptomining malware that has gone undetected on other engines. <https://www.intezer.com/blog-pacha-group-deploying-undetected- cryptojacking-campaigns/> May 2019 Pacha Group Competing against Rocke, Iron Group Group for Cryptocurrency Mining Foothold on the Cloud <https://www.intezer.com/blog-technical-analysis-cryptocurrency- mining-war-on-the-cloud/> Information <https://www.intezer.com/blog-technical-analysis-pacha-grou",
