schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--sandcat,artifact--sha256:2ffca8c30fdaad592c1c0b8012844b0548d16f07d1e389bc4d40fe7ac8c509f5,observation--sha256:56ea0887a1f7b81e7b2bfcd5bc9633c6701a8d034543975166bb2caeccdf6b31,file-name,Countries.pdf,Countries.pdf,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Candiru/Tracking Candiru’s DevilsTongue Spyware in Multiple Countries.pdf {""page"": 9} SandCat as previously been associated with Candiru. It has been observed in use by threat actor groups such as Stealth Falcon and SandCat, the latter believed to be linked to the Uzbek government. SandCat drew significant attention in 2019 due to a series of operational security errors that not only exposed multiple zero-day vulnerabilities but also enabled direct attribution to Uzbekistanʼs St",
1.0.0,actor--sandcat,artifact--sha256:2ffca8c30fdaad592c1c0b8012844b0548d16f07d1e389bc4d40fe7ac8c509f5,observation--sha256:1973914833d2e47cfa018a543938fd0c96f390e97c69994ddb8db3c3c67b5f72,file-name,Countries.pdf,Countries.pdf,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Candiru/Tracking Candiru’s DevilsTongue Spyware in Multiple Countries.pdf {""page"": 9} SandCat analysis. Overlap with CHAINSHOT CHAINSHOT is an exploit kit that has previously been associated with Candiru. It has been observed in use by threat actor groups such as Stealth Falcon and SandCat, the latter believed to be linked to the Uzbek government. SandCat drew significant attention in 2019 due to a series of operational security errors that not only exposed multiple zero-day",
1.0.0,actor--sandcat,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:48cec322313ccc01e975f2bb15954e30d736e9c52bc95637487905f213b7238b,file-name,Operations.xlsx,Operations.xlsx,candidate,2017-02-01T00:00:00Z,month,known,same-record,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 15, ""sheet"": ""Iran""} Sandcat te data from computers in the Saudi transportation sector. Commercial entities, Middle East, US, South Korea, DND focussed entities, Airlines, Airline suppliers. possibly associated with Rocket Kitten and Cobalt Gypsy, Sandcat, use Recruitment themes http://researchcenter.paloaltonetworks.com/2017/02/unit42-magic-hound-campaign-attacks-saudi-targets/ https://securityintelligence.com/the-full-shamoon-how-the-devastating-malware-w",
1.0.0,actor--sandcat,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:23ec0a881238d01ce0c7dc114bd96dca15e06e1f9c998e53d5f632247c9d3ce6,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 17, ""sheet"": ""Middle East""} Sandcat Sandcat CHAINSHOT, FinFisher/FinSpy, CVE-2018-8589 https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/",
1.0.0,actor--sandcat,artifact--sha256:3105f86654fa009126011a7bc80479b1a2e9a9a0c2bd041be10bf8986782f77d,observation--sha256:6158f5e0bdb46844fbde91af676c7dcc785df2526bc4573f6d9db7ac4601779b,file-name,Report-qianxin.pdf,Report-qianxin.pdf,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Global APT Mid-2022 Report-qianxin.pdf {""page"": 48} SandCat 由于动荡不安的政治局势，中东地区的网络攻击活动十分频繁，涉及的 APT 组织众多，攻击目标也极具 复杂性，不仅针对特定行业，也会对人权活动家、立法者、官员甚至总统等个人目标进行攻击。 中东地区的组织与行动 Middle East 中东 APT 组织 攻击能力 MuddyWater APT34/ OilRig APT33 FruityArmor SandCat 黄金鼠 利刃鹰 诺崇狮 双尾蝎 + ++ ++ ++ ++ + + + + 第五章 地缘下的 APT 组织、活动和趋势 / 全球高级持续性威胁（APT）2022 年中报告",
1.0.0,actor--sandcat,artifact--sha256:3105f86654fa009126011a7bc80479b1a2e9a9a0c2bd041be10bf8986782f77d,observation--sha256:60fe481dc4adbaa07bf8c317c0b51dddc16ea6df640a146637801edbd526161b,file-name,Report-qianxin.pdf,Report-qianxin.pdf,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Global APT 2022 Annual Report-qianxin.pdf {""page"": 61} SandCat 频繁，涉及的 APT 组织众多，攻击目标也极具复杂性。地区主要强国激烈地争夺地缘资本、 经济利益和权力地位，使该地区充满了各种疑似政府背景的情报监控和网络间谍活动。奇安信威胁情报 中心通过对中东地区复杂的网络攻击活动进行长期追踪和挖掘，率先披露过该地区的多个 APT 组织。 中东地区的组织与行动 Middle East 中东 APT 组织 攻击能力 MuddyWater APT34/ OilRig APT33 FruityArmor SandCat 黄金鼠 利刃鹰 诺崇狮 双尾蝎 + ++ ++ ++ ++ + + + +",
1.0.0,actor--sandcat,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:68ed68410d28dbd4c5baed73dbbf7a745231e6ec835dbc81023f64a0a73f87cf,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 280} SandCat Threat Group Cards: A Threat Actor Encyclopedia 280 SandCat Names SandCat (Kaspersky) Country Uzbekistan Sponsor State-sponsored, Military Unit 02616 Motivation Information theft and espionage First seen 2018 Description (Kaspersky) SandCat is a relatively new APT group; w",
1.0.0,actor--sandcat,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:ffb4211aa8089195cdc22b57c7afd082259dfa9c169149dcdf3a317ce44176e5,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 280} SandCat Threat Group Cards: A Threat Actor Encyclopedia 280 SandCat Names SandCat (Kaspersky) Country Uzbekistan Sponsor State-sponsored, Military Unit 02616 Motivation Information theft and espionage First seen 2018 Description (Kaspersky) SandCat is a relatively new APT group; we first observe",
1.0.0,actor--sandcat,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:3f933d554a9200ad8c3d18084eb42538e3b5d0f6b55d05c7d83e4e4c71f92326,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 280} SandCat Actor Encyclopedia 280 SandCat Names SandCat (Kaspersky) Country Uzbekistan Sponsor State-sponsored, Military Unit 02616 Motivation Information theft and espionage First seen 2018 Description (Kaspersky) SandCat is a relatively new APT group; we first observed them in 2018, although it would appear they have been around for some time,” Costin Raiu, director of global research and analysis team at Kaspersky Lab, told Threatpos",
1.0.0,actor--sandcat,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:51295d156304164a32e4968f188567a16c32043f71d9a7e3710ae51769f9238f,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--sandcat--5e6b2956121d3148,actor_profile/evidence/sandcat.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 280} SandCat stin Raiu, director of global research and analysis team at Kaspersky Lab, told Threatpost. “They use both FinFisher/FinSpy [spyware] and the CHAINSHOT framework in attacks, coupled with various zero-days. Targets of SandCat have been mostly observed in Middle East, including but not limited to Saudi Arabia. Observed Countries: Saudi Arabia and Middle East. Tools used FinFisher, CHAINSHOT and several 0-days. Information <https://threatp",
