schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--scarlet-mimic,artifact--sha256:3548e32c790eaa35fb535513c8830e60a9b95e78c8b9908b65f654704b6335f1,observation--sha256:9a0abc86d2a84d1baf701309cca35de7295764f9ddb4e1f8fe33322102076df7,file-name,APT-blackberry-mobile-malware-report.pdf,APT-blackberry-mobile-malware-report.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/APT-blackberry-mobile-malware-report.pdf {""page"": 12} SCARLET MIMIC . After further investigating the Citizen Lab report, BlackBerry researchers connected the 2012 mobile attacks on activists to several well-known, traditional desktop APT espionage groups including REAVER (aka SUTR), SCARLET MIMIC, and LOTUSBLOSSOM, whose tools notably do not typically include mobile malware . Instead, REAVER and LOTUSBLOSSOM are better known for Windows-based espionage campaigns linked to recent at",
1.0.0,actor--scarlet-mimic,artifact--sha256:3548e32c790eaa35fb535513c8830e60a9b95e78c8b9908b65f654704b6335f1,observation--sha256:c475af7be6422f97e73383a33a70db89bd12254b3bdb617b8b1081f97ad7181d,file-name,APT-blackberry-mobile-malware-report.pdf,APT-blackberry-mobile-malware-report.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/APT-blackberry-mobile-malware-report.pdf {""page"": 12} SCARLET MIMIC which would indicate that iOS devices were likely targeted around the same timeframe . • Several other dynamic DNS domains linked to this early attack continued to resolve into the present and connect to REAVER/SUTR, SCARLET MIMIC, and even LOTUSBLOSSOM . This would again indicate either shared infrastructure among different APT groups with vastly different targeting priorities, which in the BlackBerry researcher’s ",
1.0.0,actor--scarlet-mimic,artifact--sha256:3548e32c790eaa35fb535513c8830e60a9b95e78c8b9908b65f654704b6335f1,observation--sha256:8a0cd138820cbe95c063e51ccee7f70509e2dcd837296a0992433502ebe598ca,file-name,APT-blackberry-mobile-malware-report.pdf,APT-blackberry-mobile-malware-report.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/APT-blackberry-mobile-malware-report.pdf {""page"": 5} SCARLET MIMIC a .k .a . SUTR), whose previously observed campaigns involve desktop malware and a range of Western economic and government espionage targets . Several other well-known Chinese APT groups, including LOTUS BLOSSOM and SCARLET MIMIC, are also linked to this activity . • Targets of interest are the focus of a cross-platform (mobile and desktop malware) espionage campaign utilizing newly identified malware families for A",
1.0.0,actor--scarlet-mimic,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:d0e42cf241120d26f187986c3867f1c5e98c3e912bbce219e73d2248251533ef,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 200} Scarlet Mimic Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly lin",
1.0.0,actor--scarlet-mimic,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:18b5354139b89d745cf66a0af44bf48b090478210ea64442dfd277b7c361b092,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 200} Scarlet Mimic Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government s",
1.0.0,actor--scarlet-mimic,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:fa652d650f727ae48d663b4eba4e1f570fb336ab7c8f641e0eb01563b0ec22cc,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 200} Scarlet Mimic Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While",
1.0.0,actor--scarlet-mimic,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:effd54df209e652d973ae0759fdbbf4581d44097215c0d82bb3c43bf71c4ffdf,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 200} Scarlet Mimic activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While there is some overlap between IP addresses used by Scarlet Mimic and Putter Panda, APT 2, it has not been concluded that the groups are the same. (Palo Alto) The attacks began over four years ago and their targeting pattern suggests that this adversary’s primary mission is t",
1.0.0,actor--scarlet-mimic,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5662fd54199c19de71fa51705c2e5198a5c7e85a408c53be29fc6eb1792e4014,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Scarlet Mimic hreat Actor Encyclopedia 6 ScarCruft ........................................................................................................................................................................ 198 Scarlet Mimic ................................................................................................................................................................. 200 Sea Turtle .........................................",
1.0.0,actor--scarlet-mimic,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:ff1349e12f0f283a2ac9729151a6db479cf1338f87a1d1192a9b1b3b870f8139,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 200} Scarlet Mimic Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government s",
1.0.0,actor--scarlet-mimic,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fd8b7533bcabf626d25ee4256236d648ddefe90a3d705ee8f1e02eaeb7c156e7,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--scarlet-mimic--acbd26686ff28a4f,actor_profile/evidence/scarlet-mimic.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 200} Scarlet Mimic Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While",
