schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--shamoon,artifact--sha256:e996d8b6e64f5986d78428157079a70833bf39f3d2d721e02af052379f030148,observation--sha256:6b547990d0173e667d3edc3f4bee2f188f5a6f60ad3b64ed41b9d81ffff028e1,command,"A_Threat_Actor_Encyclopedia.pdf {""page"": 169} Shamoon certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org","A_Threat_Actor_Encyclopedia.pdf {""page"": 169} Shamoon certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org",candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 169} Shamoon certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org",
1.0.0,actor--shamoon,artifact--sha256:856635a3ca4fc588d5336bc5f74f22ba52e81ea1c5b0562e0e289544efdde059,observation--sha256:112e34f16a0791a6a7ac4b65320452442b87c64d9d88f3022a4607bacb2c53d8,command,"Threat Group Cards.pdf {""page"": 169} Shamoon certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org","Threat Group Cards.pdf {""page"": 169} Shamoon certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org",candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 169} Shamoon certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org",
1.0.0,actor--shamoon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8c22365dcdb945e37ddf84aaa45123bce19390f297467b316cbcbbf28eb8ff39,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 33} SHAMOON n theft, espionage and sabotage Description (FireEye) When discussing suspected Middle Eastern hacker groups with destructive capabilities, many automatically think of the suspected Iranian group that previously used SHAMOON – aka Disttrack – to target organizations in the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, wh",
1.0.0,actor--shamoon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:be38b9c3f409b18571a7cf3eccd34f843b042553a57adc3b31f1f5c51e198475,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 33} Shamoon . Countries: Saudi Arabia, South Korea and USA. Tools used AutoIt backdoor, DarkComet, DROPSHOT, Empire, LaZagne, Mimikatz, NanoCore RAT, NETWIRE RC, PoshC2, PowerSploit, POWERTON, PupyRAT, QuasarRAT, Remcos, Ruler, Shamoon, SHAPESHIFT and TURNEDUP. Mar 2019 Attacks on Multiple Organizations in Saudi Arabia and U.S. The Elfin espionage group (aka APT33) has remained highly active over the past three years, attacking at least 50 organiz",
1.0.0,actor--shamoon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:2949d4e4d19bcfaa90d55532d9b68ce3e0443d96a4dadd3e11a81c12ff6e4a16,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 169} Shamoon certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org",
1.0.0,actor--shamoon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:dbc9eb6fd3c4de2ebfb76348ddc4fca6510cd2cafe5934ed9b425f49a19b217f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 169} Shamoon , ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one organization in the energy sector. It is a destructive malware that corrupts files on a compromised computer",
1.0.0,actor--shamoon,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:4af4daff09debf0250627da025563ba50123ff189f80669b0a8286eecfd57d44,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 169} shamoon malware that corrupts files on a compromised computer and overwrites the MBR (Master Boot Record) in an effort to render a computer unusable. Target: Saudi Aramco and Rasgas. <https://www.symantec.com/connect/blogs/shamoon-attacks> May 2016 Targeted Attacks against Banks in the Middle East In the first week of May 2016, FireEye’s DTI identified a wave of emails containing malicious attachments being sent to multiple banks in the Middl",
1.0.0,actor--shamoon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:943dff6dbca316338288d592c052e588ed5d0c7d3e86e7434c29cddc3f3b4f83,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 169} Shamoon certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org",
1.0.0,actor--shamoon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:9623a618c5ec1bcc8ae4b63aa496c195c5babf77b3bdb888f5c2384b5602ec0f,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 169} Shamoon , ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one organization in the energy sector. It is a destructive malware that corrupts files on a compromised computer",
1.0.0,actor--shamoon,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:1e236ea039d4467519e6ccc975c242087b6e851edbccb72527595a27a331e9ea,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--shamoon--f6a320e89012bb39,actor_profile/evidence/shamoon.csv,"{""row"": 29}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 169} shamoon malware that corrupts files on a compromised computer and overwrites the MBR (Master Boot Record) in an effort to render a computer unusable. Target: Saudi Aramco and Rasgas. <https://www.symantec.com/connect/blogs/shamoon-attacks> May 2016 Targeted Attacks against Banks in the Middle East In the first week of May 2016, FireEye’s DTI identified a wave of emails containing malicious attachments being sent to multiple banks in the Middl",
