schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--sharpshooter,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:afdc30d8e08d26f98ce51adb5ea3a311e400ba41587c7b8f83757d4f8b55040f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 132} Sharpshooter ack-seeks-to-steal-data- worldwide/> Aug 2018 Operation “AppleJeus” Target: Cryptocurrency exchange. Method: Fake installer and macOS malware. <https://securelist.com/operation-applejeus/87553/> Oct 2018 Operation “Sharpshooter” Target: 87 organizations in many different sectors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomor",
1.0.0,actor--sharpshooter,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:f2b08d93a530bbafaf8ac77049052efb4b47c91966321de27a8cde3027a29532,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 132} sharpshooter tors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorrow.mcafee.com/other-blogs/mcafee- labs/operation-sharpshooter-targets-global-defense-critical- infrastructure/> Nov 2018 More Attacks on Cryptocurrency Businesses Target: Some of the documents (for instance one entitled “sample document for business plan evaluation of ventu",
1.0.0,actor--sharpshooter,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2ca143e5f1994a05c165f476db186f5aff80de3badd5fa053c3cb6195d5f82b0,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 132} Sharpshooter ack-seeks-to-steal-data- worldwide/> Aug 2018 Operation “AppleJeus” Target: Cryptocurrency exchange. Method: Fake installer and macOS malware. <https://securelist.com/operation-applejeus/87553/> Oct 2018 Operation “Sharpshooter” Target: 87 organizations in many different sectors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorr",
1.0.0,actor--sharpshooter,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:5be2dde52fda9074f2a9cc55707b1fbdcb25f96cf4572b451a971c388989579d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 132} sharpshooter tors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorrow.mcafee.com/other-blogs/mcafee- labs/operation-sharpshooter-targets-global-defense-critical- infrastructure/> Nov 2018 More Attacks on Cryptocurrency Businesses Target: Some of the documents (for instance one entitled “sample document for business plan evaluation of venture c",
1.0.0,actor--sharpshooter,artifact--sha256:8dbf99befed477a862a709b493c539358cb6971a0fe134c6a5e798cbe3b91639,observation--sha256:8b2aa0b8928b9ddee16db634de8ebf5d09bad2e9661cc64c858bbf9ce530861b,file-name,Dream-Job-Campaign.pdf,Dream-Job-Campaign.pdf,candidate,2020-06-17T00:00:00Z,day,known,same-record,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"lazarus/Dream-Job-Campaign.pdf {""page"": 7} sharpshooter ters from international companies in the defense and aerospace sectors. The copycat profiles sent job offers to the targets, and if those showed interest, a 11 mcafee.com/enterprise/en-us/assets/reports/rp-operation-sharpshooter.pdf 12 welivesecurity.com/2020/06/17/operation-interception-aerospace-military-companies-cyberspies/",
1.0.0,actor--sharpshooter,artifact--sha256:8dbf99befed477a862a709b493c539358cb6971a0fe134c6a5e798cbe3b91639,observation--sha256:4cc30b84c679f9b0a1182ec64cf2091ff704e9c98ef40da83cb4082868a4cf09,file-name,Dream-Job-Campaign.pdf,Dream-Job-Campaign.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"lazarus/Dream-Job-Campaign.pdf {""page"": 38} Sharpshooter ncial institutions such as cryptocurrency exchan ges. In the last two years, the group has also been attacking companies affiliated with defense and aviation sectors. Lazarus is also the group behind the ‘Operation Sharpshooter’, a global campaign which targeted nuclear, defense, energy, and financial companies. According to McAfee, attack methods like those found during our investigation has been observed in use by the group in 2017 and 2",
1.0.0,actor--sharpshooter,artifact--sha256:8dbf99befed477a862a709b493c539358cb6971a0fe134c6a5e798cbe3b91639,observation--sha256:4bb406a1f76f77dd510a3606de8bb9ec16b80d42c85ae12933300eece7752133,file-name,Dream-Job-Campaign.pdf,Dream-Job-Campaign.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"lazarus/Dream-Job-Campaign.pdf {""page"": 7} Sharpshooter r revealed some similarity between the source code of the malware that we have found, and known Lazarus samples, specifically those identified in another campaign, from 2018. The campaign analyzed and named “Operation Sharpshooter”11 by McAfee, had targeted 87 organizations in 24 countries in the defense, communications, and energy (also nuclear) sectors. That campaign’s scenario was different from the one we have found, but code similarity",
1.0.0,actor--sharpshooter,artifact--sha256:63c604a3a5aab5de59a72f692685d77d0d9e4b95b360df952b022d23efd32a05,observation--sha256:4f64f8b14c7a38123366b32906161cd93b98f7367819448a6363ac5be10440cb,file-name,The_Lazarus_Constellation.pdf,The_Lazarus_Constellation.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"lazarus/The_Lazarus_Constellation.pdf {""page"": 30} sharpshooter manrights bitcoin apt37 fastcash blockbuster_sequel golddragon redbanc kimsuky_shark2 keymarble sony darkhotel redgambler apt37_rocketman typeframe safebank troydarkseoul fallchill kimsuky electricfish dtrack hermesryuk sharpshooter ratankba intezer apt37_evilnewyear bangladesh_swift volgmer backswap wipall wannacry hiddencobra duuzer kimsuky_mysterybaby deltacharlie Malware family andariel_rifle apt38_dyepack sony_sierraalfa ghosts",
1.0.0,actor--sharpshooter,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:f5ff1bb426a15b0369c3bc344b032c1e3efd5801d7b7ffb7f2397653d6af7421,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 175} Sharpshooter he malware was designed to be planted on the victim’s ATMs, where it could read and store the data of cards that were inserted into the machines. <https://securelist.com/my-name-is-dtrack/93338/> Oct 2018 Operation “Sharpshooter” Target: 87 organizations in many different sectors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorr",
1.0.0,actor--sharpshooter,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:a91405b5320f61d690f402931dab0df9b9248b38f5a3ce41215356908089ad08,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--sharpshooter--b33b001b4b956bdb,actor_profile/evidence/sharpshooter.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 175} sharpshooter tors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorrow.mcafee.com/other-blogs/mcafee- labs/operation-sharpshooter-targets-global-defense-critical- infrastructure/> Nov 2018 More Attacks on Cryptocurrency Businesses Target: Some of the documents (for instance one entitled “sample document for business plan evaluation of venture c",
