schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--sidecopy,artifact--sha256:87e788a56d6705a89532044273bd97a4c85a8165993581a30420c052d31b30df,observation--sha256:ef93774c6c80e742dccc9e2adf27c7d1cb0271c4a80607cdce2ebfb225b4c8c7,command,Figure 1: LNK with fake PDF icon executing remote HTA using mshta.exe.,Figure 1: LNK with fake PDF icon executing remote HTA using mshta.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"page 4 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal BACKGROUND SideCopy campaigns use tactics and techniques that mimic the SideWinder APT group to deploy their own set of malware. For instance, this group actively utilizes artifact names and infection vectors identical to the Sidewinder group. SideCopy infection chains primarily consist of archive files containing malicious LNK files delivered t",
1.0.0,actor--sidecopy,artifact--sha256:100b0c67f3625167900babd844279a126dded5b7ddd693e309a79b14af2fc859,observation--sha256:95348839300cdab973e96f33d1eb42efd78d1f3bf3f09e397053b536f15e7e8f,command,via mshta.exe.,via mshta.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,page 5 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal The latest infection chains have also adopted the practice of displaying a decoy document (PDF) or image to the victims (Figure 3). Stage No. 1 — LNK The malicious LNK contains a command (Figure 4) to run a malicious HTA file hosted on an attacker-controlled website via mshta.exe. Stage No. 2 — HTA The malicious HTA file carries out the followin,
1.0.0,actor--sidecopy,artifact--sha256:70a99069bf2aa8ae1dc3f5a4243da8c53a94993c608f44cc29d908fac9e921e4,observation--sha256:284c62b9dfca724e9cc102e2d74206525ee1d0b73798e8a32aa88c91f383c838,file-name,DUser.dll,DUser.dll,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,page 6 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal • Downloads and executes another malicious HTA file (Stage No. 4) from a remote URL. The decoy document displayed to the victim in this case is an internal Indian Ministry of Defense (MoD) circular related to their Human Resources Management System (HRMS) (Figure 5). Stage No. 3 — Malicious HTA This malicious HTA is similar to those seen previou,
1.0.0,actor--sidecopy,artifact--sha256:c8de3ab83a7a6fea60ee370f7614d0dce6efd54195f50e8793ba231c00d69849,observation--sha256:1ee4081624c29a32f2f4746164fe3ee15fd1bd33def86ee455d83bafd65ce7c0,file-name,Registration.pdf.exe,Registration.pdf.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,page 7 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal This loader DLL also persists Allakore RAT on the endpoint. The side-loaded DLL is then responsible for executing Allakore. Stage No. 4B - Allakore Allakore RAT is a publicly available Delphi-based RAT. It is usually called “Cyrus client” in SideCopy infection chains. Its capabilities include: • Upload and download files. • Capture screenshots f,
1.0.0,actor--sidecopy,artifact--sha256:0396d43f026f1c5ecf6af5f7d6a8b8bef3f5975fb665ec7926779a146be36a06,observation--sha256:cac690646702e17eaf1b3b042046187f312bb36dbf5c97c46fc0ea7f9e665447,file-name,cmd.exe,cmd.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"page 10 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal DETARAT DetaRAT is a previously unknown C#-based implant used by SideCopy. This implant uses a different set of command codes (Figure 9) with a hardcoded key for communicating with its C2 servers. Its malicious capabilities include: • Files management: Create, move, rename and delete directories and files. • File enumeration: Retrieves detailed",
1.0.0,actor--sidecopy,artifact--sha256:0396d43f026f1c5ecf6af5f7d6a8b8bef3f5975fb665ec7926779a146be36a06,observation--sha256:b28712f6a99e490624221b37f2a35d1403976efae2a8362f603f49665c2cf5ae,file-name,cmd.exe,cmd.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"page 11 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal REVERSERAT This is a simple C#-based malware that opens up a reverse shell (Figure 10) to its C2 server using cmd.exe. This reverse shell also has code built into it to monitor removable drive events (Figure 11), such as connection and removal. MARGULASRAT MargualsRAT is distributed via another C#-based dropper (Figure 12) binary. The dropper m",
1.0.0,actor--sidecopy,artifact--sha256:0396d43f026f1c5ecf6af5f7d6a8b8bef3f5975fb665ec7926779a146be36a06,observation--sha256:c99f8c7d4941fde97b1e2ae2e0b37dcdf95ccd3f31ac33a6ed4b9fc2df45f4cd,file-name,cmd.exe,cmd.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"page 12 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal writes it on a disk, and executes it. Runs cmd.exe to terminate itself afterward. • Download more payloads: Receives a name and encoded payload data from the C2, then write it to disk and execute it on the infected endpoint. • Stop communications: Terminate communication session with the C2 until the next run. We’ve observed unimplemented comma",
1.0.0,actor--sidecopy,artifact--sha256:e1556784a7c062b02210b034ef285dbce410dadc3992376fe2a81453a6281ec2,observation--sha256:d415d0771f5822467e9eed786a9485b55c019c28d58ea8119349e29105766f15,file-name,conference.pdf.exe,conference.pdf.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,page 7 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal This loader DLL also persists Allakore RAT on the endpoint. The side-loaded DLL is then responsible for executing Allakore. Stage No. 4B - Allakore Allakore RAT is a publicly available Delphi-based RAT. It is usually called “Cyrus client” in SideCopy infection chains. Its capabilities include: • Upload and download files. • Capture screenshots f,
1.0.0,actor--sidecopy,artifact--sha256:ef2eb5b6eda85156865db3a388c0ab55f206095895f9fd44cf2203f796303005,observation--sha256:093358368b79c1035f914bc2bac7e12c5a03568915a5f7b1a3ac5ff9600908dc,file-name,credwiz.exe,credwiz.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"page 4 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal BACKGROUND SideCopy campaigns use tactics and techniques that mimic the SideWinder APT group to deploy their own set of malware. For instance, this group actively utilizes artifact names and infection vectors identical to the Sidewinder group. SideCopy infection chains primarily consist of archive files containing malicious LNK files delivered t",
1.0.0,actor--sidecopy,artifact--sha256:ef2eb5b6eda85156865db3a388c0ab55f206095895f9fd44cf2203f796303005,observation--sha256:21ef01a8722efe53bcdaf7d2d62de709899d1911b5f56d1b2cf299564e26e9b0,file-name,credwiz.exe,credwiz.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,page 6 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal • Downloads and executes another malicious HTA file (Stage No. 4) from a remote URL. The decoy document displayed to the victim in this case is an internal Indian Ministry of Defense (MoD) circular related to their Human Resources Management System (HRMS) (Figure 5). Stage No. 3 — Malicious HTA This malicious HTA is similar to those seen previou,
1.0.0,actor--sidecopy,artifact--sha256:5b5cf3536c2f0c7b81573281a7823cbcd7ef948f7530871ab54b66ddaff78978,observation--sha256:62ca496e7ab3aa91cb7f44619b5697910fb6af4b6c01bb50819da8aa54b70610,file-name,mshta.exe,mshta.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"page 4 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal BACKGROUND SideCopy campaigns use tactics and techniques that mimic the SideWinder APT group to deploy their own set of malware. For instance, this group actively utilizes artifact names and infection vectors identical to the Sidewinder group. SideCopy infection chains primarily consist of archive files containing malicious LNK files delivered t",
1.0.0,actor--sidecopy,artifact--sha256:5b5cf3536c2f0c7b81573281a7823cbcd7ef948f7530871ab54b66ddaff78978,observation--sha256:3ed8a832d4899c4ee33533ecdd1ccce267bbb9457b9b256658b0cef18dbc1ff7,file-name,mshta.exe,mshta.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,page 5 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal The latest infection chains have also adopted the practice of displaying a decoy document (PDF) or image to the victims (Figure 3). Stage No. 1 — LNK The malicious LNK contains a command (Figure 4) to run a malicious HTA file hosted on an attacker-controlled website via mshta.exe. Stage No. 2 — HTA The malicious HTA file carries out the followin,
1.0.0,actor--sidecopy,artifact--sha256:3dfdd582e1049fe53e926649e05a689954bee4287d71d96bba5089b4a16593a6,observation--sha256:d9e69512e0bc73a319be222d7148767046674dfc1162f1fceee42e77efcf1cdd,file-name,tion.pdf.exe,tion.pdf.exe,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,page 7 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal This loader DLL also persists Allakore RAT on the endpoint. The side-loaded DLL is then responsible for executing Allakore. Stage No. 4B - Allakore Allakore RAT is a publicly available Delphi-based RAT. It is usually called “Cyrus client” in SideCopy infection chains. Its capabilities include: • Upload and download files. • Capture screenshots f,
1.0.0,actor--sidecopy,artifact--sha256:d1af7d1a852398b1cd454e39490dd02b5612b3cb0f0b227d8facbed67c06c222,observation--sha256:6e98afc8984818acfac69f092fd88b3485dbcfdb9a9abd8c8d86f47e410711fd,file-path,C:\Users\,C:\Users\,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"page 18 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal Figure 28: Credential stealer functionality. Figure 29: Look for kavach.db and open it. Figure 30: The same decoy document from CetaRAT infection chains is downloaded and displayed by Nodachi. Uploaded to Google Drive on March 25, 2021. Nodachi is meant for reconnaissance and stealing different types of data from the victim’s endpoint: • Creden",
1.0.0,actor--sidecopy,artifact--sha256:5f9d14c7b626ce40b24eb65d2d104a6027cdb6a40d08d3575ad829fd478c1cd2,observation--sha256:120493951e515927aab75f16d77cdb7c40662cef879c5cd1cf174ecdf7947ede,registry-key,HKCU\..\Run key.,HKCU\..\Run key,candidate,,unknown,unknown,not-stated,,source--sidecopy--4fa39a5095dbf968,SideCopy/SideCopy.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"page 8 of 23 © 2021 Cisco. All rights reserved.talos-external@cisco.com | talosintelligence.com InSideCopy: How this APT continues to evolve its arsenal • Persistence BAT file: Used to set up persistence for Allakore via the registry HKCU\..\Run key. • Allakore RAT exe: This is a copy of the Allakore RAT built in 2019, instrumented to communicate with a known SideCopy C2 IP . MALICIOUS PAYLOADS This is an overview of the different final stages of infections. RATS SideCopy infections utilize a nu",
