schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--silent-librarian,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9f8076ed6bf78c78d961859edad6ce89016a4acabdc54ef5dea2041ca97692c9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 146} Silent Librarian Threat Group Cards: A Threat Actor Encyclopedia 146 Mabna Institutem, Silent Librarian Names Mabna Institute (real name) Silent Librarian (SecureWorks) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description According to the Treasury Department, since 2013, the Mabna Institute hit 144 US universities and 176 univer",
1.0.0,actor--silent-librarian,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:12454e3aabb18475b8d2b13d61abecd95ffc8d0974d01cd2aab4f516a9c0176a,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Silent Librarian ........ 144 Lurk ................................................................................................................................................................................. 145 Mabna Institutem, Silent Librarian ............................................................................................................................. 146 Madi .....................................................................",
1.0.0,actor--silent-librarian,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:fee9edb76edd8888ca3393709e4bb6dc81e7cda96f309b35c7b7b43ce203e361,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 146} Mabna Institute Threat Group Cards: A Threat Actor Encyclopedia 146 Mabna Institutem, Silent Librarian Names Mabna Institute (real name) Silent Librarian (SecureWorks) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description According to the Treasury Department, since 2013, the Mabna Institute hit 144 U",
1.0.0,actor--silent-librarian,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:0cf740b4617e7914ca8fd52d5c55b2c1eaa28257c74d5b9a3be8aca3892dcea1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 146} Mabna Institute an Names Mabna Institute (real name) Silent Librarian (SecureWorks) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description According to the Treasury Department, since 2013, the Mabna Institute hit 144 US universities and 176 universities in 21 foreign countries. Geoffrey Berman, US Attorney for the Southern District of New York revealed that the spear phishing campaign targeted more than 100,000 un",
1.0.0,actor--silent-librarian,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9aa7d0a9b6c4e8bbab00e5947047855a75639636c028d2016f7d03a39af21414,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 146} Silent Librarian Threat Group Cards: A Threat Actor Encyclopedia 146 Mabna Institutem, Silent Librarian Names Mabna Institute (real name) Silent Librarian (SecureWorks) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description According to the Treasury Department, since 2013, the Ma",
1.0.0,actor--silent-librarian,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7965cae4aacc24ff1654612e0d3d3619c57c413a3225be29138eb5aae30ca330,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 146} Mabna Institute Threat Group Cards: A Threat Actor Encyclopedia 146 Mabna Institutem, Silent Librarian Names Mabna Institute (real name) Silent Librarian (SecureWorks) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description According to the Treasury Department, since 2013, the Mabna Institute hit 144 U",
1.0.0,actor--silent-librarian,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:02516c4247b300f5cf3f9b022a3318cb8b01f901e3cc5cac7b4b3ee9abcb15e5,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 146} Mabna Institute an Names Mabna Institute (real name) Silent Librarian (SecureWorks) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description According to the Treasury Department, since 2013, the Mabna Institute hit 144 US universities and 176 universities in 21 foreign countries. Geoffrey Berman, US Attorney for the Southern District of New York revealed tha t the spear phishing campaign targeted more than 100,000 universit",
1.0.0,actor--silent-librarian,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4310f23d6366cc40443acbacea16b7456bace299fd638ab8f152f07939068b56,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 146} Silent Librarian Threat Group Cards: A Threat Actor Encyclopedia 146 Mabna Institutem, Silent Librarian Names Mabna Institute (real name) Silent Librarian (SecureWorks) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description According to the Treasury Department, since 2013, the Ma",
1.0.0,actor--silent-librarian,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4071f3eb3ba06e725dab038da29f57893c05223f71a7e79f7b975d8c7001a52f,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 146} Silent Librarian Threat Group Cards: A Threat Actor Encyclopedia 146 Mabna Institutem, Silent Librarian Names Mabna Institute (real name) Silent Librarian (SecureWorks) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description According to the Treasury Department, since 2013, the Mabna Institute hit 144 US universities and 176 univer",
1.0.0,actor--silent-librarian,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:9ca9f8052476cb205300715c537f403baf41fe131f16d39dbf43b7436d47d9e5,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--silent-librarian--8face31a321e90fd,actor_profile/evidence/silent-librarian.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Silent Librarian Threat Group Cards: A Threat Actor Encyclopedia 5 Mabna Institutem, Silent Librarian ................................................................................................... 146 Madi .............................................................................................................",
