schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--sima,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:50e6b7ceed073b59a61ab2d01f7fc558ccf2b26e8bf4fa3b68fbe02517f55e2c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 204} Sima Threat Group Cards: A Threat Actor Encyclopedia 204 Sima Names Sima (Amnesty International) Country Iran Motivation Information theft and espionage Description In February 2016, Iran­focused individuals received messages purporting to be from Human RightsWatch's (HRW) Em",
1.0.0,actor--sima,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:ce4e12bbfff172c7db408d450baf9ad821e308ec01dc95ac81ce08a5f3b7a964,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 204} Sima Threat Group Cards: A Threat Actor Encyclopedia 204 Sima Names Sima (Amnesty International) Country Iran Motivation Information theft and espionage Description In February 2016, Iran­focused individuals received messages purporting to be from Human RightsWatch's (HRW) Emergencies Di",
1.0.0,actor--sima,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:34db14207f632311a6fdc3f813eff275c96b4c2eb50a927a0206a2ad3087c9a0,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 204} Sima ency amongst other groups to simply continually send different forms of generic malware or phishing, in the hopes that one would eventually be successful. Observed This group targets Iranians in diaspora. Tools used Sima. Information <https://www.blackhat.com/docs/us-16/materials/us-16-Guarnieri-Iran-And-The- Soft-War-For-Internet-Dominance-wp.pdf>",
1.0.0,actor--sima,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:36ebcd00e840bb321c2acacc39abb8f7e528eed3b5f4b943647bb04adffcfd97,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 35} Sima 17. Later that month, the same tactics and patterns were seen in attempts against an Iranian women’s activist – an individual commonly targeted by Iranian actors, such as Charming Kitten, Newscaster, NewsBeef and the Sima campaign documented in our 2016 Black Hat talk. Recurrent patterns in hostnames, registrations, and phishing scripts provided a strong link between the two incidents, and older attempts were found that directly overl",
1.0.0,actor--sima,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:74f5e0a90c16ecf0be19652de1f5079d57e314bd38194cfe85c2be356da3b9c8,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Sima ............................. 202 Silence ........................................................................................................................................................................... 203 Sima ............................................................................................................................................................................... 204 Slingshot ............................",
1.0.0,actor--sima,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:d909d180db5498c275314f175acb11573e57d48d371eed6a0a8249e717cd9a97,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 204} Sima ency amongst other groups to simply continually send different forms of generic malware or phishing, in the hopes that one would eventually be successful. Observed This group targets Iranians in diaspora. Tools used Sima. Information <https://www.blackhat.com/docs/us-16/materials/us-16-Guarnieri-Iran-And-The- Soft-War-For-Internet-Dominance-wp.pdf>",
1.0.0,actor--sima,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:eb4eb373315c8dbbb313a652413be2d43e5d44b64c21c90b7a35894e1c07b1c2,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 35} Sima 17. Later that month, the same tactics and patterns were seen in attempts against an Iranian women’s activist – an individual commonly targeted by Iranian actors, such as Charming Kitten, Newscaster, NewsBeef and the Sima campaign documented in our 2016 Black Hat talk. Recurrent patterns in hostnames, registrations, and phishing scripts provided a strong link between the two incidents, and older attempts were found that directly overl",
1.0.0,actor--sima,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:17c25c616fbc2d6f15e5ba6d598c56ae06cd3f5ae6f53f50fc45a8fd890ff179,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} Sima ....................................................... 202 Silence ................................................................................................................................................. 203 Sima ..................................................................................................................................................... 204 Slingshot ......................................................",
1.0.0,actor--sima,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:b61e2bce80e887ab9bc64a07a243970c52b644550278cebaba889d704a844918,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 204} Sima Threat Group Cards: A Threat Actor Encyclopedia 204 Sima Names Sima (Amnesty International) Country Iran Motivation Information theft and espionage Description In February 2016, Iran­focused individuals received messages purporting to be from Human RightsWatch's (HRW) Em",
1.0.0,actor--sima,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fffc040058a86d7bdd79c3b3e621a4cfa14fba5d783e679f08c7da4e0092a77a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sima--8d4a73a658f999b4,actor_profile/evidence/sima.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 204} Sima Threat Group Cards: A Threat Actor Encyclopedia 204 Sima Names Sima (Amnesty International) Country Iran Motivation Information theft and espionage Description In February 2016, Iran­focused individuals received messages purporting to be from Human RightsWatch's (HRW) Emergencies Di",
