schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--sixlittlemonkeys,artifact--sha256:23a0ebba08572bced78a0fbf6469af26b5d60609547d89d1a62cd42931cf7bdb,observation--sha256:196c1e5d4edd0e4260017bbe4f0c38bf826573bbc53337d3fb2d4b15db488c30,file-name,Microcin_Technical_4PDF_eng_final_s.pdf,Microcin_Technical_4PDF_eng_final_s.pdf,candidate,2018-03-01T00:00:00Z,month,known,same-record,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} Microcin , Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecurity.com/2020/05/14/mikroceen-spying-backdoor-high-profile-networks-central-asia/ https://securelist.com/microcin-is-here/97353/ https://securelist",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:23a0ebba08572bced78a0fbf6469af26b5d60609547d89d1a62cd42931cf7bdb,observation--sha256:9a5af296eff51514e5df0997e39db60ed82314a5b45af2afa3f2cc971c7d0e93,file-name,Microcin_Technical_4PDF_eng_final_s.pdf,Microcin_Technical_4PDF_eng_final_s.pdf,candidate,2018-03-01T00:00:00Z,month,known,same-record,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} microcin hub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecurity.com/2020/05/14/mikroceen-spying-backdoor-high-profile-networks-central-asia/ https://securelist.com/microcin-is-here/97353/ https://securelist.com/apt-trends-report-q2-2019/91897/",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:ddbc691eb113860e7fe0cbcde80f353219ad5e32c04977550a6f08ceb287d6a3,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 310} Microcin victims of all groups APT41 Aliases: • Blackfly (Symantec) • Wicked Panda (CrowdStrike) • Winnti Group (Kaspersky) • Barium (Microsoft) Egypt Russia Iran India US 16% 12% 11% 7% 4% 13% Vicious Panda Aliases: • Microcin • SixLittleMonkeys • Bronze Dudley (SecureWorks) Russia Kazakhstan China Kyrgyzstan Tajikistan 38% 16% 14% 4% 3% 12% Lotus Panda Aliases: • Naikon (Kaspersky) • Hellsing (Kaspersky) • ITG06 (IBM) Vietn",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:655a694e9f13441965487c6f81ea00d26a68af4b81f7bf541610e1bcabe0ae3b,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 310} SixLittleMonkeys all groups APT41 Aliases: • Blackfly (Symantec) • Wicked Panda (CrowdStrike) • Winnti Group (Kaspersky) • Barium (Microsoft) Egypt Russia Iran India US 16% 12% 11% 7% 4% 13% Vicious Panda Aliases: • Microcin • SixLittleMonkeys • Bronze Dudley (SecureWorks) Russia Kazakhstan China Kyrgyzstan Tajikistan 38% 16% 14% 4% 3% 12% Lotus Panda Aliases: • Naikon (Kaspersky) • Hellsing (Kaspersky) • ITG06 (IBM) Vietnam ",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:a3183850c4972800dd47f75930fb71f352b5072ae0a1c93eba0d48ec853163bf,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} Microcin SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-co",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:76305565441817615cf923eca75b1d9346623c7754f4ad552f9904149403e018,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} Microcin SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-content/upl",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:520020f773f09242a205e5d8783efcf541a7a97fb2a4a0e0f73322888ac6f628,file-name,Operations.xlsx,Operations.xlsx,candidate,2018-03-01T00:00:00Z,month,known,same-record,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} Microcin , Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecurity.com/2020/05/14/mikroceen-spying-backdoor-high-profile-networks-central-asia/ https://securelist.com/microcin-is-here/97353/ https://securelist",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:a9679dff10151c47fa4125fb77a210ec33a05ab5d7147a9d20f28a04ab5bccfa,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} SixLittleMonkeys SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:3d03102c8615c125484e2473fffbf60344dc9085572511e9b95b4bcb39ac6578,file-name,Operations.xlsx,Operations.xlsx,candidate,2018-03-01T00:00:00Z,month,known,same-record,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} microcin hub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecurity.com/2020/05/14/mikroceen-spying-backdoor-high-profile-networks-central-asia/ https://securelist.com/microcin-is-here/97353/ https://securelist.com/apt-trends-report-q2-2019/91897/",
1.0.0,actor--sixlittlemonkeys,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:94630f657a4c4b1bd41cd0a8924bab97e8e0a5229f65e07608698fbb5e7d7186,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,2020-05-14T00:00:00Z,day,known,same-record,,source--sixlittlemonkeys--cc6e07701efdf0a0,actor_profile/evidence/sixlittlemonkeys.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 199} microcin 2020/05/14/mikroceen-spying-backdoor-high- profile-networks-central-asia/> <https://decoded.avast.io/luigicamastra/apt-group-planted-backdoors-targeting- high-profile-networks-in-central-asia/> <https://securelist.com/microcin-is-here/97353/>",
