schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--slingshot,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9e0dca74268ea8433325bc8abb2ea85173c12de76d7b7d24a9a693113bc5258a,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 10}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Slingshot ............................ 203 Sima ............................................................................................................................................................................... 204 Slingshot ........................................................................................................................................................................ 205 Snake Wine ..................................",
1.0.0,actor--slingshot,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:c3640c80fc42e54e7dc5f3fc29456dfff206b051c53a04f1547307187afd299f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 6}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 205} Slingshot Threat Group Cards: A Threat Actor Encyclopedia 205 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) While analysing an incident which involved a suspected keylogger, we identified a malicious library a",
1.0.0,actor--slingshot,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:be6bac2ec67d618912ee1cd104979bae4e8d43db8b9c2adf374671bc6ed4bfd4,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 7}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 205} Slingshot Threat Group Cards: A Threat Actor Encyclopedia 205 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) While analysing an incident which involved a suspected keylogger, we identified a malicious library able to interact w",
1.0.0,actor--slingshot,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:72f8ba05828b67e683f668bc39fc5baa526571ee8375820b26fca920747111df,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 8}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 205} Slingshot ved a suspected keylogger, we identified a malicious library able to interact with a virtual file system, which is usually the sign of an advanced APT actor. This turned out to be a malicious loader internally named ‘Slingshot’, part of a new, and highly sophisticated attack platform that rivals Project Sauron and Regin in complexity. While for most victims the infection vector for Slingshot remains unknown, we were able to find several ca",
1.0.0,actor--slingshot,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:c1b7967352a698b76b080c7ebe0ffce6b9709c3b9a02aa51832f56fb839d81fc,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 9}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 205} Slingshot d out to be a malicious loader internally named ‘Slingshot’, part of a new, and highly sophisticated attack platform that rivals Project Sauron and Regin in complexity. While for most victims the infection vector for Slingshot remains unknown, we were able to find several cases where the attackers got access to MikroTik routers and placed a component downloaded by Winbox Loader, a management suite for MikroTik routers. In turn, this infect",
1.0.0,actor--slingshot,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8090ad6d5d8801d2ba12c44726a9e70b133c78ff39be41be79010022d2cdd962,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 11}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 205} Slingshot Threat Group Cards: A Threat Actor Encyclopedia 205 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) While analysing an incident which involved a suspected keylogger, we identified a malicious library a",
1.0.0,actor--slingshot,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:0633990390697a923a02ad8385042e06c3eefeac5a8f75d3073c2290dbf62f7d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 12}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 205} Slingshot Threat Group Cards: A Threat Actor Encyclopedia 205 Slingshot Names Slingshot (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) While analysing an incident which involved a suspected keylogger, we identified a malicious library able to interact w",
1.0.0,actor--slingshot,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:cd9eb4e06928788520aa0d5c85f5e6a3bc9004753a83ae37a012b90a0fa78864,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 13}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 205} Slingshot ved a suspected keylogger, we identified a malicious library able to interact with a virtual file system, which is usually the sign of an advanced APT actor. This turned out to be a malicious loader internally named ‘Slingshot’, part of a new, and highly sophisticated attack platform that rivals Project Sauron and Regin in complexity. While for most victims the infection vector for Slingshot remains unknown, we were able to find several ca",
1.0.0,actor--slingshot,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:b6ab335635a97ce116aab00944819b0d12af87364051e016271956cc7ca3a28a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 14}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 205} Slingshot d out to be a malicious loader internally named ‘Slingshot’, part of a new, and highly sophisticated attack platform that rivals Project Sauron and Regin in complexity. While for most victims the infection vector for Slingshot remains unknown, we were able to find several cases where the attackers got access to MikroTik routers and placed a component downloaded by Winbox Loader, a management suite for MikroTik routers. In turn, this infect",
1.0.0,actor--slingshot,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:eb1db7e777939e2f2625a98ad29c14d18f93cc690af1ffb9edb7fa204a5d4c48,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--slingshot--04039e8eb829e124,actor_profile/evidence/slingshot.csv,"{""row"": 15}",[],"[""malware--slingshot""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} Slingshot ...................................................... 203 Sima ..................................................................................................................................................... 204 Slingshot .............................................................................................................................................. 205 Snake Wine ............................................................",
