schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--snowglobe,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b791d1784281f830cfbad4b3ebc5d7c164e7515c2c7baa2b8b570c4578508797,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Snowglobe .................................. 205 Snake Wine ................................................................................................................................................................... 206 Snowglobe, Animal Farm ............................................................................................................................................ 207 Sofacy, APT 28, Fancy Bear, Sednit .........................",
1.0.0,actor--snowglobe,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:df85c6748f3b07dd45dc56acb1c4d1ff67a0a79a589e92a0da2bff1b83fbbfa6,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 207} Animal Farm Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another potentially na",
1.0.0,actor--snowglobe,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:380bdd536e3354054055e02d565dd6e6d020d97aa873d795a3483858180a58d9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 207} Snowglobe Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another p",
1.0.0,actor--snowglobe,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:001a5c0859730420d085c015ce3a227105b93f658ec2a680a3ec2178cc868a3b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 207} Snowglobe Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another potentially nation-state drive",
1.0.0,actor--snowglobe,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:577e7b0847291c6c4dcacf526abd290c2217ab898cc1ad0af8fb147a434d4ff6,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Animal Farm ....................... 205 Snake Wine ................................................................................................................................................................... 206 Snowglobe, Animal Farm ............................................................................................................................................ 207 Sofacy, APT 28, Fancy Bear, Sednit ..................................",
1.0.0,actor--snowglobe,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8cd71f18a9769ee64590078d69dc36889c5f5429297892df2194cfb57b9b7c39,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 207} Animal Farm Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another potentially na",
1.0.0,actor--snowglobe,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:eeeec08c95f6d591377b1b0ab15fbe3c78d29e0fb7f6001531ac67435aaf22ee,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 207} Snowglobe Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another p",
1.0.0,actor--snowglobe,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8489efc5639336a5256a9d4d4c42684a1449e3265832fc254f78674e36d067d9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 207} Snowglobe Threat Group Cards: A Threat Actor Encyclopedia 207 Snowglobe, Animal Farm Names Snowglobe (CSEC) Animal Farm (Kaspersky) Country France Sponsor State-sponsored Motivation Information theft and espionage Description (GData) The revelation about the existence of yet another potentially nation-state drive",
1.0.0,actor--snowglobe,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:07e138abeda09c95d7710f47888b805ec8f89d4f98788ee8c67963f261b7d95c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} Animal Farm ................................................. 205 Snake Wine ......................................................................................................................................... 206 Snowglobe, Animal Farm .................................................................................................................. 207 Sofacy, APT 28, Fancy Bear, Sednit ................................................................",
1.0.0,actor--snowglobe,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7a9644403f73f9c620568ae8cc4194650a41c6f69df14e51988e3d4f677abe12,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--snowglobe--fd74c9fc411d049d,actor_profile/evidence/snowglobe.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} Snowglobe ............................................................ 205 Snake Wine ......................................................................................................................................... 206 Snowglobe, Animal Farm .................................................................................................................. 207 Sofacy, APT 28, Fancy Bear, Sednit ...................................................",
