schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--sowbug,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:68acea9311e157dfdfa0cc1c33d74c1abefe7fb00aa312b2f8d67aff0451aa22,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 216} Sowbug Threat Group Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted",
1.0.0,actor--sowbug,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:faab5cf12c3940183b5cf499f611b351e69a204ed04e5f3a7be066c8d67b06de,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 216} Sowbug Threat Group Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks a",
1.0.0,actor--sowbug,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:14dbe1325527750c10cff666d125449535518dcf2be1b5bcb966a1304a1fbdd5,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 216} Sowbug : A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been",
1.0.0,actor--sowbug,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:19c49566dac9581107fd59a9e16b8eb9e9348655a5eb82f398e82980a835386d,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 216} Sowbug p called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been seen mounting classic espionage attacks by stealing documents from the organizations it infiltrates. Symantec saw the first evidence of Sowbug-related activity with the discovery in March 2017 of an entirel",
1.0.0,actor--sowbug,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:288983fc44c64827fe59441ae3faad1ce9172c370a7ff628736fed84eb6727f0,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Sowbug .................................................... 207 Sofacy, APT 28, Fancy Bear, Sednit ......................................................................................................................... 208 Sowbug .......................................................................................................................................................................... 216 Stalker Panda .............................",
1.0.0,actor--sowbug,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fc6cb14fdd930f072641e5691f841c1cf7bd8cb2441fa6c318f82788077efc00,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 216} Sowbug Threat Group Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks a",
1.0.0,actor--sowbug,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:6825ac03c068e08a25b9d807b9860eb133c234b6111509af7446eca09ca479a5,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 216} Sowbug Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been",
1.0.0,actor--sowbug,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:5e2d01ccc4ce7036833f7e211ba932b876bbee63ea039d01d34a7d9746091b9b,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 216} Sowbug p called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been seen mounting classic espionage attacks by stealing documents from the organizations it infiltrates. Symantec saw the first evidence of Sowbug-related activity with the discovery in March 2017 of an entirel",
1.0.0,actor--sowbug,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:0c61461b77fb96b8f15dd230978b8a33cb21dff3c24552f9b26f2a7ff545dd36,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} Sowbug .............................................................................. 207 Sofacy, APT 28, Fancy Bear, Sednit ............................................................................................... 208 Sowbug ................................................................................................................................................ 216 Stalker Panda .......................................................",
1.0.0,actor--sowbug,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:cbb3a5b3faf999e1d40a6a66f4177dae9296d126f614d3bf1b2c485e6d68e898,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--sowbug--5277aebd5e1de42d,actor_profile/evidence/sowbug.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 216} Sowbug Threat Group Cards: A Threat Actor Encyclopedia 216 Sowbug Names Sowbug (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted",
