schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--strider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:50521c098545212ce154bebab886c88e2e23e1a97bdedc1d7af0f2f3b689a996,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 223} ProjectSauron Threat Group Cards: A Threat Actor Encyclopedia 223 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Strider has been active since at least October 2011. The group has maintained",
1.0.0,actor--strider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:430fa1db44dd63719a3e6dbfb27d0f0a2312af8524f47a31a1bea42b8ad4e694,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 223} Strider Threat Group Cards: A Threat Actor Encyclopedia 223 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Strider has been active since at least October 2011. The group h",
1.0.0,actor--strider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:7d6ea0431e34c706522276a03fca47c6e6ff2a0dfa7fcbd9aa1f84daf6131f09,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 223} Strider Threat Group Cards: A Threat Actor Encyclopedia 223 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Strider has been active since at least October 2011. The group has maintained a low profile u",
1.0.0,actor--strider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:74a94f28362d524fcf0e4dbcc89742f0681d85f8f60daba4847ddfbf080dd1f4,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} ProjectSauron ............................................ 219 Stone Panda, APT 10, menuPass ............................................................................................................................. 220 Strider, ProjectSauron ................................................................................................................................................. 223 Suckfly ....................................................",
1.0.0,actor--strider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8007db85a6c8f26b844a0f46e6b681a5c45a090e301376bf6ba5a3ec103a8a9b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Strider ..................................................... 219 Stone Panda, APT 10, menuPass ............................................................................................................................. 220 Strider, ProjectSauron ................................................................................................................................................. 223 Suckfly .............................................",
1.0.0,actor--strider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:70b1651d8d8bef9f4213229a770b18a771cd5b697d1bc67541b1dc15a89d06cc,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 222} ProjectSauron Threat Group Cards: A Threat Actor Encyclopedia 222 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Strider has been active since at least October 2011. The group has maintained",
1.0.0,actor--strider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:5614b3a99aa05e1dda0eb327c59d7c0b890225c2e9fef306c12dcd62e2b36bf2,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 222} Strider Threat Group Cards: A Threat Actor Encyclopedia 222 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Strider has been active since at least October 2011. The group h",
1.0.0,actor--strider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7f44015c4aab331924f6ec1b1b84b0deaee7eeb3d512a6af8d517f0f0ff89a5d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 222} Strider Threat Group Cards: A Threat Actor Encyclopedia 222 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Strider has been active since at least October 2011. The group has maintained a low profile u",
1.0.0,actor--strider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:19895741d30319d4bfd8d4efc8cf8abbcca4a2b5cf6150aeef501f60411462a5,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} ProjectSauron ...................................................................... 219 Stone Panda, APT 10, menuPass ................................................................................................... 220 Strider, ProjectSauron ....................................................................................................................... 222 Suckfly ......................................................................................",
1.0.0,actor--strider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:c2f6f3b16572d30cd116009b6082ce6487de63006a6a200b85c7aa931048c4bf,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} Strider ............................................................................... 219 Stone Panda, APT 10, menuPass ................................................................................................... 220 Strider, ProjectSauron ....................................................................................................................... 222 Suckfly .......................................................................",
1.0.0,actor--strider,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:a600d16dcc884ad0d911fd93a8f12b681f5e1c3d55db955554e3e1038d7138b3,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 4, ""sheet"": ""NATO""} Strider Equation Group Tilded Team EQGRP Housefly Remsec Socialist Olympic Games / Stuxnet Project Sauron / Strider Regin, EquationLaser, EquationDrug, DoubleFantasy, TripleFantasy, Fanny, Grayfish, RemSec, Gauss NSA, GCHQ, CSIS, ASIS, GCSB, FiveEyes, FVEY http://securelist.com/blog/research/67741/regin-nation-state-ownage-of-gsm-net",
1.0.0,actor--strider,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:35bdfd4582975128e651b75c70cd27ca5359a253e79c5d3ac0cd64978fed2aa2,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 4, ""sheet"": ""NATO""} projectsauron t.com/blog/research/68750/equation-the-death-star-of-malware-galaxy/ http://www.symantec.com/connect/blogs/strider-cyberespionage-group-turns-eye-sauron-targets https://securelist.com/analysis/publications/75533/faq-the-projectsauron-apt/ https://www.bleepingcomputer.com/news/security/longhorn-cyber-espionage-group-is-actually-the-cia/ https://web.archive.org/web/20160304022846/http://www.kaspersky.com/about/news/virus/2012",
1.0.0,actor--strider,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:72594f9b700a5e4985684dd59c6ae3f45778ba7efdddacaa4797c887787c6975,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 4, ""sheet"": ""NATO""} strider Eyes, FVEY http://securelist.com/blog/research/67741/regin-nation-state-ownage-of-gsm-networks/ https://securelist.com/blog/research/68750/equation-the-death-star-of-malware-galaxy/ http://www.symantec.com/connect/blogs/strider-cyberespionage-group-turns-eye-sauron-targets https://securelist.com/analysis/publications/75533/faq-the-projectsauron-apt/ https://www.bleepingcomputer.com/news/security/longhorn-cyber-espionage-group-is-",
1.0.0,actor--strider,artifact--sha256:114e17012f2ab9a3f1034000d7e64a88049a9db37143eb8d2176233e030937d1,observation--sha256:b3c00ecaeca7b7af6994c993e1b76e5ecef86f9a15f7502c8bc19f248539729a,file-name,Strider-Inside-Shadow-Network-Report.pdf,Strider-Inside-Shadow-Network-Report.pdf,candidate,2025-05-01T00:00:00Z,month,known,same-record,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"CyberMerceNary/ITWorker/readme.md {""line"": 19} Strider Inside the Shadow Network - https://content.striderintel.com/wp-content/uploads/2025/05/Strider-Inside-Shadow-Network-Report.pdf",
1.0.0,actor--strider,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:8f78e6909bc52f8bae1549ac8d9656a5dcb4300192204b22a1dd34c69ba1a9af,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 313} ProjectSauron Threat Group Cards: A Threat Actor Encyclopedia 313 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country USA Motivation Information theft and espionage First seen 2011 Description (Symantec) Strider has been active since at least October 2011. The group has",
1.0.0,actor--strider,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:0971be7ea9f97f383acc90d0a29236650e8a2a608b189b263b8699b9ab69833a,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 313} Strider Threat Group Cards: A Threat Actor Encyclopedia 313 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country USA Motivation Information theft and espionage First seen 2011 Description (Symantec) Strider has been active since at least October 2011.",
1.0.0,actor--strider,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:ad6efedb46ee74643d8ea6bdfff9fa7337272116184a07d03982093acc7348a8,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 313} Strider Threat Group Cards: A Threat Actor Encyclopedia 313 Strider, ProjectSauron Names Strider (Symantec) ProjectSauron (Kaspersky) Country USA Motivation Information theft and espionage First seen 2011 Description (Symantec) Strider has been active since at least October 2011. The group has maintained a lo",
1.0.0,actor--strider,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:03341f33c7ee07a0c09312f2748b467cb5ede447193f02b910437b9e87f133d1,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 7} ProjectSauron ............................................ 308 Stone Panda, APT 10, menuPass ............................................................................................................................. 310 Strider, ProjectSauron ................................................................................................................................................. 313 Suckfly ........................................................",
1.0.0,actor--strider,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:4fc66df40f956cb23a76a1841a4f97b5de6072df4df4ccf94baa88ad4194f645,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--strider--4240861d6168349a,actor_profile/evidence/strider.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 7} Strider ..................................................... 308 Stone Panda, APT 10, menuPass ............................................................................................................................. 310 Strider, ProjectSauron ................................................................................................................................................. 313 Suckfly .............................................",
