schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--svcmondr,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8774d3d62be171293230efa4498a948900375787599c73a3311e7c2230cc38f8,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 19} SVCMONDR Threat Group Cards: A Threat Actor Encyclopedia 19 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-based APT grou",
1.0.0,actor--svcmondr,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5ae2dba032470082854e9517f89addc69d4312e911d289a46224c79dc817162c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 19} SVCMONDR Threat Group Cards: A Threat Actor Encyclopedia 19 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-based APT groups launched several spear-phishing",
1.0.0,actor--svcmondr,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:523cac70180026d034334c3f6bd0ecfc282cdafb801b4f2dad0fc3f49b862807,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,2015-12-01T00:00:00Z,month,known,same-record,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 19} SVCMONDR a downloader that we refer to as IRONHALO, or a backdoor that we refer to as ELMER. Observed Sectors: Financial, Government, High-Tech and Media. Countries: Japan, Taiwan and Thailand. Tools used ELMER, IRONHALO and SVCMONDR. Information <https://securelist.com/cve-2015-2545-overview-of-current-threats/74828/> <https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part- two.html> MITRE ATT&CK <https://attack.mitre.org/grou",
1.0.0,actor--svcmondr,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8a125b1c420010f6368356190747a46278fb506b5e3cc3db3c6ebd38ca9e9b1c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} SVCMONDR ....................................... 16 APT 12, Numbered Panda ............................................................................................................................................ 17 APT 16, SVCMONDR .................................................................................................................................................... 19 APT 17, Deputy Dog ...............................................",
1.0.0,actor--svcmondr,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2afa17e75d090a0462b34e7020eb489bcefe2ba75c4c006e79b2dea7a52f2d12,file-name,Cards.pdf,Cards.pdf,candidate,2015-12-01T00:00:00Z,month,known,same-record,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 19} SVCMONDR a downloader that we refer to as IRONHALO, or a backdoor that we refer to as ELMER. Observed Sectors: Financial, Government, High-Tech and Media. Countries: Japan, Taiwan and Thailand. Tools used ELMER, IRONHALO and SVCMONDR. Information <https://securelist.com/cve-2015-2545-overview-of-current-threats/74828/> <https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part- two.html> MITRE ATT&CK <https://attack.mitre.org/grou",
1.0.0,actor--svcmondr,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2f703b4c1d9ff013887c2029d23e7fd9bf79e6d8be7f2a97a7e32297145cb51c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 2} SVCMONDR ................................................................. 16 APT 12, Numbered Panda .................................................................................................................. 17 APT 16, SVCMONDR .......................................................................................................................... 19 APT 17, Deputy Dog .........................................................................",
1.0.0,actor--svcmondr,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2b55cbce95fbea2e38e31d2d1dad1ad48523eeff50b9e7851de1f6014c688e23,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 19} SVCMONDR Threat Group Cards: A Threat Actor Encyclopedia 19 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-based APT grou",
1.0.0,actor--svcmondr,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:01669ecce4718cc7bd1f50a2020ad8e1247450c30d82c1a1eb48b82348cab6ba,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 19} SVCMONDR Threat Group Cards: A Threat Actor Encyclopedia 19 APT 16, SVCMONDR Names APT 16 (Mandiant) SVCMONDR (Kaspersky) Country China Motivation Information theft and espionage Description (FireEye) Between November 26, 2015, and December 1, 2015, known and suspected China-based APT groups launched several spear-phishing",
1.0.0,actor--svcmondr,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:41740aa28b7d58ae9abaf1528b09e6e937cb1636e300b30c76fd2d35a3006c78,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 12, ""sheet"": ""Others""} SVCMONDR SVCMONDR https://securelist.com/analysis/publications/74828/cve-2015-2545-overview-of-current-threats/",
1.0.0,actor--svcmondr,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:1da3dacdfde9d434f8b444c155d2468d33b23ce9b6b84ae08dd700783f1770a9,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--svcmondr--154beafbfc3a0a6d,actor_profile/evidence/svcmondr.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 27, ""sheet"": ""China""} SVCMONDR SVCMONDR CVE-2015-2545 Taiwan, Thailand Tamper Panda “PdPD” (50 64 50 44) marker for encrypted binaries https://securelist.com/analysis/publications/74828/cve-2015-2545-overview-of-current-threats/",
