schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--ta577,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:c2ffc69012a8e1e753a4191939203943c9f2ac7e5849759939f54e946a68a80d,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/First 6 Half-Year Threat Report 2024.pdf {""page"": 16} TA577 ment/news/ defence-intelligence-communicating-probability Sign1 AsyncRAT NjRAT pupy Loki Password Stealer (PWS) Dridex Gootloader MacOS/Adload Emotet SolarMarker FAKEUPDATES Remcos Raspberry Robin xmrig Mirai Viper RAT TA577 RedLine Stealer XOR DDoS BlueSky darktrace.com 15 // First 6: Half-Year Threat Report 2024",
1.0.0,actor--ta577,artifact--sha256:c193400fb44ec5ea215f5a2279080477ad6c0a415c149c213a72b9229c06873b,observation--sha256:4c9617ab95bc6ff88e3322164a4a07a6b829bf48a80223a89641a0a32b76c549,file-name,2025-dbir-data-breach-investigations-report.pdf,2025-dbir-data-breach-investigations-report.pdf,candidate,,unknown,unknown,not-stated,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-dbir-data-breach-investigations-report.pdf {""page"": 101} TA577 nfold increase since January 2024. China-linked groups deployed a Linux variant of DinodasRAT, while Iranian and North Korean APTs remained active with evolving tactics. Cybercriminal campaigns also adapted, including TA577 targeting Windows New Techology LAN Manager (NTLM) hashes and StrelaStealer malware harvesting email credentials. Urgent updates were announced for JetBrains TeamCity servers, which faced proof-o",
1.0.0,actor--ta577,artifact--sha256:10b5623e1ce1c9c390f3ce12efc7a030689a805e6fb2195abb3c9c361cb37383,observation--sha256:18d5ec5d14eb62220444cc263490723ea9cd853f0b64c547b0e36f26328e2d44,file-name,CERTFR-2026-CTI-003.pdf,CERTFR-2026-CTI-003.pdf,candidate,,unknown,unknown,not-stated,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/CERTFR-2026-CTI-003.pdf {""page"": 26} TA577 early stages of the compromise chain coincides with the declining use of loaders and botnets by initial access brokers (IAB). For example, several IABs – such as TA577 , TA571, and TA544 – have reduced or com- pletely stopped using malware in favour of RMM tools or LOLBins techniques 16 [32]. The Scattered Spider intrusion set, for instance, rarely uses malware and almost always g",
1.0.0,actor--ta577,artifact--sha256:f995185f572984deea7588de4cd2c0fb473c79b4efb06e43a613bd0dc59c097b,observation--sha256:1b269728e944b82e57ff3d93c0c042d47c3b26f8678f6ca07998ba063c516e94,file-name,Report.pdf,Report.pdf,candidate,,unknown,unknown,not-stated,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 4} TA577 tnet left a void in the loader and botnet market. Despite frequent breaks, the botnet was one of the most prolific and profitable threats in 2019 and 2020. Although other operations, such as TR distributor (ChaseLdr, TA577) or TA551 ( Shathak ), attempted to fill the spam gap left by Emotet’s months-long disappearance, TrickBot, QakBot, Bazar, IcedID, and Dridex all continued onward. All of them have been observed acting as ",
1.0.0,actor--ta577,artifact--sha256:f995185f572984deea7588de4cd2c0fb473c79b4efb06e43a613bd0dc59c097b,observation--sha256:0ee6d16a64b36cf44b73c0c838f1b7f9fe7d3b780f9686c930121ffb72d08f42,file-name,Report.pdf,Report.pdf,candidate,,unknown,unknown,not-stated,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 4} TA577 ation extraction, where 516 servers were observed via proactive scanning. Infrastructure throughout 2021 has also been divided across affiliates; for example, QakBot samples deployed by the TR distributor (ChaseLdr, TA577) and the Obama affiliate shared 95% of the same infrastructure, distinct from the 95% infrastructure overlap between the Biden and Clinton affiliates. The Abc affiliate operated on a relative island, with o",
1.0.0,actor--ta577,artifact--sha256:37ea87d7d34d3f63f0b19d1d5088c4a77228ed51e430e616a96a9ab6ab73dd50,observation--sha256:1583cfc6bac3b7cb5cd0ebd4de295b174591b29e7ae5c586eb605a3fffd7330a,file-name,annual-threat-report-2024.pdf,annual-threat-report-2024.pdf,candidate,,unknown,unknown,not-stated,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/annual-threat-report-2024.pdf {""page"": 14} TA577 exploiting native protocols and services to achieve their objectives while remaining undetected on target networks. Towards the start of the year, the team investigated a credential theft campaign associated with the TA577 Initial Access Broker (IAB) group. This campaign exploited the SMB protocol and the NTLMv2 challenge/response to steal NTLM authentication hash- es. Darktrace identified devices on multiple customer networks attempt",
1.0.0,actor--ta577,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:44c84808925d84b490dd33f7fd2ed87d200769ca9642b491e4b0ffc6d7169916,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2020-10-01T00:00:00Z,day,known,same-record,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 138} TA577 APT 组织情报研究年鉴 130 6.1.59 TA577 组织名 TA577 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 银行 发现时间 2020-10-01 最近活跃 2021-06-24 动机 经济利益 描述 TA577 APT 组织自 2020 年一直活跃，该组织与其他的 APT 组织交换信息和金钱，参与巨大的网络犯 罪分子传播勒索软件的一部分。TA577 组织渗透到主要目标，并最终通过成功感染勒索软件获得部分 收益。TA577 使用了几个勒索软件，包括 SmokeLoader, IcedID, Ursnif 和 Cobalt Strike。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发",
1.0.0,actor--ta577,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:e300e91fcf41489f45098fa939036e07e38949a23193412b6cb01434856325fe,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2020-10-01T00:00:00Z,day,known,same-record,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 138} TA577 APT 组织情报研究年鉴 130 6.1.59 TA577 组织名 TA577 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 银行 发现时间 2020-10-01 最近活跃 2021-06-24 动机 经济利益 描述 TA577 APT 组织自 2020 年一直活跃，该组织与其他的 APT 组织交换信息和金钱，参与巨大的网络犯 罪分子传播勒索软件的一部分。TA577 组织渗透到主要目标，并最终通过成功感染勒索软件获得部分 收益。TA577 使用了几个勒索软件，包括 SmokeLoader, IcedID, Ursnif 和 Cobalt Strike。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2021-06-24 The Consensus Security Vulnerability Alert SANS 2021-06",
1.0.0,actor--ta577,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:3ad19ff60231b01397f29d9764f1ba597f28d49ace31c1fed5ebd04ad629ecb8,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,,unknown,unknown,not-stated,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 14} TA577 提高，新发现的 63 个组织中有 14 个以此为活动目标，主要的表现形式为勒索、挖矿，比较新型的获益形式则是出售受 害目标单位的访问权限，如 UNC1945 组织和 TA547 组织，这类组织在获取受害单 位权限前后表现出截然不同的攻击技术手段以及攻击意图的差别。 ● 恶意软件即服务（MaaS）在APT 组织中逐渐流行，除了降低 APT 组织攻击成本之外 还加大了攻击者归因的难度。以 TA 系列组织为例包括： TA569、TA800、TA577、 TA551、TA570 等 ，在初始阶段使用 Trick、Dridex、Qbot、IcedID、ZLoader、",
1.0.0,actor--ta577,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:1be6ec040d5286b7c0c52a4f35432e23f9699bd64f207360061a98425c36db7d,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2020-10-01T00:00:00Z,day,known,same-record,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 138} TA577 APT 组织情报研究年鉴 130 6.1.59 TA577 组织名 TA577 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 银行 发现时间 2020-10-01 最近活跃 2021-06-24 动机 经济利益 描述 TA577 APT 组织自 2020 年一直活跃，该组织与其他的 APT 组织交换信息和金钱，参与巨大的网络犯 罪分子传播勒索软件的一部分。TA577 组织渗透到主要目标，并最终通过成功感染勒索软件获得部分 收益。TA577 使用了几个勒索软件，包括 Smoke",
1.0.0,actor--ta577,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:30167f45504ae9646a49de531d3205e6d7cb76b10588b05857807de586414dad,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2020-10-01T00:00:00Z,day,known,same-record,,source--ta577--d76d72d795d38ce4,actor_profile/evidence/ta577.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 138} TA577 APT 组织情报研究年鉴 130 6.1.59 TA577 组织名 TA577 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 银行 发现时间 2020-10-01 最近活跃 2021-06-24 动机 经济利益 描述 TA577 APT 组织自 2020 年一直活跃，该组织与其他的 APT 组织交换信息和金钱，参与巨大的网络犯 罪分子传播勒索软件的一部分。TA577 组织渗透到主要目标，并最终通过成功感染勒索软件获得部分 收益。TA577 使用了几个勒索软件，包括 SmokeLoader, Ic",
