schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--taidoor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b0accd603b823b843452abc2f0c73cd36aac9c71da0ee5c3da7aed36755fa644,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 228} Taidoor Threat Group Cards: A Threat Actor Encyclopedia 228 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Des",
1.0.0,actor--taidoor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:910730aed2f93699262b6ae51353349833c7c39c5ea645cd52fa1483933a3307,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 228} Taidoor Threat Group Cards: A Threat Actor Encyclopedia 228 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some excep",
1.0.0,actor--taidoor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:3fb2c3015f61fd0d201a38b1c4b471ae95bd57adfac1e6def0f570b74bdbd088,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 228} Taidoor Threat Group Cards: A Threat Actor Encyclopedia 228 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out s",
1.0.0,actor--taidoor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:ab53ff1cd43607bcac9d1aed8b516bf08afd67c7b0da77d34ccce00e3572a183,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 228} Taidoor ro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out socially engineered emails with malware as attachments. One of the primary targets of the Taidoor campaign appeared to be the",
1.0.0,actor--taidoor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:dc865f95687bfa2022953bb0d5e47acdfced0b927b21e6eb6695de625f094c35,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Taidoor ............................. 225 TA505 ............................................................................................................................................................................. 226 Taidoor ........................................................................................................................................................................... 228 TeamSpy Crew .............................",
1.0.0,actor--taidoor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4d05b86c31c382c6b87cf6f833b9c09159845dd7814f214934313ccdc27cf372,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 227} Taidoor ro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out socially engineered emails with malware as attachments. One of the primary targets of the Taidoor campaign appeared to be the",
1.0.0,actor--taidoor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8630bf4a78bbb080af5edc8e2bc947742a0ea63c2cd752f58f7c9e2a209c636d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} Taidoor ....................................................... 224 TA505 ................................................................................................................................................... 225 Taidoor ................................................................................................................................................. 227 TeamSpy Crew .......................................................",
1.0.0,actor--taidoor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a7542fcfe2431be8113e13a24fa76bc0904838fd4ed5086235605fc6d59896ab,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 227} Taidoor Threat Group Cards: A Threat Actor Encyclopedia 227 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Des",
1.0.0,actor--taidoor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:5f15af89358b1c30bb07fd93e5e369f41d0953e7a745dbbcf4a60d52a283f278,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 227} Taidoor Threat Group Cards: A Threat Actor Encyclopedia 227 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some excep",
1.0.0,actor--taidoor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:36c984c7ccb6fce13e3f124668819687afb33749dd86db0118aac9b634265a68,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--taidoor--45664179cfd0afcd,actor_profile/evidence/taidoor.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 227} Taidoor Threat Group Cards: A Threat Actor Encyclopedia 227 Taidoor Names Taidoor (Trend Micro) Country China Motivation Information theft and espionage Description (Trend Micro) The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out s",
