schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--teampcp,artifact--sha256:82ddfe2741bc7c2d44fb0030ed9728e847c22ecbf2c8f48dd45515ca7de7e89d,observation--sha256:0c406378174181539814b21b5f5965a30d3fb51d6fd284b504d7c2b216542802,file-name,is.sh,is.sh,confirmed,,unknown,unknown,not-stated,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 48}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""preparation-script"",""shared-tooling""]",1,false,high,TLP:CLEAR,csv-row,is.sh file-name activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud preparation-script|shared-tooling Shared Infrastructure and Tooling table states the same preparation script was observed across the lineage; exact file-level observation date not stated,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:690708706ec07b3c6499ef3be41ca493fdcc63ecb1f3f0b77366a62f0058d092,observation--sha256:58c67580568d3573df643a84c2910e950cb1566afbe1ddfe89f54a22dd13c2ec,file-name,ndt.sh,ndt.sh,confirmed,,unknown,unknown,not-stated,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 46}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""shared-tooling"",""stage-1-implantation""]",1,false,high,TLP:CLEAR,csv-row,ndt.sh file-name activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud stage-1-implantation|shared-tooling Shared Infrastructure and Tooling table states the same Stage 1 implantation filename was observed across the lineage; exact file-level observation date not stated,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:fefcd8c2b94bbfb998177b3addc033b3c2fd4d4c3d467b2d736462ca82712a0a,observation--sha256:440d83f3f5315b1aaeb068926fbb5ec4935719f0d44f68fec64aaa4e6fc36176,file-name,nnt.sh,nnt.sh,confirmed,,unknown,unknown,not-stated,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 47}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""shared-tooling"",""stage-1-implantation""]",1,false,high,TLP:CLEAR,csv-row,nnt.sh file-name activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud stage-1-implantation|shared-tooling Shared Infrastructure and Tooling table states the same Stage 1 implantation filename was observed across the lineage; exact file-level observation date not stated,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:2b6fd01b1659212bdef34f79f09105346ea9be3856e8769c3e75958c2709b524,observation--sha256:f6d2bad9cc6f4ca75c3962e0dcdef7ad5ad906d18068ef156c33fd76f6ca2d5e,file-name,rs.sh,rs.sh,confirmed,,unknown,unknown,not-stated,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 49}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""propagation-script"",""shared-tooling""]",1,false,high,TLP:CLEAR,csv-row,rs.sh file-name activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud propagation-script|shared-tooling Shared Infrastructure and Tooling table states the same propagation script was observed across the lineage; exact file-level observation date not stated,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:339b4cde051dfb6b3c5d9b1f541bbdbded61b9c8905a8201613342da5c975c8e,observation--sha256:e28aa3d83f68865104deaec98e5bb5781034fcb065fe429d3c8de1f09b3c2bd9,other,*.bank-phish.masscan.cloud,*.bank-phish.masscan.cloud,confirmed,2026-01-02T00:00:00Z,day,known,column:observed_at,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 34}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""phishing-pattern""]",1,false,high,TLP:CLEAR,csv-row,*.bank-phish.masscan.cloud other 2026-01-02 activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud phishing-pattern Source-stated wildcard family; retained as a hunt pattern and never materialized as an exact domain Indicator,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:af4ba2e2a8692b0b7f58d7004b0b73b45fcf753d74063881da67952388f14836,observation--sha256:39adce32a77a2f2d357fa313c1c88e4ba7237cb15374f814fd3b2759dfbbc303,other,*.test-phish.masscan.cloud,*.test-phish.masscan.cloud,confirmed,2026-01-02T00:00:00Z,day,known,column:observed_at,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 35}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""phishing-pattern""]",1,false,high,TLP:CLEAR,csv-row,*.test-phish.masscan.cloud other 2026-01-02 activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud phishing-pattern Source-stated wildcard family; retained as a hunt pattern and never materialized as an exact domain Indicator,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:c35cbdaab1f7bc00a390c1c66211c24f7c9234c07dcc19803501a93c4099e525,observation--sha256:87091ee4172123e058a93cdf66d8c5deebe76d8550eb54855d87c783529c1266,other,*.zendesk.masscan.cloud,*.zendesk.masscan.cloud,confirmed,2026-01-02T00:00:00Z,day,known,column:observed_at,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 36}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""phishing-pattern""]",1,false,high,TLP:CLEAR,csv-row,*.zendesk.masscan.cloud other 2026-01-02 activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud phishing-pattern Source-stated wildcard family; retained as a hunt pattern and never materialized as an exact domain Indicator,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:c9c1fc56eae2b8df2768c17c1c3d01a8459e9bc25681edf6c8ee9db342be26aa,observation--sha256:1b44b5f456fd3eaa18e50b13983dc9a28adf31e77cfac5f3da7e96cb9c65c80a,other,crt.sh certificate record 18348750576,crt.sh certificate record 18348750576,confirmed,,unknown,unknown,not-stated,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 30}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""certificate-transparency""]",1,false,high,TLP:CLEAR,csv-row,crt.sh certificate record 18348750576 other activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud certificate-transparency CT record ID for masscan.cloud; first seen 2025-05-11; issuer Let's Encrypt E6; base-domain certificate; not a certificate fingerprint,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:ffeb4693c99c8d5b9a2e7e73259715f4c63d8234b4ebffbc81a3e630d04ae48b,observation--sha256:e9a17775c2095bff81c76078356a8d78249b72d9170e1bfa85372850f41463a6,other,crt.sh certificate record 18348751301,crt.sh certificate record 18348751301,confirmed,,unknown,unknown,not-stated,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 31}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""certificate-transparency""]",1,false,high,TLP:CLEAR,csv-row,crt.sh certificate record 18348751301 other activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud certificate-transparency CT record ID for masscan.cloud; first seen 2025-05-11; issuer Let's Encrypt E6; renewal; not a certificate fingerprint,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
1.0.0,actor--teampcp,artifact--sha256:6a9118042edfb4a5591a55b2d04e82ef87c1cd615414c2409332c6813a22388c,observation--sha256:17f6e8b0362b76993b0a13a735a55a5ba62a651a407e2cf40d03331b012c01ed,other,crt.sh certificate record 18349037873,crt.sh certificate record 18349037873,confirmed,,unknown,unknown,not-stated,2026-08-05T00:00:00Z,source--oligo-teampcp-2026,actor_profile/evidence/teampcp-oligo-2026-08-05.csv,"{""row"": 32}","[""activity--teampcp-oligo-lineage-2020-2026""]",[],"[""infra--masscan-cloud""]","[""certificate-transparency""]",1,false,high,TLP:CLEAR,csv-row,crt.sh certificate record 18349037873 other activity--teampcp-oligo-lineage-2020-2026 infra--masscan-cloud certificate-transparency CT record ID for matrix.masscan.cloud; first seen 2025-05-11; issuer Let's Encrypt E6; earliest observed linked infrastructure; not a certificate fingerprint,Oligo 2026-08-05本文と時系列表を手動構造化。IOCの日時は本文が各observableへ明示した場合だけ設定した。CT first-seenは攻撃実行日ではなく証明書透明性ログ上の観測、passive DNSはDNS観測、URLhaus日は同サービス上の配布観測である。schemeが示されないhost/pathはURLを推測せずartifactへ保存した。*.bank-phish、*.test-phish、*.zendeskはwildcard hunt patternでありexact Indicatorにしない。CT record ID 4件とissuer E6は証明書fingerprintではない。6.6.6.6は2026年4月の再編後の名前解決先としてのみ記述され、悪性運用を直接裏付けないためIOCから除外した。
