schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--teamtnt,artifact--sha256:f19e00bb0e856a4dd923033e204ed40f1fd3056c9a7b9276b9512bd543ff5d04,observation--sha256:e2a49276ccee38d8e85258f1f29b481036b51c688f6b45477af0bb3a843baeab,file-name,4.pdf,4.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Google_Cybersecurity_Action_Team_Threat_Horizons_Report#4.pdf {""page"": 18} TeamTNT 18 Threat Horizons For more information, visit gcat.google.com • According to a security publication, and security vendor TrendMicro, in 2021, cybercriminal group TeamTNT launched a campaign against misconfigured Docker REST APIs exposed in many public cloud instances. 7 Exploiting weak API passwords, promiscuous instance firewall rules, and other flaws, the threat actor pulled and",
1.0.0,actor--teamtnt,artifact--sha256:f19e00bb0e856a4dd923033e204ed40f1fd3056c9a7b9276b9512bd543ff5d04,observation--sha256:a17f9d2d92efdf0f23d37ccf9a7eac69b920b3a7d1f73ad33c8aacaad21111b6,file-name,4.pdf,4.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Google_Cybersecurity_Action_Team_Threat_Horizons_Report#4.pdf {""page"": 18} TeamTNT ral repository into these cloud instances. The malicious container code then tried stealing AWS login credentials, installed cryptomining software, and tried other means of VM/container abuse. By late 2021, 150K of TeamTNT’s malicious images were downloaded via Docker Hub, suggesting relatively widespread compromise. • In a Q4 2021 security-industry survey sponsored by vendor CyberArk, security leader",
1.0.0,actor--teamtnt,artifact--sha256:f19e00bb0e856a4dd923033e204ed40f1fd3056c9a7b9276b9512bd543ff5d04,observation--sha256:544b68d98b57f2833012f7b2771cc4159d4a79b375b83080a7b23801ec736795,file-name,4.pdf,4.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Google_Cybersecurity_Action_Team_Threat_Horizons_Report#4.pdf {""page"": 18} TeamTNT www.bleepingcomputer.com/news/security/cryptojacking-worm- steals-aws-credentials-from-docker-systems/, accessed Jul 27, 2022; and Trend Micro Research, “Compromised Docker Hub Accounts Abused for Cryptomining Linked to TeamTNT,” TrendMicro, Nov 9, 2011, https://www.trendmicro.com/en_us/research/21/k/compromised-docker-hub-accounts-abused-for-cryptomining-linked-t.html, accessed Jul 26, 2022. 8 CyberA",
1.0.0,actor--teamtnt,artifact--sha256:587eeb5a066cdf8b5ae00322865eb628c76eafae463e3c1c4c00a83ef37da8dd,observation--sha256:9e3c7fbb3e29a047f7401e63ef93451daf6a377542fec3f14f69c4d8bb3d9850,file-name,Cloud_Native_Threat_Report_2021.pdf,Cloud_Native_Threat_Report_2021.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Cloud_Native_Threat_Report_2021.pdf {""page"": 16} TeamTNT IPs are used to disseminate and communicate with Kinsing malware. The attackers acquired these IPs to enable this attack. These are probably a subset of the botnet linked to the Kinsing malware campaign. Similarly, TeamTNT have been using the domains teamtnt[.]red, kaiserfranz[.]cc and borg[.]wtf as CnC server, DNS and IRC server. They all resolve to the same IP address 45[.]9[.]148[.]108. Compromise infrastructure Previously,",
1.0.0,actor--teamtnt,artifact--sha256:587eeb5a066cdf8b5ae00322865eb628c76eafae463e3c1c4c00a83ef37da8dd,observation--sha256:d3312f2f9409116cac36268069691dfb10941fd54847f7da643d7183bd436acf,file-name,Cloud_Native_Threat_Report_2021.pdf,Cloud_Native_Threat_Report_2021.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Cloud_Native_Threat_Report_2021.pdf {""page"": 16} teamtnt mmunicate with Kinsing malware. The attackers acquired these IPs to enable this attack. These are probably a subset of the botnet linked to the Kinsing malware campaign. Similarly, TeamTNT have been using the domains teamtnt[.]red, kaiserfranz[.]cc and borg[.]wtf as CnC server, DNS and IRC server. They all resolve to the same IP address 45[.]9[.]148[.]108. Compromise infrastructure Previously, we reported that attackers had be",
1.0.0,actor--teamtnt,artifact--sha256:587eeb5a066cdf8b5ae00322865eb628c76eafae463e3c1c4c00a83ef37da8dd,observation--sha256:8297d0497f5092292be35a3b5db7a8d83e5b68bdac1ebe5dee784c6f51342f20,file-name,Cloud_Native_Threat_Report_2021.pdf,Cloud_Native_Threat_Report_2021.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Cloud_Native_Threat_Report_2021.pdf {""page"": 31} TeamTNT wn Alpine d.sh The attacker ran a code in cmd that downloaded the malicious script d.sh, it later downloaded kinsing malware Backdoor, Crypto, Malware, Worm 6 months 15,913 attacks alpine:latest Kinsing attackers TeamTNT blackT campaign The attacker pulled a malicious container image from a public registry in Docker Hub Backdoor, Crypto, Malware, Worm 1 month 124 attacks kirito666/ blacktv2:latest and kirito666/ blackt:latest ",
1.0.0,actor--teamtnt,artifact--sha256:587eeb5a066cdf8b5ae00322865eb628c76eafae463e3c1c4c00a83ef37da8dd,observation--sha256:e778c8e251c2c64fcb4822873f0c95ef454f0b0f06a12f4770b09c6e75ed90e1,file-name,Cloud_Native_Threat_Report_2021.pdf,Cloud_Native_Threat_Report_2021.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Cloud_Native_Threat_Report_2021.pdf {""page"": 31} TeamTNT mTNT blackT campaign The attacker pulled a malicious container image from a public registry in Docker Hub Backdoor, Crypto, Malware, Worm 1 month 124 attacks kirito666/ blacktv2:latest and kirito666/ blackt:latest TeamTNT TeamTNT encoded The attacker ran a remote code with a malicious binary encoded in base64 in the cmd Backdoor, Crypto, Malware, Worm 1 week 5 attacks alpine:latest TeamTNT TeamTNT kaiserfranz campaign The atta",
1.0.0,actor--teamtnt,artifact--sha256:587eeb5a066cdf8b5ae00322865eb628c76eafae463e3c1c4c00a83ef37da8dd,observation--sha256:eedaa71acb5e4343a1f44ac7f3812ae379ebfdf27aecea6476bf0e218c30b4b5,file-name,Cloud_Native_Threat_Report_2021.pdf,Cloud_Native_Threat_Report_2021.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Cloud_Native_Threat_Report_2021.pdf {""page"": 31} TeamTNT ckT campaign The attacker pulled a malicious container image from a public registry in Docker Hub Backdoor, Crypto, Malware, Worm 1 month 124 attacks kirito666/ blacktv2:latest and kirito666/ blackt:latest TeamTNT TeamTNT encoded The attacker ran a remote code with a malicious binary encoded in base64 in the cmd Backdoor, Crypto, Malware, Worm 1 week 5 attacks alpine:latest TeamTNT TeamTNT kaiserfranz campaign The attacker dow",
1.0.0,actor--teamtnt,artifact--sha256:9e4165327c54d9962d7aeafd5b317c341fcca30090ff2771a89c68ac866c4f33,observation--sha256:ae7503f7170b000dcbe1675851026cfcc1c83d4a60946ff08e3ae89b18676ea6,file-name,Cloud_Security_Risk_Report_2025.pdf,Cloud_Security_Risk_Report_2025.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/Cloud_Security_Risk_Report_2025.pdf {""page"": 6} TeamTNT 6 SENTINELONE CLOUD SECURITY RISK REPORT 2025 Example: SilentBob Cryptomining Campaign Attributed to TeamTNT An interesting example that showcases these trends is the TeamTNT SilentBob cryptomining campaign. This attack chain is as follows: Threat actors perform a mass scan for misconfigured servers running Docker and/or Jup",
1.0.0,actor--teamtnt,artifact--sha256:9e4165327c54d9962d7aeafd5b317c341fcca30090ff2771a89c68ac866c4f33,observation--sha256:67d248a8d0f3764b7a2871c30db374de4a67705033f481a21be073d147dd69cb,file-name,Cloud_Security_Risk_Report_2025.pdf,Cloud_Security_Risk_Report_2025.pdf,candidate,,unknown,unknown,not-stated,,source--teamtnt--13da4afb2e7269be,actor_profile/evidence/teamtnt.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/Cloud_Security_Risk_Report_2025.pdf {""page"": 6} TeamTNT 6 SENTINELONE CLOUD SECURITY RISK REPORT 2025 Example: SilentBob Cryptomining Campaign Attributed to TeamTNT An interesting example that showcases these trends is the TeamTNT SilentBob cryptomining campaign. This attack chain is as follows: Threat actors perform a mass scan for misconfigured servers running Docker and/or Jupyter Labs Recon Via the exposed Docker API, a priveleged container",
