schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--temp-hermit,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:1b145e93945e6be917108871994595c18e46f131da690bee2ebafc50363cccee,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 17} Temp.Hermit triation, any individual determined to be working on behalf of or at the direction of the RGB. 1. 110 Research Institute (110 호 연구소): DPRK cyber actors operating under the 110 Research Institute (RI) , 18 including Temp.Hermit, Citrine Sleet (a lso known as AppleJeus, Gleaming Pisces), TraderTraitor (also known as Jade Sleet, UNC48",
1.0.0,actor--temp-hermit,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:2309d9960afa7cc866f13af1e36435de013ffe08742e14781433e07ee351903a,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 17} Temp.Hermit 0 Research Institute.20 Citrine Sleet is notable for its practice of hardcoding the word “Jeus” into malware delivered to victims that downloaded a fake cryptocurrency trading application called Celas Trade Pro. 21 Temp.Hermit is known for recent supply chain compromises and major cyber incidents such as the 2014 hack against Sony ",
1.0.0,actor--temp-hermit,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:d2db6e227c1d70c0c81ffb5c3d5ee9af8ebad9880c147515f81e85fd065b8d64,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 17} Temp.Hermit tion. 18 Note: The term “Lazarus Group” has been used widely and often imprecisely in public discourse to describe a broad array of DPRK APTs, including Andariel, Kimsuky, TraderTraitor, CryptoCore, Citrine Sleet, and Temp.Hermit. For the purposes of this report, the term “Lazarus Group” is used sparingly and encompasses only a sub",
1.0.0,actor--temp-hermit,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:2827bc4ae96df729418322406b16ebeb795b1e64a54fb7220d6195ebca7b2684,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 17} Temp.Hermit aitor, CryptoCore, Citrine Sleet, and Temp.Hermit. For the purposes of this report, the term “Lazarus Group” is used sparingly and encompasses only a subset of 110 Research Institute activity, including Citrine Sleet, Temp.Hermit, TraderTraitor, and CryptoCore. 19 DTEX, “Exposing DPRK’s Cyber Syndicate and Hidden IT Workforce, 5/14",
1.0.0,actor--temp-hermit,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:d18ce406a38816c00d3e5a755e32ecea60332bc85f729ef2c9bd90b1b7e75d8e,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 6} Temp.Hermit d Defense Industrial Base (DIB) Targeting ....................... 91 Cyberattacks Against ROK Infrastructure ..................................................................................... 91 Cyber Operations by Temp.Hermit to penetrate ROK cyber infrastructure ............................. 91 Cyber Operations by Kimsuky to ac",
1.0.0,actor--temp-hermit,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:59eabccc63df1ef272e07a02c0aeebccc7b618c7334abe3f8ae86667f68c84ff,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 9, ""sheet"": ""North Korea""} TEMP.Hermit TEMP.Hermit APT38 G0082 VOLGMER, PEACHPIT Korean Peninsula, US Aerospace, SWIFT-fraud operations in East Asia Media, government, but mainly financial institutions in order to raise money for the North Korean regime: Russia, Turkey,",
1.0.0,actor--temp-hermit,artifact--sha256:774eda6761b153b478f9be86fa71e4614714496ad5f1238072785e9c10845271,observation--sha256:a3b83a90b729bb70b8b8c9e689501ba31727b3cf39589ce7760ce07fb88a747a,file-name,REPORT.pdf,REPORT.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/M-Trends 2023 Report MANDIANT SPECIAL REPORT.pdf {""page"": 68} TEMP.HERMIT schemes, the activi ties undertaken by UNC4131 and UNC4369 are limited in volume. JanuaryMarchApril 2022 MayJuneJulyAugFall SUSPECTED GROUP UNC1130 UNC1130 LOGCABIN UNC1758 AppleJeus UNC1069 LONEJOGGER COINTOSS UNC1130 TEMP.HERMIT N/A N/A N/A N/A N/A N/A N/A N/A MALW ARE FAMILY USED NOTABLE NORTH KOREAN THREAT ACTIVITY TARGETING CRYPTOCURRENCIES IN 2022 68SPECIAL REPORT | MANDIANT M-TRENDS 2023",
1.0.0,actor--temp-hermit,artifact--sha256:f995185f572984deea7588de4cd2c0fb473c79b4efb06e43a613bd0dc59c097b,observation--sha256:af827e34737d0ee0c3ebcdb393db327d80dddb55c0aa4ed85f630c7fd3c12db3,file-name,Report.pdf,Report.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT43/APT43 Report.pdf {""page"": 10} TEMP.Hermit DEC JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC JAN FEB MAR APR MAY JUN JULY AUG SEP OCT MONKEYCHERRY / UNC786 LOGCABIN / UNC1873 WORRYWART / UNC2226 HANGMAN / UNC785 TEMP.Hermit Other assorted North Korean groups FIGURE 7. Convergence between APT43, TEMP.Hermit, and other tracked North Korean clusters based on malware deployment",
1.0.0,actor--temp-hermit,artifact--sha256:f995185f572984deea7588de4cd2c0fb473c79b4efb06e43a613bd0dc59c097b,observation--sha256:8667d3db610dc93e661a7cdd83502f26ab5944fdada1817e518f2448be642d10,file-name,Report.pdf,Report.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT43/APT43 Report.pdf {""page"": 10} TEMP.Hermit SEP OCT NOV DEC JAN FEB MAR APR MAY JUN JULY AUG SEP OCT MONKEYCHERRY / UNC786 LOGCABIN / UNC1873 WORRYWART / UNC2226 HANGMAN / UNC785 TEMP.Hermit Other assorted North Korean groups FIGURE 7. Convergence between APT43, TEMP.Hermit, and other tracked North Korean clusters based on malware deployment",
1.0.0,actor--temp-hermit,artifact--sha256:1851073aad130b9db81ceab800dc740ebc6772b7d80640e21044cd8026a9017e,observation--sha256:4869fa31a4fa6017af3976925eea90236a71659529ab96530dbde0a1851d1388,file-name,Strategy.pdf,Strategy.pdf,candidate,,unknown,unknown,not-stated,,source--temp-hermit--df54853ad7e7b12d,actor_profile/evidence/temp-hermit.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/North Korea’s Cyber Strategy.pdf {""page"": 4} TEMP.Hermit betweenindividual intrusionsets. Weseparated2Lazarussub-groupsbecausetheindustrytracksthemasseparateentities. Thethreat actorswetrackedinthisreport are: ● Lazarus(alsoknownasHIDDENCOBRA, DiamondSleet, LabyrinthChollima, TEMP.Hermit, andBlackArtemis): anumbrellatermcoveringseveral state-sponsoredthreat groupsthat haveconductedespionageandfinanciallymotivatedcyber activitiesonbehalf of NorthKoreasinceatleast 200",
