schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--tick,artifact--sha256:b8ca1ee254b3382a7622405bfdbfcd30fe526f7328467b467157e8db45886458,observation--sha256:baa41d157f852b8b7b1689678c31c537aefa41b88f63f87925d7e8585e2945bf,file-name,-mi.exe,-mi.exe,candidate,,unknown,unknown,not-stated,,source--tick--2314f8608742ea50,tick/D1 COMMSEC - Tick Group - Activities Of The Tick Cyber Espionage Group In East Asia Over The Last 10 Years - Cha Minseok.pdf,"{""page"": 44}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"© AhnLab, Inc. All rights reserved. 44 Credential dumping - Mimikatz • Mimikatz -mi.exe, mi2.exe, m3.exe, m32.exe",
1.0.0,actor--tick,artifact--sha256:762a2d1408dfd47d0f689fdf3305fb49103ef1c6be81c959509f5b11083fb0a5,observation--sha256:eb72257d7f68434a66b6d69e7ddba03dc7abfee547798940b8e6a4c49e3fc6bd,file-name,20REPORT_vol.93.pdf,20REPORT_vol.93.pdf,candidate,2018-10-01T00:00:00Z,month,known,same-record,,source--tick--4f9a9ec6cf4c57e1,tick/[Analysis_Report]Tick_Threat_Group.pdf,"{""page"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Analysis Report_Tick Group © AhnLab, Inc. All rights reserved. 26 결론 2016년 이후 본격적으로 알려지기 시작한 틱 그룹은 그 보다 앞선 지난 2008년부터 10여 년간 한국과 일 본에서 지속적으로 공격을 전개하고 있다. 틱 그룹은 다양한 악성코드와 공격 도구를 이용하고 있기 때문에 단순히 악성코드만으로 공격의 배후를 해 당 그룹으로 단정하기에는 한계가 있다. 그러나 지금까지 살펴본 것처럼 일부 공격 사례에 사용된 악성코 드 사이에 뚜렷한 연관성이 보인다. 대표적으로 Gofarer 악성코드의 인증서 서명과 동일한 서명이 일부 Wc.exe에서도 발견되었다. 또 Daserf에 감염된 시스템에서 Netboy가 발견되거나 Ninezero에 감염된 시스템 에서 Netboy가 함께 발견되기도 했다. 다만 일부 악성코드는 연관성을 파악하기 어려운 특징이 나타나기도 했다. 일부 Bisodown의 경우, 이 그룹 에서 사용하는 악성코드뿐만 아니라",
1.0.0,actor--tick,artifact--sha256:762a2d1408dfd47d0f689fdf3305fb49103ef1c6be81c959509f5b11083fb0a5,observation--sha256:fdce7870407476146c0d42cfc91217a42e606ed762a44fd5b7d1ed923c89bfbe,file-name,20REPORT_vol.93.pdf,20REPORT_vol.93.pdf,candidate,2013-02-01T00:00:00Z,month,known,same-record,,source--tick--4f9a9ec6cf4c57e1,tick/[Analysis_Report]Tick_Threat_Group.pdf,"{""page"": 30}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Analysis Report_Tick Group © AhnLab, Inc. All rights reserved. 30 ※ 참고 문헌(References) [1] Adobe Zero-day Used in LadyBoyle Attack (https://www.symantec.com/connect/blogs/adobe-zero-day-used-ladyboyle-attack) [2] LadyBoyle Comes to Town with a New Exploit (https://www.fireeye.com/blog/threat-research/2013/02/lady-boyle-comes-to- town-with-a-new-exploit.html) [3] Tick cyberespionage group zeros in on Japan (https://www.symantec.com/connect/blogs/tick-cyberespionage-group-zeros-japan) [4] Attackers",
1.0.0,actor--tick,artifact--sha256:b8329a18e541d8a575d246240069cf087bb0b0a9aab992e222410fd20940b1ea,observation--sha256:a70f04ca202f55f4bb086a194bfffcbb42ee15411ab89e9303e36fb856a8bd4c,file-name,20REPORT_vol.93_ENG.pdf,20REPORT_vol.93_ENG.pdf,candidate,2018-10-01T00:00:00Z,month,known,same-record,,source--tick--4f9a9ec6cf4c57e1,tick/[Analysis_Report]Tick_Threat_Group.pdf,"{""page"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Analysis Report_Tick Group © AhnLab, Inc. All rights reserved. 26 결론 2016년 이후 본격적으로 알려지기 시작한 틱 그룹은 그 보다 앞선 지난 2008년부터 10여 년간 한국과 일 본에서 지속적으로 공격을 전개하고 있다. 틱 그룹은 다양한 악성코드와 공격 도구를 이용하고 있기 때문에 단순히 악성코드만으로 공격의 배후를 해 당 그룹으로 단정하기에는 한계가 있다. 그러나 지금까지 살펴본 것처럼 일부 공격 사례에 사용된 악성코 드 사이에 뚜렷한 연관성이 보인다. 대표적으로 Gofarer 악성코드의 인증서 서명과 동일한 서명이 일부 Wc.exe에서도 발견되었다. 또 Daserf에 감염된 시스템에서 Netboy가 발견되거나 Ninezero에 감염된 시스템 에서 Netboy가 함께 발견되기도 했다. 다만 일부 악성코드는 연관성을 파악하기 어려운 특징이 나타나기도 했다. 일부 Bisodown의 경우, 이 그룹 에서 사용하는 악성코드뿐만 아니라",
1.0.0,actor--tick,artifact--sha256:b8329a18e541d8a575d246240069cf087bb0b0a9aab992e222410fd20940b1ea,observation--sha256:8602b0f3fc2a725d9ddb27652b4cc6091a4eec2fef5708edd4e27458abc2c479,file-name,20REPORT_vol.93_ENG.pdf,20REPORT_vol.93_ENG.pdf,candidate,2013-02-01T00:00:00Z,month,known,same-record,,source--tick--4f9a9ec6cf4c57e1,tick/[Analysis_Report]Tick_Threat_Group.pdf,"{""page"": 30}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Analysis Report_Tick Group © AhnLab, Inc. All rights reserved. 30 ※ 참고 문헌(References) [1] Adobe Zero-day Used in LadyBoyle Attack (https://www.symantec.com/connect/blogs/adobe-zero-day-used-ladyboyle-attack) [2] LadyBoyle Comes to Town with a New Exploit (https://www.fireeye.com/blog/threat-research/2013/02/lady-boyle-comes-to- town-with-a-new-exploit.html) [3] Tick cyberespionage group zeros in on Japan (https://www.symantec.com/connect/blogs/tick-cyberespionage-group-zeros-japan) [4] Attackers",
1.0.0,actor--tick,artifact--sha256:06167e1b3eb74cd47afdcb293b83672c3bfed8a1663333a724b0bcbf8a8dad72,observation--sha256:e5df3bd37827f3f3090eaf79c41ee05da97792a3234823c546b7516dd43accef,file-name,AC25.EXE,AC25.EXE,candidate,,unknown,unknown,not-stated,,source--tick--2314f8608742ea50,tick/D1 COMMSEC - Tick Group - Activities Of The Tick Cyber Espionage Group In East Asia Over The Last 10 Years - Cha Minseok.pdf,"{""page"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"© AhnLab, Inc. All rights reserved. 37 Tickusb • Tickusb (SymonLoader) -Found to be active from spring 2014 to Nov . 2017(possibly even before Sep. 2012) -First analysis disclosed by Unit42 in Jun. 2018 -Saved information leaked and data modified when USB Flash Drive was connected -Some variants found in the Korean Secure USB Flash Drive➔ Execute by readingdata from specific area ➔Execution code unchecked -Modified EXE file and patched AL Y AC25.EXE file within some modified USB Flash Drive • Co",
1.0.0,actor--tick,artifact--sha256:7f7cb962dffee9e6f9c13feb08f0631a08182dcb9e618e81380f1be530a1a8fd,observation--sha256:a5fd0457ff773534c977a565c7285a213aa3bb73fee8a41c541d294e54aa4c0b,file-name,Explorer.exe,Explorer.exe,candidate,,unknown,unknown,not-stated,,source--tick--2314f8608742ea50,tick/D1 COMMSEC - Tick Group - Activities Of The Tick Cyber Espionage Group In East Asia Over The Last 10 Years - Cha Minseok.pdf,"{""page"": 29}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"© AhnLab, Inc. All rights reserved. 29 Netboy (Domino, Invader, Kickesgo) • Netboy (Domino, Invader, Kickesgo) -Actively discovered after 2010; Initial version of DLL format discovered from Korea in 2008 -Written in Delphi language -Encrypted major strings into XOR 0xC7 -Injected within the process, such as Explorer.exe -Conduct functions including keylogging, screen capture, process list, and program execution -Code change (2012)➔ Disrupted analysis by adding garbage values (2013)",
1.0.0,actor--tick,artifact--sha256:7f7cb962dffee9e6f9c13feb08f0631a08182dcb9e618e81380f1be530a1a8fd,observation--sha256:a3d6e07d770c026efcc0c74d470c6504efe6d5968751a99196888db72cf6d309,file-name,Explorer.exe,Explorer.exe,candidate,,unknown,unknown,not-stated,,source--tick--4f9a9ec6cf4c57e1,tick/[Analysis_Report]Tick_Threat_Group.pdf,"{""page"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Analysis Report_Tick Group © AhnLab, Inc. All rights reserved. 12 [그림 11] XOR 암호 코드 이 악성코드는 Explorer.exe 등 정상 프로세스에 악의적인 코드를 삽입해 키로깅, 화면 캡쳐, 프로세스 리스 트, 프로그램 실행 등의 기능을 수행한다. 2013년에 발견된 변형(3dce29291a34b4ebf9f29404f527c704)부터 코드 중간에 쓰레기 값을 추가해 IDA Hex- ray 등으로 코드를 디컴파일할 때 제대로 보이지 않게 하는 등 분석을 방해한다. 2.3) Ninezero (9002) Ninezero는 이 그룹에서 2012년부터 2013년 사이에 사용된 악성코드로, 통신할 때 '9002' 문자열을 보낸다 는 점에서 ‘9002 백도어’로 불린다. 국내에서 Ninezero 악성코드가 확인된 것은 2012년이다 (0ffd2dbc6f5d666b1cf4dd5f9fcb9eb1, 9c0725278b6276783a8c21",
1.0.0,actor--tick,artifact--sha256:b635eb566ba067e7c1d90da9e786e9479594c8265fab6fd779a6080db0333624,observation--sha256:d395e735c718fdb60f18934bc7dcaf75bd9b3cf56e9fdfee271ed430b02c06e7,file-name,GetLSASRVAddr.exe,GetLSASRVAddr.exe,candidate,,unknown,unknown,not-stated,,source--tick--4f9a9ec6cf4c57e1,tick/[Analysis_Report]Tick_Threat_Group.pdf,"{""page"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Analysis Report_Tick Group © AhnLab, Inc. All rights reserved. 24 [그림 25] WCE 실행 화면 64비트 WCE(2cd50cb6294045c59212b8e2a5211599)는 2014년에 처음 발견되었다. 2016년 6월에 발견된 64 비트 WCE(47e75d87e6a695ce2a6700725a29f025)의 파일명은 wc64.exe였으며, 앞서 살펴본 Gofarer 악성코 드에서 발견된 ‘Heruida Electronic Technology Co., Ltd.’의 인증서로 디지털 서명되었다. [그림 26] WCE 64비트 실행 화면 GetLSASRVAddr.exe는 Amplia Security의 프로그램으로, 로그온 섹션과 NTLM 정보를 얻기 위해 WCE와 함께 사용된다.",
1.0.0,actor--tick,artifact--sha256:6599d414e8c78a9ce6ce281d84694ffed383848c2f7ef57fb0cf53da64155ac3,observation--sha256:5a8d18a0f90efe8b8c9d07933e0168cd8f81c99f62f0f1f5c78682081dbc1b10,file-name,JSAC2019_8_nakatsuru_en.pdf,JSAC2019_8_nakatsuru_en.pdf,candidate,2013-02-01T00:00:00Z,month,known,same-record,,source--tick--4f9a9ec6cf4c57e1,tick/[Analysis_Report]Tick_Threat_Group.pdf,"{""page"": 30}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Analysis Report_Tick Group © AhnLab, Inc. All rights reserved. 30 ※ 참고 문헌(References) [1] Adobe Zero-day Used in LadyBoyle Attack (https://www.symantec.com/connect/blogs/adobe-zero-day-used-ladyboyle-attack) [2] LadyBoyle Comes to Town with a New Exploit (https://www.fireeye.com/blog/threat-research/2013/02/lady-boyle-comes-to- town-with-a-new-exploit.html) [3] Tick cyberespionage group zeros in on Japan (https://www.symantec.com/connect/blogs/tick-cyberespionage-group-zeros-japan) [4] Attackers",
