schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--toddycat,artifact--sha256:a9693fc262c93cf56cefc91c1b97315c2155300ded4fc09333468ee720e64561,observation--sha256:e2078361ad3fd45fb43665cf44fec05e33e0696a9a5f3b2a52018b31a3276b33,command,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 52} ToddyCat Protocol: Web Protocols T1071.001 The service process mentioned above connected to 154.202.56[.]211:443 and made a POST request: hxxps:/ /154.202.56[.]211/collector/3.0/. This URL matches the URL path structure used by ToddyCat. Ingress Tool Transfer T1105 Several scripts and executable files were downloaded from this C2 server to the target host. Interestingly, PowerShell scripts were downloaded several times but with different MD5 hashes. Th","summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 52} ToddyCat Protocol: Web Protocols T1071.001 The service process mentioned above connected to 154.202.56.211:443 and made a POST request: hxxps:/ /154.202.56.211/collector/3.0/. This URL matches the URL path structure used by ToddyCat. Ingress Tool Transfer T1105 Several scripts and executable files were downloaded from this C2 server to the target host. Interestingly, PowerShell scripts were downloaded several times but with different MD5 hashes. Th",candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 52} ToddyCat Protocol: Web Protocols T1071.001 The service process mentioned above connected to 154.202.56[.]211:443 and made a POST request: hxxps:/ /154.202.56[.]211/collector/3.0/. This URL matches the URL path structure used by ToddyCat. Ingress Tool Transfer T1105 Several scripts and executable files were downloaded from this C2 server to the target host. Interestingly, PowerShell scripts were downloaded several times but wit",
1.0.0,actor--toddycat,artifact--sha256:10b5623e1ce1c9c390f3ce12efc7a030689a805e6fb2195abb3c9c361cb37383,observation--sha256:33665c10117b7a5799385a8ada692450854f2db98883eb60578ef5358770c0fb,file-name,CERTFR-2026-CTI-003.pdf,CERTFR-2026-CTI-003.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/CERTFR-2026-CTI-003.pdf {""page"": 57} TODDYCAT ENACE INFORMATIQUE SUR LES ÉQUIPEMENTS MOBILES. 26 11 2025. https://cyber.gouv.fr/actualites/etat- de-la-menace-informatique-sur-les- equipements-mobiles/ [90] CYBERDICO. https://cyber.gouv.fr/cyberdico/#S [91] APT TODDYCAT. 21 06 2022. Unveiling an unknown APT actor attacking high-profile entities in Europe and Asia. https://securelist.com/ toddycat/106799/ [92] SHARPPANDA: CHINESE APT GROUP TARGETS SOUTHEAST ASIAN GOVERNMENT WITH",
1.0.0,actor--toddycat,artifact--sha256:10b5623e1ce1c9c390f3ce12efc7a030689a805e6fb2195abb3c9c361cb37383,observation--sha256:5e6b673e4e7ccbd3cfb15c56a29e4ee2de841d48c21947a5e77865984825b2c6,file-name,CERTFR-2026-CTI-003.pdf,CERTFR-2026-CTI-003.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/CERTFR-2026-CTI-003.pdf {""page"": 57} toddycat les- equipements-mobiles/ [90] CYBERDICO. https://cyber.gouv.fr/cyberdico/#S [91] APT TODDYCAT. 21 06 2022. Unveiling an unknown APT actor attacking high-profile entities in Europe and Asia. https://securelist.com/ toddycat/106799/ [92] SHARPPANDA: CHINESE APT GROUP TARGETS SOUTHEAST ASIAN GOVERNMENT WITH PREVIOUSLY UNKNOWN BACKDOOR. 03 06 2021. https://research.checkpoint. com/2021/chinese-apt-group- targets-southeast-asian-governmen",
1.0.0,actor--toddycat,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:9bcca0a8e59f101bb7f270f3921e30068580af336693e2254f097d302752f25d,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 51} ToddyCat ident description In February of 2023, our SOC team was alerted about a potential security breach observed in the telemetry of one of our customers. Further investigation revealed that the well-known APT group known as ToddyCat was probably responsible for the attack. Details of the incident, including the event history, and the TTPs used by the group are described below. Detailed description During SOC monitoring, ou",
1.0.0,actor--toddycat,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:3ed423a1b5a30caa5e3435e191b46d3a5d62678649aabbe13106cee2c54d752c,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 51} ToddyCat for the attack. Details of the incident, including the event history, and the TTPs used by the group are described below. Detailed description During SOC monitoring, our analysts detected malicious activity pointing to ToddyCat. When investigating the alert, we focused on a suspicious DLL that was run as a Windows service (Create or Modify System Process: Windows Service T1543.003). The ToddyCat alert was triggered by",
1.0.0,actor--toddycat,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:a424405b975f1e4cbc586b3afb1a6f5e34b803d5ea853244907e4cfab6c089e2,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 51} ToddyCat alysts detected malicious activity pointing to ToddyCat. When investigating the alert, we focused on a suspicious DLL that was run as a Windows service (Create or Modify System Process: Windows Service T1543.003). The ToddyCat alert was triggered by their typical pattern of implementing the LZSS algorithm in the memory of a process that was detected by Kaspersky Endpoint Security (KES): Victim summary Industry Governm",
1.0.0,actor--toddycat,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:caba17d4a18a96c60f0db89ff89b1a5baa531124fd90d0a897c62f79302dbb3b,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 51} ToddyCat red by their typical pattern of implementing the LZSS algorithm in the memory of a process that was detected by Kaspersky Endpoint Security (KES): Victim summary Industry Government Countries affected Malaysia Threat ToddyCat The DLL file of the Windows service was found in the following registry key: CommandLine: С:\Windows\system32\svchost.exe -k fontcsvc Registry key: HKLM\System\ControlSet001\Services\FontCacheSvc",
1.0.0,actor--toddycat,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:b7089a8b8e0e8e209750f2669d120c18c912b3fa6d5c976930411f05d35c48b9,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 52} ToddyCat Protocol: Web Protocols T1071.001 The service process mentioned above connected to 154.202.56[.]211:443 and made a POST request: hxxps:/ /154.202.56[.]211/collector/3.0/. This URL matches the URL path structure used by ToddyCat. Ingress Tool Transfer T1105 Several scripts and executable files were downloaded from this C2 server to the target host. Interestingly, PowerShell scripts were downloaded several times but wit",
1.0.0,actor--toddycat,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:3389e8b0f9ea91bd911f7a9d8401a3ceee826518adf67641a6d08b6a87fead5f,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 92} ToddyCat • APT10 • APT-C-40 • Transparent Tribe • Exforel • VajraEleph • Sharp Panda • Red Menshen • Aoqin Dragon • APT40 • TA428 • Naikon • Earth Berberoka • Aggah • DarkOxide • APT-C-61 • DriftingCloud • LuoYu • ToddyCat • TA413 • TA410 • DarkHotel Ближний Восток и Африка • MalKamak • DEV-0343 • HEXANE • DEV-0056 • AridViper • Lazarus • WIRTE • MuddyWater • Earth Lusca • Gaza Cybergang • DarkHalo • Mustang Panda • Moses S",
1.0.0,actor--toddycat,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:3ed844f3aa98ab2908c068d58b36c94fc8b061216027960a7864c702eaed1e02,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--toddycat--d3ad8145a5cd7324,actor_profile/evidence/toddycat.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 93} ToddyCat ddyWater • Scarab • Lorec53 • Mustang Panda • Turla • Ghostwriter • InvisiMole • BlackEnergy • Twisted Panda • APT28 • Tonto Team • Callisto • APT10 • TridentCrow • Moshen Dragon • APT31 • APT37 • LuoYu • ToddyCat • Space Pirates • Lazarus Страна Количество % Украина 42 12,17 Россия 27 7,83 Индия 25 7,25 Пакистан 24 6,96 США 21 6,09 Китай 15 4,35 Тайвань 15 4,35 Южная Корея 13 3,77 Израиль 12 3,48 Вьетнам 10 2,90 Г",
