value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles,context
7d5a7965fe464b391daf0d36dfb862d7f53c7728,sha1,,2025-01-15,,malware--lockbit-3-black,,malware-sample,F6が公開サンドボックス監視で発見したLockBit 3 Black検体。原文は1月15日にモスクワからアップロードされたとするが攻撃発生日とはみなさない。
bdf776d83aaf85931d2cf2bc53ae5606fcac8f81,sha1,,2025-02-11,,malware--lockbit-3-black,,malware-sample,F6が2月11日に発見したLockBit 3 Black検体。
2d66caeb7d4fd81ea47b3286fce1ad66a939d0d4,sha1,,2025-02-11,,malware--babuk,,malware-sample,F6が2月11日に発見したBabuk検体。
ade71388dc2fbcb33e69406e88e26d67cd43fa67,sha1,,2025-02-17,,,,malware-sample,F6が2月17日に発見し先行検体との類似を報告した検体。ファミリはこの記述だけでは確定しない。
4268bfee48695e1625d96e9eb904bb14d2eac6dd,sha1,,2025-02-25,,malware--lockbit-3-black,,malware-sample,2月25日にKaspersky Clubへ被害報告が掲載されたLockBit 3 Black検体。
6c0b7a83ce46e6ffa34ac3fb04cd574bc02ae11d,sha1,,,,,,malware-sample,F6 IOC節: fwkor.exe。
5c7a612482a7af27b11f17e2e793c6f3dd856248,sha1,,,,,,malware-sample,F6 IOC節: qauvy.exe。
a60d6d6e1745220b143bbfb6b214594cbd1ce8d8,sha1,,,,,,malware-sample,F6 IOC節: kolhoz.exe。
6feaac36d6c9175bd7bbba1279cc6430976e12bd,sha1,,,,,,malware-sample,F6 IOC節: systemd。
b8fd7845c0bb56ab786ab9801da4531b81dd12cc,sha1,,,,,,malware-sample,F6 IOC節: systemd。
9f8f60e2c3c33ede923be622dd60f623a064e6dd,sha1,,,,,infrastructure--toy-ghouls-phantomcore-overlap,remote-management|non-exclusive,F6 IOC節: dnsclient64.exe。MeshCentral関連値の可能性があるが、この表だけで個別のPhantomCore使用を断定しない。
835bd6a13ad025a34b85d51ecfd38c1d06f177ea,sha1,,,,,,malware-sample,F6 IOC節: kernel64-tzar。
ca7321d8e778310d2b14d6082ac055df7f8c75c2,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tunneling-script,F6 IOC節: SSHService.ps1。
4ed37e27932f0db5ff98c8a6f5ea1b3ce078ab7a,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tunneling-script,F6 IOC節: SSHService.ps1。
e23d1c937c5e4b1d116010d5c9b1412a59c67b88,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tunneling-tool|non-exclusive,F6 IOC節: cloudflared.exe。公開ツールのため専有ではない。
8c7b5a3e82791123b9810b065244ad1f95a3fc6c,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tunneling-tool|non-exclusive,F6 IOC節: cloudflared.exe。公開ツールのため専有ではない。
8836d741b13d192b70acdc684ad3fb28b52149ea,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tunneling-tool|non-exclusive,F6 IOC節: cloudflared.exe。公開ツールのため専有ではない。
48fc0f8fe7f8cf20b4db9bd525798e48e5972bce,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,proxy-tool|non-exclusive,F6 IOC節: gost.exet。公開ソース由来ツールのため専有ではない。
59a97f9d7c1d6e10fa41ea9339568fb25ec55e27,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tool-sample,F6 IOC節: dllhost.exe。
e132d57ee2afbb0a1c479631fd70e7df85623642,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tool-sample,F6 IOC節: dllhost.exe。
0049580250a7b8e65311acb7995450c750afc4c3,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tool-sample,F6 IOC節: dllhost.exe。
2e75c65977975110c8f7288801eb212f4557d6e0,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,proxy-tool,F6 IOC節: winScHost.exe。ShinySocks改変版。
e838d6ddf4da432de631d0f0120fb94f696150c0,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,proxy-tool,F6 IOC節: winScHost.exe。ShinySocks改変版。
f16f3c7dd300bb403135c0daf38bb163e4707a18,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,proxy-tool,F6 IOC節: winScHost.exe。ShinySocks改変版。
ce36d71fbfd9d989a409f8a42a817996d53332d2,sha1,,,,,infrastructure--toy-ghouls-ransomware-operations,tool-sample,F6 IOC節: svchost.exe。
195.133.32.213,ipv4,,2025-06,activity--toy-ghouls-june-2025-attacks,,infrastructure--toy-ghouls-ransomware-operations,c2|non-exclusive,6月の攻撃でcloudflaredとdriverSvc.exeの取得元として使用。後続Kaspersky資料ではHead Mareとも重複するため専有扱いしない。
45.158.169.131,ipv4,,2025-07,activity--toy-ghouls-july-2025-construction-incident,,infrastructure--toy-ghouls-ransomware-operations,ssh-tunnel-c2,7月の建設会社攻撃で443番ポートのSSHトンネル先として使用。
nextcloud.soft-trust.com,domain,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,F6が4月攻撃のMeshAgentから得たMeshCentral一覧。原文は一覧の一部がPhantomCoreでも使われたとし個別対応を示さないため集合レベルのshared候補。
91.239.148.211,ipv4,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,nextcloud.soft-trust.comのF6記載IP。集合レベルの重複候補。
nextcloud.1cbit.dev,domain,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,F6がMeshCentral一覧に掲載。Cloudflare背後の実サーバー候補と証明書CNを説明。集合レベルの重複候補。
213.232.204.110,ipv4,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|certificate-pivot|shared-infrastructure|non-exclusive,nextcloud.1cbit.devの実サーバー候補。443番ポートの証明書CNに同ドメインを確認したとF6が記述。
softline-solutions.cloud,domain,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,F6のMeshCentral一覧。集合レベルの重複候補。
46.8.71.104,ipv4,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,softline-solutions.cloudのF6記載IP。集合レベルの重複候補。
pvec.ufolab.ovh,domain,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,softline-solutions.cloudと同じ一覧行に掲載されたホスト。集合レベルの重複候補。
nextcloud.trust-sec.it.com,domain,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,F6のMeshCentral一覧。集合レベルの重複候補。
194.116.215.36,ipv4,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,nextcloud.trust-sec.it.comのF6記載IP。集合レベルの重複候補。
austolns.pw,domain,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,F6のMeshCentral一覧。集合レベルの重複候補。
194.87.253.233,ipv4,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,meshcentral|shared-infrastructure|non-exclusive,austolns.pwのF6記載IP。集合レベルの重複候補。
45.87.246.73,ipv4,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,historical-dns|shared-infrastructure|non-exclusive,nextcloud.soft-trust.comの旧IPとしてF6が掲載。集合レベルの重複候補。
45.153.231.231,ipv4,,2025-04,activity--toy-ghouls-april-2025-oil-incident,,infrastructure--toy-ghouls-phantomcore-overlap,historical-dns|shared-infrastructure|non-exclusive,nextcloud.trust-sec.it.comの旧IPとしてF6が掲載。集合レベルの重複候補。
185.158.248.107,ipv4,,2025-06,activity--toy-ghouls-june-2025-attacks,,infrastructure--toy-ghouls-phantomcore-overlap,c2|shared-infrastructure|non-exclusive,F6がBearlyfyの6月コンサルティング会社攻撃とPhantomCoreの2024年7月攻撃の双方で使用されたと明示。
enc.exe,,file-name,,,,,,F6 IOC節の検体名。
ers.exe,,file-name,,,,,,F6 IOC節の検体名。
e_esxi.out,,file-name,,,malware--babuk,,,F6 IOC節のBabuk ESXi検体名。
mig.exe,,file-name,,,,,,F6 IOC節の検体名。
