value,type,artifact_type,campaign_refs,malware_refs,infrastructure_refs,roles,context
a50eaaf514f4f84e61ca2455a8789753,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
f08f476f26b01d142ca73923de65fc0c,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
fd46a80c2f45577263328984edf7f4dc,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
de3cfbb50f66079bfee20a6f64e59433,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
780c8f4c6f077da4da96582987920362,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
d87d0b01d95acc936b7dc47b8f41937a,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
34a7f28e0bb69b0d49bacc88bdf20ac1,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
5d62c1349b8981c396c9a23f4f8f053c,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
a8842616c9057d5cf6e1fe1fa8c3c160,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
34b8828635f88078735799a3c1ac8e28,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
d3e06eb34d8eee7ef92cac3ad0a20ff5,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
c68b6862725777651085650db34947fc,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
9cd514ff2809ce0b993e3b8649e82a94,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
824ca1e906cc073ee5b0f3519df69a8f,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
25480dad40152ef3d0c6d38eecc9bd9b,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
7dad78584795aa5c160520cc6accf260,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
18f61c6d686cffd131c9fd3f3437064b,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
9969a8221312dba70dd5cbddf83a146c,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
f7b9e36e94163a9a303160945f99267a,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
b893eafed0659f70d4ac250f09073723,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
d661cf666b9acbab7cfeae1127a261a9,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
3a4479b51890373bfc4a011ef41fe376,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
58c0dda52b8f069660166d61fd74f911,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Windows検体。
9201e35e2993612612919a3c71302cab,md5,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,malware-sample,Kaspersky IOC節: GenieLocker Linux/ESXi検体 vzdump。
89.125.66.101,ipv4,,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,infrastructure--toy-ghouls-genielocker-c2,c2,Kaspersky IOC節: GenieLocker C2。
kftd.exe,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するWindows検体名。
genie_encrypt.exe,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するWindows検体名。
run.exe,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するWindows検体名。
run2.exe,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するWindows検体名。
genie.exe,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するWindows検体名。
consultant.exe,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するWindows検体名。
tempo.exe,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するWindows検体名。
kernel.exe,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するWindows検体名。
vzdump,,file-name,activity--toy-ghouls-genielocker-march-2026,malware--genielocker,,,Kaspersky IOC節に対応するLinux/ESXi検体名。
