value,type,artifact_type,campaign_refs,malware_refs,infrastructure_refs,roles,context
fde0fe1f9475c48453b1ec4aa51c9cd2,md5,,activity--toy-ghouls-ransomware-2025-2026,malware--redalert,,malware-sample,Kaspersky IOC節: RedAlert検体。
1662c4c2c28852d778d37e224ed50c1b,md5,,activity--toy-ghouls-ransomware-2025-2026,malware--redalert,,malware-sample,Kaspersky IOC節: RedAlert検体。
8c380b162797a423bb89877b950d6b81,md5,,activity--toy-ghouls-ransomware-2025-2026,malware--redalert,,malware-sample,Kaspersky IOC節: RedAlert検体。
b13010e837f8375cee6f5d2509957c4e,md5,,activity--toy-ghouls-ransomware-2025-2026,malware--lockbit-3-black,,malware-sample,Kaspersky IOC節: LockBit検体。Head Mare検体とのコード類似が論じられるが専有性は立証されない。
6c0b4bd995d72e27342da02497e03cb1,md5,,activity--toy-ghouls-ransomware-2025-2026,malware--lockbit-3-black,,malware-sample,Kaspersky IOC節: LockBit検体。
098ab89af8683d4a75b4f3e049d6d5a4,md5,,activity--toy-ghouls-ransomware-2025-2026,,,malware-sample,Kaspersky IOC節: gse.exe。
b597171ba434af699fa5939188a32065,md5,,activity--toy-ghouls-ransomware-2025-2026,,,malware-sample,Kaspersky IOC節: igsv.exe。
ad3720c364e79b1023ce4e9d504e8913,md5,,activity--toy-ghouls-ransomware-2025-2026,,,malware-sample,Kaspersky IOC節: oil.exe。
8ab9b1ae88020a3b534c1dc453ce1c7b,md5,,activity--toy-ghouls-ransomware-2025-2026,malware--lockbit-3-black,,malware-sample,Kaspersky IOC節: far.exe。Head Mare検体とのコード類似が論じられるが専有性は立証されない。
b5e145e94feca4fa8d6ac777f2ac7c65,md5,,activity--toy-ghouls-ransomware-2025-2026,malware--lockbit-3-black,,malware-sample,Kaspersky IOC節: oil.exe。Head Mare検体とのコード類似が論じられるが専有性は立証されない。
9a8baf8a5ec7a0923d45d0f1177060d5,md5,,activity--toy-ghouls-ransomware-2025-2026,,,malware-sample,Kaspersky IOC節: oil.exe。
f05b0b339b55005d9694ee011cc9f84c,md5,,activity--toy-ghouls-ransomware-2025-2026,malware--babuk,,malware-sample,Kaspersky IOC節: Babuk Linux e_nas_amd64.out。
cd915c6d6cb455fb2786cb4e2debdafc,md5,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-head-mare-shared,proxy-tool|shared-tool|non-exclusive,Kaspersky IOC節: Rsocx/Socks5Proxy rx.exe / hosts.exe。Head Mare既知C2へ接続した共有ツールであり専有IOCではない。
b3411927cc7cd05e02ba64b2a789bbde,md5,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,network-scanner,Kaspersky IOC節: Advanced IP Scanner。
5537c708edb9a2c21f88e34e8a0f1744,md5,,activity--toy-ghouls-ransomware-2025-2026,,,malware-sample,Kaspersky IOC節: ip.exe。
a2b67d4329a0207c9589255b0cc300a4,md5,,activity--toy-ghouls-ransomware-2025-2026,,,malicious-1c-processing,Kaspersky IOC節: fix.epf。
d29d9b9eb73fb72aa9d4392f552c7cf9,md5,,activity--toy-ghouls-ransomware-2025-2026,,,malicious-1c-processing,Kaspersky IOC節: Исправление.epf / ЗагрузкаXML.epf。
e930b05efe23891d19bc354a4209be3e,md5,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,credential-tool,Kaspersky IOC節: Mimikatz mi.exe。
29efd64dd3c7fe1e2b022b7ad73a1ba5,md5,,activity--toy-ghouls-ransomware-2025-2026,,,malware-sample,Kaspersky IOC節: calc.exe。
cf903e4a1629aa0582fd0363b5786676,md5,,activity--toy-ghouls-ransomware-2025-2026,,infrastructure--toy-ghouls-ransomware-operations,network-scanner,Kaspersky IOC節: fscan scan_x86.exe / scan64.exe / fscan.exe。
