schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--transparent-tribe,artifact--sha256:bb1989b0dec86bb31aeff34d5812d9437eb4733c291f591ab1d35ccb90b147fe,observation--sha256:c2f55eb3fc360bc3885abd1b780bae7a8e4abb0ede2251c03ae7f210f7a1bba8,command,C:\Users\Public\core\flowB.bat in the background. This batch file then invokes PowerShell to,C:\Users\Public\core\flowB.bat in the background. This batch file then invokes PowerShell to,candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"11Unveiling Transparent Tribe’s (APT36) C&C and Network Tradecraft Targeting Indian Government and Defence Figure 10 - Creating Persistence The flow.cmd file launches mshta.exe to load the HTA payload stored at C:\Users\Public\core\flow.hta. The flow.lnk shortcut is configured to execute the Windows command interpreter cmd.exe, which in turn launches the batch file located at C:\Users\Public\core\flowB.bat in the background. This batch file then invokes PowerShell to execute the same HTA payload",
1.0.0,actor--transparent-tribe,artifact--sha256:112964dfee3392fefaa9e9ef7f5d269dbbe4671412223e5908db1959921737e7,observation--sha256:af052f8502f463b3ed0add89fa1a19a7be38cc60fb510efa9f9ee85af56a3733,command,"Execution and loader activity abuses living-off-the-land binaries such as mshta.exe,",Execution and loader activity abuses living-off-the-land binaries such as mshta.exe,candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 29}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"29Unveiling Transparent Tribe’s (APT36) C&C and Network Tradecraft Targeting Indian Government and Defence Initial access in the observed campaigns relies on phishing emails delivering weaponized attachments or embedded download links that lead to malicious LNK files, ELF binaries, HTA scripts, and PowerPoint add-ins (PPAM). Aryaka’s DNS filtering and Secure Web Gateway (SWG) mitigate this stage by blocking resolution to attacker-controlled domains and inspecting web traffic to prevent malicious",
1.0.0,actor--transparent-tribe,artifact--sha256:f391462e3eaa0aa8380644978a77ad39bd98c863941c7ce145135c71b4c7dbb3,observation--sha256:636200f33278ab13c97f869fdb3408fb878c1323ea7a88f50858587cba715667,command,Opening the malicious LNK file triggers the infection chain. The shortcut invokes mshta.exe to,Opening the malicious LNK file triggers the infection chain. The shortcut invokes mshta.exe to,candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"4Unveiling Transparent Tribe’s (APT36) C&C and Network Tradecraft Targeting Indian Government and Defence Abuse of LNK Shortcuts and HTA Execution for GETA RAT Delivery As part of the first observed campaign targeting Windows systems, a multi-stage infection chain was observed that relies on malicious shortcut (LNK) files and HTML Application (HTA) execution to deliver GETA RAT. Opening the malicious LNK file triggers the infection chain. The shortcut invokes mshta.exe to fetch and execute JavaS",
1.0.0,actor--transparent-tribe,artifact--sha256:3806b9ebe987db8a2981156ebb09341ee5a3cb9d9bb97a0c025d929c052cba29,observation--sha256:9fe080e3a5deefbc3fa5960bb0fa0b51671c0a2fe5c6abe090df64be70148bb1,command,"PowerShell, and scripting engines to retrieve and execute payloads in memory. Aryaka’s NGFW","PowerShell, and scripting engines to retrieve and execute payloads in memory. Aryaka’s NGFW",candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 29}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"29Unveiling Transparent Tribe’s (APT36) C&C and Network Tradecraft Targeting Indian Government and Defence Initial access in the observed campaigns relies on phishing emails delivering weaponized attachments or embedded download links that lead to malicious LNK files, ELF binaries, HTA scripts, and PowerPoint add-ins (PPAM). Aryaka’s DNS filtering and Secure Web Gateway (SWG) mitigate this stage by blocking resolution to attacker-controlled domains and inspecting web traffic to prevent malicious",
1.0.0,actor--transparent-tribe,artifact--sha256:fe2aca1da3ef93f938f494075b7736a262ab850da95e9af8441a7cea9921af27,observation--sha256:3c0dfae79cd3c92e82d3119bd54db85ffe6c2e6be080627675e5ac66aab36a44,command,The flow.cmd file launches mshta.exe to load the HTA payload stored at,The flow.cmd file launches mshta.exe to load the HTA payload stored at,candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"11Unveiling Transparent Tribe’s (APT36) C&C and Network Tradecraft Targeting Indian Government and Defence Figure 10 - Creating Persistence The flow.cmd file launches mshta.exe to load the HTA payload stored at C:\Users\Public\core\flow.hta. The flow.lnk shortcut is configured to execute the Windows command interpreter cmd.exe, which in turn launches the batch file located at C:\Users\Public\core\flowB.bat in the background. This batch file then invokes PowerShell to execute the same HTA payload",
1.0.0,actor--transparent-tribe,artifact--sha256:9fb3dbbbe6b9eb330122d51942b1956d48a79d0238c44c252bc4a0affe586eb7,observation--sha256:2ae81747930eb5db80ce8d51c89195107c536443e5c429e9e07aec01ac88ac5b,command,"commonly associated with the SideCopy cluster. This infection chain abuses mshta.exe,",commonly associated with the SideCopy cluster. This infection chain abuses mshta.exe,candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Transparent Tribe (APT36) and the closely related SideCopy threat cluster represent a long-running espionage ecosystem that has consistently targeted Indian government, defense, and strategic infrastructure entities. These actors are known for their heavy reliance on spear-phishing, abuse of trusted document formats, and the use of both custom and commodity remote access trojans to establish persistent access. Over time, this ecosystem has demonstrated steady evolution in tooling, incorporating ",
1.0.0,actor--transparent-tribe,artifact--sha256:5e8f7e16843ac54e06d5a81cad2a2183db09c43a19207323aaacc15cae35468f,observation--sha256:e3e17016b5102444c27191d6164190b3bc3a56c7d575a044e0fa881caa6c0f58,command,execute the same HTA payload flow.hta via mshta.exe.,execute the same HTA payload flow.hta via mshta.exe,candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"11Unveiling Transparent Tribe’s (APT36) C&C and Network Tradecraft Targeting Indian Government and Defence Figure 10 - Creating Persistence The flow.cmd file launches mshta.exe to load the HTA payload stored at C:\Users\Public\core\flow.hta. The flow.lnk shortcut is configured to execute the Windows command interpreter cmd.exe, which in turn launches the batch file located at C:\Users\Public\core\flowB.bat in the background. This batch file then invokes PowerShell to execute the same HTA payload",
1.0.0,actor--transparent-tribe,artifact--sha256:cdc7fad4a0777f89de4999e3724556f64a847298f539451957dc2205315175b0,observation--sha256:d7192fe3a86fe9354f82e39bdde23c2563c3e276df36202f2eac69e816254c06,command,"execution, PowerShell invocation, or Python based execution as shown in the Figure 38.","execution, PowerShell invocation, or Python based execution as shown in the Figure 38",candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"28Unveiling Transparent Tribe’s (APT36) C&C and Network Tradecraft Targeting Indian Government and Defence The executeSystemUpdate() function implements a full remote command execution mechanism and is likely invoked when the Upload_execute command is received from the C2 server. Upon execution, it processes a server supplied command or file path, inspects the file extension, and dynamically selects the appropriate execution method, including direct binary execution, PowerShell invocation, or Py",
1.0.0,actor--transparent-tribe,artifact--sha256:608ef6dc19ca4368ed1d5da6123eb8cc0d6945d3b92029b8cd0146d2f568292f,observation--sha256:1673eeb4328802595746080c4fc11ed1d105c863c8dc4b88b5da4e79f6bb2783,command,flow.hta – an HTA script executed via mshta.exe,flow.hta – an HTA script executed via mshta.exe,candidate,,unknown,unknown,not-stated,,source--transparent-tribe--8c7cc7c46f9a6fd9,APT36/transparent-tribe-apt36-cc-network-tradecraft-report.pdf,"{""page"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"10Unveiling Transparent Tribe’s (APT36) C&C and Network Tradecraft Targeting Indian Government and Defence After presenting the decoy document, the malware proceeds to deploy its secondary payloads and adjusts its execution and persistence behavior based on the security software present on the system. It enumerates installed antivirus products via WMI and checks for specific vendors, including Kaspersky, Quick Heal, Avast, AVG, Avira, Bitdefender, and Windows Defender as shown in the Figure 9. A",
1.0.0,actor--transparent-tribe,artifact--sha256:35555741e0fd87c52bf36639d35aa2139f2c68057c2c63b2fdb6720c01cc2331,observation--sha256:3f126d4576ab97cfb0d6a469987630c0663f76d598ba1451804ab53f104ea3bd,file-name,2016.xls,2016.xls,candidate,,unknown,unknown,not-stated,2020-01-01T00:00:00Z,source--transparent-tribe--3fb4d998121e8765,TransparentTribe/transparent-tribe-threat-insight-en2020.pdf,"{""page"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,14 Figure 16: Download File lure containing document that ultimate leads to Crimson Downloader Document Details Location: hxxp://fileshare[.]attachment[.]biz/?att=1455255900 Document: 18711f1db99f6a6f73f8ab64f563accc Document Name: “Call Details Record.xls” Type: VBS Macro VBS Location: hxxp://afgcloud7[.]com/logs/ssc.mcom Payload: 3cc848432e0ebe25e4f19effdd92d9c2 (MSIL/Crimson Downloader) Downloaded MSIL/Crimson RAT: 463565ec38e4d790a89eb592435820e3 Additional payloads were found on the same se,
