schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--tropic-trooper,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:9c55c6985a4d9b5c0fbad9e4a693a2cfabeb2ed8e51c93a1b43153274793f4fe,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,invalid-calendar-date:same-record,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 33}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 24} Keyboy in RedRelay infrastructure management methods, which we observed in February 2022.85 Country-specific targeting In January 2022, we analysed malware communicating with C2 domains we attribute to Red Orthrus (a.k.a. Keyboy, TA428, Tropic Trooper), with this specific malware variant being a 64-bit version of the RAT known in open source as nccTrojan. 86 The lure themes of the C2 domains present in these nccTrojan samples appeared ",
1.0.0,actor--tropic-trooper,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:4d96f02b94c3d1c3352dbbe35ddb663b2d83f87b0d9018265a4ecc7b2f32b295,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,invalid-calendar-date:same-record,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 34}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 24} Tropic Trooper frastructure management methods, which we observed in February 2022.85 Country-specific targeting In January 2022, we analysed malware communicating with C2 domains we attribute to Red Orthrus (a.k.a. Keyboy, TA428, Tropic Trooper), with this specific malware variant being a 64-bit version of the RAT known in open source as nccTrojan. 86 The lure themes of the C2 domains present in these nccTrojan samples appeared to spo",
1.0.0,actor--tropic-trooper,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:16ad36ce1aeac943c842675295af9f853015f55a683c35531d933657ad201afc,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 35}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 75} Keyboy Dev 26 - pg. 25 • Red Ladon (a.k.a. TA423, APT40, Leviathan) - pg. 25 • Red Lich (a.k.a. Mustang Panda, Temp.Hex, TA416) - pg. 20, 24-25 • Red Menshen - pg. 26 • Red Moros (a.k.a. GALLIUM) - pg. 26 • Red Orthrus (a.k.a. Keyboy, TA428, Tropic Trooper) - pg. 23 • Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse) - pg. 23-24 • Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda) - pg. 2, 21- 22 • Red Vulture (a.k",
1.0.0,actor--tropic-trooper,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:84b96108efeb118cb488a4652938e569de7a889e8c481627e1d31105d26165f4,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 36}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 75} Tropic Trooper • Red Ladon (a.k.a. TA423, APT40, Leviathan) - pg. 25 • Red Lich (a.k.a. Mustang Panda, Temp.Hex, TA416) - pg. 20, 24-25 • Red Menshen - pg. 26 • Red Moros (a.k.a. GALLIUM) - pg. 26 • Red Orthrus (a.k.a. Keyboy, TA428, Tropic Trooper) - pg. 23 • Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse) - pg. 23-24 • Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda) - pg. 2, 21- 22 • Red Vulture (a.k.a. APT1",
1.0.0,actor--tropic-trooper,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:0829cb584e4dc2be91e8c93299f24a447865949365e702ddc903d0d030f66d7b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Pirate Panda ................................................ 180 Patchwork, Dropping Elephant ................................................................................................................................... 181 Pirate Panda, APT 23, KeyBoy .................................................................................................................................. 183 PittyTiger, Pitty Panda .....................................",
1.0.0,actor--tropic-trooper,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b3054fa8f2b6ddd40354e04e14acee99500b2aff5f63d9452f9c2bee015c918a,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Tropic Trooper ............................................. 235 Transparent Tribe, APT 36 ......................................................................................................................................... 236 Tropic Trooper .............................................................................................................................................................. 238 Turla, Waterbug, Venomous Bear ..............",
1.0.0,actor--tropic-trooper,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:81d9ecc2e17d95e973ff61146405c85a31a1f16a2d9831e69af9591cfc11e9c9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 183} KeyBoy Threat Group Cards: A Threat Actor Encyclopedia 183 Pirate Panda, APT 23, KeyBoy Names Pirate Panda (CrowdStrike) APT 23 (Mandiant) KeyBoy (Rapid7) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Rapid7) In this blog post we'll analyze two specifi",
1.0.0,actor--tropic-trooper,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:08faabcdcca3c55fdf3da009d42318b91ccaeeb6cc6fda252ce6ce0e6b6e9604,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 183} Pirate Panda Threat Group Cards: A Threat Actor Encyclopedia 183 Pirate Panda, APT 23, KeyBoy Names Pirate Panda (CrowdStrike) APT 23 (Mandiant) KeyBoy (Rapid7) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Rapid7) In this blog post we'll ana",
1.0.0,actor--tropic-trooper,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:3b9d1be36ac30c9af9d5845b2d0efe75e3d059e6fbf90003440f8f19aaa381fc,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} KeyBoy .......................... 180 Patchwork, Dropping Elephant ................................................................................................................................... 181 Pirate Panda, APT 23, KeyBoy .................................................................................................................................. 183 PittyTiger, Pitty Panda ...........................................................",
1.0.0,actor--tropic-trooper,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:21d89dbf87ce55dfd4f659665d780aa19f89bd2f1ed6413ecfc9c782e09fade3,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 183} KeyBoy Threat Group Cards: A Threat Actor Encyclopedia 183 Pirate Panda, APT 23, KeyBoy Names Pirate Panda (CrowdStrike) APT 23 (Mandiant) KeyBoy (Rapid7) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Rapid7) In this blog post we'll analyze two specifi",
1.0.0,actor--tropic-trooper,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:6a58153e173dc2f1231d1cae582694f6a24c4cdfd65270379c73c7e3ecf0d260,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 183} Pirate Panda Threat Group Cards: A Threat Actor Encyclopedia 183 Pirate Panda, APT 23, KeyBoy Names Pirate Panda (CrowdStrike) APT 23 (Mandiant) KeyBoy (Rapid7) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Rapid7) In this blog post we'll ana",
1.0.0,actor--tropic-trooper,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:da800d6402715ec984dde76ae86b3d6c0e824ffccaa30408e1bbe7f2cc3d4c23,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} KeyBoy .................................................... 180 Patchwork, Dropping Elephant ......................................................................................................... 181 Pirate Panda, APT 23, KeyBoy ........................................................................................................ 183 PittyTiger, Pitty Panda .....................................................................................",
1.0.0,actor--tropic-trooper,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:be0cd48931395206dc6b436c568825c760f587d1736ca7ac2378c746a195bdb6,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--tropic-trooper--469c4e88100b33a7,actor_profile/evidence/tropic-trooper.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Pirate Panda .......................................................................... 180 Patchwork, Dropping Elephant ......................................................................................................... 181 Pirate Panda, APT 23, KeyBoy ........................................................................................................ 183 PittyTiger, Pitty Panda .....................................................................",
