schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--turla,artifact--sha256:0a5c01b0619d4e9370970988b59c73c293bf5483ca9030a86f516bb3f6e763dc,observation--sha256:f49d6b8bf70e3b1c932bcd051f816a5a2f8e74b66de5a401ce5a40f460fa31fc,command,"/root/.hsperfdata is then executed through the command ‘/bin/sh -c’, capturing the standard","/root/.hsperfdata is then executed through the command ‘/bin/sh -c’, capturing the standard",candidate,,unknown,unknown,not-stated,,source--turla--f0c7ef1fbe87f2c6,Turla/Malware Technical Insight _Turla “Penquin_x64”.pdf,"{""page"": 15}",[],"[""malware--penquin""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"13 MALWARE TECHNICAL INSIGHT: TURLA “Penquin_x64” Company General Use © Copyright Leonardo S.p.a. – All rights reserved delete it after the execution. “Penquin_x64” uses a different way to parse the incoming commands, and the do_start function seems to be related to this new feature. In particular, the cmdtab data structure containing the codes of the commands to execute and the corresponding functions to call is not present anymore, even though the implementation of the functions is still there",
1.0.0,actor--turla,artifact--sha256:cede810392a6377f48be46657866409d3a7dbcc07f40492a9decffa27fd0d070,observation--sha256:003fe6059ca5540d1b548f810e8d1ad40f00c2cce15332645536c5cc236a9ee3,command,PowerShell T1059.001 Adversaries may abuse PowerShell commands and scripts for,PowerShell T1059.001 Adversaries may abuse PowerShell commands and scripts for,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 44}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 44 of 48 | Product ID: AA23-129A TLP:CLEAR OS Credential Dumping T1003 Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password, from the operating system and software. Rootkit T1014 Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Obfuscated Files or Information T1027 Adversa",
1.0.0,actor--turla,artifact--sha256:d9896098144b6bd8708f86d4cdfba48f0dd1c421916f2da09a0691141a6fb26e,observation--sha256:0f3d2e97c5eb6a97ddcfff6f6aa3fee14150a859f225eaf1dbec0cba2a19eea6,command,The following PowerShell command does the same:,The following PowerShell command does the same:,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 39}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 39 of 48 | Product ID: AA23-129A TLP:CLEAR meta: description = ""entropy rule"" condition: math.entropy(0, filesize) >= 7.0 } The following UNIX find command will scan files with names matching the GUID-based convention (note that the HighEntropy yara rule is assumed to be contained in a file named “1.yar”): find /PATH/TO/WINDOWS_DIR -type f -regextype posix-egrep -iregex \ '.*\/registration/(\{[0-9A-F]{8}\-([0-9A-F]{4}\-){3}[0-9A-F]{12}\}\.){2}crmlog' \ -e",
1.0.0,actor--turla,artifact--sha256:e3725c13cde1fa67c4e189ec105eaf27a05995db00e1c043198bd6f5e8440573,observation--sha256:47d2f48c6cedea2f912d3e024d5435273b5337032eb3c2f30503ae65ed697149,command,"command arrives, it is executed with a ‘/bin/sh -c’ script” [1]. However, the code snippet above","command arrives, it is executed with a ‘/bin/sh -c’ script” [1]. However, the code snippet above",candidate,,unknown,unknown,not-stated,,source--turla--f0c7ef1fbe87f2c6,Turla/Malware Technical Insight _Turla “Penquin_x64”.pdf,"{""page"": 12}",[],"[""malware--penquin""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"10 MALWARE TECHNICAL INSIGHT: TURLA “Penquin_x64” Company General Use © Copyright Leonardo S.p.a. – All rights reserved 4. MALWARE CAPABILITIES In order to understand all the differences among the three Turla “Penquin” versions we have identified, we conducted deep analysis of all the available samples, includ ing those already reported in 2014 and 2017. A very important piece of code, that was not previously described in any analysis we know about, is used by the three malware sets: result = tr",
1.0.0,actor--turla,artifact--sha256:6df2d122c84b2981566eb54e5399eee956543fcf1c66c2260b72d895ea8a4c55,observation--sha256:b556fcccb5d1152d9a077da25a82c215ffceb6e5ad5d494e82067a9aba0a735c,command,"operators have used the Run command to run PowerShell commands, ping other hosts, use the","operators have used the Run command to run PowerShell commands, ping other hosts, use the",candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 26 of 48 | Product ID: AA23-129A TLP:CLEAR High Commands High commands are those with an ordinal of 0x64 (decimal 100) or higher. High commands give the operator many options for interacting with an infected system, as well as implant components. This subsection will describe some examples of the many High commands that can exist in the implant. Some of the most basic High commands will gather information about the machine and return the results. For exam",
1.0.0,actor--turla,artifact--sha256:29e0a1df9c0f8b2ff162ca2cded53c80df0e536172d1ae9a1a63819df4f0576b,observation--sha256:b4b1c501f8ccf45756bd639b0521b7c1530d36f55cb292037b972b472572ab85,file-name,WerFault.exe,WerFault.exe,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 10 of 48 | Product ID: AA23-129A TLP:CLEAR Encrypted Registry Key Data Upon execution, Snake’s WerFault.exe will attempt to decrypt an encrypted blob within the Windows registry that is typically found at HKLM:\SOFTWARE\Classes\.wav\OpenWithProgIds. The encrypted data includes the AES key, IV, and path that is used to find and decrypt the file containing Snake’s kernel driver and kernel driver loader. The registry object’s structure can be seen on the rig",
1.0.0,actor--turla,artifact--sha256:29e0a1df9c0f8b2ff162ca2cded53c80df0e536172d1ae9a1a63819df4f0576b,observation--sha256:449ac3daa69f6236432ce7791fcee1890db237736b0e29928e1a64b0b7999e11,file-name,WerFault.exe,WerFault.exe,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 9 of 48 | Product ID: AA23-129A TLP:CLEAR unique keying creates detection difficulties even for tools that are independent of the compromised operating system, since simple signatures targeting Snake host components would be ineffective.10 Persistence Mechanism The Snake version primarily discussed in this advisory registers a service to maintain persistence on a system. Typically, this service is named “WerFaultSvc,” which we assess was used to blend in ",
1.0.0,actor--turla,artifact--sha256:75be0229756a206283b3124279997f837d4204a1c0d70081e39b062bacac4287,observation--sha256:7a063024b176a61977ac7a295ed22c72b1f41a7cff6e4e49fccb33e4fb49a1c0,file-name,Werfault.exe,Werfault.exe,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 40}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 40 of 48 | Product ID: AA23-129A TLP:CLEAR } Werfault Typical Name: Werfault.exe Typical Path: %windows%\WinSxS\x86_microsoft-windows- errorreportingfaults_31bf3856ad364e35_4.0.9600.16384_none_a13f7e283339a0502\ Unique Characteristics: Icon is different than that of a valid Windows Werfault.exe file Role: Persistence mechanism The Snake Werfault.exe file has non-standard icon sizes, which form the basis of the Yara rule below. This rule should be run on a",
1.0.0,actor--turla,artifact--sha256:ef9f6699e0a9a28d342d99573ae02c0c6fc989fa2f7f68260f464e1bc1cadcd3,observation--sha256:d17b5e268aa2ed2d73e48cb379221a5341427799b5409d066af575c106265aa4,file-name,comadmin.dat,comadmin.dat,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 10 of 48 | Product ID: AA23-129A TLP:CLEAR Encrypted Registry Key Data Upon execution, Snake’s WerFault.exe will attempt to decrypt an encrypted blob within the Windows registry that is typically found at HKLM:\SOFTWARE\Classes\.wav\OpenWithProgIds. The encrypted data includes the AES key, IV, and path that is used to find and decrypt the file containing Snake’s kernel driver and kernel driver loader. The registry object’s structure can be seen on the rig",
1.0.0,actor--turla,artifact--sha256:ef9f6699e0a9a28d342d99573ae02c0c6fc989fa2f7f68260f464e1bc1cadcd3,observation--sha256:0ad071badc4bb9d5ec2e4544812c3b495a11254638bada4e0ee0e06385bb402c,file-name,comadmin.dat,comadmin.dat,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 39}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 39 of 48 | Product ID: AA23-129A TLP:CLEAR meta: description = ""entropy rule"" condition: math.entropy(0, filesize) >= 7.0 } The following UNIX find command will scan files with names matching the GUID-based convention (note that the HighEntropy yara rule is assumed to be contained in a file named “1.yar”): find /PATH/TO/WINDOWS_DIR -type f -regextype posix-egrep -iregex \ '.*\/registration/(\{[0-9A-F]{8}\-([0-9A-F]{4}\-){3}[0-9A-F]{12}\}\.){2}crmlog' \ -e",
1.0.0,actor--turla,artifact--sha256:353a95dc85597907b751f8e47d06bb40ada6d214fb07b1fc11e5c554565e36fc,observation--sha256:3d14958d673f41f5662b4e1b25b2453b807e6e2c2d874e636fc9d680dc3ad1cc,file-name,counter.aspx,counter.aspx,candidate,,unknown,unknown,not-stated,,source--turla--6e90d1ef9571f3b1,Turla/IOC.TXT,"{""line"": 40}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,https://dubaiexpo2020.cf/counter.aspx,
1.0.0,actor--turla,artifact--sha256:0d1a2ff298b1769fd6e33a5f66ab8e3c6972ee267d4c73e6fcfe4f684832e86a,observation--sha256:bae5dbefe18760c26b3fe8b6a90a10a49b43eb94f473a1666eda5d96f6d0bfb0,file-name,inetd.conf,inetd.conf,candidate,,unknown,unknown,not-stated,,source--turla--381349fb0cea34f0,Turla/2017/Penquins_Moonlit_Maze_AppendixB.pdf,"{""page"": 4}",[],"[""malware--penquin""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"Notes Another kernel memory patcher likely targeting SunOS version 2.6 based on the filename. Similar codebase to <dt25> described above including the error message convention. Filename gr (2) MD5 534a1a3212894cf44d8071bdd96ba738 Size 261 bytes File Type Script Notes A reconnaissance script to collect system configuration files such as host files including remote authentication databases (/etc/hosts, /etc/hosts.equiv, /.rhosts), a list of servers configured for the management of internet service",
1.0.0,actor--turla,artifact--sha256:5025ee7e05a2e9a975fcf8ffb6b5ef70b860dd808557b39647ca9fc555a2838b,observation--sha256:1939b2086a6a38fc2a9840b5cd709a4fd3647d927c98b6fb24df1863cd09a266,file-name,jpinst.exe,jpinst.exe,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 8 of 48 | Product ID: AA23-129A TLP:CLEAR SNAKE HOST-BASED TECHNICAL DETAILS The FSB has quickly adapted Snake when its capabilities have been publicly disclosed by private industry. Snake therefore exists in several variants, as it has evolved over almost 20 years. This CSA focuses on one of the more recent variants of Snake that up until now has not been widely disclosed. Older variants of Snake will be discussed briefly where applicable, but not discus",
1.0.0,actor--turla,artifact--sha256:731e16809e3fb20fb70e7a8e3fc59d0ed5ee0a03b0aa20275d34fb294d2ad1d9,observation--sha256:605ee881c3348c7963f42a9a4980dc38a3570d2a89954095bcf62c3330893068,file-name,jpsetup.exe,jpsetup.exe,candidate,,unknown,unknown,not-stated,,source--turla--c3043639afceaf63,Turla/aa23-129a_snake_malware_2.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"International Partnership TLP:CLEAR Page 8 of 48 | Product ID: AA23-129A TLP:CLEAR SNAKE HOST-BASED TECHNICAL DETAILS The FSB has quickly adapted Snake when its capabilities have been publicly disclosed by private industry. Snake therefore exists in several variants, as it has evolved over almost 20 years. This CSA focuses on one of the more recent variants of Snake that up until now has not been widely disclosed. Older variants of Snake will be discussed briefly where applicable, but not discus",
1.0.0,actor--turla,artifact--sha256:8c2a20ef228b1b78bddb9ce5b1e5d19e81758eeb8e51f5367031de9a1c3db613,observation--sha256:b3a035e912080a402b976e59b0b1051248e9351e76abb8501efa744ddf59db17,file-name,update.aspx,update.aspx,candidate,,unknown,unknown,not-stated,,source--turla--6e90d1ef9571f3b1,Turla/IOC.TXT,"{""line"": 41}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,https://microsoft.updatemeltdownkb7234.com/windows/update.aspx,
1.0.0,actor--turla,artifact--sha256:8c2a20ef228b1b78bddb9ce5b1e5d19e81758eeb8e51f5367031de9a1c3db613,observation--sha256:d40fb5d5813c89c7dfcdad701a0640f38e7b6b7e9645114cffc6f65793d95206,file-name,update.aspx,update.aspx,candidate,,unknown,unknown,not-stated,,source--turla--6e90d1ef9571f3b1,Turla/IOC.TXT,"{""line"": 42}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,https://codewizard.ml/productivity/update.aspx,
1.0.0,actor--turla,artifact--sha256:6cb43c4a234857858c2277277e80d32364ad4fe795054a552f48c88ae3686ef3,observation--sha256:23b418029594d3ff76c05fd25fa264029208fb966fd8af13a27b3232f2bd88fc,file-name,wtmp.tmp,wtmp.tmp,candidate,,unknown,unknown,not-stated,,source--turla--381349fb0cea34f0,Turla/2017/Penquins_Moonlit_Maze_AppendixB.pdf,"{""page"": 9}",[],"[""malware--penquin""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"File Type SunOS SPARC Binary Source Based on publicly available tool “utclean.c”: http://cd.textfiles.com/cuteskunk/Unix-Hacking- Exploits/utclean.c Notes usage: %s <username> <fixthings> [hostname] Tool used to clean various system logs such as: /var/adm/wtmp /var/adm/utmp /var/adm/lastlog /var/adm/wtmpx /var/adm/utmpx At the end, it will execute the following commands: ls -la /var/adm/wtmp* ; /bin/cp ./wtmp.tmp /var/adm/wtmp ; rm ./wtmp.tmp /bin/cp ./wtmpx.tmp /var/adm/wtmpx ; rm ./wtmpx.tmp l",
