schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--unc1945,artifact--sha256:9d5c8637dfd11896959c03952bfedc278bb496eb11ea448b29e450f3d71bf7b8,observation--sha256:fd66cace593b427f1beb4002317c4879855a2a9969124666fd0f088278407a10,command,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} UNC1945 ), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 WellMess Operators , TA551 Mythic 163 28 N/A Koadic 109 19 Sofacy PoshC2 103 12 UNC1945 Table 2: Most common offensive security tools by C2 servers detected in 2021 CYBER THREAT ANALYSIS","summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} UNC1945 ), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 WellMess Operators , TA551 Mythic 163 28 N/A Koadic 109 19 Sofacy PoshC2 103 12 UNC1945 Table 2: Most common offensive security tools by C2 servers detected in 2021 CYBER THREAT ANALYSIS",candidate,,unknown,unknown,not-stated,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} UNC1945 ), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 WellMess Operators , TA551 Mythic 163 28 N/A Koadic 109 19 Sofacy PoshC2 103 12 UNC1945 Table 2: Most common offensive security tools by C2 servers detected in 2021 CYBER THREAT ANALYSIS",
1.0.0,actor--unc1945,artifact--sha256:72d524e0a41f769e5722493ee66ec1d8473277dc8e6d59a03a0999b8c9b82ca7,observation--sha256:c90b840ef603be08de47208f52f9bf6a6287fb8488c2455552a8fd968315f477,file-name,2020.pdf,2020.pdf,candidate,,unknown,unknown,not-stated,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} UNC1945 hell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not represent newly created servers",
1.0.0,actor--unc1945,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:62f6d7097acf38077c5692c56823c5e5c8f84ab61dcf431ac3e69a4a42a8c04a,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-11-01T00:00:00Z,month,known,same-record,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 79, ""sheet"": ""Others""} DecisiveArchitect UNC1945 LightBasin DecisiveArchitect Evilsun, Slapstick, Lemonstick, Logbleach, Oksolo, Openshackle, Pupyrat, Steelcorgi, Tinyshell, QEMU, PingPong Telecom Criminal https://www.fireeye.com/blog/threat-research/2020/11/live-off-the-land-an-overview-of-unc19",
1.0.0,actor--unc1945,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:454166f3f55335e66a575e3513e62fb2c1f99cedec50725d99ef7c320b7fafb8,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-11-01T00:00:00Z,month,known,same-record,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 79, ""sheet"": ""Others""} LightBasin UNC1945 LightBasin DecisiveArchitect Evilsun, Slapstick, Lemonstick, Logbleach, Oksolo, Openshackle, Pupyrat, Steelcorgi, Tinyshell, QEMU, PingPong Telecom Criminal https://www.fireeye.com/blog/threat-research/2020/11/live-off-the-land-an",
1.0.0,actor--unc1945,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:ec16766491e9183385b55e2e63109ba83a93bf28dc24d799e21674af89bfd80c,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-11-01T00:00:00Z,month,known,same-record,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 79, ""sheet"": ""Others""} UNC1945 UNC1945 LightBasin DecisiveArchitect Evilsun, Slapstick, Lemonstick, Logbleach, Oksolo, Openshackle, Pupyrat, Steelcorgi, Tinyshell, QEMU, PingPong Telecom Criminal https://www.fireeye.com/blog/threat-research/2020/11/live-off-",
1.0.0,actor--unc1945,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:722a552ccc607ae8906817b55f9df710f48b49e612bf633633826cee0e3ef605,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-11-01T00:00:00Z,month,known,same-record,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 79, ""sheet"": ""Others""} lightbasin 2020/11/critical-buffer-overflow-vulnerability-in-solaris-can-allow-remote-takeover.html https://yoroi.company/research/shadows-from-the-past-threaten-italian-enterprises/ https://www.crowdstrike.com/blog/an-analysis-of-lightbasin-telecommunications-attacks/ https://www.crowdstrike.com/blog/how-to-hunt-for-decisivearchitect-and-justforfun-implant/",
1.0.0,actor--unc1945,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:4be3a5d4edf893e5b0a73280c194ea66c58c53ed11a90b7494bfcb6b59a0416c,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-11-01T00:00:00Z,month,known,same-record,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 79, ""sheet"": ""Others""} unc1945 itect Evilsun, Slapstick, Lemonstick, Logbleach, Oksolo, Openshackle, Pupyrat, Steelcorgi, Tinyshell, QEMU, PingPong Telecom Criminal https://www.fireeye.com/blog/threat-research/2020/11/live-off-the-land-an-overview-of-unc1945.html https://www.fireeye.com/blog/threat-research/2020/11/critical-buffer-overflow-vulnerability-in-solaris-can-allow-remote-takeover.html https://yoroi.company/research/shadows-from-the-past-threaten-i",
1.0.0,actor--unc1945,artifact--sha256:f995185f572984deea7588de4cd2c0fb473c79b4efb06e43a613bd0dc59c097b,observation--sha256:a4fdd18862f5b870996b343060123af94114be3b163177070cc2fe3fda8f78d7,file-name,Report.pdf,Report.pdf,candidate,,unknown,unknown,not-stated,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} UNC1945 ), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 WellMess Operators , TA551 Mythic 163 28 N/A Koadic 109 19 Sofacy PoshC2 103 12 UNC1945 Table 2: Most common offensive security tools by C2 servers detected in 2021 CYBER THREAT ANALYSIS",
1.0.0,actor--unc1945,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:55f09a1faf472446dcc818f4688726b4b4171efe7562227d76efd7fb9d602662,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 131} DecisiveArchitect СПЕЦСЛУЖБЫ, АТАКУЮЩИЕ ТЕЛЕКОММУНИКАЦИОННЫЙ СЕКТОР 131 GROUP-IB.RUОГЛАВЛЕНИЕ ↑ Red Menshen Red Menshen (aka DecisiveArchitect) – предположительно китайская группа, которая была замечена в атаках на телекоммуникационных провайдеров на Ближнем Востоке и в Азии. Исследователи обнаружили бэкдор, использующий Berkeley Packet Filter (BPF). По сло",
1.0.0,actor--unc1945,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:2537e23d340d1425618c873068bb0e419c57944e1263c4fec1b860d806e827f8,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 158} LightBasin условиях данные модифицируются перед отправкой их с ATM-сервера. Помимо нового вредоносного ПО, группа UNC2891 использовала вредоносные программы SLAPSTICK, TINYSHELL, STEELCORGI, ранее уже выявленные в атаках группы LightBasin (aka UNC1945) – группы, атаковавшей телекоммуникационные компании. Это дает основания предполагать, что атакующие связаны или являются одной группой. Полная география атак преступной груп",
1.0.0,actor--unc1945,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:bacca6d5e7c53f6b47a737ad7c73177ad34873097b73dd165e4e428aa16c2223,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 158} UNC1945 модифицируются перед отправкой их с ATM-сервера. Помимо нового вредоносного ПО, группа UNC2891 использовала вредоносные программы SLAPSTICK, TINYSHELL, STEELCORGI, ранее уже выявленные в атаках группы LightBasin (aka UNC1945) – группы, атаковавшей телекоммуникационные компании. Это дает основания предполагать, что атакующие связаны или являются одной группой. Полная география атак преступной группы не установлена. ",
1.0.0,actor--unc1945,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:9cddf55752daea2f16c08be6709d3048ea0b939b07f6dfa2e813ce2514d6f39c,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,,unknown,unknown,not-stated,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 20} UNC1945 ，根据 已发布的分析报告发现，针对韩国的攻击活动主要来自朝鲜的 APT 组织。 图 5 APT 攻击目标地理分布 3.3 漏洞利用分析 根据新增 63 个 APT 组织的相关分析报告发现， 13 个组织相关报告中提及了具体利用的 22 个漏洞信息，具体漏洞利用清单如下表所示。 表 1 APT 漏洞利用清单 组织名 漏洞名称 CVE 编号 影响资产 XDSpy IE JS 脚本引擎漏洞 CVE-2020-0968 IE 浏览器 UNC1945 Solaris 缓存溢出漏洞 CVE-2020-14871 Oracle Solaris 操作系统 魔罗桫 模板注入漏洞 — MS OFFICE WORD 公式编辑器漏洞 — MS OFFICE WORD IFileOperation 漏洞提权 — COM 组件 SharpPanda 模板注入漏洞 — MS OFFICE WORD 公式编辑器漏洞 — MS OFFICE WORD C",
1.0.0,actor--unc1945,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:c1df116dbdd8f3026ba3db4f30fbecc8f80869fbb28bb4575bc8714d592d5c8a,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,,unknown,unknown,not-stated,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 21} UNC1945 ， APT 组织所使用的 0day 或 1day 漏洞占 41%，共 9 个 （CVE-2020-0968、 CVE-2020-14871、 CVE-2021-26855、 CVE-2021-26857、 CVE-2021- 26858 、CVE-2021-27065、CVE-2021-31955、CVE-2021-31956、CVE-2021-21224）。 相 应的这些 APT 组织具备较高的攻击能力和安全威胁，包括： XDSpy、UNC1945、Hafnium、 PuzzleMaker。 3.4 攻击技术手段分析 基于新增的 63 个 APT 组织的相关分析报告，结合 APT 攻击的不同战术类型，分别从初 始攻击阶段、防御规避、持久化、执行、横向移动、信息收集、命令控制与数据外泄这几个 阶段进行分析。 初始攻击阶段，APT 组织主要通过三类途径建立初始据点：1）钓鱼邮件；2）仿冒站点； 3）攻击暴露在互联网的公开服",
1.0.0,actor--unc1945,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:df4523cf8380e7080910b86903d392ac9222a07636b77cc4919c4ac48de8c479,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2018-11-30T00:00:00Z,day,known,same-record,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 98} UNC1945 APT 组织情报研究年鉴 90 6.1.19 UNC1945 组织名 UNC1945 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 电信，金融 发现时间 2018-11-30 最近活跃 2021-01-12 动机 数据窃取 描述 UNC1945 组织最早活跃于 2018 年，主要针对 Solaris 服务器进行攻击。UNC1945 在主机上部署虚 拟机进行攻击，VM 中包含许多预加载工具如 Mimikatz，Powersploit，Responder，Procdump， Cra",
1.0.0,actor--unc1945,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:23afa809d24c84e0d1fe1df216da6bdd1ebd7e0099375b7dd3f9edc9c6b850de,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2018-11-30T00:00:00Z,day,known,same-record,,source--unc1945--3b373024ff014478,actor_profile/evidence/unc1945.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 98} UNC1945 APT 组织情报研究年鉴 90 6.1.19 UNC1945 组织名 UNC1945 中文名 无 组织地理 未知 别名 无 历史目标 未知 目标行业 电信，金融 发现时间 2018-11-30 最近活跃 2021-01-12 动机 数据窃取 描述 UNC1945 组织最早活跃于 2018 年，主要针对 Solaris 服务器进行攻击。UNC1945 在主机上部署虚 拟机进行攻击，VM 中包含许多预加载工具如 Mimikatz，Powersploit，Responder，Procdump， CrackMapExec，Po",
