schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--vicious-panda,artifact--sha256:4123a67573eb07a7ffe66bcdf440d750d21657a0b42d169cca7b7c557afba32d,observation--sha256:6e2a6a6359d0a0eacb97c17455dcc30a064a6ee608783b7669981a6e4567cc93,command,"summary/2021/eset_threat_report_t12021.pdf {""page"": 5} Vicious Panda luster, ESET re- searchers observed IIS backdoors installed via webshells used in these compromises on four email servers in Asia and South Ameri- ca. One of these backdoors is publicly known as Owlproxy. Mikroceen aka Vicious Panda – compromised the Exchange server of a utility company in Central Asia, which is the region this group typically targets. DLTMiner – ESET detected the deployment of PowerShell down- loaders on multiple email servers t","summary/2021/eset_threat_report_t12021.pdf {""page"": 5} Vicious Panda luster, ESET re- searchers observed IIS backdoors installed via webshells used in these compromises on four email servers in Asia and South Ameri- ca. One of these backdoors is publicly known as Owlproxy. Mikroceen aka Vicious Panda – compromised the Exchange server of a utility company in Central Asia, which is the region this group typically targets. DLTMiner – ESET detected the deployment of PowerShell down- loaders on multiple email servers t",candidate,,unknown,unknown,not-stated,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/eset_threat_report_t12021.pdf {""page"": 5} Vicious Panda luster, ESET re- searchers observed IIS backdoors installed via webshells used in these compromises on four email servers in Asia and South Ameri- ca. One of these backdoors is publicly known as Owlproxy. Mikroceen aka Vicious Panda – compromised the Exchange server of a utility company in Central Asia, which is the region this group typically targets. DLTMiner – ESET detected the deployment of PowerShell down- loaders on multi",
1.0.0,actor--vicious-panda,artifact--sha256:23a0ebba08572bced78a0fbf6469af26b5d60609547d89d1a62cd42931cf7bdb,observation--sha256:cb4be89933ace6c8a73b4ccbf27ab893900019475e4a8e26b81e5d6e5a3aed22,file-name,Microcin_Technical_4PDF_eng_final_s.pdf,Microcin_Technical_4PDF_eng_final_s.pdf,candidate,2018-03-01T00:00:00Z,month,known,same-record,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} Vicious Panda SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecur",
1.0.0,actor--vicious-panda,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:cbf66920fdd291f8b0620ff38f2ead3e95f0c7550ca8f746511498a35aefa89f,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 310} Vicious Panda or’s victims among the victims of all groups APT41 Aliases: • Blackfly (Symantec) • Wicked Panda (CrowdStrike) • Winnti Group (Kaspersky) • Barium (Microsoft) Egypt Russia Iran India US 16% 12% 11% 7% 4% 13% Vicious Panda Aliases: • Microcin • SixLittleMonkeys • Bronze Dudley (SecureWorks) Russia Kazakhstan China Kyrgyzstan Tajikistan 38% 16% 14% 4% 3% 12% Lotus Panda Aliases: • Naikon (Kaspersky) • Hellsing (Ka",
1.0.0,actor--vicious-panda,artifact--sha256:1321f38e3948f467525bcfef5292551eef2fbe045bd595316235b1961f4ac68c,observation--sha256:3cbc7d0af02fcb2b33ae5de1f869aeaf4af843455a148e98158bee3a5c5697e1,file-name,Modern-Asian-APT-groups-TTPs_report_eng.pdf,Modern-Asian-APT-groups-TTPs_report_eng.pdf,candidate,,unknown,unknown,not-stated,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 312} Vicious Panda ims (organizations) Stone Panda Healthcare Government Industrial sector 70% 27% 3% Emissary Panda Healthcare Government Industrial sector 68% 28% 4% APT 41 Healthcare Government Industrial sector 70% 26% 4% Vicious Panda Construction Government Industrial sector 56% 29% 15% Lotus Panda Government Industrial sector Healthcare 70% 20% 10% Override Panda Finance Government Industrial sector 35% 34% 31% Karma Panda ",
1.0.0,actor--vicious-panda,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:339ced1056cc74f62a63aab1d5b9f758deac53cf6c9ab9c6d0798263394a7829,file-name,Operations.xlsx,Operations.xlsx,candidate,2018-03-01T00:00:00Z,month,known,same-record,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 100, ""sheet"": ""China""} Vicious Panda SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecur",
1.0.0,actor--vicious-panda,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:f55cb676f270a59a10fc73d6165f1a2a097a58845b25d3f961c2310311bfc77c,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 107, ""sheet"": ""China""} Vicious Panda IronHusky MysterySnail, CVE-2021-40449 Vicious Panda https://securelist.com/apt-trends-report-q1-2018/85280/https://securelist.com/apt-trends-report-q1-2018/85280/ https://securelist.com/apt-trends-report-q2-2020/97937/ https://securelist.com/mysterysnail-attacks-with-win",
1.0.0,actor--vicious-panda,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:ad7d671f92070f0f177a673c9aa5f57e904259e1592d403ed42b2632a9ea4e56,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 77, ""sheet"": ""China""} Vicious Panda Vicious Panda https://research.checkpoint.com/2020/vicious-panda-the-covid-campaign/ https://securelist.com/apt-trends-report-q2-2020/97937/",
1.0.0,actor--vicious-panda,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:85fa6369f7a8f9d70aa57a9c70b7ea729afc689731b034cbb9f62d3f66d0cd0d,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 199} Vicious Panda nect the dots between the latest campaign and three previously published reports: Kaspersky’s Microcin against Russian military personnel, Palo Alto Networks’ BYEBY against the Belarussian government and Checkpoint’s Vicious Panda against the Mongolian public sector. Also, we discuss other malware that was typically a part of the attacker’s toolset together with the RAT. We chose the name Mikroceen to cover all instances of the RAT, in ackn",
1.0.0,actor--vicious-panda,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:ceda1f1d2fdaf5c9b3b4d805872c455e0f6da866b5557926497e9331cd688bd5,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 358} Vicious Panda Threat Group Cards: A Threat Actor Encyclopedia 358 Vicious Panda Names Vicious Panda (Check Point) Country China Motivation Information theft and espionage First seen 2015 Description (Check Point) Check Point Research discovered a new campaign against the Mongolian public sect",
1.0.0,actor--vicious-panda,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:8770ceb975928fd844086983a16dab3be7143d7b4f8538a96c8f77651b66f545,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--vicious-panda--db80ed0b6261308f,actor_profile/evidence/vicious-panda.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 358} Vicious Panda Threat Group Cards: A Threat Actor Encyclopedia 358 Vicious Panda Names Vicious Panda (Check Point) Country China Motivation Information theft and espionage First seen 2015 Description (Check Point) Check Point Research discovered a new campaign against the Mongolian public sector, which takes advan",
