schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--violin-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:0428564c38c1cb84c589ad280aa363ffe36ef24fbb72a857d6f825fda82b2321,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} Violin Panda .............................. 21 APT 19, C0d0so ............................................................................................................................................................. 22 APT 20, Violin Panda ..................................................................................................................................................... 23 APT 29, Cozy Bear, The Dukes ..............................",
1.0.0,actor--violin-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a8689df994d9f416ad81409fd47e177975ec82b9738e8a7655152728a95b4b2d,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Covert Grove ............................................... 166 Nightshade Panda, APT 9, Group 27 ........................................................................................................................ 167 Nitro, Covert Grove ...................................................................................................................................................... 168 OilRig, APT 34, Helix Kitten ............................",
1.0.0,actor--violin-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:41ca42a11e8a75c0f6dab89f2872f15efee0617c1d2a1e3f390dd02a63cb208f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 23} Violin Panda Threat Group Cards: A Threat Actor Encyclopedia 23 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) We’ve uncovered some new data and likely attr",
1.0.0,actor--violin-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:51953ef3ccf33df803bc9082ab6afaf0134542268687030b656b9d303c541ccd,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 23} Violin Panda Threat Group Cards: A Threat Actor Encyclopedia 23 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) We’ve uncovered some new data and likely attribution regarding a series of APT watering hole attacks",
1.0.0,actor--violin-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:4baba1e32e4d7b2f1e7ffc1f7f679de0c6bc1b83238795322d9ddfd42cd1a008,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} APT 20 ...................................... 21 APT 19, C0d0so ............................................................................................................................................................. 22 APT 20, Violin Panda ..................................................................................................................................................... 23 APT 29, Cozy Bear, The Dukes ......................",
1.0.0,actor--violin-panda,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:f7340dbacfa05a38c884aa1ba192d2613188e3598ed6707918da411a097cacd3,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 23} Violin Panda Threat Group Cards: A Threat Actor Encyclopedia 23 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) We’ve uncovered some new data and likely attr",
1.0.0,actor--violin-panda,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7eeece8e62ccc2f7d4b8fa70915e8ea18d550c9b5c774b3c9dce4f345ab7b9a3,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 23} Violin Panda Threat Group Cards: A Threat Actor Encyclopedia 23 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) We’ve uncovered some new data and likely attribution regarding a series of APT watering hole attacks",
1.0.0,actor--violin-panda,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fe6eddbafe8726bcaa4b8040d54bee2dd43c856b10c6d1df0ab4c98990a9f5d9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 2} APT 20 ................................................................ 21 APT 19, C0d0so ................................................................................................................................... 22 APT 20, Violin Panda ........................................................................................................................... 23 APT 29, Cozy Bear, The Dukes ................................................",
1.0.0,actor--violin-panda,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:b1079dc669e8ae3e62372047f397fcfdbd450ad043e767b02bcc106462dbf8e9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 2} Violin Panda ........................................................ 21 APT 19, C0d0so ................................................................................................................................... 22 APT 20, Violin Panda ........................................................................................................................... 23 APT 29, Cozy Bear, The Dukes ..............................................................",
1.0.0,actor--violin-panda,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:45b4d7b8c370dce2d26517eaec666c20101b4042c688174fa1817616de412ea1,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--violin-panda--f4e44c4436ec2716,actor_profile/evidence/violin-panda.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Covert Grove .......................................................................... 166 Nightshade Panda, APT 9, Group 27.............................................................................................. 167 Nitro, Covert Grove ............................................................................................................................ 168 OilRig, APT 34, Helix Kitten ............................................................",
