schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--volatile-cedar,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:db1b840b5ec0ab2be5f0514dc0aea13a65301ceaa67b64c352a2af9827ba5852,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 244} Volatile Cedar Threat Group Cards: A Threat Actor Encyclopedia 244 Volatile Cedar Names Volatile Cedar (Check Point) Dancing Salome (Kaspersky) Country Lebanon Motivation Information theft and espionage Description (Check Point) Beginning in late 2012, the carefully orchestrated attack campaign",
1.0.0,actor--volatile-cedar,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9ec2d2c862903671b72584038784e20f621f091802ec133c160f645733332116,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 244} Volatile Cedar Threat Group Cards: A Threat Actor Encyclopedia 244 Volatile Cedar Names Volatile Cedar (Check Point) Dancing Salome (Kaspersky) Country Lebanon Motivation Information theft and espionage Description (Check Point) Beginning in late 2012, the carefully orchestrated attack campaign we call Volatile Ceda",
1.0.0,actor--volatile-cedar,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:39b543a68038e4b2129cd2b78f2b3889c799a86bee608c2a1201aa4810cab23f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 244} Volatile Cedar olatile Cedar (Check Point) Dancing Salome (Kaspersky) Country Lebanon Motivation Information theft and espionage Description (Check Point) Beginning in late 2012, the carefully orchestrated attack campaign we call Volatile Cedar has been targeting individuals, companies and institutions worldwide. This campaign, led by a persistent attacker group, has successfully penetrated a large number of targets using various attack techniques, a",
1.0.0,actor--volatile-cedar,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a59248abb7ac325c9a811c7b83ef1d3126d754c57fcbeba83cbe8c042d4966a5,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 244} Volatile Cedar roup, has successfully penetrated a large number of targets using various attack techniques, and specifically, a custom-made malware implant codenamed Explosive. This report provides an extended technical analysis of Volatile Cedar and the Explosive malware. We have seen clear evidence that Volatile Cedar has been active for almost 3 years. While many of the technical aspects of the threat are not considered “cutting edge”, the campaig",
1.0.0,actor--volatile-cedar,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:fccb569a1333ce1263e16f11490391464edc8c60cff08757cc37c5cd00a71241,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Volatile Cedar .............................. 239 Urpage ........................................................................................................................................................................... 243 Volatile Cedar ............................................................................................................................................................... 244 Whitefly ...................................",
1.0.0,actor--volatile-cedar,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:258da196f2b36bc062ef6a065321e47d664e7c135e0b3f918904adc2fb324ab3,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 243} Volatile Cedar Threat Group Cards: A Threat Actor Encyclopedia 243 Volatile Cedar Names Volatile Cedar (Check Point) Dancing Salome (Kaspersky) Country Lebanon Motivation Information theft and espionage Description (Check Point) Beginning in late 2012, the carefully orchestrated attack campaign we call Volatile Ceda",
1.0.0,actor--volatile-cedar,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4c71a06133579617ed4e39729412fac92578bf66e1768da92eb9baa94802a170,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 243} Volatile Cedar olatile Cedar (Check Point) Dancing Salome (Kaspersky) Country Lebanon Motivation Information theft and espionage Description (Check Point) Beginning in late 2012, the carefully orchestrated attack campaign we call Volatile Cedar has been targeting individuals, companies and institutions worldwide. This campaign, led by a persistent attacker group, has successfully penetrated a large number of targets using various attack techniques, and spec",
1.0.0,actor--volatile-cedar,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:ba2e25c115195af500b6f0d4cbfe9241a73ef2ad4edff61187f47e0295f5d4e0,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 243} Volatile Cedar roup, has successfully penetrated a large number of targets using various attack techniques, and specifically, a custom-made malware implant codenamed Explosive. This report provides an extended technical analysis of Volatile Cedar and the Explosive malware. We have seen clear evidence that Volatile Cedar has been active for almost 3 years. While many of the technical aspects of the threat are not considered “cutting edge”, the campaign has be",
1.0.0,actor--volatile-cedar,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fd7da15d265e2a1b1cf7cd4a8bdc245edc5004222e37761eeeee681f20c46e07,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 7} Volatile Cedar Threat Group Cards: A Threat Actor Encyclopedia 7 Urpage ................................................................................................................................................. 242 Volatile Cedar ..................................................................................................................................... 243 Whitefly .......................................................................",
1.0.0,actor--volatile-cedar,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:e56306ec0f470c9963a760e474f7f039cd466002ca3bef78c1ee10b30d1bd0f9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--volatile-cedar--3b09a0cf8ef081a3,actor_profile/evidence/volatile-cedar.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 243} Volatile Cedar Threat Group Cards: A Threat Actor Encyclopedia 243 Volatile Cedar Names Volatile Cedar (Check Point) Dancing Salome (Kaspersky) Country Lebanon Motivation Information theft and espionage Description (Check Point) Beginning in late 2012, the carefully orchestrated attack campaign",
