schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--volt-typhoon,artifact--sha256:c08f2f550d7a0fefb2f98d01c80e1d9c552c58e9fcbe0bce817598f34d57fc5f,observation--sha256:778cf063f865f9a9489b8cd4d17660817f191a43e77a157fdd089875a0a7bf13,file-name,2024-dbir-data-breach-investigations-report.pdf,2024-dbir-data-breach-investigations-report.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024-dbir-data-breach-investigations-report.pdf {""page"": 82} Volt Typhoon wnloaded malware onto compromised machines. Mustang Panda’s most used malicious implant was a Trojan program called PlugX, and it continued to remain the group’s preferred spying tool. A new Chinese aligned APT actor, Volt Typhoon was identified after it had been found targeting critical infrastructure organizations in Guam and elsewhere in the United States since mid-2021. Barracuda identified a zero-day vuln",
1.0.0,actor--volt-typhoon,artifact--sha256:6f834f8a04529d3a29f8aae7897db1b2a603ba9804605e61b2235542d5d180d5,observation--sha256:049dec95f6a995a29f8477c941d81565a701d499f1bff5d9f956e2fcb90ba73d,file-name,2024-security-report.pdf,2024-security-report.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024-security-report.pdf {""page"": 15} Volt Typhoon ored attacks and their use of network devices. This follows a joint Cybersecurity Advisory that United States and international cybersecurity authorities issued on Chinese state-sponsored cyber actor, also known as Volt Typhoon. This actor have compromised “critical” cyber infrastructure in a variety of industries, including governmental and communications organizations. JUNE Progress disclosed a vulnerability in MOVEit Transfer and",
1.0.0,actor--volt-typhoon,artifact--sha256:6f834f8a04529d3a29f8aae7897db1b2a603ba9804605e61b2235542d5d180d5,observation--sha256:2186d2648246380b40a32d872a48663ea8cbb57ed8bc2dc763d4b6a8b7bbce8f,file-name,2024-security-report.pdf,2024-security-report.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024-security-report.pdf {""page"": 31} Volt Typhoon es are not only targeted for use as components of communication infrastructure, but also as initial entry points into networks. In a sophisticated operation reported by Microsoft in May, the Chinese state-sponsored Volt Typhoon APT group employs a dual strategy. This group exploited SOHO (Small Office/Home Office) edge devices and integrated them into their communication infrastructure later called the KV-botnet. This botnet was the",
1.0.0,actor--volt-typhoon,artifact--sha256:6f834f8a04529d3a29f8aae7897db1b2a603ba9804605e61b2235542d5d180d5,observation--sha256:883021184a496fcca8120591a3f3c15f05f08fe7019ace82fddb6cb6a0fbb922,file-name,2024-security-report.pdf,2024-security-report.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2024-security-report.pdf {""page"": 97} Volt Typhoon r Protocol (TFTP). JaguarTooth was deployed through the exploitation of a known Simple Network Management Protocol (SNMP) vulnerability, CVE-2017-6742. KV-botnet The KV-Botnet, linked to the China-linked threat actor Volt Typhoon, is a sophisticated botnet that primarily targets small office/home office (SOHO) router devices. Active since at least February 2022, it consists of two complementary activity clusters named KV and JDY. Le",
1.0.0,actor--volt-typhoon,artifact--sha256:c193400fb44ec5ea215f5a2279080477ad6c0a415c149c213a72b9229c06873b,observation--sha256:69d403e4913cec3dfc8ef882177d56ca3a51a28c00a18f32317bd3a1219a4e7b,file-name,2025-dbir-data-breach-investigations-report.pdf,2025-dbir-data-breach-investigations-report.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 42}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-dbir-data-breach-investigations-report.pdf {""page"": 103} Volt Typhoon campaigns and influence operations designed to stir up controversy. OpenAI disrupted Iranian-linked Storm-2035 influence operations leveraging covert propaganda on its platform. Lumen Technologies reported Chinese APT Volt Typhoon exploiting Versa Director servers (CVE-2024-39717), enabling credential interception and malicious code injection. VTRAC published a threat intelligence advisory detailing the emerg",
1.0.0,actor--volt-typhoon,artifact--sha256:c193400fb44ec5ea215f5a2279080477ad6c0a415c149c213a72b9229c06873b,observation--sha256:a070b9871350c6ef3972e01a8857d9cdc56d1f63e8fa1c01ac353140d7d661bc,file-name,2025-dbir-data-breach-investigations-report.pdf,2025-dbir-data-breach-investigations-report.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 43}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-dbir-data-breach-investigations-report.pdf {""page"": 104} Volt Typhoon spray attacks. Storm-0940 would then steal credentials to gain initial access to the targeted organizations, move laterally within the victim’s networks and exfiltrate data. SecurityScorecard reported a resurgence of Volt Typhoon, which exploited outdated edge devices and routers targeting critical infrastructure. As the holiday season approached, cybersecurity risks surged, with fake online stores increasing",
1.0.0,actor--volt-typhoon,artifact--sha256:1fd6f9625846dde38af8b9f084297b312af299dfed9468028080f9c02233011d,observation--sha256:7d6a7a216bd8bfbdc061e0e143ddab2d3b652493a43506ae602f1c506f65282f,file-name,2025.pdf,2025.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 51}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Global Threat Report 2025.pdf {""page"": 5} Volt Typhoon s Genea IVF Clinic Breach (Australia) Attack Type: Ransomware Details: Termite ransomware group exfiltrated 940GB of sensitive medical data. Impact: Legal intervention halted data publication; national media attention. Volt Typhoon Targeting Guam Infrastructure Attack Type: State-sponsored infiltration Details: Critical telecom and power infrastructure in Guam targeted for potential wartime disruption. Impact: U.S. military prep",
1.0.0,actor--volt-typhoon,artifact--sha256:1fd6f9625846dde38af8b9f084297b312af299dfed9468028080f9c02233011d,observation--sha256:20fa6448228b79f9564edab7525b2d18a475094e6bb37955f631b912884c6c8a,file-name,2025.pdf,2025.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 52}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Global Threat Report 2025.pdf {""page"": 8} Volt Typhoon ure providers are compromised. Around the same time, cybersecurity authorities in the U.S. disclosed alarming details about an ongoing state-sponsored campaign targeting Guam’s critical infrastructure, attributed to the Volt Typhoon APT group linked to China. The campaign, which had begun months earlier but intensified in early 2025, focused on infiltrating telecom networks, power grids, and transportation systems on the island ",
1.0.0,actor--volt-typhoon,artifact--sha256:c138f6e63db82de4653ae9b7acc0ecb7e39c392110ca2afa81f92188ee2d3548,observation--sha256:2881e2bfbaab1974b81d2c1851384964c95297e9da0123f0caae29655a17bc25,file-name,2026.pdf,2026.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 75}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/[Report] Bitsight State of the Underground 2026.pdf {""page"": 34} BRONZE SILHOUETTE 34 BITSIGHT TRACE | STATE OF THE UNDERGROUND Category Details Aliases BRONZE SILHOUETTE, DEV-0391, Insidious Taurus, Redfly, Storm-0391, UAT-5918, UAT-7237, UNC3236, UNC5291, VANGUARD PANDA, VOLTZITE Reported Affiliation Associated in reporting with China-linked espionage activity Primary Objective Long-",
1.0.0,actor--volt-typhoon,artifact--sha256:c138f6e63db82de4653ae9b7acc0ecb7e39c392110ca2afa81f92188ee2d3548,observation--sha256:9fc948a8ccb21cf567db9c9f25153b0380d4cec8aa64cbeea4f4553044f4a624,file-name,2026.pdf,2026.pdf,candidate,,unknown,unknown,not-stated,,source--volt-typhoon--56e3fa574794ffdd,actor_profile/evidence/volt-typhoon.csv,"{""row"": 76}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/[Report] Bitsight State of the Underground 2026.pdf {""page"": 34} DEV-0391 34 BITSIGHT TRACE | STATE OF THE UNDERGROUND Category Details Aliases BRONZE SILHOUETTE, DEV-0391, Insidious Taurus, Redfly, Storm-0391, UAT-5918, UAT-7237, UNC3236, UNC5291, VANGUARD PANDA, VOLTZITE Reported Affiliation Associated in reporting with China-linked espionage activity Primary Objective Long-term espio",
