schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--white-company,artifact--sha256:028fff5e3b6ab5c55193c4d90cd0badb7b00fe38acc1bb32ee425a080ad6a594,observation--sha256:9184843128ec1c25bf167c30ad58ed39bee47ab4489872e76f31ad02bfddf046,command,cmd.exe /c dir %windir% && \”<Exploit Document Path>\”,cmd.exe /c dir %windir% && \”<Exploit Document Path>\”,candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 74}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Once the registry entries are cleaned up, Stage 2 finally launches the decoy document and cleanly exits the process. The code responsible for these actions can be seen in the following exhibit: seg000:0001E87D lea ebx, (aCmd_exeCDirWindir - stage2_part1)[ebp] seg000:0001E87D ; ""cmd.exe /c dir %windir% && \"""" seg000:0001E883 lea ecx, [edi+edi_space.szFinalCommand] seg000:0001E889 seg000:0001E889 loc_1E889: ; CODE XREF: stage2_part7+15j seg000:0001E889 mov al, [ebx] seg000:0001E88B mov [ecx], al s",
1.0.0,actor--white-company,artifact--sha256:b198353af85613f37799235c7d6e553175245536869d2b460fa44d47e0a0cd57,observation--sha256:0223ad24d25be8b1a23edbf8f52b2cdd0e582fdb60dd20d6edde965f8c8362d6,command,"cmd.exe /c move /Y ""%tmp%\winlogon"" ""%userprofile%\winlogon.exe & ""%userprofile%\winlogon.exe","cmd.exe /c move /Y ""%tmp%\winlogon"" ""%userprofile%\winlogon.exe & ""%userprofile%\winlogon.exe",candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 71}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Once created, the malware is written to the file, then closed. The following code is responsible for this action: seg000:0001E705 mov [edi+edi_space.hOutFile], eax seg000:0001E708 push 0 seg000:0001E70A lea ecx, [esp+0] seg000:0001E70D lea eax, [edi+edi_space.pFileData] seg000:0001E713 lea esi, [edi+edi_space.pfnWriteFile] ; pfnFunc seg000:0001E716 push 0 seg000:0001E718 push ecx seg000:0001E719 push [edi+edi_space.sizeOutFile] seg000:0001E71C push eax seg000:0001E71D push [edi+edi_space.hOutFil",
1.0.0,actor--white-company,artifact--sha256:94e412014f6c3b5a0a612a6175f0e1378ab255fc98e0c0af8853708f2741369f,observation--sha256:82827652a5ead1bfc7d25c8352ca70fc98ab02c71a117b29096d7133801e5bba,command,"seg000:000002FC lea ecx, aCmd_exeCMoveTm[ebp] ; ""cmd.exe /c move %tmp%\\iexplorer %tmp%\""...","seg000:000002FC lea ecx, aCmd_exeCMoveTm[ebp] ; ""cmd.exe /c move %tmp%\\iexplorer %tmp%\",candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 97}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"seg000:000002E1 mov esp, large fs:0 seg000:000002E8 lea eax, aOffice_antivir[ebp] ; ""office_antivirus.dll"" seg000:000002EE push eax ; lpFileName seg000:000002EF call [edi+edi_space.pLoadLibraryA] seg000:000002F2 cmp eax, 0 seg000:000002F5 jz short no_antivirus seg000:000002F7 mov ecx, [edi+edi_space.pszTempPath] seg000:000002FA jmp short run_command seg000:000002FC ; --------------------------------------------------------------------------- seg000:000002FC seg000:000002FC no_antivirus: ; CODE X",
1.0.0,actor--white-company,artifact--sha256:526211031d80e19dcdee7db5350a79eccf2fdb4c391cb18f6be0879414fc19e8,observation--sha256:f1a97232a8ccc0e9e5e48de0fc81ecb0f02dd8a06c987040ce872b36c3e809da,command,"seg000:000004ED lea edx, aCmd_exeCMoveYTmpI[ebp] ; ""cmd.exe /c move /Y \""%tmp%\\iexplorer\""""...","seg000:000004ED lea edx, aCmd_exeCMoveYTmpI[ebp] ; ""cmd.exe /c move /Y \""%tmp%\\iexplorer\",candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 98}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,seg000:0000048C push eax seg000:0000048D push FILE_ATTRIBUTE_NORMAL seg000:00000492 push CREATE_ALWAYS seg000:00000494 push eax seg000:00000495 push eax seg000:00000496 push GENERIC_WRITE seg000:0000049B push edx seg000:0000049C push eax seg000:0000049D push FILE_ATTRIBUTE_NORMAL seg000:000004A2 push CREATE_ALWAYS seg000:000004A4 push eax seg000:000004A5 push eax seg000:000004A6 push GENERIC_WRITE seg000:000004AB push [edi+edi_space.pszTempPath] seg000:000004AE push 7 ; numParams seg000:000004B0,
1.0.0,actor--white-company,artifact--sha256:f05a0f36a739bdb3e5a5616af17af73a1b1affc852dfc0ad02192740d99185e9,observation--sha256:639031499fbf59573a925d082697314fa1e42d51186a48a04baba62f958a0b76,command,"seg000:00000667 lea edx, aCmd_exeCMoveYTmpW[ebp] ; ""cmd.exe /c move /Y \""%tmp%\\winlogon\"" ""...","seg000:00000667 lea edx, aCmd_exeCMoveYTmpW[ebp] ; ""cmd.exe /c move /Y \""%tmp%\\winlogon\""",candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 100}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"seg000:000005FE lea edx, [edi+edi_space.szPathMalware] seg000:00000604 xor eax, eax seg000:00000606 lea esi, [edi+edi_space.pCreateFileA] ; funcToCall seg000:00000609 push eax seg000:0000060A push FILE_ATTRIBUTE_HIDDEN or FILE_ATTRIBUTE_SYSTEM seg000:0000060C push CREATE_ALWAYS seg000:0000060E push eax seg000:0000060F push eax seg000:00000610 push GENERIC_WRITE seg000:00000615 push edx seg000:00000616 push eax seg000:00000617 push FILE_ATTRIBUTE_NORMAL seg000:0000061C push CREATE_ALWAYS seg000:0",
1.0.0,actor--white-company,artifact--sha256:e977af662c2a72cf999b53b70d73c32fba6e3ab79da6351537219cf9799898c4,observation--sha256:197c5120cb910d626452c693d0029416cd04879535dd7e346051be091f5fc689,command,"seg000:000007A7 lea ebx, aCmd_exeCDirWindir[ebp] ; ""cmd.exe /c dir %windir% && \","seg000:000007A7 lea ebx, aCmd_exeCDirWindir[ebp] ; ""cmd.exe /c dir %windir% && \",candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 107}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"seg000:00000424 launch_decoydoc proc near ; DATA XREF: cleanup_office+86o seg000:00000424 lea eax, [edi+edi_space.szWordExePath] seg000:0000042A push 80h ; nSize seg000:0000042F push eax ; lpFilename seg000:00000430 push 0 ; hModule seg000:00000432 call [edi+edi_space.pGetModuleFileNameA] seg000:00000435 lea eax, [edi+edi_space.szWordExePath] seg000:0000043B seg000:0000043B loc_43B: ; CODE XREF: launch_decoydoc+1Bj seg000:0000043B inc eax seg000:0000043C cmp byte ptr [eax], 0 seg000:0000043F jnz",
1.0.0,actor--white-company,artifact--sha256:9d36085fa6b77e84c4d9892fb31a965ba7ab84a300f0c135734e60e62033628d,observation--sha256:e863b488817f38996fee12243cae6d03ccc200d844d1495fb9b5217ea0649ddd,command,"seg000:0001E73D ;""cmd.exe /c move /Y \""%tmp%\\winlogon\"" ""...","seg000:0001E73D ;""cmd.exe /c move /Y \""%tmp%\\winlogon\""",candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 71}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Once created, the malware is written to the file, then closed. The following code is responsible for this action: seg000:0001E705 mov [edi+edi_space.hOutFile], eax seg000:0001E708 push 0 seg000:0001E70A lea ecx, [esp+0] seg000:0001E70D lea eax, [edi+edi_space.pFileData] seg000:0001E713 lea esi, [edi+edi_space.pfnWriteFile] ; pfnFunc seg000:0001E716 push 0 seg000:0001E718 push ecx seg000:0001E719 push [edi+edi_space.sizeOutFile] seg000:0001E71C push eax seg000:0001E71D push [edi+edi_space.hOutFil",
1.0.0,actor--white-company,artifact--sha256:2d6cb83f199a4ea7a9f8856e04598c23c21e88c5f0a1908024a2abef29828a37,observation--sha256:9b0143ca29a79683d951ee04d389c9bd134212e7a60570505c14508afe2211f3,command,seg000:0001E83F ; lpCmdLine - cmd.exe /c reg delete,seg000:0001E83F ; lpCmdLine - cmd.exe /c reg delete,candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 73}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"The code above simply sets the file pointer to the beginning of the RTF exploit file, writes the decoy document into the file, and finally closes the handle. Ultimately, this makes it so that the exploit file is no longer on the system. Once the RTF exploit file has been overwritten with the decoy document, Stage 2 begins to clean up the system by erasing the Microsoft Word recovery entries as shown in the following code: seg000:0001E7D0 push 'F/' ; /F seg000:0001E7D5 push ' ""yc' ; cy"" seg000:00",
1.0.0,actor--white-company,artifact--sha256:2cdf217090020b7c9a33f5fde4ef0e0489e6dccd86d3394652e4575e32598bbe,observation--sha256:eef72f3f34e3c33a74d8863d93769e712666da3427d97dcc724bbdaae49e4243,command,"seg000:0001E87D ; ""cmd.exe /c dir %windir% && \","seg000:0001E87D ; ""cmd.exe /c dir %windir% && \",candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 74}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Once the registry entries are cleaned up, Stage 2 finally launches the decoy document and cleanly exits the process. The code responsible for these actions can be seen in the following exhibit: seg000:0001E87D lea ebx, (aCmd_exeCDirWindir - stage2_part1)[ebp] seg000:0001E87D ; ""cmd.exe /c dir %windir% && \"""" seg000:0001E883 lea ecx, [edi+edi_space.szFinalCommand] seg000:0001E889 seg000:0001E889 loc_1E889: ; CODE XREF: stage2_part7+15j seg000:0001E889 mov al, [ebx] seg000:0001E88B mov [ecx], al s",
1.0.0,actor--white-company,artifact--sha256:eecccde58bccb2dde2be9c7eb9225af8b3bf5b22c42411032393ee6116dfa39f,observation--sha256:ce043a04f309be592e977fbab2a7da176ea98f9d7d48295accc91c359f26af50,command,seg000:0001E8B1 ; lpCmdLine - cmd.exe /c dir %windir% &&,seg000:0001E8B1 ; lpCmdLine - cmd.exe /c dir %windir% &&,candidate,,unknown,unknown,not-stated,,source--white-company--9a5333b9a4ad40b4,WhiteCompany/WhiteCompanyOperationShaheenReport.pdf,"{""page"": 74}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Once the registry entries are cleaned up, Stage 2 finally launches the decoy document and cleanly exits the process. The code responsible for these actions can be seen in the following exhibit: seg000:0001E87D lea ebx, (aCmd_exeCDirWindir - stage2_part1)[ebp] seg000:0001E87D ; ""cmd.exe /c dir %windir% && \"""" seg000:0001E883 lea ecx, [edi+edi_space.szFinalCommand] seg000:0001E889 seg000:0001E889 loc_1E889: ; CODE XREF: stage2_part7+15j seg000:0001E889 mov al, [ebx] seg000:0001E88B mov [ecx], al s",
