schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--white-tur,artifact--sha256:7e18ae96eeacfe34e06bdd30622e480fd77c076e7bf9d80cf20496a3f8fed6b4,observation--sha256:91224d470e754976f2232d94d272e9f7793701883de00836df8856cbd0599f43,command,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 37} White Tur 36 | Cyber Threats 2022: A Year in Retrospect More about White Tur TTPs HTA files are interpreted by mshta.exe, a well known live-off-the-land binary (a.k.a. LOLBin) that is frequently abused by threat actors. As HTA files present an opportunity to launch scripts in HTML without m","summary/2023/2022-year-in-retrospect-report.pdf {""page"": 37} White Tur 36 | Cyber Threats 2022: A Year in Retrospect More about White Tur TTPs HTA files are interpreted by mshta.exe, a well known live-off-the-land binary (a.k.a. LOLBin) that is frequently abused by threat actors. As HTA files present an opportunity to launch scripts in HTML without m",candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 37} White Tur 36 | Cyber Threats 2022: A Year in Retrospect More about White Tur TTPs HTA files are interpreted by mshta.exe, a well known live-off-the-land binary (a.k.a. LOLBin) that is frequently abused by threat actors. As HTA files present an opportunity to launch scripts in HTML without m",
1.0.0,actor--white-tur,artifact--sha256:3adb6097e3b8c9435b8a0febc30c227bda3a2bbc50a8bd15ec9330692474b525,observation--sha256:30f085764e624350f55ac45f1bade394b74dae0467e6677b1a3476bf4da7a845,command,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 37} White Tur cript, for example. Detection controls should be focused around the mshta.exe process, for example detecting mshta.exe calling an HTA file from a remote location or writing files with certain extensions to disk. As White Tur copied executables to disk using the WebDAV protocol, they were placed in the Startup folder to ensure their persistent execution. Monitoring all files written to the Startup folder in an enterprise environment is cha","summary/2023/2022-year-in-retrospect-report.pdf {""page"": 37} White Tur cript, for example. Detection controls should be focused around the mshta.exe process, for example detecting mshta.exe calling an HTA file from a remote location or writing files with certain extensions to disk. As White Tur copied executables to disk using the WebDAV protocol, they were placed in the Startup folder to ensure their persistent execution. Monitoring all files written to the Startup folder in an enterprise environment is cha",candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 37} White Tur cript, for example. Detection controls should be focused around the mshta.exe process, for example detecting mshta.exe calling an HTA file from a remote location or writing files with certain extensions to disk. As White Tur copied executables to disk using the WebDAV protocol, they were placed in the Startup folder to ensure their persistent execution. Monitoring all files written to the Startup folder in an enterprise envir",
1.0.0,actor--white-tur,artifact--sha256:d133d1e2ab43532a06299e9a29b4df05da71dd19cabcdeba748491aa97b4f8c5,observation--sha256:9805976f795d79995f9a1b984c68fd476bb7829d245d7f9402faa82ee5f80396,command,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 111} White Tur ИЕ ↑ в которое хакеры включали ссылку. Если пользователь обращался к этому URL-адресу, он попадал на сайт злоумышленников, где вредо - носный JavaScript-код выполнял XSS-атаку на веб-почту Zimbra в организации жертвы. White Tur Регион Начало операции TOP Mitre Европа 2017 • Command and Scripting Interpreter: PowerShell (T1059.001) • Exfiltration Over C2 Channel (T1041) • Command and Scripting Interpreter: Visual Basic (T1059.005) • XSL Script","summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 111} White Tur ИЕ ↑ в которое хакеры включали ссылку. Если пользователь обращался к этому URL-адресу, он попадал на сайт злоумышленников, где вредо - носный JavaScript-код выполнял XSS-атаку на веб-почту Zimbra в организации жертвы. White Tur Регион Начало операции TOP Mitre Европа 2017 • Command and Scripting Interpreter: PowerShell (T1059.001) • Exfiltration Over C2 Channel (T1041) • Command and Scripting Interpreter: Visual Basic (T1059.005) • XSL Script",candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 111} White Tur ИЕ ↑ в которое хакеры включали ссылку. Если пользователь обращался к этому URL-адресу, он попадал на сайт злоумышленников, где вредо - носный JavaScript-код выполнял XSS-атаку на веб-почту Zimbra в организации жертвы. White Tur Регион Начало операции TOP Mitre Европа 2017 • Command and Scripting Interpreter: PowerShell (T1059.001) • Exfiltration Over C2 Channel (T1041) • Command and Scripting Interpreter: Visual ",
1.0.0,actor--white-tur,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:1a2613357fd33d575ed19986f8bc6bf499a28868d881152091cd90cf62fd7043,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 36} White Tur Balkans region with themes related to Bosnia-Herzegovina and Serbia. We further identified a series of HTML Application (HTA) scripts which were created between January 2022 and April 2022 and indicative of a shift in White Tur’s TTPs. In this series of HTA scripts, the threat actor used the WebDAV protocol to transfer a malicious payload to the victim’s machine. 147 Learn more about White Tur in one our blog posts from 2022 ",
1.0.0,actor--white-tur,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:4c33d85e3ec485b7c6ca5fde97502cfc5e29d49d4cb861ed583f43b12bf61ec2,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 36} White Tur 22 and April 2022 and indicative of a shift in White Tur’s TTPs. In this series of HTA scripts, the threat actor used the WebDAV protocol to transfer a malicious payload to the victim’s machine. 147 Learn more about White Tur in one our blog posts from 2022 and our Threat Actor of in-Turest talk at SANS CTI Summit 2022 144 CTO-TIB-20220121-02A - Talent need not apply to this career finder 145 CTO-TUS-20221027-01A - Threats un",
1.0.0,actor--white-tur,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:7b11aeb8cd7aef69f259fc8870fc7ff8100516b3c54c32ee9d6edb4b85a022a2,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 36} White Tur 2022 146 ‘Threat actor of in-Tur-est’, PwC Threat Intelligence, https://www.pwc.com/gx/en/issues/cyber security/cyber- threat-intelligence/threat-actor-of-in-tur-est.html (27th January 2022) 147 CTO-TIB-20221012-03A - White Tur’s WebDAV adventures",
1.0.0,actor--white-tur,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:5c2c9f338787b5efc34e6938de4bffc28e213b45440a3fbb0e29b993cac74071,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 37} White Tur 36 | Cyber Threats 2022: A Year in Retrospect More about White Tur TTPs HTA files are interpreted by mshta.exe, a well known live-off-the-land binary (a.k.a. LOLBin) that is frequently abused by threat actors. As HTA files present an opportunity to launch scripts in HTML without m",
1.0.0,actor--white-tur,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:da9c373da9304c8fc50a486b61c8af035bcc57fea4df1f2c6449933c4098b0cc,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 37} White Tur cript, for example. Detection controls should be focused around the mshta.exe process, for example detecting mshta.exe calling an HTA file from a remote location or writing files with certain extensions to disk. As White Tur copied executables to disk using the WebDAV protocol, they were placed in the Startup folder to ensure their persistent execution. Monitoring all files written to the Startup folder in an enterprise envir",
1.0.0,actor--white-tur,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:501dd7778b8a145a6c42d285ee16af744306a90feb6a9bf31089e5450e6bd163,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 40, ""sheet"": ""Unknown""} White Tur White Tur https://www.pwc.com/gx/en/issues/cybersecurity/cyber-threat-intelligence/threat-actor-of-in-tur-est.html",
1.0.0,actor--white-tur,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:7d0ef758d3582377feef80922b01322abf4482bfce19bedcd76f30748f39bdc8,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--white-tur--b6318d27aa82342b,actor_profile/evidence/white-tur.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 111} White Tur огия, нацеленная на оборонные, правительственные и иссле - довательские организации, базирующиеся в Сербии и Республике Сербской. При отслеживании регистрации доменов и разрешений доменов в инфраструктуре, связанной с White Tur, эксперты заметили, что она является постоянным субъектом угрозы, действовавшим в течение нескольких лет, по крайней мере с 2017 по 2021 год. VajraEleph Регион Начало операции TOP Mitre АТ",
