schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--whitefly,artifact--sha256:d8fd4499b26510b7e254886129f11ccf6778d879b123307b775271da81e430a6,observation--sha256:a358397212bc6ea0a7d16f401800182720459c7fdabeb0ee7610585bdadb0760,command,"A_Threat_Actor_Encyclopedia.pdf {""page"": 245} Whitefly Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly compromises its victims using custom malware alongside open-source hacking tools and living off the land tactics, such as malicious PowerShell scripts. From mid-2017 to mid-2018, Whitefly launched targeted attacks ag","A_Threat_Actor_Encyclopedia.pdf {""page"": 245} Whitefly Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly compromises its victims using custom malware alongside open-source hacking tools and living off the land tactics, such as malicious PowerShell scripts. From mid-2017 to mid-2018, Whitefly launched targeted attacks ag",candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 245} Whitefly Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly compromises its victims using custom malware alongside open-source hacking tools and living off the land tactics, such as malicious PowerShell scripts. From mid-2017 to mid-2018, Whitefly launched targeted attacks ag",
1.0.0,actor--whitefly,artifact--sha256:c3a42e4aeb032d968ce911dc48dd38ad790576bd48b596e3c353023f9fe7b7e7,observation--sha256:0f62c8a88c7d193b0089233fd3052a94e437f7543ceba42f84b5d3db57fd1bf3,command,"Threat Group Cards.pdf {""page"": 244} Whitefly Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly compromises its victims using custom malware alongside open-source hacking tools and living off the land tactics, such as malicious PowerShell scripts. From mid-2017 to mid-2018, Whitefly launched targeted attacks ag","Threat Group Cards.pdf {""page"": 244} Whitefly Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly compromises its victims using custom malware alongside open-source hacking tools and living off the land tactics, such as malicious PowerShell scripts. From mid-2017 to mid-2018, Whitefly launched targeted attacks ag",candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 244} Whitefly Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly compromises its victims using custom malware alongside open-source hacking tools and living off the land tactics, such as malicious PowerShell scripts. From mid-2017 to mid-2018, Whitefly launched targeted attacks ag",
1.0.0,actor--whitefly,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5d5e78e6624e8222da0310d11e8b7a9dc130458a79ab87008c8f519ff88cdce9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Whitefly .................................. 243 Volatile Cedar ............................................................................................................................................................... 244 Whitefly .......................................................................................................................................................................... 245 Wicked Spider, APT 22 .....................",
1.0.0,actor--whitefly,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1dcfd58e94b2c510f1e5be8308c630a0844dcf5d8c7e88ca80c23c33ffd4f2de,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 245} Whitefly Threat Group Cards: A Threat Actor Encyclopedia 245 Whitefly Names Whitefly (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have discovered that this attack group, which we call Whitefly, has been operating",
1.0.0,actor--whitefly,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:37000eb194db2d39a525c2a5f28a8ea17278a3d5029ddcc93b64073256f385fc,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 245} Whitefly Threat Group Cards: A Threat Actor Encyclopedia 245 Whitefly Names Whitefly (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have discovered that this attack group, which we call Whitefly, has been operating since at least 2",
1.0.0,actor--whitefly,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5e6dac70cc78560a402d4c9b9bdcefba9e2b2518074f09c8cac561d01dfe4867,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 245} Whitefly lopedia 245 Whitefly Names Whitefly (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have discovered that this attack group, which we call Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly",
1.0.0,actor--whitefly,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:093f7cee0ad46c7ee0b3b39517ee7bce6c7340f121ef1b0a7dbd2e0345dc0db1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 245} Whitefly Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly compromises its victims using custom malware alongside open-source hacking tools and living off the land tactics, such as malicious PowerShell scripts. From mid-2017 to mid-2018, Whitefly launched targeted attacks ag",
1.0.0,actor--whitefly,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8bb9f15fa85bd6e3a013993220a76fecb37d0facc77f836879018cfb4f25d090,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 244} Whitefly Threat Group Cards: A Threat Actor Encyclopedia 244 Whitefly Names Whitefly (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have discovered that this attack group, which we call Whitefly, has been operating",
1.0.0,actor--whitefly,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:bc38172bdb05f349bdd9aa0818fe577f5aa6a277e59240714048e7600ce18ce2,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 244} Whitefly Threat Group Cards: A Threat Actor Encyclopedia 244 Whitefly Names Whitefly (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have discovered that this attack group, which we call Whitefly, has been operating since at least 2",
1.0.0,actor--whitefly,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:9c78376d67ba13d57dba28109f1ef05f05f09b1bcd939d74c8bb8fb3625c0785,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--whitefly--18aa0cd4abbfb468,actor_profile/evidence/whitefly.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 244} Whitefly Encyclopedia 244 Whitefly Names Whitefly (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have discovered that this attack group, which we call Whitefly, has been operating since at least 2017, has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. Whitefly",
