schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--wicked-spider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9df99fe8fa08e55b29f2fafa7c6f3179fd4d879a167be7b386451a2a5e92873a,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 246} Wicked Spider Threat Group Cards: A Threat Actor Encyclopedia 246 Wicked Spider, APT 22 Names Wicked Spider (CrowdStrike) APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the",
1.0.0,actor--wicked-spider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9cc75d64431fd8312d2cd3632031d1030e83592aebb4a9d87c4af28bf73bf0d7,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 246} Wicked Spider Threat Group Cards: A Threat Actor Encyclopedia 246 Wicked Spider, APT 22 Names Wicked Spider (CrowdStrike) APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the actor publicly known as “Win",
1.0.0,actor--wicked-spider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:6dabe05b8acc737c143f3702fb44f3ec67191107cefb31038e2ce5d9e4a1d0e9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 246} Wicked Spider APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the actor publicly known as “Winnti,” whereas Wicked Spider represents this group’s financially-motivated criminal activity. Originally, Wicked Spider was observed exploiting a number of gaming companies and stealing code- signing certificates for use in other operations ",
1.0.0,actor--wicked-spider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:243bfa649277039b4e4d8d83e35f2f85d74282f61f05f58d69f2cdfc2d0f17d3,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 246} Wicked Spider ing code- signing certificates for use in other operations associated with the malware known as Winnti. Now, Winnti is commonly associated with the interests of the government of the People’s Republic of China (PRC). Wicked Spider has been observed targeting technology companies in Germany, Indonesia, the Russian Federation, South Korea, Sweden, Thailand, Turkey, the United States, and elsewhere. Notably, Wicked Spider has often targete",
1.0.0,actor--wicked-spider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a7cdc1fe0ea5360f3a5b4820733cc5bc9407b3b417f0436711086797789b2641,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Wicked Spider ............................. 244 Whitefly .......................................................................................................................................................................... 245 Wicked Spider, APT 22 ............................................................................................................................................... 246 Wild Neutron, Butterfly, Sphinx Moth .................",
1.0.0,actor--wicked-spider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:5aac8d61fddd501d6bbf6dcef093ff9772429443ac165f6d176032b5f709a74a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 245} Wicked Spider Threat Group Cards: A Threat Actor Encyclopedia 245 Wicked Spider, APT 22 Names Wicked Spider (CrowdStrike) APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the",
1.0.0,actor--wicked-spider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:3a5956f77f370817a2667b783b218dda43345c1c524963621a446a3609aa126c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 245} Wicked Spider Threat Group Cards: A Threat Actor Encyclopedia 245 Wicked Spider, APT 22 Names Wicked Spider (CrowdStrike) APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the actor publicly known as “Win",
1.0.0,actor--wicked-spider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:240d0408826e6681756b40bcd18a19ec5b64f979bb686e7549177f1cda2e8749,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 245} Wicked Spider APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the actor publicly known as “Winnti,” whereas Wicked Spider represents this group’s financially-motivated criminal activity. Originally, Wicked Spider was observed exploiting a number of gaming companies and stealing code- signing certificates for use in other operations assoc",
1.0.0,actor--wicked-spider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:d4771fcb7338f39de930bb7387b16460f582cea8ddba615aae8889caa4ef87e1,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 245} Wicked Spider ing code- signing certificates for use in other operations associated with the malware known as Winnti. Now, Winnti is commonly associated with the interests of the government of the People’s Republic of China (PRC). Wicked Spider has been observed targeting technology companies in Germany, Indonesia, the Russian Federation, South Korea, Sweden, Thailand, Turkey, the United States, and elsewhere. Notably, Wicked Spider has often targeted gaming",
1.0.0,actor--wicked-spider,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:c2ee9db572592b9f71ded34327a4380f2fe7ddaf476a6273384b27b244b79ec5,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wicked-spider--100f43f24ba349bf,actor_profile/evidence/wicked-spider.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 7} Wicked Spider ....................................................... 243 Whitefly ................................................................................................................................................ 244 Wicked Spider, APT 22 ..................................................................................................................... 245 Wild Neutron, Butterfly, Sphinx Moth ...................................................",
