schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--wild-neutron,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:410303a35a64080f08ef997d4ffa0eecdf713ab045066cbf4c584e11b8010af8,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 247} Wild Neutron Threat Group Cards: A Threat Actor Encyclopedia 247 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporate espionage group has compromised a string o",
1.0.0,actor--wild-neutron,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:de379a5f890a22bbc7269c8f3b2978088e7e3b7de868a806abe11a6c84e90198,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Wild Neutron ........................................... 245 Wicked Spider, APT 22 ............................................................................................................................................... 246 Wild Neutron, Butterfly, Sphinx Moth ........................................................................................................................ 247",
1.0.0,actor--wild-neutron,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:dfc033ee244cb3fba589f77413a490ea6dddea03d940be3e3d828d732cbd16e2,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 247} JripBot re, Investment companies, IT, Real estate, lawyers and individual users. Countries: Algeria, Austria, Canada, France, Germany, Kazakhstan, Palestine, Russia, Slovenia, Switzerland, UAE and USA. Tools used HesperBot, JripBot, WildNeutron and many 0-days vulnerabilities. Operations performed Jan 2013 Attack on Twitter <https://blog.twitter.com/official/en_us/a/2013/keeping-our-users- secure.html> Feb 2013 Attack on Facebook <https://ww",
1.0.0,actor--wild-neutron,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:959714c41fd7a385479676303208122a240bd8d16bdc7c5ae19b2cdd487ee46d,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 247} Morpho Threat Group Cards: A Threat Actor Encyclopedia 247 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporate espionage group has compromised a string of major corporations over the past three",
1.0.0,actor--wild-neutron,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:33a71c0066b4d3057a5bf5385529ee731022ac6d6123e591847e40270fef732e,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 247} Wild Neutron Threat Group Cards: A Threat Actor Encyclopedia 247 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporat",
1.0.0,actor--wild-neutron,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:950b1a6e08e8880fccc401b4032a99ef5a6b9c239838b3f73b86fa87fc09642e,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 246} JripBot re, Investment companies, IT, Real estate, lawyers and individual users. Countries: Algeria, Austria, Canada, France, Germany, Kazakhstan, Palestine, Russia, Slovenia, Switzerland, UAE and USA. Tools used HesperBot, JripBot, WildNeutron and many 0-days vulnerabilities. Operations performed Jan 2013 Attack on Twitter <https://blog.twitter.com/official/en_us/a/2013/keeping-our-users- secure.html> Feb 2013 Attack on Facebook <https://ww",
1.0.0,actor--wild-neutron,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:ba018b9fc9a65332418a726f7b76beb3e37c5fab6925ad41dfe593ad3768b57c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 246} Morpho Threat Group Cards: A Threat Actor Encyclopedia 246 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporate espionage group has compromised a string of major corporations over the past three",
1.0.0,actor--wild-neutron,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fb0668086a8d2f338a49395eeb55d32dd3c492622c2ed2da4fd9a42e0e20f2ce,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 246} Wild Neutron Threat Group Cards: A Threat Actor Encyclopedia 246 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporat",
1.0.0,actor--wild-neutron,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8cc5194496fb435387cb2e0bf962eddb5cee0fe44d85aa17fd312b6f02932cf0,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 246} Wild Neutron Threat Group Cards: A Threat Actor Encyclopedia 246 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporate espionage group has compromised a string o",
1.0.0,actor--wild-neutron,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:9ac453f04c0deca1feec30779f3895c40cf8ccf49689c2df705b54b56925c15c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--wild-neutron--09df39b8c404faac,actor_profile/evidence/wild-neutron.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 7} Wild Neutron ..................................................................... 244 Wicked Spider, APT 22 ..................................................................................................................... 245 Wild Neutron, Butterfly, Sphinx Moth .............................................................................................. 246 Winnti Group, Blackfly, Wicked Panda ..........................................................",
