schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--windshift,artifact--sha256:e8cae3c405a48f9447ca64e131b69ec4a3f84b4e45ff9b5e1b8bc0def3693f81,observation--sha256:424555adb8196f08c69bcca33218e7f34f5605c58f2528256e9011da7d2c5866,command,定文件收集 肚脑虫 漏洞文档 U 盘传播 CVE-2017-12824 CVE-2017-11882 计划任务 传统 C&C 系统信息收集 屏幕截取 特定文件收集 响尾蛇 漏洞文档 LNK 文件 CVE-2017-11882 HTA 远程执行 JavaScript 内存加载.Net 代码执行 白利用 DLL 劫持 RUNDLL32 REGSVR32 注册表启动项 传统 C&C 系统信息收集 文件窃取 Urpage 漏洞文档 CVE-2017-11882 自启动目录项 传统 C&C 系统信息收集 RAT 程序 初始入侵 从监测到的情况进行分析，南亚 APT 组织的攻击活动仍严重依赖于社会工程学，其最主要攻击手段依旧为鱼 叉漏洞文档，其次为鱼叉 LNK 文件，自解压程序，CHM 文档等；在肚脑虫在巴基斯坦的攻击活动中，我们观察到 了使用 U 盘传播的案例，攻击者在 U 盘中放置伪装的 EXE 程序诱导用户点击。 伪装文档图标的程,定文件收集 肚脑虫 漏洞文档 U 盘传播 CVE-2017-12824 CVE-2017-11882 计划任务 传统 C&C 系统信息收集 屏幕截取 特定文件收集 响尾蛇 漏洞文档 LNK 文件 CVE-2017-11882 HTA 远程执行 JavaScript 内存加载.Net 代码执行 白利用 DLL 劫持 RUNDLL32 REGSVR32 注册表启动项 传统 C&C 系统信息收集 文件窃取 Urpage 漏洞文档 CVE-2017-11882 自启动目录项 传统 C&C 系统信息收集 RAT 程序 初始入侵 从监测到的情况进行分析，南亚 APT 组织的攻击活动仍严重依赖于社会工程学，其最主要攻击手段依旧为鱼 叉漏洞文档，其次为鱼叉 LNK 文件，自解压程序，CHM 文档等；在肚脑虫在巴基斯坦的攻击活动中，我们观察到 了使用 U 盘传播的案例，攻击者在 U 盘中放置伪装的 EXE 程序诱导用户点击。 伪装文档图标的程,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 4} Urpage 定文件收集 肚脑虫 漏洞文档 U 盘传播 CVE-2017-12824 CVE-2017-11882 计划任务 传统 C&C 系统信息收集 屏幕截取 特定文件收集 响尾蛇 漏洞文档 LNK 文件 CVE-2017-11882 HTA 远程执行 JavaScript 内存加载.Net 代码执行 白利用 DLL 劫持 RUNDLL32 REGSVR32 注册表启动项 传统 C&C 系统信息收集 文件窃取 Urpage 漏洞文档 CVE-2017-11882 自启动目录项 传统 C&C 系统信息收集 RAT 程序 初始入侵 从监测到的情况进行分析，南亚 APT 组织的攻击活动仍严重依赖于社会工程学，其最主要攻击手段依旧为鱼 叉漏洞文档，其次为鱼叉 LNK 文件，自解压程序，CHM 文档等；在肚脑虫在巴基斯坦的攻击活动中，我们观察到 了使用 U 盘传播的案例，攻击者在 U 盘中放置伪装的 EXE 程序诱导用户点击。 伪装文档图标的程",
1.0.0,actor--windshift,artifact--sha256:e5a2336d0cfad08863bc18df6765a97b682ef653072bd3771f6f7e852f1f2429,observation--sha256:4d0acd0f0871a5f25ea10eb3b129ad88097a01edb0f31dd5450663819acc61ed,command,持久化 在持久化方面上，其使用的技术均比较常见。  使用最多的为注册表启动项，即向 HKCU\Software\Microsoft\Windows\CurrentVersion\Run 下添加相 关注册表项；  响尾蛇利用了系统计划任务，通过添加计划任务启动项，利用 Rundll32 或 Regsvr32 来执行恶意 DLL 组 件；  Urpage 使用了自启动目录项，即在 %Appdata%\Microsoft\Windows\Start Menu\Programs\Startup 目 录下创建带有启动命令行的快捷方式。 命令和控制 在命令和控制方面，摩诃草使用了 Github 和 Feed43 这类共用平台下发 C&C 地址信息，其在 Github 或者 Feed43 上创建带有加密 C&C 信息的 XML 文件，解密来获取新的 C&C 地址信息。 这种模式的后门,持久化 在持久化方面上，其使用的技术均比较常见。  使用最多的为注册表启动项，即向 HKCU\Software\Microsoft\Windows\CurrentVersion\Run 下添加相 关注册表项；  响尾蛇利用了系统计划任务，通过添加计划任务启动项，利用 Rundll32 或 Regsvr32 来执行恶意 DLL 组 件；  Urpage 使用了自启动目录项，即在 %Appdata%\Microsoft\Windows\Start Menu\Programs\Startup 目 录下创建带有启动命令行的快捷方式。 命令和控制 在命令和控制方面，摩诃草使用了 Github 和 Feed43 这类共用平台下发 C&C 地址信息，其在 Github 或者 Feed43 上创建带有加密 C&C 信息的 XML 文件，解密来获取新的 C&C 地址信息。 这种模式的后门,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 8} Urpage 持久化 在持久化方面上，其使用的技术均比较常见。  使用最多的为注册表启动项，即向 HKCU\Software\Microsoft\Windows\CurrentVersion\Run 下添加相 关注册表项；  响尾蛇利用了系统计划任务，通过添加计划任务启动项，利用 Rundll32 或 Regsvr32 来执行恶意 DLL 组 件；  Urpage 使用了自启动目录项，即在 %Appdata%\Microsoft\Windows\Start Menu\Programs\Startup 目 录下创建带有启动命令行的快捷方式。 命令和控制 在命令和控制方面，摩诃草使用了 Github 和 Feed43 这类共用平台下发 C&C 地址信息，其在 Github 或者 Feed43 上创建带有加密 C&C 信息的 XML 文件，解密来获取新的 C&C 地址信息。 这种模式的后门",
1.0.0,actor--windshift,artifact--sha256:588b3ae6c7ea7753ab9fda5abebc06158abb9ce5b9b4643ca2277fb9f0b7f55b,observation--sha256:8cae4f910a8190566a94c762823466e123ba4ca88f3e2ae9a13f7b0185ba2711,file-name,Cmdl32.exe,Cmdl32.exe,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 25} Urpage 描述 黑 DLL 名 write.exe 写字板程序 propsys.dll credwiz.exe Duser.dll Cmdl32.exe cmpbk32.dll rekeywiz.exe Duser.dll 响尾蛇的受害者对象包括各国驻华使馆，包括约旦大使馆，阿联酋大使馆等外国驻中国的大使馆，某中国集团公 司，孟加拉军方人员，巴基斯坦政府机构包括反恐主义部门（CTD）, 巴基斯坦证券交易委员会（SECP） Urpage 2019 年，我们发现一起针对巴基斯坦反恐局(Counter Terrorism Department - CTD)的攻击行动，其持续时间 从 6 月初延续到 9 月底，此次攻击依旧使用了钓鱼 Office 文档的攻击方式，使用的漏洞为 CVE-2017-11882。 其使用了两种语言编写的 Downloader 程序，第一类为 Delphi 编写的 Downloader 程序，后一类为 VB 编写。 De",
1.0.0,actor--windshift,artifact--sha256:0ad571fda7159c0e77cdbc501b58795ff96e130345abdd6783f57372fe040746,observation--sha256:a9b9d1d42d0e3d3170c5554cb821ce1d551813871f649f955957cfb8806b0534,file-name,Duser.dll,Duser.dll,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 25} Urpage 描述 黑 DLL 名 write.exe 写字板程序 propsys.dll credwiz.exe Duser.dll Cmdl32.exe cmpbk32.dll rekeywiz.exe Duser.dll 响尾蛇的受害者对象包括各国驻华使馆，包括约旦大使馆，阿联酋大使馆等外国驻中国的大使馆，某中国集团公 司，孟加拉军方人员，巴基斯坦政府机构包括反恐主义部门（CTD）, 巴基斯坦证券交易委员会（SECP） Urpage 2019 年，我们发现一起针对巴基斯坦反恐局(Counter Terrorism Department - CTD)的攻击行动，其持续时间 从 6 月初延续到 9 月底，此次攻击依旧使用了钓鱼 Office 文档的攻击方式，使用的漏洞为 CVE-2017-11882。 其使用了两种语言编写的 Downloader 程序，第一类为 Delphi 编写的 Downloader 程序，后一类为 VB 编写。 De",
1.0.0,actor--windshift,artifact--sha256:e77e634282d133abd2a52cb28bafed979f74bfd3aa4ffe2c14cc189df7b42dda,observation--sha256:899a31a119cf3562ff678f13e821a8afcd28d443f79dd8c1eadff6edfe5aa5dc,file-name,cmpbk32.dll,cmpbk32.dll,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 25} Urpage 描述 黑 DLL 名 write.exe 写字板程序 propsys.dll credwiz.exe Duser.dll Cmdl32.exe cmpbk32.dll rekeywiz.exe Duser.dll 响尾蛇的受害者对象包括各国驻华使馆，包括约旦大使馆，阿联酋大使馆等外国驻中国的大使馆，某中国集团公 司，孟加拉军方人员，巴基斯坦政府机构包括反恐主义部门（CTD）, 巴基斯坦证券交易委员会（SECP） Urpage 2019 年，我们发现一起针对巴基斯坦反恐局(Counter Terrorism Department - CTD)的攻击行动，其持续时间 从 6 月初延续到 9 月底，此次攻击依旧使用了钓鱼 Office 文档的攻击方式，使用的漏洞为 CVE-2017-11882。 其使用了两种语言编写的 Downloader 程序，第一类为 Delphi 编写的 Downloader 程序，后一类为 VB 编写。 De",
1.0.0,actor--windshift,artifact--sha256:ef2eb5b6eda85156865db3a388c0ab55f206095895f9fd44cf2203f796303005,observation--sha256:2bd0f844b5c2d4920dc7d6d72b01c0e79e103ee097a5245d8091a43f6b81d6eb,file-name,credwiz.exe,credwiz.exe,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 25} Urpage 描述 黑 DLL 名 write.exe 写字板程序 propsys.dll credwiz.exe Duser.dll Cmdl32.exe cmpbk32.dll rekeywiz.exe Duser.dll 响尾蛇的受害者对象包括各国驻华使馆，包括约旦大使馆，阿联酋大使馆等外国驻中国的大使馆，某中国集团公 司，孟加拉军方人员，巴基斯坦政府机构包括反恐主义部门（CTD）, 巴基斯坦证券交易委员会（SECP） Urpage 2019 年，我们发现一起针对巴基斯坦反恐局(Counter Terrorism Department - CTD)的攻击行动，其持续时间 从 6 月初延续到 9 月底，此次攻击依旧使用了钓鱼 Office 文档的攻击方式，使用的漏洞为 CVE-2017-11882。 其使用了两种语言编写的 Downloader 程序，第一类为 Delphi 编写的 Downloader 程序，后一类为 VB 编写。 De",
1.0.0,actor--windshift,artifact--sha256:ac32df21cc370104fdd0c3ff8284b6b3080c48b53aee688a412ea634bc6aaa3a,observation--sha256:6fd9cb677122fce6a72dff2519c33801b0295c9775eaa3b955fab1a5c595d1e6,file-name,propsys.dll,propsys.dll,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 25} Urpage 描述 黑 DLL 名 write.exe 写字板程序 propsys.dll credwiz.exe Duser.dll Cmdl32.exe cmpbk32.dll rekeywiz.exe Duser.dll 响尾蛇的受害者对象包括各国驻华使馆，包括约旦大使馆，阿联酋大使馆等外国驻中国的大使馆，某中国集团公 司，孟加拉军方人员，巴基斯坦政府机构包括反恐主义部门（CTD）, 巴基斯坦证券交易委员会（SECP） Urpage 2019 年，我们发现一起针对巴基斯坦反恐局(Counter Terrorism Department - CTD)的攻击行动，其持续时间 从 6 月初延续到 9 月底，此次攻击依旧使用了钓鱼 Office 文档的攻击方式，使用的漏洞为 CVE-2017-11882。 其使用了两种语言编写的 Downloader 程序，第一类为 Delphi 编写的 Downloader 程序，后一类为 VB 编写。 De",
1.0.0,actor--windshift,artifact--sha256:0b457b6c693b399f40fd2fe5de0644ebb1b7d36e5ba68bb7d6b9d4ef15abb062,observation--sha256:0259103f8820bcd891c9e20dc9ed35682c2d7e5152e946a6da7dbda2e4a159fe,file-name,rekeywiz.exe,rekeywiz.exe,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 25} Urpage 描述 黑 DLL 名 write.exe 写字板程序 propsys.dll credwiz.exe Duser.dll Cmdl32.exe cmpbk32.dll rekeywiz.exe Duser.dll 响尾蛇的受害者对象包括各国驻华使馆，包括约旦大使馆，阿联酋大使馆等外国驻中国的大使馆，某中国集团公 司，孟加拉军方人员，巴基斯坦政府机构包括反恐主义部门（CTD）, 巴基斯坦证券交易委员会（SECP） Urpage 2019 年，我们发现一起针对巴基斯坦反恐局(Counter Terrorism Department - CTD)的攻击行动，其持续时间 从 6 月初延续到 9 月底，此次攻击依旧使用了钓鱼 Office 文档的攻击方式，使用的漏洞为 CVE-2017-11882。 其使用了两种语言编写的 Downloader 程序，第一类为 Delphi 编写的 Downloader 程序，后一类为 VB 编写。 De",
1.0.0,actor--windshift,artifact--sha256:ec074242f805030bc6d5823b146631ab83ee587174a38d403626c2df753dafb8,observation--sha256:fdc41f080933649eab27dc7cc0cce8a69798f395c95e0fbe9f7c635bec08d037,file-name,write.exe,write.exe,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 25} Urpage 描述 黑 DLL 名 write.exe 写字板程序 propsys.dll credwiz.exe Duser.dll Cmdl32.exe cmpbk32.dll rekeywiz.exe Duser.dll 响尾蛇的受害者对象包括各国驻华使馆，包括约旦大使馆，阿联酋大使馆等外国驻中国的大使馆，某中国集团公 司，孟加拉军方人员，巴基斯坦政府机构包括反恐主义部门（CTD）, 巴基斯坦证券交易委员会（SECP） Urpage 2019 年，我们发现一起针对巴基斯坦反恐局(Counter Terrorism Department - CTD)的攻击行动，其持续时间 从 6 月初延续到 9 月底，此次攻击依旧使用了钓鱼 Office 文档的攻击方式，使用的漏洞为 CVE-2017-11882。 其使用了两种语言编写的 Downloader 程序，第一类为 Delphi 编写的 Downloader 程序，后一类为 VB 编写。 De",
1.0.0,actor--windshift,artifact--sha256:acf587f85dcc3dfe763b55b71c0b0b6d054ef2e3d225fd3eec3c44154b41991e,observation--sha256:3f9fbd21e8b3bd0dab14cb3b387eecd6afc3f4fb54d7b5873029b5c9383c743d,file-path,%Appdata%\Microsoft\Windows\Start Menu\Programs\Startup 目 录下创建带有启动命令行的快捷方式。 命令和控制 在命令和控制方面，摩诃草使用了 Github 和 Feed43 这类共用平台下发 C&C 地址信息，其在 Github 或者 Feed43 上创建带有加密 C&C 信息的 XML 文件，解密来获取新的 C&C 地址信息。 这种模式的后门,%Appdata%\Microsoft\Windows\Start Menu\Programs\Startup 目 录下创建带有启动命令行的快捷方式。 命令和控制 在命令和控制方面，摩诃草使用了 Github 和 Feed43 这类共用平台下发 C&C 地址信息，其在 Github 或者 Feed43 上创建带有加密 C&C 信息的 XML 文件，解密来获取新的 C&C 地址信息。 这种模式的后门,candidate,,unknown,unknown,not-stated,,source--windshift--e1715ec6eeb0b359,actor_profile/evidence/windshift.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/SouthAsia/南亚地区APT组织2019年度攻击活动总结.pdf {""page"": 8} Urpage 持久化 在持久化方面上，其使用的技术均比较常见。  使用最多的为注册表启动项，即向 HKCU\Software\Microsoft\Windows\CurrentVersion\Run 下添加相 关注册表项；  响尾蛇利用了系统计划任务，通过添加计划任务启动项，利用 Rundll32 或 Regsvr32 来执行恶意 DLL 组 件；  Urpage 使用了自启动目录项，即在 %Appdata%\Microsoft\Windows\Start Menu\Programs\Startup 目 录下创建带有启动命令行的快捷方式。 命令和控制 在命令和控制方面，摩诃草使用了 Github 和 Feed43 这类共用平台下发 C&C 地址信息，其在 Github 或者 Feed43 上创建带有加密 C&C 信息的 XML 文件，解密来获取新的 C&C 地址信息。 这种模式的后门",
