schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--winnti,artifact--sha256:0f1f75cb5db380dd3e0a1b3958348302e913ebc981ed53bde35d6ece1145019f,observation--sha256:6987d81351a16f948b780104fc8f303c7d761c54f420e7e72dd8b5636c259a8a,command,\Windows\System32\cmd.exe /c des.exe,\Windows\System32\cmd.exe /c des.exe,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 5}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"First stage - DBoxAgent As stated, attackers used the ongoing situation in Sri Lanka to lure victims. The initial ISO file that victims have executed was named ""economic assistance.iso"". This ISO file contained 3 files: - A LNK file showing a folder icon that is a shortcut for the following command: ""C: \Windows\System32\cmd.exe /c des.exe"" - An executable named des.exe - A DLL file named ofcpipc.dll Content for economic assistance.iso It would be easy for an unexperienced user to think that the",
1.0.0,actor--winnti,artifact--sha256:1f32a765f9eefc6a6e5279423379c429f17a036a1e711977bc176ec76acdef75,observation--sha256:a1c15e0c4eceea79a5312039072c1f93a92d68e7c56b7a68604b7f2f5b984d7f,file-name,Jcef_helper.exe,Jcef_helper.exe,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 12}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"Second stage - SerialVlogger By using DBoxAgent, attackers had already full control of their victim's machine. They were able to steal information and also to deploy additional pieces of malware. In that regard, only selected victims received this second stage that used jcef_helper.exe , libcef.dll and vlog.ipdb files. Jcef_helper is not malicious and, as with des.exe , it was used just as a means to execute libcef.dll . This jcef_helper is the legitimate Java Chromium Embedded Framework helper,",
1.0.0,actor--winnti,artifact--sha256:f3649d78f8f4ffd97ecc9837e76acc6c040aadc2fe392ad201ebeb91e3867c0c,observation--sha256:7596c067ee95a1761f4ca2e3e9787fcdc4132bf49209445a465e123701044121,file-name,Ofcpic.dll,Ofcpic.dll,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 2}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,3 4 5 6 12 12 15 17 18 18 19 21 22 Table of Contents • Overview • The attack • First stage - DBoxAgent • Ofcpic.dll - DBoxAgent analysis • Second stage - SerialVlogger • libcef.dll - SeriallVlogger analysis • Third stage - VLOG.IPDB • Fourth stage - KEYPLUG • Attribution • Sri Lanka and China - A little bit of history • Sri Lanka and China - Current situation • Conclusion • Indicators of Compromise (IOCs),
1.0.0,actor--winnti,artifact--sha256:f3649d78f8f4ffd97ecc9837e76acc6c040aadc2fe392ad201ebeb91e3867c0c,observation--sha256:cf00efd8cf483bf0e650fb2c858fc80e83381bc7052b7d3cb71086e6dfd6e858,file-name,Ofcpic.dll,Ofcpic.dll,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 6}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"des.exe signature info Ofcpic.dll - DBoxAgent analysis However, ofcpipc.dll does have some detections and is the one containing malicious code. des.exe is a legitimate executable used to perform DLL SIDELOADING in order to execute ofcpipc.dll . This maliciously crafted DLL mimics the original DLL, containing all original exports and an additional one, named OIPC_InitPlus : 6 Winnti APT group docks in Sri Lanka for new campaign - © Malwarebytes",
1.0.0,actor--winnti,artifact--sha256:f3649d78f8f4ffd97ecc9837e76acc6c040aadc2fe392ad201ebeb91e3867c0c,observation--sha256:021a48d770d99b38fde4f4d4ba0ba13f0d149b3b9a9922ce9e119315fd7c3b09,file-name,Ofcpic.dll,Ofcpic.dll,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 7}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"Extra import in Ofcpic.dll Looking at DLL_Main, what we have in here are basic checks and initialization. The malware expects to be executed in a very specific way; it will skip execution when launched directly using rundll (to avoid being detected by some sandboxes) and also it expects to be located in the %PUBLIC% folder. DLL skip execution generated by rundll Moving forward to the main functionality, when all the required conditions are satisfied a buffer contained in its data section will be",
1.0.0,actor--winnti,artifact--sha256:0396d43f026f1c5ecf6af5f7d6a8b8bef3f5975fb665ec7926779a146be36a06,observation--sha256:d287216369cd515cbf2338a3b418567df2296241fa30acf35ac40ca74c06834b,file-name,cmd.exe,cmd.exe,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 5}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"First stage - DBoxAgent As stated, attackers used the ongoing situation in Sri Lanka to lure victims. The initial ISO file that victims have executed was named ""economic assistance.iso"". This ISO file contained 3 files: - A LNK file showing a folder icon that is a shortcut for the following command: ""C: \Windows\System32\cmd.exe /c des.exe"" - An executable named des.exe - A DLL file named ofcpipc.dll Content for economic assistance.iso It would be easy for an unexperienced user to think that the",
1.0.0,actor--winnti,artifact--sha256:8dce0a6218d013ab9f2b69455cbf1fb056012c0a724622545868f2e086eb3328,observation--sha256:75dc45f0002eea4580902c67d07cceddbc43479b7627cd6e5cb41f72bd391285,file-name,des.exe,des.exe,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 12}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"Second stage - SerialVlogger By using DBoxAgent, attackers had already full control of their victim's machine. They were able to steal information and also to deploy additional pieces of malware. In that regard, only selected victims received this second stage that used jcef_helper.exe , libcef.dll and vlog.ipdb files. Jcef_helper is not malicious and, as with des.exe , it was used just as a means to execute libcef.dll . This jcef_helper is the legitimate Java Chromium Embedded Framework helper,",
1.0.0,actor--winnti,artifact--sha256:8dce0a6218d013ab9f2b69455cbf1fb056012c0a724622545868f2e086eb3328,observation--sha256:9cf93b301d1d2b3134cc0f58f91ff9f5011ed160145a595c91330340b7ae2be9,file-name,des.exe,des.exe,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 5}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"First stage - DBoxAgent As stated, attackers used the ongoing situation in Sri Lanka to lure victims. The initial ISO file that victims have executed was named ""economic assistance.iso"". This ISO file contained 3 files: - A LNK file showing a folder icon that is a shortcut for the following command: ""C: \Windows\System32\cmd.exe /c des.exe"" - An executable named des.exe - A DLL file named ofcpipc.dll Content for economic assistance.iso It would be easy for an unexperienced user to think that the",
1.0.0,actor--winnti,artifact--sha256:8dce0a6218d013ab9f2b69455cbf1fb056012c0a724622545868f2e086eb3328,observation--sha256:7e97d0bfad679d1797e0780343575bbf7426f98a85b0ce2a9834a159059a95b1,file-name,des.exe,des.exe,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 6}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"des.exe signature info Ofcpic.dll - DBoxAgent analysis However, ofcpipc.dll does have some detections and is the one containing malicious code. des.exe is a legitimate executable used to perform DLL SIDELOADING in order to execute ofcpipc.dll . This maliciously crafted DLL mimics the original DLL, containing all original exports and an additional one, named OIPC_InitPlus : 6 Winnti APT group docks in Sri Lanka for new campaign - © Malwarebytes",
1.0.0,actor--winnti,artifact--sha256:8dce0a6218d013ab9f2b69455cbf1fb056012c0a724622545868f2e086eb3328,observation--sha256:2e5cc5b6b9593f7640785a08a0a614577f4a285724f3931231764969b6ac958f,file-name,des.exe,des.exe,candidate,,unknown,unknown,not-stated,,source--winnti--d3e8a2db904a2b19,Winnti/winnti-apt-group-docks-in-sri-lanka-for-new-campaign-final.pdf,"{""page"": 7}",[],"[""malware--winnti""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"Extra import in Ofcpic.dll Looking at DLL_Main, what we have in here are basic checks and initialization. The malware expects to be executed in a very specific way; it will skip execution when launched directly using rundll (to avoid being detected by some sandboxes) and also it expects to be located in the %PUBLIC% folder. DLL skip execution generated by rundll Moving forward to the main functionality, when all the required conditions are satisfied a buffer contained in its data section will be",
