schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--wirte,artifact--sha256:cd556ead5bb82a1c5d9977c5fe81bd305d30ef88aaf3c6605ea636f808bd2bbe,observation--sha256:4768cdffe4ea80604bbfded9fc4f4de4c71a4a64ae401b0ac9f92856da059fa7,command,"Threat_Group_Cards_v2.0.pdf {""page"": 371} wirte th different themes. Observed Sectors: Defense, Government and diplomats. Countries: Middle East. Tools used EmpireProject, H-Worm and several VBScript, PowerShell and VBA scripts. Information <https://lab52.io/blog/wirte-group-attacking-the-middle-east/> <https://blog.talosintelligence.com/2018/02/targeted-attacks-in-middle-east.html> MITRE ATT&CK <https://attack.mitre.org/groups/G0090/>","Threat_Group_Cards_v2.0.pdf {""page"": 371} wirte th different themes. Observed Sectors: Defense, Government and diplomats. Countries: Middle East. Tools used EmpireProject, H-Worm and several VBScript, PowerShell and VBA scripts. Information <https://lab52.io/blog/wirte-group-attacking-the-middle-east/> <https://blog.talosintelligence.com/2018/02/targeted-attacks-in-middle-east.html> MITRE ATT&CK <https://attack.mitre.org/groups/G0090/",candidate,2018-02-01T00:00:00Z,month,known,same-record,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 371} wirte th different themes. Observed Sectors: Defense, Government and diplomats. Countries: Middle East. Tools used EmpireProject, H-Worm and several VBScript, PowerShell and VBA scripts. Information <https://lab52.io/blog/wirte-group-attacking-the-middle-east/> <https://blog.talosintelligence.com/2018/02/targeted-attacks-in-middle-east.html> MITRE ATT&CK <https://attack.mitre.org/groups/G0090/>",
1.0.0,actor--wirte,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:1a211dbbc129f94d214ec143f3eb6e478d8af9eeed58a0bdaf8ae1e5e8d6436d,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 36} WIRTE 13 was likely attempting to compromise individuals or organisations for espionage purposes. Learn more in our Talent Need Not Apply talk at BlackHat USA 2022 WIRTING about White Dev 21 In 2022, White Dev 21 (a.k.a. WIRTE) continued to target a variety of victims throughout the Middle East, including Jordan, Palestine, Syria and Lebanon. A particular cluster of activity in September 2022 revealed that White Dev 21 relied heavily o",
1.0.0,actor--wirte,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:1819391785fcc7ed71f7645a31aa7676b548acff0665258776538f0692488246,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 75} WIRTE rolX, Earth Lusca, Aquatic Panda) - pg. 2, 21- 22 • Red Vulture (a.k.a. APT15, APT25, Ke3chang) - pg. 23 • White Apep (a.k.a. DarkSide, BlackMatter) - pg. 16 • White Baku (a.k.a. Cuba) - pg. 62-64 • White Dev 21 (a.k.a. WIRTE) - pg. 35 • White Dev 101 (a.k.a. ALPHV-ng, BlackCat) - pg. 17, 43, 45 • White Dev 111 (a.k.a. LAPSUS$ Group) - pg. 2, 49, 58 • White Dev 115 (a.k.a. BlackBasta): A ransomware brand tied to Blue Cronus. - pg",
1.0.0,actor--wirte,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:e51324d4631c8836fd9d477efed49bbe09793dfc99aa39a7c02586226eba46f1,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,2022-01-01T00:00:00Z,month,known,same-record,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 19} WIRTE 伊朗、以色列，及其周边地区，如阿 联酋、黎巴嫩、科威特、叙利亚。活跃的APT组织包括APT35、AridViper、MuddyWater、Charming Kitten 等，针对的目标主要是与政府、国防、学术行业相关的人员及实体。 猎影实验室今年在中东地区的威胁狩猎中发现了两个新的威胁组织，分别为Cunning Kitten（APT-LY-1002） 和OceanDoge（APT-LY-1003）。除此之外，在中东地区今年也捕获到了来自WIRTE、ARIDVIPER等组 织的攻击情况。 鱼龙混杂的中东地区 ·美国网络司令部披露：MuddyWater组织与伊朗情报机构有关 ·Molerats APT组织针对中东国家展开间谍活动 2022.01 ·PowerLess：Phosphorus组织使用的新后门 ·StrifeWater RAT：伊朗Moses Staff组织使用的新木马 ·Arid Viper APT组织攻击巴勒",
1.0.0,actor--wirte,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:327578830912403f2775735b914d07f731d1de1f6b6538a052f7638798a3503a,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,2022-02-01T00:00:00Z,month,known,same-record,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 19} WIRTE TunnelVision组织利用Log4j漏洞部署勒索软件 ·伊朗MuddyWater组织针对全球政府和商业实体开展间谍活动 2022.02 ·Operation Bearded Barbie：APT-C-23组织针对以色列官员的攻击活动 ·APT35组织利用关键的VMware RCE漏洞部署后门 2022.04 ·Lyceum组织针对高科技芯片行业攻击活动 ·伊朗APT34组织使用新的Saitama后门攻击约旦政府 2022.05 ·WIRTE组织针对中东地区的攻击活动分析 ·伊朗Phosphorus组织攻击以色列和美国前高级官员 ·游走于中东的魅影--APT组织AridViper近期攻击活动分析 ·Lyceum组织以军事热点事件为诱饵针对中东地区的定向攻击 ·Cunning Kitten针对中东相关人士的威胁组织 ·Bahamut Android恶意软件新变体分析 2022.06 ·MERCURY组织利用Log4",
1.0.0,actor--wirte,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:7de3e014c703264af54b08d8b63bceebfe5f4f6b5be5ffe9eaad749bbe4cc027,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 21} WIRTE - 045 - - 046 - 高级威胁篇 2022年高级威胁态势研究报告 组织概述 2022年5月末，安恒安全数据部捕获到一批疑似来自WIRTE组织的样本，这些样本使用一些政治相关主题， 目标指向中东地区的各国政府部门。 WIRTE组织主要针对中东地区各种垂直领域，包括外交和金融机构、政府、律师事务所、军事组织和技术公 司。近些年受影响的包括亚美尼亚、塞浦路斯、埃及、巴勒斯坦、叙利亚和土耳其等中东地区国家。 攻击情况 攻击者以“大使理事会和阿拉伯外交使团团长会议议程草案”等政治相关主题作为诱饵攻击。打开文件后显示 如下界面，提示出错，引导接收者联系文档的发送者，通过文档中所包含",
1.0.0,actor--wirte,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:d1e74d2429ad48246ac7e76ea2ca5344bdeded666228b751157c1cf388a718f6,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 21} WIRTE - 045 - - 046 - 高级威胁篇 2022年高级威胁态势研究报告 组织概述 2022年5月末，安恒安全数据部捕获到一批疑似来自WIRTE组织的样本，这些样本使用一些政治相关主题， 目标指向中东地区的各国政府部门。 WIRTE组织主要针对中东地区各种垂直领域，包括外交和金融机构、政府、律师事务所、军事组织和技术公 司。近些年受影响的包括亚美尼亚、塞浦路斯、埃及、巴勒斯坦、叙利亚和土耳其等中东地区国家。 攻击情况 攻击者以“大使理事会和阿拉伯外交使团团长会议议程草案”等政治相关主题作为诱饵攻击。打开文件后显示 如下界面，提示出错，引导接收者联系文档的发送者，通过文档中所包含的宏代码实现恶意代码执行。 WIRTE 组织使用简单且常见的 TTP，这使他们能够在很长",
1.0.0,actor--wirte,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:8c68213d40d2f9c9ae30322abdba9a8a1691af89f8f4b9f537aa16196f7bba88,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 21} WIRTE 政治相关主题， 目标指向中东地区的各国政府部门。 WIRTE组织主要针对中东地区各种垂直领域，包括外交和金融机构、政府、律师事务所、军事组织和技术公 司。近些年受影响的包括亚美尼亚、塞浦路斯、埃及、巴勒斯坦、叙利亚和土耳其等中东地区国家。 攻击情况 攻击者以“大使理事会和阿拉伯外交使团团长会议议程草案”等政治相关主题作为诱饵攻击。打开文件后显示 如下界面，提示出错，引导接收者联系文档的发送者，通过文档中所包含的宏代码实现恶意代码执行。 WIRTE 组织使用简单且常见的 TTP，这使他们能够在很长一段时间内保持不被检测到。该组织的主要目的在 于针对一些高敏感目标进行信息收集活动，虽然使用的手法较为简单，但通常有着不错的隐蔽性，往往就能实 现该组织的攻击目标。 WIRTE22 捕获样本所使用的宏代码与此前该组织的活动中使用的代码对比： 2023年高级持续性威胁趋势预测 2022年初，俄乌冲突爆发，以数据擦除为目的的恶意软件",
1.0.0,actor--wirte,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:0f3684bc09d0b3520d1c3d0d8910ddc054b52bc7d66d1b1e10f0687d5ace3a63,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 18, ""sheet"": ""Middle East""} Group WITRE Group WITRE WIRTE people from the Palestinian authority and UAE 1. Rar file with a geo-political name in Arabic, usually conerns the Palestinian Authority and Gaza 2. VBS/SCR with the same name. 3. Decoy Doc contains copied conten",
1.0.0,actor--wirte,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:96717325801f0848777e94985c505394ee71b2d00c6438c030e0480574bfa504,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--wirte--d744931b7e0f9e59,actor_profile/evidence/wirte.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 18, ""sheet"": ""Middle East""} WIRTE Group WITRE WIRTE people from the Palestinian authority and UAE 1. Rar file with a geo-political name in Arabic, usually conerns the Palestinian Authority and Gaza 2. VBS/SCR with the same name. 3. Decoy Doc contains copied content that",
