schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--worok,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:d5f008fcc3f6940433cf58c4b1189c8bd9f8e8d3ffd4c24a65f9251aa71cc040,file-name,Operations.xlsx,Operations.xlsx,candidate,2022-09-06T00:00:00Z,day,known,same-record,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 43, ""sheet"": ""Unknown""} Worok Worok Proxy Shell, CVE-2021-34523 Central & SE Asia, Middle East, South Africa Inconclusive: Chinese actor. Partial overlap with TA428 and LuckyMouse https://www.welivesecurity.com/2022/09/06/worok-big-picture/",
1.0.0,actor--worok,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:ce221d156dde1e21ccde6826dd1f49e5f3b9302795cdc7a4eda4ffba4fc9fc85,file-name,Operations.xlsx,Operations.xlsx,candidate,2022-09-06T00:00:00Z,day,known,same-record,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 43, ""sheet"": ""Unknown""} worok Worok Proxy Shell, CVE-2021-34523 Central & SE Asia, Middle East, South Africa Inconclusive: Chinese actor. Partial overlap with TA428 and LuckyMouse https://www.welivesecurity.com/2022/09/06/worok-big-picture/",
1.0.0,actor--worok,artifact--sha256:3105f86654fa009126011a7bc80479b1a2e9a9a0c2bd041be10bf8986782f77d,observation--sha256:0de325314245fca6d9e49a446386a5878d157626260b4252548245e1e7c18cd4,file-name,Report-qianxin.pdf,Report-qianxin.pdf,candidate,,unknown,unknown,not-stated,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Global APT 2022 Annual Report-qianxin.pdf {""page"": 66} worok teRAT，钓鱼网站伪装成也门联合国儿童 基金会网站，声称提供移动端应用程序以进行载荷投递，攻击样本存放在钓鱼网站中。该钓鱼网站从 2021 年 7 月开始投入使用，至 2022 年仍然活跃 [191] 。 组织名称 最早活动时间 公开披露时间 组织简介 UNC3890 2020 2022 该攻击组织疑似来自中东，主要针对以色列的航运、政府、能 源和医疗保健目标等进行攻击活动。其攻击后投递 SUGARUSH/ SUGARUSH 后门。 worok 2020 2022 疑似来自中东地区的 APT 组织，主要针对亚洲、非洲的政府、能 源目标等进行攻击活动。其攻击后投递 CLRLoad/PowHeartBeat/ PNGLoad 三种类型的攻击样本。 Metador 2021 2022 主要针对中东，非洲的电信、互联网服务提供商和大学目标等进行 攻击活动。其攻击后投递 metaMain/Mafalda 攻击样本。 UNC4034 2022 202",
1.0.0,actor--worok,artifact--sha256:aec9aaa825877c14b787a9e2dc6089a529185b2bd5f672d8e1a34778b54cc1c4,observation--sha256:af73ffd8342e66940440c7a6cc04baaf9fb1b63f10a0367bf61f05842771c460,file-name,eset-apt-activity-report-q4-2024-q1-2025.pdf,eset-apt-activity-report-q4-2024-q1-2025.pdf,candidate,,unknown,unknown,not-stated,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/eset-apt-activity-report-q4-2024-q1-2025.pdf {""page"": 2} Worok H 2025 | 2 Contents Executive summary 3 Attackers and targets 5 China-aligned groups 6 China-aligned threat landscape in Europe 7 Boarding pass to cyberespionage: UnsolicitedBooker’s phishing campaign 8 Some news from Worok 9 Iran-aligned groups 11 Clomping around the riverbank 12 Loading up on reverse tunnels 13 What’s old is new again 13 Can you hear me now? 13 Interesting C&C communications channels 13 CyberToufan 14 ",
1.0.0,actor--worok,artifact--sha256:aec9aaa825877c14b787a9e2dc6089a529185b2bd5f672d8e1a34778b54cc1c4,observation--sha256:507cd2fe00d4f6457d00454bf1e83fe501314ece76b887bc9f9294aa83c75d34,file-name,eset-apt-activity-report-q4-2024-q1-2025.pdf,eset-apt-activity-report-q4-2024-q1-2025.pdf,candidate,,unknown,unknown,not-stated,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/eset-apt-activity-report-q4-2024-q1-2025.pdf {""page"": 3} Worok popularity of this tool among China-aligned groups. Additionally, we believe that a ShadowPad cluster that may sporadically deploy ransomware for financial gain is primarily engaged in espionage. We also highlighted Worok’s frequent use of shared espionage toolsets such as HDMan, PhantomNet, and Sonifake, addressing several inconsistent third-party attributions of campaigns involving these tools to other groups. Iran-ali",
1.0.0,actor--worok,artifact--sha256:aec9aaa825877c14b787a9e2dc6089a529185b2bd5f672d8e1a34778b54cc1c4,observation--sha256:88e143f099422df707481198498d7544af899a0a9a08e545e402ed1224fab1c3,file-name,eset-apt-activity-report-q4-2024-q1-2025.pdf,eset-apt-activity-report-q4-2024-q1-2025.pdf,candidate,,unknown,unknown,not-stated,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/eset-apt-activity-report-q4-2024-q1-2025.pdf {""page"": 7} Worok T APT ACTIVITY REPORT OCTOBER 2024 - MARCH 2025 | 7 Executive summary Attackers and targets China Iran North Korea Russia Other About ESET UnsolicitedBooker Worok Webworm PerplexedGoblin DigitalRecyclers Mustang Panda ESET researchers observed multiple campaigns targeting European organizations carried out by different China- aligned APT groups, highlighting their consistent and",
1.0.0,actor--worok,artifact--sha256:aec9aaa825877c14b787a9e2dc6089a529185b2bd5f672d8e1a34778b54cc1c4,observation--sha256:caf035c84a647fe872650131902b2d624742e982350df17daa652f84b156a27d,file-name,eset-apt-activity-report-q4-2024-q1-2025.pdf,eset-apt-activity-report-q4-2024-q1-2025.pdf,candidate,,unknown,unknown,not-stated,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/eset-apt-activity-report-q4-2024-q1-2025.pdf {""page"": 7} Worok new spearphishing campaign using fake Saudia airline emails. The group targeted an international organization in Saudia Arabia with a backdoor it named MarsSnake. ESET researchers continued to track the activity of Worok, a China-aligned cyberespionage group that was first observed in early 2021 exploiting ProxyShell, a Microsoft Exchange Server vulnerability. The group recently targeted academic institutions in the UK a",
1.0.0,actor--worok,artifact--sha256:aec9aaa825877c14b787a9e2dc6089a529185b2bd5f672d8e1a34778b54cc1c4,observation--sha256:928916e1377aba0ee49361a6deabd6f1815a704f5d7e8516ac0782e206ad6184,file-name,eset-apt-activity-report-q4-2024-q1-2025.pdf,eset-apt-activity-report-q4-2024-q1-2025.pdf,candidate,,unknown,unknown,not-stated,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/eset-apt-activity-report-q4-2024-q1-2025.pdf {""page"": 7} Worok UK and governmental institutions in Cambodia. We also provide our assessment regarding several campaigns publicly documented by other security researchers that were inconsistently attributed and that we now link to Worok. China-aligned threat landscape in Europe Between October 2024 and March 2025, China-aligned APT groups continued to target European organizations, with multiple campaigns operated by various threat acto",
1.0.0,actor--worok,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:d15b20ab6721040c4b278080fa7b1dbb8134212ab35a9725f39a1357b6d7a0cc,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 118} WOROK ИЮНЬ DUQU АВГ . ОКТ. STUXNET ИЮНЬ ИЮНЬ APT33 ИЮНЬ НОЯБ. LAZARUS АПР. ИЮЛЬ DRAGONFL Y ФЕВР. ИЮЛЬ BLACKENERGY МАЙ АПР. XENOTIME LEAFMINER APT41 СЕНТ. ИЮНЬ ORANGEWORM POETRAT POWERPOOL APT-C-36 DARK HALO IRONTIGER HAFNIUM WOROK APT40 TAG-38 Lorec53 APT10 CHERNOVITE ChamelGang",
1.0.0,actor--worok,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:55cd3be165d1a229a98e100d9653cf15182ea8b2274bdfdeeee83f06558a615a,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--worok--a814acf5c66a7b35,actor_profile/evidence/worok.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 129} WOROK 28 MUDDYWATER СЕНТ. ДЕК. THRIP APT33 ИЮНЬ НОЯБ. CHAFER ИЮЛЬ ЯНВ. LAZARUS МАРТ НОЯБ. HEXANE АПР. ОКТ. MOLERATS MIKROCEEN MUSTANG PANDA DARK HALO IRONTIGER АПР. АВГ . LEBANESE CEDAR PATCHWORK ОКТ. ДЕК. NAIKON OWL TRAITOR WOROK Red Menshen Aoqin Dragon ИЮНЬ ИЮНЬ APT40 МАРТ ИЮНЬ Moshen Dragon GhostEmperor Harvester MalKamak",
